obs_id,src_id,num_obs,sepn,name,ra,dec,livetime,significance,likelihood,class,photflux_aper_b,photflux_aper_m,photflux_aper_h,photflux_aper_s,hard_hm,flux_aper_b,hard_hs,hard_ms,flux_aper_s,flux_aper_m,flux_aper_h,photflux_aper_u,var_inter_prob_b,var_inter_index_b,var_inter_sigma_b,var_inter_index_s,var_inter_prob_s,var_inter_sigma_s,var_inter_sigma_m,var_inter_index_m,var_inter_prob_m,var_inter_index_h,var_inter_prob_h,var_inter_sigma_h,flux_aper_u,var_max_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b
CV_0_obs_0,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,4103.7,52.93,16618.73,CV,0.49974669314850834,0.3942712685316491,0.22123147705847893,-0.15107997638314713,1.2234600358317174,0.446137446712618,1.4108088827885619,-1.2410102990039598,-0.42998918557123555,0.4449393712504519,0.3708914670520844,-0.33558160274728044,0.598103158434137,0.16683029735051022,0.35738393521320755,0.4433389409198776,0.9366321637644202,-0.11807137893198671,0.2737165749917116,0.2031728495875003,-0.017291082251612074,0.07145629682836127,0.7688835108348673,0.051230295610734264,-0.30228417249793316,-0.0046597032683854955,0.0996414586040365,-0.17754317659551166,-0.24632129527551402,0.569174356716783,0.0005921155392112476,0.00448995622090146
CV_0_obs_1,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,0.555820032195811,0.536386654948969,0.11720996195159165,-0.13075363266890394,1.2234600358317174,0.488600778677205,-1.2920411144692283,-1.2410102990039598,-0.26354728226037616,0.6063795877806387,0.2727812579963857,-0.23606730732911274,0.598103158434137,0.16683029735051022,0.35738393521320755,0.4433389409198776,0.9366321637644202,-0.11807137893198671,0.2747353582840549,0.2031728495875003,-0.016656910471866966,0.07145629682836127,0.7691595246966555,0.05404290547020742,-0.2449360216714778,-0.005722307051619816,0.11533313379987382,-0.1522303822534473,-0.24031234308856217,0.523559790449681,-0.0035183252226513675,-0.0026201013593557957
CV_0_obs_2,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,0.4359427700225133,0.36744660055451406,0.12553120494837083,-0.07288463956520123,1.2234600358317174,0.3987237695396756,0.14051806458565605,-1.2410102990039598,-0.1310644009733424,0.4489381638967758,0.2746997327113744,-0.2751849551981602,0.598103158434137,0.16683029735051022,0.35738393521320755,0.4433389409198776,0.9366321637644202,-0.11807137893198671,0.2747353582840549,0.2031728495875003,-0.016656910471866966,0.07145629682836127,0.7691595246966555,0.0549051939941589,-0.3058167140390446,-0.005617738227799411,0.1396447692366238,-0.11799314056740688,-0.24159364677966336,0.5501013695347053,-0.003354254308071846,-0.0006840098783178517
CV_0_obs_3,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,3904.6,52.93,16618.73,CV,0.3322749964670783,0.5054685376666217,-0.04055766313331165,-0.016203911189387264,1.2234600358317174,0.19746238339128802,-0.05379829753458833,-1.2410102990039598,-0.12221737139199967,0.5712574349203752,0.13936331813358227,-0.29332843769871914,0.598103158434137,0.16683029735051022,0.35738393521320755,0.4433389409198776,0.9366321637644202,-0.11807137893198671,0.2747353582840549,0.2031728495875003,-0.016656910471866966,0.07145629682836127,0.7691595246966555,0.05038564566578791,-0.2936586011646463,-0.004359324196038518,0.14989666369790397,-0.08070315615602854,-0.22082042400898816,0.5595178724011182,-0.003577143097689327,-0.0007772905171258773
CV_0_obs_4,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,0.354456653110388,0.19292984848138184,0.005971389021310316,-0.11864091336646423,-2.0157322882298017,0.48076890763948543,-1.2920411144692283,-0.15212761336889113,-0.2163438444719301,0.12382474092412991,0.2076594564329561,-0.2788197297413236,0.598103158434137,0.16683029735051022,0.35738393521320755,0.4433389409198776,0.9366321637644202,-0.11807137893198671,0.2782244697882394,0.21372500209860285,-0.014293179292818066,0.07872195140795205,0.762167173531345,0.033031076946223606,-0.1821938033919376,-0.008837842890741101,0.12809569629248788,-0.07844884098994415,-0.15015533120497865,0.45756969153440835,-0.007447772032204344,-0.010023992951858395
CV_0_obs_5,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,0.35411126697019485,0.20075972778009823,0.0132659721739861,-0.10684444410152655,-2.0157322882298017,0.48330201078442425,-1.2920411144692283,-0.1483314807317587,-0.21128945114849532,0.14327705482762942,0.2103230001967889,-0.2731441801480888,0.598103158434137,0.16683029735051022,0.35738393521320755,0.4433389409198776,0.9366321637644202,-0.11807137893198671,0.2782244697882394,0.21372500209860285,-0.014293179292818066,0.07872195140795205,0.762167173531345,0.033037464135273434,-0.16840685913989875,-0.008837842890741101,0.12809569629248788,-0.10611342390148516,-0.16499549379927006,0.45756969153440835,-0.007447772032204344,-0.010023992951858395
CV_0_obs_6,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,42845.6,52.93,16618.73,CV,-1.0912659462192658,1.8140989702721906,-0.9389968702646928,-1.9799636944845227,-0.9586250819979613,-1.0886370007326849,-0.9400462332178844,-0.4466771369492712,-2.3456734878658696,1.793865023671968,-1.0128346104900174,-2.7585421077253414,0.598103158434137,0.16683029735051022,0.35738393521320755,0.4433389409198776,0.9366321637644202,-0.11807137893198671,0.391069043871704,-0.1520829516196167,-0.19134240980156778,0.14411284262427054,0.7755385117246566,-0.029320828178714658,-2.47818495926099,-0.11688050454958686,-1.4976455429305993,-1.6882558836009156,-1.0409171949724105,-0.3001355526597924,-0.10625561074069477,-0.10083114015417205
CV_0_obs_7,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,3906.9,52.93,16618.73,CV,0.555820032195811,0.536386654948969,0.11720996195159165,-0.13075363266890394,1.2234600358317174,0.488600778677205,-1.2920411144692283,-1.2410102990039598,-0.26354728226037616,0.6063795877806387,0.2727812579963857,-0.23606730732911274,0.598103158434137,0.16683029735051022,0.35738393521320755,0.4433389409198776,0.9366321637644202,-0.11807137893198671,0.2747353582840549,0.2031728495875003,-0.016656910471866966,0.07145629682836127,0.7691595246966555,0.05404290547020742,-0.2449360216714778,-0.005722307051619816,0.11533313379987382,-0.1522303822534473,-0.24031234308856217,0.523559790449681,-0.0035183252226513675,-0.0026201013593557957
CV_0_obs_8,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,3904.0,52.93,16618.73,CV,0.30609513369698094,0.014801452603617904,-0.0018936611462110626,-0.07954854756861834,0.39534953073093887,0.2992495322039009,1.404047701086396,-0.26221545984573186,-0.15080925087426145,0.058827764484898744,0.17330553936923196,-0.30322695232649144,0.598103158434137,0.16683029735051022,0.35738393521320755,0.4433389409198776,0.9366321637644202,-0.11807137893198671,0.2740561694224927,0.2031728495875003,-0.013370747613189314,0.07145629682836127,0.7699568980751553,0.02934700822992971,-0.30557961516386983,-0.006789524165316901,0.1825353481052452,-0.1073654328757235,-0.19924282297402443,0.5665568975099047,-0.006548477679650398,-0.003227461963150375
CV_0_obs_9,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,3971.3,52.93,16618.73,CV,0.555820032195811,0.536386654948969,0.11720996195159165,-0.13075363266890394,1.2234600358317174,0.488600778677205,-1.2920411144692283,-1.2410102990039598,-0.26354728226037616,0.6063795877806387,0.2727812579963857,-0.23606730732911274,0.598103158434137,0.16683029735051022,0.35738393521320755,0.4433389409198776,0.9366321637644202,-0.11807137893198671,0.2747353582840549,0.2031728495875003,-0.016656910471866966,0.07145629682836127,0.7691595246966555,0.05404290547020742,-0.2449360216714778,-0.005722307051619816,0.11533313379987382,-0.1522303822534473,-0.24031234308856217,0.523559790449681,-0.0035183252226513675,-0.0026201013593557957
