obs_id,src_id,num_obs,src_n,name,ra,dec,livetime,significance,likelihood,class,photflux_aper_lolim_b,photflux_aper_hilim_b,photflux_aper_b,photflux_aper_hilim_h,photflux_aper_lolim_h,photflux_aper_h,flux_aper_lolim_b,flux_aper_b,flux_aper_hilim_b,photflux_aper_s,photflux_aper_lolim_s,photflux_aper_hilim_s,photflux_aper_m,photflux_aper_lolim_m,photflux_aper_hilim_m,hard_hs,hard_hm,hard_ms,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,flux_aper_hilim_h,flux_aper_h,flux_aper_lolim_h,flux_aper_hilim_m,flux_aper_m,flux_aper_lolim_m,photflux_aper_lolim_u,photflux_aper_u,photflux_aper_hilim_u,flux_aper_u,flux_aper_hilim_u,flux_aper_lolim_u,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,var_inter_prob_s,var_inter_sigma_s,var_inter_index_s,var_inter_index_m,var_inter_prob_m,var_inter_sigma_m,var_inter_index_h,var_inter_prob_h,var_inter_sigma_h,var_prob_b,var_mean_b,var_sigma_b,var_min_b,var_max_b,ks_prob_b,kp_prob_b
CV_7_obs_11,CV_7,13,CXOGLB_J002404.2-720458, 2CXO J002404.2-720457,6.017843,-72.08276,59044.6,120.12,89709.0,CV,-3.6524748400013105,-3.638839004804974,-3.6455073994105636,-4.197568373569276,-4.22373478173189,-4.209996479609511,-12.148497047229455,-12.141162148571414,-12.133949075990724,-4.104135648752701,-4.114525697170842,-4.094635931233108,-4.561299467099263,-4.577902836868289,-4.546223140309558,-0.1224,0.3848,-0.4834,-12.864231485432178,-12.87484417041947,-12.854492828590338,-12.266642212074414,-12.279757981712944,-12.293196902962661,-13.153415497101953,-13.168386144690901,-13.183891329260096,-4.058190526991162,-4.037110012608209,-4.016960383953898,-13.128251981008129,-13.109578981199085,-13.14923127307112,8.0,1.0,8.55e-05,1.0,2.799e-05,8.0,8.0,1.0,7.417e-05,8.0,1.0,3.093e-05,0.237,0.07958,0.0007977,0.07836,0.08037000000000001,1.0,0.999
CV_7_obs_12,CV_7,13,CXOGLB_J002404.2-720458, 2CXO J002404.2-720457,6.017843,-72.08276,5544.8,120.12,89709.0,CV,-3.8016178699917056,-3.747875447494356,-3.7731424297112763,-4.509900994936695,-4.63339028960757,-4.567190994966832,-12.443697499232712,-12.415895029600547,-12.389659288547843,-4.160396270529163,-4.196816111464658,-4.126795690722959,-4.614393726401688,-4.674279141980588,-4.561932549546506,-0.4347,0.0625,-0.4809,-12.928854709548917,-12.964570261815451,-12.897566294318663,-13.706638256717936,-13.85576494203669,-14.106984536103402,-13.176395371644842,-13.23232477597204,-13.296536658116707,-4.167044249395402,-4.087246696328677,-4.023558310621155,-17.671223365362525,-13.594921533636976,-19.8538379711363,8.0,1.0,8.55e-05,1.0,2.799e-05,8.0,8.0,1.0,7.417e-05,8.0,1.0,3.093e-05,0.138,0.05764,0.0005662999999999999,0.05707,0.05821000000000001,0.354,0.762
CV_8_obs_0,CV_8,13,CXOGLB_J002404.9-720455, 2CXO J002404.9-720455,6.020589,-72.0821,5734.6,19.64,2291.21,CV,-20.0,-5.684029654543083,-20.0,-5.777283528852417,-20.0,-6.088097003955967,-14.645315446045272,-14.168130225719498,-13.954285941059132,-6.534697501509594,-11.419390923859824,-5.684759881427317,-6.280006173632396,-20.0,-5.990549104201306,-0.01582599999999998,0.3898,-0.3641149999999998,-14.895288448408644,-18.32967648770475,-14.482879499875356,-14.0395182344523,-19.711170946379458,-20.0,-14.605561559406631,-15.448547256320104,-19.880220669541348,-20.0,-20.0,-5.714892970433188,-20.0,-14.89129579561025,-20.0,8.0,1.0,5.706e-06,0.26899999999999996,5.081000000000001e-07,0.0,4.0,0.643,2.4899999999999997e-07,8.0,1.0,5.0310000000000015e-06,0.33923000000000014,0.009819177000000002,0.0011900138999999996,0.010288610000000005,0.014735809999999986,0.49518000000000023,0.6500900000000002
CV_8_obs_1,CV_8,13,CXOGLB_J002404.9-720455, 2CXO J002404.9-720455,6.020589,-72.0821,3874.2,19.64,2291.21,CV,-5.801068130067791,-5.215953584191887,-5.409827168403686,-5.551139154392559,-6.454198242840723,-5.801068130067791,-14.040624663424158,-13.668167955563751,-13.479254528480517,-5.753255290276159,-6.3729415359990105,-5.507658746745026,-20.0,-20.0,-6.2424521465307565,-0.0512,0.9994,-0.9994,-14.524474084960719,-15.427476902150362,-14.2611401979278,-13.50476226724409,-13.733228481159863,-14.646046941697655,-14.831594772728444,-15.13699339506653,-19.014282889554185,-20.0,-20.0,-4.903437561625864,-20.0,-14.119469283451027,-20.0,8.0,1.0,5.706e-06,0.26899999999999996,5.081000000000001e-07,0.0,4.0,0.643,2.4899999999999997e-07,8.0,1.0,5.0310000000000015e-06,0.33967000000000014,0.009761050000000004,0.0011205701999999994,0.010870430000000002,0.014232589999999995,0.52168,0.6274800000000001
CV_8_obs_2,CV_8,13,CXOGLB_J002404.9-720455, 2CXO J002404.9-720455,6.020589,-72.0821,31673.8,19.64,2291.21,CV,-5.775466937393914,-5.541362150974351,-5.639595945270061,-6.674074044228534,-20.0,-6.962175249411658,-14.63283051146532,-14.49052864789745,-14.383524486111435,-5.8230410194130915,-5.966576244513051,-5.71556926615548,-6.7037737127388395,-7.195043200142508,-6.4874490070957895,-0.867,-0.2723,-0.7708,-14.584859647804127,-14.748361779551788,-14.472885888360196,-15.159476144971249,-19.73756878042442,-20.0,-15.122743866886413,-15.338944915146621,-15.830325565941193,-20.0,-20.0,-5.499214827082544,-20.0,-15.156580334795082,-20.0,8.0,1.0,5.706e-06,0.26899999999999996,5.081000000000001e-07,0.0,4.0,0.643,2.4899999999999997e-07,8.0,1.0,5.0310000000000015e-06,0.509,0.0005922999999999999,5.431e-05,0.0005712000000000001,0.001103,0.267,0.396
CV_8_obs_3,CV_8,13,CXOGLB_J002404.9-720455, 2CXO J002404.9-720455,6.020589,-72.0821,845.1,19.64,2291.21,CV,-20.0,-5.028909786862885,-20.0,-5.423083044034793,-20.0,-20.0,-16.81090398142631,-13.73598443169162,-13.435621288631985,-20.0,-20.0,-5.051098239029787,-20.0,-20.0,-5.590235895733654,-0.9994,0.9994,-0.9994,-19.51991726218992,-20.0,-14.127657559505671,-13.417042047112426,-19.937915586435615,-20.0,-14.186364563036957,-20.0,-20.0,-20.0,-20.0,-4.166024628720094,-20.0,-13.838493578361057,-20.0,8.0,1.0,5.706e-06,0.26899999999999996,5.081000000000001e-07,0.0,4.0,0.643,2.4899999999999997e-07,8.0,1.0,5.0310000000000015e-06,0.5064200000000001,0.009953231000000002,0.0019419139999999999,0.009701140000000002,0.01798466999999999,0.5172500000000002,0.5904500000000001
CV_8_obs_4,CV_8,13,CXOGLB_J002404.9-720455, 2CXO J002404.9-720455,6.020589,-72.0821,4691.1,19.64,2291.21,CV,-5.668370282370068,-5.20460666506871,-5.377268034835281,-5.623423042943488,-6.577574323628795,-5.878768544850379,-14.025112149197913,-13.830823713113134,-13.72982790942002,-20.0,-20.0,-5.791827473332878,-6.0306772938877975,-6.729554091982037,-5.785156151952302,0.2211,0.2648,-0.1462,-20.0,-20.0,-14.626399205545082,-13.745478047573474,-13.989803561402807,-14.99785685592675,-14.414125130245695,-14.62866809019674,-15.29743566068997,-20.0,-20.0,-4.9446216686249995,-20.0,-14.146960238918506,-20.0,8.0,1.0,5.706e-06,0.26899999999999996,5.081000000000001e-07,0.0,4.0,0.643,2.4899999999999997e-07,8.0,1.0,5.0310000000000015e-06,0.3459000000000001,0.009824389999999999,0.0012023729999999994,0.010382960000000004,0.014330109999999991,0.47011,0.59852
CV_8_obs_5,CV_8,13,CXOGLB_J002404.9-720455, 2CXO J002404.9-720455,6.020589,-72.0821,65237.5,19.64,2291.21,CV,-5.097290187030123,-5.017819254403597,-5.05428528594014,-5.161213855053405,-5.242072816886671,-5.1997642106726465,-13.29662263148765,-13.261774551857496,-13.229589868486094,-6.101494214465641,-6.308653235865178,-5.961777361631282,-6.405607449624573,-6.646660904688695,-6.251501873386263,0.7758,0.8832,-0.3573,-14.88173527391052,-15.07603103512453,-14.748118545447472,-13.663600402157112,-13.784023999983031,-14.006575600866107,-14.813891620186794,-14.953504835665292,-15.172824651701307,-6.676129393459491,-6.210348791206591,-5.997833938243493,-19.957279262125,-15.316672314306912,-20.0,8.0,1.0,5.706e-06,0.26899999999999996,5.081000000000001e-07,0.0,4.0,0.643,2.4899999999999997e-07,8.0,1.0,5.0310000000000015e-06,0.057,0.003511,1.417e-05,0.003479,0.0035280000000000008,0.569,0.833
CV_8_obs_6,CV_8,13,CXOGLB_J002404.9-720455, 2CXO J002404.9-720455,6.020589,-72.0821,31673.8,19.64,2291.21,CV,-5.823619307756729,-5.585360853262991,-5.688458041598805,-6.472112434047295,-7.5747919488613435,-6.729554091982037,-14.420330706445279,-14.27531461176264,-14.166852888087215,-5.840132152907433,-5.996970529446382,-5.725380380908762,-7.113565680371062,-20.0,-6.812479279163537,-0.7758,0.5334,-0.9069,-14.512296136836273,-14.668977828958171,-14.397289055042442,-14.398918272215976,-14.64762450499948,-15.38795825535473,-15.502932063601495,-15.803823814960026,-20.0,-20.0,-20.0,-5.4990777608096995,-20.0,-15.051684859310653,-20.0,8.0,1.0,5.706e-06,0.26899999999999996,5.081000000000001e-07,0.0,4.0,0.643,2.4899999999999997e-07,8.0,1.0,5.0310000000000015e-06,0.616,0.0005611,7.889e-05,0.0005223,0.001175,0.863,0.848
CV_8_obs_7,CV_8,13,CXOGLB_J002404.9-720455, 2CXO J002404.9-720455,6.020589,-72.0821,65240.7,19.64,2291.21,CV,-5.185219854254195,-5.07242434530889,-5.125170422120278,-5.203911571319332,-5.2900519834892386,-5.243668232678942,-13.383944805023415,-13.34601609262593,-13.311135431945209,-6.224972399901155,-6.6006724678413216,-6.026641200113603,-6.411728293157671,-6.793984123236656,-6.218316415492649,0.8032,0.8695,-0.2636,-14.946537395074545,-15.268814292365999,-14.763714722551972,-13.654375713370962,-13.779893411475136,-13.998300023246456,-14.785951320588058,-14.95663772197887,-15.241088107602026,-7.1842230797016375,-6.29964247217734,-6.027889771597169,-15.72792621249999,-15.406603157699793,-20.0,8.0,1.0,5.706e-06,0.26899999999999996,5.081000000000001e-07,0.0,4.0,0.643,2.4899999999999997e-07,8.0,1.0,5.0310000000000015e-06,0.99,0.003422,0.001125,0.001808,0.005459,0.823,0.993
