name,ra,dec,usrid,separation,probability,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w
2CXO J002422.3-720117, 00 24 22.39,-72 01 17.39,     30,     0.42,     0.08,     1.00,     0.85,     68.7,     5.50,                TRUE,FALSE,FALSE,FALSE,9.860e-16,7.524e-16,1.207e-15,         ,         ,         
2CXO J010043.0-721133, 01 00 43.04,-72 11 33.72,     59,     0.16,     0.06,     0.71,     0.71,     91.2,    65.51,                TRUE,FALSE,FALSE,FALSE,4.466e-13,4.398e-13,4.535e-13,         ,         ,         
2CXO J010111.0-642230, 01 01 11.09,-64 22 30.64,     61,     0.64,     0.06,     0.73,     0.73,    177.4,     4.89,                TRUE,FALSE,FALSE,FALSE,3.574e-14,2.843e-14,4.305e-14,         ,         ,         
2CXO J010808.3-143150, 01 08 08.35,-14 31 50.35,     67,     0.67,     0.06,     0.72,     0.72,     87.8,     6.20,                TRUE,FALSE,FALSE,FALSE,8.082e-15,6.648e-15,9.517e-15,         ,         ,         
2CXO J014622.4+614503, 01 46 22.40,+61 45 03.00,     89,     0.15,     0.10,     1.23,     1.23,      0.0,    66.85,                TRUE,FALSE, TRUE, TRUE,4.800e-12,4.728e-12,4.872e-12,         ,         ,         
2CXO J020537.9+644941, 02 05 37.94,+64 49 41.44,    100,     0.38,     0.06,     0.71,     0.71,      0.0,   179.61,                TRUE,FALSE,FALSE,FALSE,1.114e-12,1.105e-12,1.123e-12,         ,         ,         
2CXO J024818.6+602134, 02 48 18.65,+60 21 34.97,    115,     0.56,     0.07,     0.82,     0.79,     68.7,     1.84,                TRUE,FALSE,FALSE,FALSE,3.911e-15,1.726e-15,5.982e-15,         ,         ,         
2CXO J035853.7+541313, 03 58 53.73,+54 13 13.75,    143,     0.39,     0.06,     0.71,     0.71,    104.0,    19.44,                TRUE,FALSE,FALSE,FALSE,2.273e-14,2.144e-14,2.403e-14,         ,         ,         
2CXO J035926.0+541455, 03 59 26.07,+54 14 55.46,    145,     0.72,     0.06,     0.75,     0.74,    111.0,     9.65,                TRUE, TRUE,FALSE,FALSE,5.738e-15,5.180e-15,6.259e-15,         ,         ,         
2CXO J041833.8+573222, 04 18 33.83,+57 32 22.99,    157,     0.28,     0.06,     0.71,     0.71,      0.0,    73.32,                TRUE,FALSE,FALSE,FALSE,1.738e-14,1.604e-14,1.864e-14,         ,         ,         
2CXO J042001.9-502248, 04 20 01.96,-50 22 48.19,    159,     0.60,     0.06,     0.71,     0.71,     92.2,    31.21,                TRUE,FALSE,FALSE,FALSE,1.358e-14,1.219e-14,1.497e-14,         ,         ,         
2CXO J043715.8-471508, 04 37 15.82,-47 15 08.64,    164,     0.47,     0.06,     0.71,     0.71,      0.0,   113.03,                TRUE,FALSE,FALSE,FALSE,6.181e-13,6.052e-13,6.303e-13,         ,         ,         
2CXO J050106.7+451634, 05 01 06.76,+45 16 34.09,    183,     0.69,     0.06,     0.71,     0.71,     91.5,    77.73,                TRUE,FALSE,FALSE,FALSE,2.004e-12,1.967e-12,2.038e-12,         ,         ,         
2CXO J052600.9-660436, 05 26 00.90,-66 04 36.13,    200,     0.08,     0.06,     0.71,     0.71,      0.0,   117.49,                TRUE,FALSE,FALSE,FALSE,1.040e-12,1.027e-12,1.053e-12,         ,         ,         
2CXO J053747.4-691019, 05 37 47.41,-69 10 19.86,    216,     0.07,     0.06,     0.71,     0.71,     33.3,   519.42,                TRUE,FALSE,FALSE,FALSE,4.903e-12,4.875e-12,4.930e-12,         ,         ,         
2CXO J053825.0+281709, 05 38 25.06,+28 17 09.66,    217,     0.76,     0.06,     0.71,     0.71,    150.3,   105.00,                TRUE,FALSE,FALSE,FALSE,7.431e-13,7.324e-13,7.539e-13,         ,         ,         
2CXO J063049.4-283443, 06 30 49.42,-28 34 43.04,    265,     0.57,     0.06,     0.71,     0.71,     12.0,    11.33,                TRUE,FALSE,FALSE,FALSE,4.357e-14,3.976e-14,4.738e-14,         ,         ,         
2CXO J072608.1-261238, 07 26 08.14,-26 12 38.74,    297,     0.89,     0.06,     0.71,     0.71,     66.1,    19.25,                TRUE,FALSE,FALSE,FALSE,2.725e-13,2.583e-13,2.859e-13,         ,         ,         
2CXO J072916.3-144837, 07 29 16.39,-14 48 37.38,    298,     0.66,     0.06,     0.76,     0.75,    123.0,     3.24,                TRUE,FALSE,FALSE,FALSE,1.104e-14,7.567e-15,1.452e-14,         ,         ,         
2CXO J073751.2-303940, 07 37 51.24,-30 39 40.70,    305,     0.67,     0.06,     0.71,     0.71,    167.9,    19.99,                TRUE,FALSE,FALSE,FALSE,2.527e-14,2.394e-14,2.652e-14,         ,         ,         
2CXO J073751.2-303940, 07 37 51.24,-30 39 40.70,    306,     0.67,     0.06,     0.71,     0.71,    167.9,    19.99,                TRUE,FALSE,FALSE,FALSE,2.527e-14,2.394e-14,2.652e-14,         ,         ,         
