,feat_name,feat_imp
79,bb_nh_lolim,0.12355231298954295
70,powlaw_nh_lolim,0.0807934675501424
69,powlaw_nh_hilim,0.07920190743704245
78,bb_nh_hilim,0.07815482049772161
68,powlaw_nh,0.05067381189611
53,var_inter_index,0.04336813341907079
26,photflux_aper_u,0.04113102433747205
54,var_inter_prob,0.04068162523730984
80,bb_nh,0.04057455856273495
16,photflux_aper_hilim_u,0.02862251261471703
1,flux_aper_hilim_u,0.020627157311165017
22,photflux_aper_lolim_m,0.013558122376083963
20,photflux_aper_lolim_s,0.012290019443841737
27,photflux_aper_m,0.01192279585296126
77,bb_kt_lolim,0.011488670106696785
55,var_inter_sigma,0.011392941393620529
75,bb_kt,0.01130096988499473
33,photflux_aper_hilim,0.01115818895084247
7,flux_aper_lolim_m,0.010459400270270926
15,photflux_aper_hilim_s,0.010008401467745502
66,powlaw_gamma_hilim,0.00991288965960232
35,photflux_aper,0.00889394765333767
2,flux_aper_hilim_m,0.008125688742551066
5,flux_aper_lolim_s,0.008065019784587115
19,photflux_aper_hilim_b,0.007994837370277253
18,photflux_aper_hilim_h,0.0077173753808082645
0,flux_aper_hilim_s,0.006918595852422251
48,kp_prob,0.006838312638253302
21,photflux_aper_lolim_u,0.006613638563363742
76,bb_kt_hilim,0.00651352881997634
17,photflux_aper_hilim_m,0.006122957162624423
46,var_prob,0.00592731748175896
63,hard_ms_hilim,0.005811586917748569
3,flux_aper_hilim_h,0.005800896610595138
10,flux_aper_s,0.005632790484482276
34,photflux_aper_lolim,0.005549365840278754
32,flux_aper,0.005475798524311058
56,hard_hm,0.005422591995305154
57,hard_hm_hilim,0.005281336711411397
30,flux_aper_hilim,0.0052297581886717685
49,var_sigma,0.004797740160519933
59,hard_hs,0.004783167607304581
25,photflux_aper_s,0.004702558417370833
38,flux_powlaw,0.004485607294218128
4,flux_aper_hilim_b,0.004338427955747592
29,photflux_aper_b,0.004208158764259243
31,flux_aper_lolim,0.004104065849407778
28,photflux_aper_h,0.003837838092911627
84,bb_stat,0.003799852036192845
40,flux_brems_hilim,0.0037736214951539625
39,flux_brems_lolim,0.0037429305980324064
61,hard_hs_hilim,0.003669490376736344
62,hard_hs_lolim,0.0036063346063712133
60,hard_ms,0.0035581804803487605
23,photflux_aper_lolim_h,0.0034630767553002926
44,flux_bb,0.0033662781884928133
14,flux_aper_b,0.0033442630971533293
72,powlaw_ampl_hilim,0.0032793515913627207
24,photflux_aper_lolim_b,0.0032739690655253584
13,flux_aper_h,0.003247747101771925
73,powlaw_ampl_lolim,0.0031962438771323573
64,hard_ms_lolim,0.003150309183699661
52,var_max,0.0031025441012757114
58,hard_hm_lolim,0.003022184544417492
45,var_index,0.003020000771794922
41,flux_brems,0.002990545667669889
36,flux_powlaw_hilim,0.0029193078115885792
47,ks_prob,0.0027734206443110203
81,bb_ampl,0.0027237130792783963
50,var_mean,0.002703474000511834
42,flux_bb_hilim,0.002634068398598023
43,flux_bb_lolim,0.002596247009514519
9,flux_aper_lolim_b,0.0024147609402329156
12,flux_aper_m,0.0023563604910916665
85,brems_stat,0.002247688433819
8,flux_aper_lolim_h,0.00219657006343597
37,flux_powlaw_lolim,0.002124626779294002
67,powlaw_gamma_lolim,0.002058188230851438
71,powlaw_ampl,0.0018746013550598277
83,bb_ampl_hilim,0.0018374702177886427
65,powlaw_gamma,0.00165515154703226
51,var_min,0.001332878610012992
82,bb_ampl_lolim,0.0012704133218497606
11,flux_aper_u,0.0007779311884025723
74,powlaw_stat,0.0004524661595967974
6,flux_aper_lolim_u,0.00037709805510435844
