,model,acc_type,accuracy
0,Vanila_RF,Train_acc,1.0
1,Vanila_RF,Train_acc,1.0
2,Vanila_RF,Train_acc,1.0
3,Vanila_RF,Train_acc,1.0
4,Vanila_RF,Train_acc,1.0
5,Vanila_RF,Train_acc,1.0
6,Vanila_RF,Train_acc,1.0
7,Vanila_RF,Train_acc,1.0
8,Vanila_RF,Train_acc,1.0
9,Vanila_RF,Train_acc,1.0
10,Vanila_RF,Train_acc,1.0
11,Vanila_RF,Train_acc,1.0
12,Vanila_RF,Train_acc,1.0
13,Vanila_RF,Train_acc,1.0
14,Vanila_RF,Train_acc,1.0
15,Vanila_RF,Train_acc,1.0
16,Vanila_RF,Train_acc,1.0
17,Vanila_RF,Train_acc,1.0
18,Vanila_RF,Train_acc,1.0
19,Vanila_RF,Train_acc,1.0
20,Vanila_RF,Train_acc,1.0
21,Vanila_RF,Train_acc,1.0
22,Vanila_RF,Train_acc,1.0
23,Vanila_RF,Train_acc,1.0
24,Vanila_RF,Train_acc,1.0
25,Vanila_RF,Train_acc,1.0
26,Vanila_RF,Train_acc,1.0
27,Vanila_RF,Train_acc,1.0
28,Vanila_RF,Train_acc,1.0
29,Vanila_RF,Train_acc,1.0
30,Vanila_RF,Train_acc,1.0
31,Vanila_RF,Train_acc,1.0
32,Vanila_RF,Test_acc,0.9239130434782609
33,Vanila_RF,Test_acc,0.9456521739130435
34,Vanila_RF,Test_acc,0.9347826086956522
35,Vanila_RF,Test_acc,0.9347826086956522
36,Vanila_RF,Test_acc,0.9347826086956522
37,Vanila_RF,Test_acc,0.8478260869565217
38,Vanila_RF,Test_acc,0.8913043478260869
39,Vanila_RF,Test_acc,0.9021739130434783
40,Vanila_RF,Test_acc,0.8695652173913043
41,Vanila_RF,Test_acc,0.9347826086956522
42,Vanila_RF,Test_acc,0.9130434782608695
43,Vanila_RF,Test_acc,0.9565217391304348
44,Vanila_RF,Test_acc,0.9782608695652174
45,Vanila_RF,Test_acc,0.9021739130434783
46,Vanila_RF,Test_acc,0.9456521739130435
47,Vanila_RF,Test_acc,0.9130434782608695
48,Vanila_RF,Test_acc,0.9456521739130435
49,Vanila_RF,Test_acc,0.9130434782608695
50,Vanila_RF,Test_acc,0.9021739130434783
51,Vanila_RF,Test_acc,0.9456521739130435
52,Vanila_RF,Test_acc,0.9130434782608695
53,Vanila_RF,Test_acc,0.9347826086956522
54,Vanila_RF,Test_acc,0.9456521739130435
55,Vanila_RF,Test_acc,0.9347826086956522
56,Vanila_RF,Test_acc,0.8804347826086957
57,Vanila_RF,Test_acc,0.9239130434782609
58,Vanila_RF,Test_acc,0.9239130434782609
59,Vanila_RF,Test_acc,0.9130434782608695
60,Vanila_RF,Test_acc,0.8695652173913043
61,Vanila_RF,Test_acc,0.9565217391304348
62,Vanila_RF,Test_acc,0.9239130434782609
63,Vanila_RF,Test_acc,0.9239130434782609
