,src_id,src_n,true_class,pred_class,pred_prob,th_class,is_ok,truth,clf_type,photflux_aper_hilim_u,photflux_aper_hilim_m,flux_aper_hilim_h,flux_aper_hilim_u,photflux_aper_hilim_s,flux_aper_hilim_m,photflux_aper_hilim,photflux_aper_hilim_h,flux_aper_hilim_s,hard_hs_lolim,flux_aper_hilim_b,flux_aper_hilim,photflux_aper_lolim_b,photflux_aper_hilim_b,var_sigma,photflux_aper_lolim,hard_hm_lolim,flux_aper_lolim_s,flux_aper_h,photflux_aper_u,kp_prob,photflux_aper_b,hard_hs,photflux_aper,hard_ms_lolim,var_min,hard_ms,photflux_aper_h,var_mean,hard_hm_hilim,var_max,flux_aper_lolim_b,flux_aper_s,var_prob,ks_prob,photflux_aper_lolim_h,hard_ms_hilim,photflux_aper_lolim_s,flux_aper,hard_hs_hilim,flux_aper_lolim,flux_aper_lolim_h,photflux_aper_lolim_m,photflux_aper_m,flux_aper_m,photflux_aper_s,flux_aper_lolim_m,flux_aper_b,hard_hm,photflux_aper_lolim_u,brems_kt,bb_kt_lolim,bb_kt_hilim,brems_kt_lolim,var_index,bb_kt,flux_aper_lolim_u,brems_kt_hilim,flux_aper_u,powlaw_ampl,powlaw_gamma_lolim,bb_stat,powlaw_ampl_hilim,bb_ampl_lolim,powlaw_gamma,bb_ampl,brems_nh_lolim,flux_bb_hilim,powlaw_nh_hilim,flux_brems_lolim,powlaw_gamma_hilim,brems_stat,bb_nh_hilim,bb_ampl_hilim,flux_brems_hilim,powlaw_ampl_lolim,flux_brems,powlaw_nh,flux_powlaw_hilim,brems_nh,powlaw_stat,flux_powlaw,bb_nh,brems_nh_hilim,flux_bb_lolim,powlaw_nh_lolim,flux_bb,bb_nh_lolim,flux_powlaw_lolim
418,NS0038,SAX J1810.8-2609    ,NS,NS,0.7666666666666667,X,1,2,test,0.2827057606171387,0.5526807557406873,0.456616082003243,0.4180095588313395,0.5786558424525136,0.505265172741387,0.5269280051221631,0.4515409250386679,0.5648003958763543,0.1682102628285356,0.5256943917828374,0.4846305494760341,0.6311954379486417,0.5459052006058088,0.0001899062010954,0.6716103813302925,0.312985179957657,0.6380373151504402,0.4035641743775736,0.2020980701233639,0.630024115755627,0.5630985948402681,0.2224834900940564,0.5942730050671057,0.2922374429223744,0.0130984708793025,0.3074844906944167,0.4233063851628643,0.0134479487540791,0.4427844882390337,0.001519341643138,0.5715565846119095,0.5226357320272623,0.174045640971711,0.7386249245017112,0.487875218702604,0.3443989769820972,0.6648461524140198,0.5559968750213253,0.2597689345314505,0.633282314904597,0.4857447274213867,0.6014904271433578,0.5060770128217698,0.4590504255234769,0.5667439962176426,0.5571523449498451,0.5044544279143006,0.393736241745047,0.3658798263730765,0.0,0.0,0.0,0.0,0.0,0.0,0.4101569094379442,0.0,0.3356818219387463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,BH0019,CXOU J100515.4-07425,BH,BH,0.7866666666666666,X,1,2,test,0.2962936372459916,0.4347673585407063,0.2851883861924861,0.2669443628307289,0.3908630743457774,0.4035742838543696,0.3976584991031349,0.2924237155259641,0.4049018860327216,0.1863829787234042,0.3814435649509093,0.3303881805694079,0.498017349980668,0.3846602631794174,0.0001525650070931,0.5680896553161116,0.2071781429579595,0.4943431334915701,0.2070364317073161,0.226066821050478,0.4017282958199358,0.4069844052848779,0.2750150090054032,0.4775849083559428,0.4464738711314054,0.0020260816960042,0.474384630778467,0.2541868859412728,0.0020984507382946,0.3580737444373807,0.0004663963685027,0.4361698018921467,0.3412816075885863,0.5614680828688612,0.263740688544393,0.3266457784515711,0.5450639386189258,0.5054783613418578,0.4153778249275375,0.3553273427471116,0.515928274524817,0.2974445896365388,0.4976608319477671,0.3774838836469166,0.3490081156880958,0.3688874503124578,0.4663971750360692,0.3508675974742836,0.2975285171102662,0.4010868138966684,0.0,0.0,0.0,0.0,0.108695652173913,0.0,0.1985698379384228,0.0,0.1535193892945943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,BH0027,J1745-2900          ,BH,NS,0.5766666666666667,X,0,2,test,0.6507160950335307,0.4127536363224547,0.598141525303078,0.5380307412111296,0.4088703500202745,0.3890060441650417,0.6310434494786821,0.557658776358378,0.3986861473230666,0.7154443053817272,0.5865803392816442,0.5655017909381527,0.4440880461353955,0.4760870609224392,0.0,0.5024413303357339,0.8123298719628994,0.0,0.5196387614830771,0.0,0.0,0.4536631507754479,1.0,0.4854717242227349,0.0,0.0,0.0,0.4960932787889073,0.0,1.0,0.0,0.4533630222274762,0.0,0.0,0.0,0.4486933518390724,0.5514066496163683,0.0,0.5579425799609142,1.0,0.535008705909666,0.4736934211585701,0.0,0.0,0.0,0.0,0.0,0.5186523067929005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,NS0044,XMMU J004245.2+41172,NS,NS,0.9466666666666667,NS,1,1,test,0.35374118433816,0.5802671518218748,0.5070754463669543,0.3495128926201679,0.6020381271439066,0.5364709960742962,0.552328157068878,0.5087022131757044,0.6360776230311114,0.1988986232790988,0.5731375467501031,0.5250756309543422,0.6281759572641896,0.5557551896463528,0.0013961552743031,0.6693225887926404,0.3583022482105051,0.6774665955407587,0.4496486922610628,0.0,0.7415594855305466,0.5668356418339223,0.2837702621572943,0.5975719258252147,0.2647838096848751,0.0131922896393744,0.3112367420452271,0.4735821300473992,0.0149431376536031,0.559228650137741,0.0029521511283031,0.6011920453821141,0.5893345178623295,0.4522031759385845,0.6188343064223878,0.5179940639320186,0.3808184143222506,0.6650317020655483,0.5845852696830747,0.3598459563543004,0.6532325503581176,0.5134101666843234,0.6047216129042087,0.527109368990575,0.4838178874638204,0.5808751326402273,0.5638346686105858,0.5469394630319011,0.4712327396437862,0.0,0.0,0.0,0.0,0.0,0.0271739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,BH0022,CXOU J100517.1-07421,BH,BH,0.6966666666666667,X,1,2,test,0.0116859134765024,0.2478089431445258,0.2269282411215052,0.1055732807081268,0.3749002282635189,0.2040558598114329,0.2908490787421871,0.2233889668969283,0.3563017397441521,0.0419023779724655,0.2772826898667189,0.225126191588527,0.4149923415815594,0.320190700309259,0.0003401635298176,0.4729452018486535,0.4729307389857848,0.4333991626926448,0.0,0.0,0.619975884244373,0.3321949441432394,0.1512407444466679,0.3688604669838932,0.0,0.001508928479195,0.0,0.1470819135378701,0.0019473953224603,1.0,0.0004296478934271,0.2968759847934689,0.279740301292157,0.6351877168997792,0.3457821622709885,0.0,0.1776470588235293,0.4718708624465762,0.2777097748737339,0.2719383825417202,0.3937069022613967,0.0,0.0,0.0,0.0,0.3440166300889219,0.0,0.2234995246294521,0.7806183710226136,0.0,0.0,0.0,0.0,0.0,0.1630434782608695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,NS0041,XB 1732-304         ,NS,NS,0.6866666666666666,X,1,2,test,0.1790346128380492,0.38043147729056,0.4942604780149995,0.2054039791868402,0.2030356946269843,0.3655172051595173,0.3888006329323478,0.479461820426576,0.1834628977790291,0.914342928660826,0.4861202177145243,0.4282356653851883,0.4826224675484443,0.3973479287054305,0.0003259371504401,0.5428907917456686,0.7657525960278253,0.0,0.4402569411116739,0.0,0.317524115755627,0.4079698356638365,1.0,0.4506610256149737,0.7429392863182818,0.0049525813757695,1.0,0.4489620993913933,0.0052116054243477,0.9285335876244968,0.0008469340500009,0.5009174413530374,0.0,0.4464191818277422,0.4323535333199114,0.5031616259108532,1.0,0.0,0.4950382764291187,1.0,0.5722635056564721,0.5103314818956113,0.3609332878127627,0.2855330570109686,0.2771397069710414,0.0,0.3477997392989139,0.4473997389962567,0.8575145087052232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,NS0070,SAXWFC J1747.0-2853.,NS,NS,0.84,NS,1,1,test,0.0,0.0,0.515867647560302,0.0,0.0,0.0,0.3833624006132476,0.4220550493675734,0.0,0.0,0.0,0.5377062107662239,0.0,0.0,0.0,0.4834824856520384,0.0,0.0,0.4404326244248241,0.0,0.0,0.0,0.0,0.4431662609724987,0.0,0.0,0.0,0.3669915431212472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3664315398693653,0.0,0.0,0.5738234908680848,0.0,0.5893553584054945,0.4581879324602556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,BH0020,CXOU J100516.2-07423,BH,BH,0.9633333333333334,BH,1,1,test,0.1827658846743769,0.3458879145087731,0.2027963964504254,0.1246958716808979,0.3560784912563639,0.3236019573906888,0.3187720923631187,0.1930117011038298,0.3792760711022828,0.0963204005006257,0.3264923953544371,0.2630667481084931,0.4484736201254681,0.318623435795081,7.853117922198235e-05,0.5158946599244566,0.1775884665792922,0.4836270296734841,0.1169582945043666,0.0758447284690963,0.4086280814576635,0.3456189196657755,0.1568941364818891,0.4111874778775785,0.3147866283330515,0.0015483390837844,0.3400040024014408,0.1494847105140404,0.0015619867744778,0.3308963763509218,0.0003090581904319,0.3910799716180292,0.3195395606652101,0.4744627896378869,0.1926045231863633,0.2321992393452701,0.3916624040920716,0.4882113008654849,0.3574076344432242,0.2059050064184852,0.4762717434472868,0.2109033004951516,0.4231152161774805,0.2818957207233749,0.2640484650142914,0.3392344004371557,0.3991906373530209,0.2957342323454936,0.2693616169701821,0.2223234534727996,0.0,0.0,0.0,0.0,0.072463768115942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,BH0014,CXOU J100506.7-07443,BH,BH,0.67,X,1,2,test,0.237810706074637,0.4378764623113689,0.3628221730027037,0.0,0.4428373570968361,0.3932541305773814,0.411475141652966,0.3660186807537699,0.4373939627230651,0.2845556946182728,0.4232087995864337,0.3822724289389513,0.5357735624304043,0.4198368664189698,7.06851510135993e-05,0.5946027713014684,0.4200020163322915,0.5405637564651764,0.3127248005906579,0.1551438541434368,0.7536173633440515,0.4459554587565829,0.3331498899339604,0.4975183116318952,0.3535148542758892,0.0035876697373042,0.356263758254953,0.3466004842103929,0.0036968570746208,0.5049798686162322,0.0004033736642013,0.4851766494029373,0.3874333922539458,0.14722894100326,0.7184920475135897,0.4350543326565772,0.3872122762148337,0.5643386152392214,0.4720900034728847,0.3675481386392811,0.5743306277785309,0.4229785981898414,0.5147927273867404,0.3877420063674487,0.3445407012296652,0.4316245375389061,0.4715365752961729,0.4002950378647724,0.4749849909945967,0.3346069652970919,0.0207668693192078,0.0789431481036003,0.0035765103098999,0.018712753130619,0.0,0.0951563840574058,0.0,0.0814280664545776,0.0,0.0,0.4291153699708085,0.2719107240065324,0.0,0.0003193091896816,0.2987393726180005,0.0004518649202353,0.0006904329604697,0.0,0.0154864140052579,0.0002366604255696,0.2935703374531315,0.0404297100612221,0.0011289236421678,0.0004992772953255,0.0002645107394266,1.4062754860909667e-05,0.0002648662155951,0.0112071865164116,0.0002698332862024,0.0043192932657317,0.0613053613053612,0.0020214217332857,0.0,0.0067731856106925,0.0011382908277169,0.0065598342976238,0.0,0.0,0.0030102142686092
427,BH0027,J1745-2900          ,BH,BH,0.8733333333333333,BH,1,1,test,0.4629164622945718,0.3089711110464018,0.5276126335553789,0.4056217365396992,0.216629806976887,0.2840889606694956,0.5058485365157912,0.5327012299387159,0.2016772760532556,0.9393241551939924,0.5168579274876712,0.4720818252475421,0.5276007037207957,0.4567316953000746,0.0,0.57937609869432,0.920657324327049,0.0,0.4660805460447816,0.0,0.0,0.4626451863157001,1.0,0.4948530037545338,0.5105699306612548,0.0,0.793726235741445,0.5040212712301688,0.0,0.9907289680016952,0.0,0.4969852675081503,0.0,0.0,0.0,0.5521459912599932,1.0,0.0,0.5128869924701536,1.0,0.5701847130385432,0.513278015144823,0.1245092259449049,0.1885320722343922,0.1708890941207285,0.0,0.0878947604302047,0.4679260573418124,0.9599759855913548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
