,model,acc_type,accuracy
0,Tuned_RF,Train_acc,1.0
1,Tuned_RF,Train_acc,1.0
2,Tuned_RF,Train_acc,1.0
3,Tuned_RF,Train_acc,1.0
4,Tuned_RF,Train_acc,1.0
5,Tuned_RF,Train_acc,1.0
6,Tuned_RF,Train_acc,1.0
7,Tuned_RF,Train_acc,1.0
8,Tuned_RF,Train_acc,1.0
9,Tuned_RF,Train_acc,1.0
10,Tuned_RF,Train_acc,1.0
11,Tuned_RF,Train_acc,1.0
12,Tuned_RF,Train_acc,1.0
13,Tuned_RF,Train_acc,1.0
14,Tuned_RF,Train_acc,1.0
15,Tuned_RF,Train_acc,1.0
16,Tuned_RF,Train_acc,1.0
17,Tuned_RF,Train_acc,1.0
18,Tuned_RF,Train_acc,1.0
19,Tuned_RF,Train_acc,1.0
20,Tuned_RF,Train_acc,1.0
21,Tuned_RF,Train_acc,1.0
22,Tuned_RF,Train_acc,1.0
23,Tuned_RF,Train_acc,1.0
24,Tuned_RF,Train_acc,1.0
25,Tuned_RF,Train_acc,1.0
26,Tuned_RF,Train_acc,1.0
27,Tuned_RF,Train_acc,1.0
28,Tuned_RF,Train_acc,1.0
29,Tuned_RF,Train_acc,1.0
30,Tuned_RF,Train_acc,1.0
31,Tuned_RF,Train_acc,1.0
32,Tuned_RF,Test_acc,0.9130434782608695
33,Tuned_RF,Test_acc,0.8695652173913043
34,Tuned_RF,Test_acc,0.967391304347826
35,Tuned_RF,Test_acc,0.9456521739130435
36,Tuned_RF,Test_acc,0.9130434782608695
37,Tuned_RF,Test_acc,0.9347826086956522
38,Tuned_RF,Test_acc,0.8913043478260869
39,Tuned_RF,Test_acc,0.9347826086956522
40,Tuned_RF,Test_acc,0.9021739130434783
41,Tuned_RF,Test_acc,0.9456521739130435
42,Tuned_RF,Test_acc,0.9891304347826086
43,Tuned_RF,Test_acc,0.9565217391304348
44,Tuned_RF,Test_acc,0.9130434782608695
45,Tuned_RF,Test_acc,0.9239130434782609
46,Tuned_RF,Test_acc,0.9239130434782609
47,Tuned_RF,Test_acc,0.9239130434782609
48,Tuned_RF,Test_acc,0.9239130434782609
49,Tuned_RF,Test_acc,0.967391304347826
50,Tuned_RF,Test_acc,0.9347826086956522
51,Tuned_RF,Test_acc,0.967391304347826
52,Tuned_RF,Test_acc,0.9347826086956522
53,Tuned_RF,Test_acc,0.8913043478260869
54,Tuned_RF,Test_acc,0.9565217391304348
55,Tuned_RF,Test_acc,0.9347826086956522
56,Tuned_RF,Test_acc,0.9456521739130435
57,Tuned_RF,Test_acc,0.9347826086956522
58,Tuned_RF,Test_acc,0.8913043478260869
59,Tuned_RF,Test_acc,0.9347826086956522
60,Tuned_RF,Test_acc,0.8478260869565217
61,Tuned_RF,Test_acc,0.9021739130434783
62,Tuned_RF,Test_acc,0.9021739130434783
63,Tuned_RF,Test_acc,0.9239130434782609
