,Unnamed: 0,model,acc_type,accuracy
123,59,vanila_rf_PCA,Test_acc,0.8369565217391305
124,60,vanila_rf_PCA,Test_acc,0.7934782608695652
125,61,vanila_rf_PCA,Test_acc,0.8695652173913043
126,62,vanila_rf_PCA,Test_acc,0.7608695652173914
127,63,vanila_rf_PCA,Test_acc,0.7608695652173914
128,0,Tuned_RF,Train_acc,1.0
129,1,Tuned_RF,Train_acc,1.0
130,2,Tuned_RF,Train_acc,1.0
131,3,Tuned_RF,Train_acc,1.0
132,4,Tuned_RF,Train_acc,1.0
133,5,Tuned_RF,Train_acc,1.0
134,6,Tuned_RF,Train_acc,1.0
135,7,Tuned_RF,Train_acc,1.0
136,8,Tuned_RF,Train_acc,1.0
137,9,Tuned_RF,Train_acc,1.0
138,10,Tuned_RF,Train_acc,1.0
139,11,Tuned_RF,Train_acc,1.0
140,12,Tuned_RF,Train_acc,1.0
141,13,Tuned_RF,Train_acc,1.0
142,14,Tuned_RF,Train_acc,1.0
143,15,Tuned_RF,Train_acc,1.0
144,16,Tuned_RF,Train_acc,1.0
145,17,Tuned_RF,Train_acc,1.0
146,18,Tuned_RF,Train_acc,1.0
147,19,Tuned_RF,Train_acc,1.0
148,20,Tuned_RF,Train_acc,1.0
149,21,Tuned_RF,Train_acc,1.0
150,22,Tuned_RF,Train_acc,1.0
151,23,Tuned_RF,Train_acc,1.0
152,24,Tuned_RF,Train_acc,1.0
153,25,Tuned_RF,Train_acc,1.0
154,26,Tuned_RF,Train_acc,1.0
155,27,Tuned_RF,Train_acc,1.0
156,28,Tuned_RF,Train_acc,1.0
157,29,Tuned_RF,Train_acc,1.0
158,30,Tuned_RF,Train_acc,1.0
159,31,Tuned_RF,Train_acc,1.0
160,32,Tuned_RF,Test_acc,0.9130434782608696
161,33,Tuned_RF,Test_acc,0.8695652173913043
162,34,Tuned_RF,Test_acc,0.9673913043478259
163,35,Tuned_RF,Test_acc,0.9456521739130436
164,36,Tuned_RF,Test_acc,0.9130434782608696
165,37,Tuned_RF,Test_acc,0.9347826086956522
166,38,Tuned_RF,Test_acc,0.8913043478260869
167,39,Tuned_RF,Test_acc,0.9347826086956522
168,40,Tuned_RF,Test_acc,0.9021739130434784
169,41,Tuned_RF,Test_acc,0.9456521739130436
170,42,Tuned_RF,Test_acc,0.9891304347826086
171,43,Tuned_RF,Test_acc,0.9565217391304348
172,44,Tuned_RF,Test_acc,0.9130434782608696
173,45,Tuned_RF,Test_acc,0.9239130434782608
174,46,Tuned_RF,Test_acc,0.9239130434782608
