,src_id,src_n,true_class,pred_class,pred_prob,th_class,is_ok,truth,clf_type,var_inter_index,var_inter_prob,photflux_aper_u,var_inter_sigma,photflux_aper_hilim_u,flux_aper_u,flux_aper_h,flux_aper_hilim_u,flux_powlaw_hilim,bb_ampl_hilim,flux_bb_lolim,bb_ampl,brems_stat,flux_bb_hilim,brems_kt_hilim,flux_aper_lolim_u,photflux_aper_h,flux_powlaw_lolim,flux_powlaw,bb_ampl_lolim,flux_brems,brems_kt,photflux_aper_m,brems_kt_lolim,var_max,bb_kt_lolim,photflux_aper_lolim_u,powlaw_stat,flux_aper_hilim_h,photflux_aper_lolim_s,flux_brems_hilim,flux_brems_lolim,bb_kt,hard_hm_lolim,powlaw_ampl_lolim,ks_prob,powlaw_ampl_hilim,flux_bb,bb_stat,var_sigma,bb_kt_hilim,kp_prob,photflux_aper_lolim_m,photflux_aper_lolim,hard_ms_lolim,flux_aper_s,flux_aper_lolim_s,photflux_aper_hilim_s,photflux_aper_lolim_h,flux_aper_hilim,photflux_aper_hilim_h,powlaw_ampl,var_min,flux_aper_hilim_s,brems_nh_hilim,flux_aper_lolim_h,var_mean,photflux_aper_hilim_m,photflux_aper_hilim,hard_hs,powlaw_nh_hilim,brems_nh_lolim,photflux_aper_s,brems_nh,photflux_aper_hilim_b,powlaw_gamma,photflux_aper_b,hard_hm_hilim,bb_nh_hilim,var_index,hard_hs_lolim,flux_aper,powlaw_nh_lolim,var_prob,bb_nh,flux_aper_lolim_b,flux_aper_m,flux_aper_hilim_b,powlaw_gamma_lolim,bb_nh_lolim,powlaw_nh,photflux_aper_lolim_b,flux_aper_lolim,photflux_aper,flux_aper_lolim_m,hard_hs_hilim,flux_aper_hilim_m,hard_ms_hilim,hard_ms,hard_hm,powlaw_gamma_hilim,flux_aper_b
19,NS0020,EXO 1745-248        ,NS,NS,1.0,NS,1,1,train,0.5625,0.7394164759725401,0.5399140570582202,0.0007788782168019017,0.4980367695035169,0.6345205279326065,0.4021204352326197,0.5895785271143961,0.03818499424609807,0.7255122423112861,0.04789051106844256,0.8256750163128134,0.7000598808444335,0.05281742084034377,0.07512834394217617,0.5690715127403898,0.4107755166131595,0.038705385246140776,0.03832167352905117,0.890548809711274,0.04165661854409757,0.5648304669920243,0.4839394466659288,0.782990537130415,0.0013066666005010976,0.6926166031426162,0.4527079584977183,-0.0145562805531212,0.4603189863708642,0.4156311848796138,0.03913329561455589,0.04647535196423831,0.6114314398830422,0.3261921564673858,1.3076035828256023,0.5317596134487619,0.13967271506366094,0.04508805460099971,0.007676181503327495,0.001070506172831646,0.6760829658741458,0.5508942926045016,0.5805213968190819,0.6099037170222021,0.793674953492305,0.2415825104809789,0.3614571492234866,0.35339019376895964,0.470295373090728,0.451609164288007,0.4419425431812457,1.3069187623896856,0.0036643388315565468,0.3388108282392603,0.9696694628914828,0.4778353495238564,0.00514244159528005,0.5349612517687304,0.4475836928528847,0.7506003602161297,0.9108122280488068,1.1235799493729184,0.30855515161080066,1.0323524389025784,0.4539414875597138,0.41878038088721176,0.4696993406561764,0.4837889383343929,0.9407069093057298,0.19021739130434784,0.6191239048811014,0.5229330896104369,1.3240716066973044,0.6123146492796299,1.22055884816271,0.522512792914811,0.4468661397114728,0.4861202177145244,0.28959255887319274,1.3070194844598813,1.2187720670744882,0.5466843013281386,0.6028997506014864,0.523282714622348,0.5436040658590275,0.8518100128369704,0.4968396510870382,0.8843478260869564,0.8043826295777468,0.4187512507504503,0.4276724271140433,0.4561190732537571
20,NS0078,1WGA J1911.2+0035   ,NS,NS,1.0,NS,1,1,train,1.0,1.0,0.6298192272508392,0.013250585664937857,0.6782205479034645,0.5346129168536283,0.8590317426758992,0.4718149677473958,0.41543316877100656,0.05996285579033765,0.3842971103458208,0.05527766324354896,0.12487004736051753,0.3554985924619002,0.04048073524213504,0.4811919193913374,0.8485682227275987,0.4040532645676857,0.41075222906777775,0.046779918167083635,0.4159160625779393,0.012720961496017176,0.9535346923536674,0.01393676192732842,0.04082226551734711,0.1019164461550798,0.4766451094868972,0.14662004662004666,0.8708781323940985,0.9273457703027308,0.4217969638817852,0.40637676586271976,0.1060369705951174,0.3872870249017038,0.004618948919000535,0.8460841554258104,0.028015006921419318,0.3824618169531988,0.2455089820359281,0.005725974966128493,0.003495719281321597,0.6373090836012861,0.9650981592549178,0.9270809729898633,0.5162072270139241,0.8982943898103676,0.9222233810532124,0.9107014639074632,0.8675956737139681,0.8756284449266485,0.8554651092769735,0.003892683966493825,0.3524374961261932,0.9086447221850712,0.02056345766062176,0.880885754984142,0.3620651036904932,0.95538286551188,0.9009142120589057,0.3862317390434261,0.03184049684716174,0.01981042711316047,0.9072768891216492,0.0214062497911181,0.9012797229924852,0.3727645851656406,0.9053257187725916,0.3944691671964399,0.00892020285728383,0.0,0.36270337922403,0.9113363721690628,0.0271142945275289,0.24108739089283834,0.005837108011150509,0.9256502253189972,0.8961033364163707,0.9176516834415052,0.510343952278208,0.002464352720450281,0.029539584054366002,0.920492701574518,0.9279558562295601,0.9125681898806628,0.9159443478217156,0.39512195121951216,0.9041806114044554,0.4907416879795396,0.4799879927956774,0.4056433860316189,0.3395361755311763,0.9138857512662912
21,BH0027,J1745-2900          ,BH,BH,0.8,X,1,2,train,0.875,0.8057208237986271,0.6240843597181818,0.02162070380224074,0.5967067291744355,0.7532850864716594,0.6954953397169399,0.7295692344205001,0.07971313754460742,0.7910379139851221,0.08960552983637296,0.8998394368706115,0.7615314250756291,0.09192895686953087,0.12137345389307655,0.6735378391390974,0.6807355986273157,0.0832700995734663,0.08038075476238107,0.9695179476366784,0.0815917507068894,0.9778623398397353,0.4102674684143372,1.4005227184900433,0.01145317134820558,1.3200487544646953,0.5360973223786669,-0.013328934875990954,0.7368901358246213,0.3400159958369334,0.07871589595998947,0.08750762806712906,1.1650240460725358,0.9042746244581108,1.404239141067367,0.6442520636198912,0.14998566483353032,0.0848409208478355,0.008485574102952028,0.007117272612674609,1.149270536322578,0.8410369774919614,0.42513480601335735,0.7183598262659341,0.568295845312588,0.4530698642105343,0.3688615231807094,0.3905326771690907,0.7055213934390693,0.6988092995275236,0.7064652935512946,1.4034900830152046,0.049679313354820065,0.3757146122762319,1.0436938636383155,0.7198360462427736,0.061849723897187785,0.5037581436477017,0.6251945858328968,1.0,0.9811581848571092,1.2090828498634614,0.42937289290943054,1.1111059487204562,0.6255641602970989,0.02444469194311194,0.6257648456052025,0.9808222080949354,1.0115948816813705,0.0,0.9393241551939924,0.7344368257545786,1.4261976292230147,0.4485224524135031,1.3138273247231285,0.7070022032194131,0.3662659857327018,0.7273898162494975,-0.16376035066433506,1.4059976127725362,1.3135523360795776,0.6678020201959852,0.7623561611560047,0.6665341385158514,0.3737143960233525,1.0,0.4564035809821262,1.0,1.0,0.9449669801881128,0.04133656941795562,0.6929178130519041
22,NS0046,XMMU J004245.2+41172,NS,NS,1.0,NS,1,1,train,0.493564334452777,0.4088382367168608,0.7489215387339232,0.7311464255149664,0.7430490735601561,0.6561260978589456,0.5035111056280803,0.6150455439832808,0.6542532220739952,0.8215644014363328,0.6667310284842266,0.9343904639055306,0.7901692135277758,0.6330353832936076,0.0890325241924992,0.5880759577340776,0.4735226208174026,0.6998210142773434,0.6622663428881844,1.0063073514891434,0.6340925943775543,0.6890137507013814,0.4857994671578446,0.9686594385367628,0.5183317352501592,0.8812620563828086,0.6597762520941789,0.0945356235613078,0.4399011617669548,0.3930082790461839,0.6263394770309666,0.655187411175425,0.7778760951098798,0.5,0.9610661630006452,0.11667625908116107,0.10269023088228066,0.6348201233748675,0.07961857028138128,0.5385338117022752,0.8183528248649197,0.1722174423970539,0.3906599555297217,0.2209594479013427,0.0,0.502637710493911,0.4198638074433128,0.4505422802306519,0.490215676986589,0.5525116674017078,0.4326835076505193,0.9606117001907872,0.8787346390211529,0.43223153426908334,0.7042161938709972,0.4782676493524045,0.8463925466517848,0.4145140707356086,0.6954155725981589,0.0,0.6585499468450414,0.8169645061277517,0.4856583329426826,0.7499404718068896,0.3599399947067774,0.009229437264177355,0.35619217838940226,1.0,0.6865009473324017,0.6695230463608561,0.0,0.3667843027351212,0.9578452508200552,0.2126108357808524,0.8860958636638712,0.28241109690641025,0.4733154499895286,0.4561269528000224,-0.18125275668145133,0.952081552412554,0.8788877587625621,0.31659798078306256,0.34085178187697657,0.2960339067004076,0.4172407248843971,0.6504236200256739,0.4076161150360089,0.4696163682864449,0.0,1.0,0.026429984416251943,0.3775708999421399
23,BH0009,SAX J1819.3-2525    ,BH,BH,0.85,BH,1,1,train,0.95,0.9967963386727688,0.5147763561014275,0.00422066324550994,0.5379830140797444,0.3748922631164903,0.9762067615514862,0.4419606665967443,0.4026970376622507,9.05394058000169e-05,0.25508038726876625,0.0001678856641853253,0.5700589118632321,1.0,0.12385209681501053,0.4779250282595542,0.916201169618292,0.3795247075782908,0.3905713685291989,2.303239852045505e-07,0.3121867822170501,1.0,0.8256275704764172,1.0,0.2339183551145069,1.0,0.6508349533955645,1.0,0.9801053599542648,0.8597760149623201,0.3196551245031704,0.3042553270166365,1.0,0.7852606109486843,0.0003178344960468991,1.0,0.0015650699552351652,0.6479489791136945,1.0,0.2267548224407093,0.04538767635355119,1.0,0.8614279220989518,0.9043093469533322,0.426743333897063,0.7985037326250609,0.8474464629929854,0.8240145346865081,0.9261872964111428,0.9375795091450028,0.920789928586796,0.00023779394855865616,0.021997573705632004,0.8163235290966737,0.0053070927050454225,0.9781922546762146,0.2639466744054875,0.8398595683249518,0.8594869439974407,0.7287372423454073,0.0,0.003665974803668228,0.8189573805552445,0.004983695439786601,0.8630014804230519,0.031222515391380826,0.8689536081556557,0.801440983259165,0.0010998426622047396,0.9782608695652176,0.7098372966207759,0.9667700253547379,0.01084106955805722,0.9936901882427176,5.792526132420418e-10,0.977173886596788,0.7618661365718402,0.9773619497221124,0.2233786013453484,0.034267472832852613,0.0,0.8900249967685648,0.9720385531148532,0.8804724530819525,0.8063527896297541,0.7408472400513479,0.7811108459600832,0.4236317135549872,0.4068941364818891,0.7962277366419852,0.0,0.9751074008428292
24,NS0068,SAXWFC J1744.9-2921.,NS,NS,0.9,NS,1,1,train,0.5625,0.7643020594965676,0.5279354337403414,0.0002450649621241291,0.4839946401260917,0.5011917968738739,0.5875711309899784,0.4324206713135019,0.03989691802691278,0.7596563117137621,0.04961013845781625,0.8643205587091531,0.7320914284637368,0.05442972428842401,0.1260068364648924,0.4517944150233374,0.5087419716833639,0.04054248626204151,0.04005548428107532,0.9316979907437108,0.04330287327665423,1.0192447623983347,0.33783368534389,1.4623944028624023,0.0009279721027057404,1.3829123350253048,0.4408404738020436,-0.014644845032935538,0.6290784808308716,0.2558196207802884,0.04076501785050437,0.048166834502635716,1.220489506877535,0.9621937695332192,0.8527197940741201,0.6512985705657339,0.09112750303326746,0.04672679574563325,0.007617776250522981,0.0006341753702857518,1.1966800687994923,0.4772909967845659,0.260456639486722,0.5832725952795321,0.0,0.3743143790025145,0.28782694239914075,0.32884207163349,0.5604989105390201,0.5694495484311648,0.5344883850770437,0.8523373535363463,0.006534385846659229,0.2859181424323622,0.6212211227107933,0.6387108927252629,0.00748009836024055,0.24448441686158026,0.5171382550223823,1.0,0.5796790930152997,0.72109990960253,0.3715107724930199,0.6616431929973716,0.4541433154307203,0.009229437264177355,0.4629606521660602,1.0,0.607022393607391,0.0,0.8517647058823531,0.6180386412056889,0.8433430539590749,0.3933115995372805,0.7815246172770242,0.6251562231645769,0.32939680089351736,0.6184298360251412,-0.18125275668145133,0.8411087283203028,0.7726215128855601,0.5300900831842207,0.6771122145523195,0.4949775326976256,0.2776784373141953,1.0,0.2435051867556731,0.3399488491048593,0.0,1.0,0.026429984416251943,0.5863390035909545
