,NAME,PSRJ,RAJ,DECJ,RAJD,num_obs,DECJD,BINCOMP,ASSOC_MOD,ASSOC,SURVEY,PSR,Unnamed: 11
0,J1048+2339,J1048+2339,10:48:43.4,+23:39:53.4,162.18090981,0,23.66483453,MS[drc+16],GRS,GRS:4FGL_J1048.6+2340[fermi21],FermiAssoc,HE[drc+21],
1,B1046-58,J1048-5832,10:48:13.0,-58:32:06.2,162.054375,1,-58.53505556,,GRS,GRS:4FGL_J1048.2-5832[fermi21],"pks1,pksmb,htru_pks","HE[klm+00,aaa+09i]",
2,J1048-5838,J1048-5838,10:48:12.5,-58:38:19.0,162.0523375,0,-58.63861667,,NA,,pksmb,RRAT,
3,J1049-5833,J1049-5833,10:49:50.3,-58:33:44.6,162.45975,0,-58.56238889,,NA,,"pksmb,htru_pks",,
4,J1050-5953,J1050-5953,10:50:07.1,-59:53:21.4,162.52966667,0,-59.88927778,,XRS,XRS:1E_1048.1-5937,misc,"AXP,NRAD",
5,J1052-5954,J1052-5954,10:52:38.1,-59:54:44.1,163.15879167,0,-59.91225,,NA,,pksmb,,
6,J1052-6348,J1052-6348,10:52:53.3,-63:48:16.6,163.22245833,0,-63.80461111,,NA,,pksmb,,
7,J1054-5943,J1054-5943,10:54:57.7,-59:43:14.1,163.740625,0,-59.72058333,,NA,,"pksmb,htru_pks",,
8,J1054-5946,J1054-5946,10:54:30.4,-59:46:31.0,163.62691667,0,-59.77527778,,NA,,htru_pks,,
9,J1054-6452,J1054-6452,10:54:08.8,-64:52:37.5,163.53683333,0,-64.87708333,,NA,,"pksmb,htru_pks",,
10,J1055-6022,J1055-6022,10:55:48.5,-60:22:52,163.95208333,0,-60.38111111,,NA,,"pksmb,htru_pks",,
11,J1055-6028,J1055-6028,10:55:39.1,-60:28:37.5,163.91329167,0,-60.47708333,,GRS,GRS:4FGL_J1055.7-6028[fermi21],"pksmb,htru_pks",HE,
12,J1055-6236,J1055-6236,10:55:54.6,-62:36:48.3,163.97754167,0,-62.61341667,,NA,,"pksmb,htru_pks",,
13,J1055-6905,J1055-6905,10:55:44.7,-69:05:11.4,163.93629167,0,-69.0865,,NA,,"pkssw,htru_pks",,
14,J1056-5709,J1056-5709,10:56:43.7,-57:09:34.5,164.18245833,0,-57.15958333,,NA,,"pksmb,htru_pks",,
15,B1054-62,J1056-6258,10:56:25.5,-62:58:47.6,164.1066,0,-62.97991389,,NA,,"mol2,pks1,pks70,pksmb,htru_pks",,
16,J1056-7117,J1056-7117,10:56:45.9,-71:17:53.3,164.19158333,0,-71.298165,He[nbb+14],NA,,htru_pks,,
17,J1057-4754,J1057-4754,10:57:53.1,-47:54:57.6,164.47140833,0,-47.916,,NA,,"pkssw,htru_pks",,
18,B1055-52,J1057-5226,10:57:59.0,-52:26:56.3,164.49602083,1,-52.44898056,,GRS,"GRS:4FGL_J1057.9-5227[fermi21],XRS:[of93","mol1,mol2,pks70,pkssw,htru_pks",HE[aaa+10m],
19,J1057-5851,J1057-5851,10:57:09.5,-58:51:07,164.28958333,0,-58.85194444,,GRS,GRS:4FGL_J1056.9-5852[fermi21],FermiBlind,NRAD,
20,B1056-78,J1057-7914,10:57:27.7,-79:14:23.6,164.36541667,0,-79.23988889,,NA,,"mol2,pks70",,
21,J1058-5957,J1058-5957,10:58:34.2,-59:57:36.4,164.64270833,0,-59.96011111,,NA,,"pksmb,htru_pks",,
22,B1056-57,J1059-5742,10:59:00.8,-57:42:14.5,164.7537025,0,-57.70404167,,NA,,"mol2,pks1,pks70,pksmb,htru_pks",,
23,J1059+6459,J1059+6459,10:59:27.5,+64:59:32,164.86459671,0,64.99219973,,NA,,"gbncc,lotaas",,
24,J1101-6101,J1101-6101,11:01:44.9,-61:01:39.6,165.43733333,2,-61.02766667,,SNR,SNR:G290.1-0.8(MSH_11-61A)[htg+14],misc,NRAD,
25,J1101-6424,J1101-6424,11:01:37.1,-64:24:39.3,165.40496792,0,-64.41092556,CO[ncb+15],NA,,htru_pks,,
26,J1102+02,J1102+02,11:02,+02,165.5,0,2.0,,GRS,GRS:4FGL_J1102.4+0246[fermi21],FermiAssoc,,
27,J1103-5403,J1103-5403,11:03:33.2,-54:03:43.2,165.888725,0,-54.0620125,,NA,,FermiAssoc,,
28,J1103-6025,J1103-6025,11:03:31.4,-60:25:36.3,165.88116667,0,-60.426775,,NA,,"pksmb,htru_pks",,
29,J1104-6103,J1104-6103,11:04:17.2,-61:03:03.8,166.071925,0,-61.05107778,,NA,,"misc,pksmb,htru_pks",,
30,J1105-4353,J1105-4353,11:05:24.8,-43:53:05,166.3535,0,-43.88472222,,NA,,htru_pks,,
31,J1105-6037,J1105-6037,11:05:00.4,-60:37:16.3,166.252,0,-60.62119444,,GRS,"GRS:4FGL_J1104.9-6037[fermi21],XRS:1XSPS",FermiBlind,NRAD,
32,J1105-6107,J1105-6107,11:05:26.1,-61:07:48.9,166.35891667,2,-61.13026111,,GRS,"GRS:4FGL_J1105.4-6108[fermi21],XRS:PWN[g","misc,pksmb,htru_pks",,
33,J1106-6438,J1106-6438,11:06:28.4,-64:39:00.0,166.6185,0,-64.65,,NA,,"pksmb,htru_pks",,
34,J1107-5907,J1107-5907,11:07:34.4,-59:07:18.7,166.89358333,0,-59.12186111,,NA,,"pksmb,htru_pks",,
35,B1105-59,J1107-5947,11:07:58.7,-59:47:04,166.99458333,0,-59.78444444,,NA,,"mol2,pks70,pksmb,htru_pks",,
36,J1107-6143,J1107-6143,11:07:12.3,-61:43:59,166.80125,0,-61.73305556,,NA,,"pksmb,htru_pks",,
37,B1107-56,J1110-5637,11:10:00.3,-56:37:32.5,167.50154667,0,-56.62571389,,NA,,"pks1,pks70,pksmb,htru_pks",,
38,J1110+58,J1110+58,11:11,+58:52,167.75,0,58.86666667,,NA,,"gbncc,lotaas",,
39,J1111-6039,J1111-6039,11:11:48.6,-60:39:26,167.9525,1,-60.65722222,,GRS,GRS:4FGL_J1111.8-6039[fermi21],FermiAssoc,NRAD[fermi21],
40,J1112-6103,J1112-6103,11:12:14.8,-61:03:31.1,168.06170833,2,-61.05863889,,GRS,"GRS:4FGL_J1112.1-6108[fermi21],XRS:[pb15","pksmb,htru_pks",,
41,B1110-65,J1112-6613,11:12:38.4,-66:13:04.6,168.16005833,0,-66.21796194,,NA,,"mol2,pks70,pkssw,pksmb,htru_pks",,
42,B1110-69,J1112-6926,11:12:50.7,-69:26:32.3,168.21158333,0,-69.44231389,,NA,,"mol2,pks70,pkssw,htru_pks",,
43,B1112-60,J1114-6100,11:14:22.6,-61:00:32.1,168.59454167,0,-61.00891667,,NA,,"pks1,pksmb,htru_pks",,
44,J1115-0956,J1115-0956,11:15:27.3,-09:56:53.1,168.86400417,0,-9.94808333,,NA,,pks_superb,,
45,B1112+50,J1115+5030,11:15:38.4,+50:30:12.2,168.91,0,50.50341389,,NA,,"gb1,gb2,gb4,gbncc,lotaas",,
46,J1115-6052,J1115-6052,11:15:53.7,-60:52:18.6,168.97384167,0,-60.87183611,,NA,,"pksmb,htru_pks",,
47,J1116-2444,J1116-2444,11:16:23.2,-24:44:56.1,169.09691667,0,-24.74891667,,NA,,gbncc,,
48,B1114-41,J1116-4122,11:16:43.0,-41:22:43.9,169.179525,0,-41.37887778,,NA,,"mol2,pks70,pkssw",,
49,J1117-6154,J1117-6154,11:17:23.8,-61:54:22,169.34920833,0,-61.90611111,,NA,,"pksmb,htru_pks",,
50,J1117-6447,J1117-6447,11:17:45.0,-64:47:58,169.4375,0,-64.79944444,,NA,,pksmb,,
51,J1119-6127,J1119-6127,11:19:14.3,-61:27:49.5,169.80958333,4,-61.46375,,GRS,"GRS:4FGL_J1119.1-6127[fermi21],SNR:G292.","pksmb,htru_pks",HE[gkc+07],
52,B1118-79,J1119-7936,11:19:40.8,-79:36:30.3,169.92,0,-79.60841667,,NA,,mol2,,
53,J1120-3618,J1120-3618,11:20:22.4,-36:18:32.2,170.09333333,0,-36.30894444,,NA,,misc,,
54,B1119-54,J1121-5444,11:21:19.0,-54:44:05.1,170.32954167,0,-54.73475,,NA,,"mol2,pks70,pksmb,pkssw,htru_pks",,
55,J1122-3546,J1122-3546,11:22,-35:46,170.5,0,-35.76666667,,NA,,gbncc,,
56,J1123-4844,J1123-4844,11:23:15.6,-48:44:22.7,170.8152125,0,-48.73965278,,NA,,"pks70,pkssw,htru_pks",,
57,J1123-6102,J1123-6102,11:23:41.7,-61:02:06.2,170.92375,0,-61.03505556,,NA,,"pksmb,htru_pks",,
58,J1123-6259,J1123-6259,11:23:55.5,-62:59:10.9,170.981375,0,-62.98636667,,NA,,"pks70,pksmb,htru_pks",,
59,J1123-6651,J1123-6651,11:23:52.2,-66:51:49.0,170.96754167,0,-66.86363056,,NA,,"pks70,pksmb,htru_pks",,
60,J1124-3653,J1124-3653,11:24:01.1,-36:53:19.1,171.00465,1,-36.88863889,,GRS,GRS:4FGL_J1124.0-3653[fermi21],FermiAssoc,HE,
61,J1124-5638,J1124-5638,11:24:56.4,-56:38:39.7,171.23529167,0,-56.64436111,,NA,,"pksmb,htru_pks",,
62,J1124-5916,J1124-5916,11:24:39.0,-59:16:19,171.1625,0,-59.27194444,,GRS,"GRS:4FGL_J1124.7-5915[fermi21],SNR:G292.",misc,HE[hsp+03],
63,J1124-6421,J1124-6421,11:24:59.5,-64:21:17,171.24791667,0,-64.35472222,,NA,,"pksmb,htru_pks",,
64,J1125-5825,J1125-5825,11:25:44.3,-58:25:16.8,171.43485683,0,-58.4213555,He[bbb+11],GRS,GRS:4FGL_J1125.6-5825[fermi21],htru_pks,HE,
65,J1125-6014,J1125-6014,11:25:55.2,-60:14:06.6,171.480075,0,-60.23516889,He[lfl+06],GRS,GRS:4FGL_J1126.4-6011[fermi21],"pksmb,htru_pks",HE[sbc+19],
66,J1125+7819,J1125+7819,11:25:59.8,+78:19:48.7,171.49933247,0,78.33019801,He(?)[tau19],NA,,"gbncc,lotaas",,
67,J1126-27,J1126-27,11:26,-27:37,171.5,0,-27.61666667,,NA,,gbncc,RRAT,
68,J1126-38,J1126-38,11:26:18,-38:38,171.575,0,-38.63333333,,NA,,pks_superb,,
69,B1124-60,J1126-6054,11:26:52.6,-60:54:39.9,171.7192,0,-60.9111,,NA,,"pks1,pksmb,htru_pks",,
70,J1126-6942,J1126-6942,11:26:21.6,-69:42:15.8,171.59025,0,-69.70438889,,NA,,"pks70,pkssw,htru_pks",,
71,J1128-6219,J1128-6219,11:28:46.7,-62:19:09,172.19458333,0,-62.31916667,,NA,,"pksmb,htru_pks",,
72,J1129-53,J1129-53,11:29:21,-53:31,172.3375,0,-53.51666667,,NA,,pkssw,RRAT,
73,J1130-5826,J1130-5826,11:30:16.3,-58:26:02.3,172.56804167,0,-58.43397222,,NA,,"pksmb,htru_pks",,
74,J1130-5925,J1130-5925,11:30:10.4,-59:25:34.1,172.5435,0,-59.42613889,,NA,,"pksmb,htru_pks",,
75,J1130-6807,J1130-6807,11:30:31.9,-68:07:28.5,172.63297083,0,-68.12458889,,NA,,"pks70,htru_pks",,
76,J1132+25,J1132+25,11:32:50,+25:15,173.20833333,0,25.25,,NA,,misc,RRAT(?)[ttm18],
