,NAME,PSRJ,RAJ,DECJ,RAJD,num_obs,DECJD,BINCOMP,ASSOC_MOD,ASSOC,SURVEY,PSR,Unnamed: 11
0,J1829+0000,J1829+0000,18:29:47.1,+00:00:08.5,277.44641667,0,0.00236111,,NA,,"pksmb,palfa",,
1,J1829-0734,J1829-0734,18:29:05.3,-07:34:22,277.272375,0,-7.57277778,,NA,,"pksmb,htru_pks",,
2,J1829-1011,J1829-1011,18:29:06.0,-10:11:25,277.27525,0,-10.19027778,,NA,,htru_pks,,
3,B1826-17,J1829-1751,18:29:43.1,-17:51:03.9,277.42973848,0,-17.85108318,,NA,,"jb1,mol2,gb3,pks1,pks70,pksmb,htru_",,
4,J1829+2456,J1829+2456,18:29:34.6,+24:56:18.1,277.394445,0,24.93838694,NS[clm+04],NA,,ar4,,
5,J1830-0052,J1830-0052,18:30:30.7,-00:52:54.0,277.62791667,0,-0.88166667,,NA,,pksmb,,
6,J1830-0131,J1830-0131,18:30:19.6,-01:31:48.1,277.58171667,0,-1.53002778,,NA,,"pksmb,htru_pks",,
7,J1830-10,J1830-10,18:30:06,-10:39,277.525,0,-10.65,,NA,,htru_pks,,
8,B1828-11,J1830-1059,18:30:47.5,-10:59:26.5,277.69795833,0,-10.9907,,NA,,"jb2,pksmb,htru_pks",,
9,J1830-1135,J1830-1135,18:30:01.7,-11:35:32,277.50716667,0,-11.59222222,,NA,,"pksmb,htru_pks",,
10,J1830-1313,J1830-1313,18:30:41.9,-13:13:16.2,277.67491667,0,-13.22116667,,NA,,"pksmb,htru_pks",,
11,J1830-1414,J1830-1414,18:30:00.3,-14:14:37,277.50145833,0,-14.24361111,,NA,,pksmb,,
12,J1831-04,J1831-04,18:31:00,-04:29,277.75,0,-4.48333333,,NA,,htru_pks,,
13,J1831-0823,J1831-0823,18:31:36.3,-08:23:23.9,277.90139167,0,-8.38997222,,NA,,"pksmb,htru_pks",,
14,J1831-0952,J1831-0952,18:31:34.3,-09:52:01.7,277.89293333,0,-9.86713889,,GRS,GRS:4FGL_J1830.8-0947[fermi21],"pksmb,htru_pks,FermiAssoc","HE[lfl+06,fermi21]",
15,J1831-1223,J1831-1223,18:31:12.8,-12:23:31,277.80345833,0,-12.39194444,,NA,,"pksmb,htru_pks",,
16,J1831-1329,J1831-1329,18:31:55.9,-13:29:56,277.98316667,0,-13.49888889,,NA,,"pksmb,htru_pks",,
17,J1831-1423,J1831-1423,18:31:29.1,-14:23:46,277.87125,0,-14.39611111,,NA,,pksmb,,
18,J1832+0029,J1832+0029,18:32:50.7,+00:29:27,278.21125,0,0.49083333,,NA,,"pksmb,fast_gpps",,
19,J1832-0644,J1832-0644,18:32:42.6,-06:44:01.8,278.17779167,0,-6.73383333,,NA,,"pksmb,htru_pks",,
20,B1829-08,J1832-0827,18:32:37.0,-08:27:03.7,278.15422083,4,-8.45102778,,NA,,"jb2,pksmb,htru_pks",,
21,J1832-0836,J1832-0836,18:32:27.5,-08:36:55.0,278.1149704,0,-8.61528262,,XRS,XRS:[pb15],htru_pks,,
22,B1829-10,J1832-1021,18:32:40.8,-10:21:32.7,278.17027782,0,-10.35910417,,NA,,"jb2,pks70,pksmb,htru_pks",,
23,J1832+27,J1832+27,18:32:10,+27:58,278.04166667,0,27.96666667,,NA,,"misc,lotaas",,
24,J1832-28,J1832-28,18:32:30,-28:43,278.125,0,-28.71666667,,NA,,pkssw,,
25,J1833-0209,J1833-0209,18:33:05.4,-02:09:16.4,278.27254583,0,-2.15455556,,NA,,htru_pks,,
26,B1831-03,J1833-0338,18:33:41.8,-03:39:04.2,278.42456042,0,-3.65118278,,NA,,"jb1,mol2,gb3,pks70,pksmb,htru_pks",,
27,J1833-0556,J1833-0556,18:33:38.8,-05:56:05,278.412,0,-5.93472222,,NA,,"pksmb,htru_pks",,
28,J1833-0559,J1833-0559,18:33:07.6,-05:59:25,278.28166667,5,-5.99027778,,NA,,"pksmb,htru_pks",,
