,NAME,PSRJ,RAJ,DECJ,RAJD,num_obs,DECJD,BINCOMP,ASSOC_MOD,ASSOC,SURVEY,PSR,Unnamed: 11
0,J1539-6322,J1539-6322,15:39:24.7,-63:22:53.2,234.85291667,0,-63.38144444,,NA,,"pkssw,htru_pks",,
1,J1540-5736,J1540-5736,15:40:59.0,-57:36:57,235.24591667,0,-57.61583333,,NA,,"pksmb,htru_pks",,
2,J1541-42,J1541-42,15:41:55,-42:18:50,235.47916667,0,-42.31388889,,NA,,htru_pks,RRAT,
3,J1541-5535,J1541-5535,15:41:49.6,-55:35:01,235.45666667,0,-55.58361111,,NA,,"pksmb,htru_pks",,
4,J1542-5034,J1542-5034,15:42:45.3,-50:34:03.6,235.68883333,0,-50.56768333,,NA,,"pks70,pksmb,htru_pks",,
5,J1542-5133,J1542-5133,15:42:19.9,-51:33:35,235.58304167,0,-51.55972222,,NA,,"pksmb,htru_pks",,
6,J1542-5303,J1542-5303,15:42:54.5,-53:03:41,235.727125,0,-53.06138889,,NA,,"pksmb,htru_pks",,
7,B1540-06,J1543-0620,15:43:30.1,-06:20:45.3,235.87557208,0,-6.34592556,,NA,,"mol2,gb2,pks70,lotaas",,
8,B1541+09,J1543+0929,15:43:38.8,+09:29:16.3,235.91177083,0,9.48787194,,NA,,"misc,mol2,gb4,lotaas",,
9,J1543-5013,J1543-5013,15:43:58.2,-50:13:58,235.99270833,0,-50.23277778,,NA,,"pksmb,htru_pks",,
10,J1543-5149,J1543-5149,15:43:44.1,-51:49:54.6,235.9339575,0,-51.83185694,He[kjb+12],GRS,GRS:4FGL_J1543.6-5148[fermi21],htru_pks,,
11,J1543-5459,J1543-5459,15:43:56.4,-54:59:15.0,235.985125,0,-54.9875,,NA,,"pksmb,htru_pks",,
12,J1544-0713,J1544-0713,15:44:23.5,-07:13:59.0,236.09802917,0,-7.23306111,,NA,,pks_superb,,
13,J1544+4937,J1544+4937,15:44:04.4,+49:37:55.2,236.01869675,0,49.63201514,UL[brr+13],GRS,"GRS:4FGL_J1544.0+4939[fermi21],OPT:[tkp+",misc,HE,
