,NAME,PSRJ,RAJ,DECJ,RAJD,num_obs,DECJD,BINCOMP,ASSOC_MOD,ASSOC,SURVEY,PSR,Unnamed: 11
0,J2040+1657,J2040+1657,20:40:17.8,+16:57:30.4,310.0744375,0,16.95846111,,NA,,"ar4,lotaas",,
1,J2042+0246,J2042+0246,20:42:11.0,+02:46:14.3,310.54584529,0,2.77066583,He[san16],GRS,GRS:4FGL_J2042.2+0245[fermi21],FermiAssoc,HE,
2,J2043+1711,J2043+1711,20:43:20.8,+17:11:28.9,310.83700687,1,17.19136336,He[gfc+12],GRS,GRS:4FGL_J2043.3+1711[fermi21],FermiAssoc,HE,
3,J2043+2740,J2043+2740,20:43:43.5,+27:40:56,310.93125,0,27.68222222,,GRS,GRS:4FGL_J2043.7+2741[fermi21],"ar4,lotaas",HE[naa+11],
4,J2043+7045,J2043+7045,20:43,+70:45,310.75,0,70.75,,NA,,"gb350,gbncc,lotaas",,
5,J2044+28,J2044+28,20:44,+28,311.0,0,28.0,,NA,,gbncc,,
6,J2044+4614,J2044+4614,20:44:58.8,+46:14:54,311.245,0,46.24833333,,NA,,misc,,
7,J2045+0912,J2045+0912,20:45:47.3,+09:12:29.1,311.44726583,0,9.2081,,NA,,"ar4,lotaas",,
8,J2045+3633,J2045+3633,20:45:01.5,+36:33:01.4,311.25627125,0,36.55039017,CO[mfb+20],NA,,htru_eff,,
9,J2045-68,J2045-68,20:45:17,-68:36:20,311.32083333,0,-68.60555556,,GRS,GRS:4FGL_J2045.9-6835[fermi21],"misc,FermiAssoc",HE[fermi21],
10,B2043-04,J2046-0421,20:46:00.1,-04:21:26.2,311.50072083,4,-4.35729333,,NA,,"mol2,pks70,pkssw,lotaas",,
11,B2044+15,J2046+1540,20:46:39.3,+15:40:33.5,311.66390542,0,15.67598833,,NA,,"mol2,gb2,gb3,ar4,gb4,lotaas",,
12,B2045+56,J2046+5708,20:46:46.6,+57:08:37.0,311.69420492,0,57.14363637,,NA,,"gb2,gbncc,lotaas",,
13,J2047+1053,J2047+1053,20:47:10.2,+10:53:07.8,311.79269167,0,10.8855,UL[rap+12],GRS,GRS:4FGL_J2047.3+1051[fermi21],FermiAssoc,HE,
14,J2047+5029,J2047+5029,20:47:54.6,+50:29:38.1,311.97766667,0,50.49393611,,NA,,misc,,
15,B2045-16,J2048-1616,20:48:35.6,-16:16:44.5,312.14850265,0,-16.27904264,,NA,,"mol1,mol2,pks70",,
16,J2048+2255,J2048+2255,20:48:45.8,+22:55:05.3,312.19111667,0,22.91814167,,NA,,misc,,
17,J2050+1259,J2050+1259,20:50:57.2,+12:59:09,312.738375,0,12.98583333,,NA,,misc,,
18,J2051-0827,J2051-0827,20:51:07.5,-08:27:37.7,312.78133237,5,-8.46048603,UL[sbb96],GRS,GRS:4FGL_J2051.0-0826[fermi21],"pks70,FermiAssoc","HE[sbl+96,wkh+12]",
19,J2051+1248,J2051+1248,20:51:29.6,+12:48:21.5,312.87358333,2,12.80597222,,NA,,"misc,lotaas",,
20,J2051+4434g,J2051+4434g,20:51:29,+44:34,312.87083333,0,44.56666667,,NA,,fast_gpps,,
21,J2051+50,J2051+50,20:51:49,+50:40:05,312.95416667,0,50.66805556,,GRS,GRS:4FGL_J2051.7+5051[fermi21],FermiAssoc,HE[fermi21],
22,J2052+1219,J2052+1219,20:52:47.7,+12:19:59.0,313.19907513,0,12.33306167,UL[drc+21],GRS,GRS:4FGL_2052.7+1218[fermi21],FermiAssoc,"HE[cck+16,fermi21]",
23,J2052+4421g,J2052+4421g,20:52:53,+44:21,313.22083333,0,44.35,,NA,,fast_gpps,,
24,J2053+1718,J2053+1718,20:53:49.4,+17:18:44.6,313.45617042,0,17.31240611,,NA,,"ar4,lotaas",,
25,J2053+4650,J2053+4650,20:53:52.6,+46:50:51.7,313.4692835,0,46.84769947,CO[bcf+17],NA,,htru_eff,,
26,B2048-72,J2053-7200,20:53:47.2,-72:00:42.4,313.447,0,-72.0118,,NA,,"mol2,pks70",,
27,J2055+15,J2055+15,20:56:02.5,+15:47:15,314.01041667,0,15.7875,,GRS,GRS:4FGL_2055.8+1545[fermi21],"ar327,FermiAssoc","HE[dsm+13,fermi21]",
28,B2053+21,J2055+2209,20:55:39.1,+22:09:27.2,313.91313324,0,22.15756013,,NA,,"gb3,gb4,lotaas",,
29,J2055+2539,J2055+2539,20:55:48.8,+25:40:02,313.95333333,0,25.66722222,,GRS,"GRS:4FGL_J2055.8+2540[fermi21],XRS:XMMU_",FermiBlind,NRAD,
30,B2053+36,J2055+3630,20:55:31.3,+36:30:21.4,313.88063375,0,36.50596361,,NA,,"gb1,gb2,gb3,gb4,gbncc,lotaas",,
31,J2055+3829,J2055+3829,20:55:10.3,+38:29:30.9,313.79294396,0,38.49191825,UL,NA,,misc,,
32,J2057+21,J2057+21,20:57:48,+21:26,314.45,0,21.43333333,,NA,,lotaas,,
33,J2102+38,J2102+38,21:02,+38,315.5,0,38.0,,NA,,"gb350,lotaas",,
34,J2105+07,J2105+07,21:05:27,+07:57,316.3625,0,7.95,,NA,,ar327,,
35,J2105+19,J2105+19,21:05:20,+19:21,316.33333333,0,19.35,,NA,,misc,RRAT[ttm18],
36,J2105+28,J2105+28,21:06,+28:29,316.5,0,28.48333333,,NA,,"gbncc,lotaas",,
37,J2105+6223,J2105+6223,21:05:12.9,+62:23:05.5,316.303875,0,62.38486111,,NA,,gbncc,RRAT,
38,J2108-3429,J2108-3429,21:08:30.4,-34:29:37.9,317.12704167,0,-34.49386111,,NA,,pks70,,
39,B2106+44,J2108+4441,21:08:20.4,+44:41:48.8,317.08534167,0,44.69690833,,NA,,"jb1,gb1,gb3,gb4,gbncc,lotaas",,
40,J2108+4516,J2108+4516,21:08,+45:16,317.0,0,45.26666667,,NA,,chime,,
41,J2111+2106,J2111+2106,21:11:33.1,+21:06:07.0,317.88804167,0,21.10194444,,NA,,gb350,,
42,J2111+40,J2111+40,21:11,+40,317.75,0,40.0,,NA,,gb350,,
43,J2111+4606,J2111+4606,21:11:24.1,+46:06:31.3,317.85054167,0,46.10869444,,GRS,GRS:4FGL_J2111.4+4606[fermi21],FermiBlind,NRAD,
44,B2110+27,J2113+2754,21:13:04.3,+27:54:01.1,318.2681275,0,27.90032222,,NA,,"misc,gb3,ar4,gb4,lotaas",,
45,B2111+46,J2113+4644,21:13:24.3,+46:44:08.8,318.35137292,0,46.73579,,NA,,"jb1,gb1,gb3,gb4,gbncc,lotaas",,
46,J2113+67,J2113+67,21:14,+67:02,318.5,0,67.03333333,,NA,,"gbncc,lotaas",,
47,J2115+5448,J2115+5448,21:15:11.7,+54:48:45.1,318.7990325,0,54.81254278,UL[san16],GRS,GRS:4FGL_J2115.1+5449[fermi21],FermiAssoc,HE,
48,B2113+14,J2116+1414,21:16:13.7,+14:14:21.0,319.0573,0,14.23917778,,NA,,"mol2,lotaas",,
49,J2122+2426,J2122+2426,21:22:39.0,+24:26:44.9,320.66258333,0,24.44580556,,NA,,lotaas,,
50,J2123+36,J2123+36,21:23:48,+36:24,320.95,0,36.4,,NA,,lotaas,,
51,J2123+5434,J2123+5434,21:23:21.6,+54:34:07.7,320.84034634,0,54.56880947,,NA,,gbncc,,
52,B2122+13,J2124+1407,21:24:46.5,+14:07:19.3,321.19406041,0,14.12203918,,NA,,"gb2,lotaas",,
53,J2124-3358,J2124-3358,21:24:43.8,-33:58:44.8,321.18270572,2,-33.979125,,GRS,GRS:4FGL_J2124.7-3358[fermi21],pks70,"HE[bt99,aaa+09f]",
54,B2123-67,J2127-6648,21:27:31.2,-66:48:28.1,321.88033333,0,-66.80780556,,NA,,"mol2,pks70",,
55,J2129-0429,J2129-0429,21:29:45.0,-04:29:05.5,322.4376625,0,-4.48488611,MS,GRS,"GRS:4FGL_J2129.8-0428[fermi21],OPT:[bkb+",FermiAssoc,HE,
56,B2127+11A,J2129+1210A,21:29:58.2,+12:10:01.2,322.4926938,8,12.16700942,,GC,GC:M15,misc,,
57,B2127+11B,J2129+1210B,21:29:58.6,+12:10:00.3,322.4943,8,12.16675278,,GC,GC:M15,misc,,
58,B2127+11C,J2129+1210C,21:30:01.2,+12:10:38.2,322.5050175,0,12.17728028,NS[jcj+06],GC,GC:M15,misc,,
59,B2127+11D,J2129+1210D,21:29:58.2,+12:09:59.7,322.49280833,8,12.16659444,,GC,GC:M15,misc,,
