,NAME,PSRJ,RAJ,DECJ,RAJD,num_obs,DECJD,BINCOMP,ASSOC_MOD,ASSOC,SURVEY,PSR,Unnamed: 11
298,J1805-2447,J1805-2447,18:05:25.9,-24:47:30,271.35804167,0,-24.79166667,,NA,,pksmb,,
299,J1805-2948,J1805-2948,18:05:42.4,-29:48:00,271.42704167,0,-29.8,,NA,,htru_pks,,
300,J1806+1023,J1806+1023,18:06:52.1,+10:23:18.3,271.71714167,0,10.38841667,,NA,,pkssw,,
301,B1804-12,J1806-1154,18:06:06.7,-11:54:28.7,271.52829745,0,-11.90798496,,NA,,"gb3,pks70,pksmb,htru_pks",,
302,J1806-1618,J1806-1618,18:06:25.7,-16:18:38,271.60741667,0,-16.31055556,,NA,,"pksmb,htru_pks",,
303,J1806-1920,J1806-1920,18:06:06.6,-19:20:23,271.5275,0,-19.33972222,,NA,,"pksmb,htru_pks",,
304,J1806-2125,J1806-2125,18:06:19.8,-21:27:55.5,271.5825,0,-21.46543889,,NA,,"pksmb,htru_pks",,
305,J1806+2819,J1806+2819,18:06:25.0,+28:19:01.1,271.60444083,0,28.31697639,He[kmk+18],GRS,GRS:4FGL_J1807.1+2822[fermi21],"gbncc,lotaas,FermiAssoc","HE[kmk+18,fermi21]",
306,J1807+04,J1807+04,18:07:25,+04:05,271.85416667,0,4.08333333,,NA,,ar327,,
307,J1807+0756,J1807+0756,18:07:51.2,+07:56:43.3,271.96347917,0,7.94538611,,NA,,"ar4,gb4",,
308,B1804-08,J1807-0847,18:07:38.0,-08:47:43.2,271.9084475,0,-8.79535278,,NA,,"mol2,gb3,pks70,pkssw,pksmb,htru_pks",,
309,J1807-2459A,J1807-2459A,18:07:20.3,-24:59:52.9,271.83481502,2,-24.99802819,UL[lfrj12],GC,GC:NGC6544,"pksgc,pksmb,htru_pks",,
310,J1807-2459B,J1807-2459B,18:07:20.8,-25:00:01.9,271.83696337,2,-25.00053194,NS/CO(?)[lfrj12],GC,GC:NGC6544,misc,,
311,J1807-2557,J1807-2557,18:07:13.6,-25:57:20,271.80691667,0,-25.95555556,,NA,,pksmb,RRAT,
312,B1804-27,J1807-2715,18:07:08.4,-27:15:03.0,271.78539637,0,-27.25082303,,NA,,"mol2,pks70,pksmb,htru_pks",,
313,J1808+00,J1808+00,18:08:19,+00:34,272.07916667,0,0.56666667,,NA,,"ar4,pkssw",,
314,J1808-0813,J1808-0813,18:08:09.4,-08:13:01.8,272.0393019,0,-8.21716578,,NA,,"pks70,pkssw,pksmb,htru_pks",,
315,J1808-1020,J1808-1020,18:08:45.6,-10:20:48.3,272.19014167,0,-10.34675,,NA,,"pksmb,htru_pks",,
316,J1808-1517,J1808-1517,18:08:39.0,-15:17:40,272.162875,0,-15.29444444,,NA,,"pksmb,htru_pks",,
317,J1808-1726,J1808-1726,18:08:42.3,-17:26:27,272.17625,0,-17.44083333,,NA,,"pksmb,htru_pks",,
318,J1808-2024,J1808-2024,18:08:39.3,-20:24:39.8,272.16390417,3,-20.41106944,,SNR,"SNR:G10.0-0.3(?),XRS:SGR_1806-20",misc,"AXP,NRAD",
319,B1805-20,J1808-2057,18:08:06.3,-20:58:08,272.02665192,0,-20.96875681,,NA,,"jb2,pks1,pksmb,htru_pks",,
320,J1808-2701,J1808-2701,18:08:13.2,-27:01:21,272.055125,0,-27.0225,,NA,,pksmb,,
321,J1808-3249,J1808-3249,18:08:04.4,-32:49:34,272.01866667,0,-32.82611111,,NA,,"pkssw,htru_pks",,
322,J1809-0119,J1809-0119,18:09:51.3,-01:19:29.0,272.464,0,-1.32472222,,NA,,htru_pks,,
323,J1809-0743,J1809-0743,18:09:35.9,-07:43:01.4,272.39966667,0,-7.71705556,,NA,,"pkssw,pksmb",,
324,J1809-1429,J1809-1429,18:09:45.5,-14:29:25.0,272.439625,0,-14.49027778,,NA,,"pksmb,htru_pks",,
325,J1809+17,J1809+17,18:09:06,+17:04,272.275,0,17.06666667,,NA,,lotaas,,
326,J1809-1850,J1809-1850,18:09:37.2,-18:50:55,272.40504167,0,-18.84861111,,NA,,pksmb,,
327,J1809-1917,J1809-1917,18:09:43.1,-19:17:38.1,272.42973333,2,-19.29391667,,XRS,XRS:PWN[kp07],"pksmb,htru_pks",,
328,J1809-1943,J1809-1943,18:09:51.0,-19:43:51.9,272.46286233,0,-19.73109208,,XRS,XRS:XTE_J1810-197,misc,"AXP,HE",
329,J1809-2004,J1809-2004,18:09:15.8,-20:04:12,272.316125,0,-20.07,,NA,,"pksmb,htru_pks",,
330,B1806-21,J1809-2109,18:09:14.3,-21:09:02.9,272.30970645,0,-21.15079899,,NA,,"jb2,pksmb,htru_pks",,
331,J1809-2332,J1809-2332,18:09:50.2,-23:32:22.6,272.459375,0,-23.53963333,,GRS,"GRS:4FGL_J1809.8-2332[fermi21],PWN:[brrk",FermiBlind,NRAD,
332,J1809-3547,J1809-3547,18:09:26.9,-35:47:18,272.36241667,0,-35.78833333,,NA,,"pks70,htru_pks",,
333,J1810+0705,J1810+0705,18:10:47.0,+07:05:36.3,272.69599167,0,7.09341667,,NA,,lotaas,,
334,J1810-1441,J1810-1441,18:10:59.1,-14:41:33.6,272.74650833,0,-14.69266667,,NA,,"pksmb,htru_pks",,
335,J1810-1709,J1810-1709,18:10:28.2,-17:09:27,272.61754167,0,-17.1575,,NA,,htru_pks,,
336,J1810+1744,J1810+1744,18:10:37.2,+17:44:37.3,272.65533333,1,17.74371667,UL[hrm+11],GRS,"GRS:4FGL_J1810.5+1744[fermi21],OPT:[bvr+",FermiAssoc,HE,
337,J1810-1820,J1810-1820,18:10:55.5,-18:20:39,272.73133333,0,-18.34416667,,NA,,"pksmb,htru_pks",,
338,J1810-2005,J1810-2005,18:10:58.9,-20:05:08.2,272.74579958,0,-20.08563056,He(?)[jsb+10],NA,,"pksmb,htru_pks",,
339,B1806-53,J1810-5338,18:10:44.4,-53:38:07.6,272.68530417,0,-53.63545306,,NA,,"mol2,pks70,pkssw",,
340,J1811-0154,J1811-0154,18:11:19.8,-01:54:30.9,272.83283333,0,-1.90858333,,NA,,"pkssw,htru_pks",,
341,J1811+0702,J1811+0702,18:11:20.4,+07:02:29.7,272.83508333,0,7.04158333,,NA,,"ar4,pkssw,lotaas",,
342,J1811-1049,J1811-1049,18:11:17.0,-10:49:03,272.821125,0,-10.8175,,NA,,"pksmb,htru_pks",,
343,J1811-1717,J1811-1717,18:11:26.5,-17:17:47,272.86054167,0,-17.29638889,,NA,,htru_pks,,
344,J1811-1736,J1811-1736,18:11:55.0,-17:36:37.7,272.97930833,0,-17.61047222,NS[mig00],NA,,"pksmb,htru_pks",,
345,J1811-1835,J1811-1835,18:11:29.7,-18:35:44,272.87383333,0,-18.59555556,,NA,,"pksmb,htru_pks",,
346,J1811-1925,J1811-1925,18:11:29.2,-19:25:28,272.87166667,0,-19.42444444,,GRS,"GRS:4FGL_J1811.5-1925[fermi21],SNR:G11.2",misc,NRAD,
347,J1811-2405,J1811-2405,18:11:19.8,-24:05:18.4,272.83272521,0,-24.08845056,He[bbb+11],GRS,GRS:4FGL_J1811.3-2403[fermi21],htru_pks,,
348,J1811-2439,J1811-2439,18:11:55.5,-24:39:53,272.981375,0,-24.66472222,,NA,,"pksmb,htru_pks",,
349,J1811-4930,J1811-4930,18:11:27.1,-49:30:20.8,272.86329167,0,-49.50577778,,NA,,htru_pks,,
350,B1810+02,J1812+0226,18:12:53.1,+02:26:57.1,273.22161561,0,2.44920135,,NA,,"gb3,pkssw",,
351,J1812-15,J1812-15,18:12:36,-15:31,273.15,0,-15.51666667,,NA,,htru_pks,BINARY[ccb+20],
352,B1809-173,J1812-1718,18:12:07.2,-17:18:29.5,273.03003585,0,-17.30818717,,NA,,"jb2,pksmb,htru_pks",,
353,B1809-176,J1812-1733,18:12:15.8,-17:33:37.8,273.06608021,1,-17.56051972,,NA,,"jb2,pksmb,htru_pks",,
354,J1812-1910,J1812-1910,18:12:34.8,-19:10:39,273.145375,0,-19.1775,,NA,,"pksmb,htru_pks",,
355,J1812-20,J1812-20,18:12:36.5,-20:58.1,273.15241667,-1,-20.96833333,,NA,,htru_pks,,
356,J1812-2102,J1812-2102,18:12:20.9,-21:02:36,273.08720833,0,-21.04333333,,NA,,"pksmb,htru_pks",,
357,J1812-2526,J1812-2526,18:12:32.3,-25:26:38,273.13458333,0,-25.44388889,,NA,,"pksmb,htru_pks",,
358,J1812-2748,J1812-2748,18:12:40.5,-27:48:03,273.16908333,0,-27.80083333,,NA,,htru_pks,,
359,J1812-3039,J1812-3039,18:12:44.9,-30:39:21,273.18709167,0,-30.65583333,,NA,,htru_pks,,
360,J1813-1246,J1813-1246,18:13:23.7,-12:45:59.2,273.34904167,0,-12.76644444,,GRS,"GRS:4FGL_J1813.4-1246[fermi21],XRS:Swift",FermiBlind,NRAD,
361,J1813-1749,J1813-1749,18:13:35.1,-17:49:57.5,273.3963,1,-17.83265833,,SNR,"SNR:12.8-0.0,GRS:HESS_J1813-178,XRS:CXOU",misc,NRAD,
362,J1813+1822,J1813+1822,18:13:38.7,+18:22:15.0,273.4115,0,18.37083333,,NA,,ar4,,
363,J1813-2113,J1813-2113,18:13:39.8,-21:13:00.4,273.416125,0,-21.21677778,,NA,,"pksmb,htru_pks",,
364,J1813-2242,J1813-2242,18:13:29.1,-22:42:06,273.3715,0,-22.70166667,,NA,,"pksmb,htru_pks",,
365,J1813-2621,J1813-2621,18:13:40.5,-26:21:57.0,273.41913187,0,-26.36584861,He[lem+15],NA,,pksmb,,
366,B1811+40,J1813+4013,18:13:13.2,+40:13:39.0,273.30533754,0,40.22750946,,NA,,"gb1,gb4,lotaas",,
367,J1814-0521,J1814-0521,18:14:26.1,-05:21:37.0,273.608875,0,-5.36027778,,NA,,htru_pks,,
368,J1814-0618,J1814-0618,18:14:41.2,-06:18:01.7,273.67191667,0,-6.30047222,,NA,,pksmb,,
369,J1814+1130,J1814+1130,18:14:42.7,+11:30:43.9,273.67809167,0,11.51220833,,NA,,"misc,lotaas",,
370,J1814-1649,J1814-1649,18:14:37.3,-16:49:28,273.655625,0,-16.82444444,,NA,,"pksmb,htru_pks",,
