obs_id,true_class,level_a_prob,level_a_class,level_b_prob,level_b_class,th_class,truth,is_ok,src_n,src_id,significance,class
BH_OBS_133,XRB,0.8545835238653164,XRB,1.0,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_134,XRB,0.8312132736275382,PULSAR,0.9774200795613947,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_135,XRB,0.9175771036850405,XRB,0.998184592439626,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_136,XRB,0.976022251668716,XRB,1.0,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_137,XRB,0.8859896044568105,XRB,1.0,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_138,XRB,0.9663944926470621,XRB,0.9978187919463086,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_139,XRB,0.8819533692390864,XRB,0.9986991338266507,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_14,XRB,0.9337581594175361,XRB,0.9226619905866937,XRB,XRB,1,1,GRO J1655-40        ,BH0004,13.83,XRB
BH_OBS_140,XRB,0.9943155350406128,XRB,0.9979128090403258,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_141,XRB,0.5528814990311738,XRB,1.0,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_142,XRB,0.8855000608825918,XRB,0.9967325329798481,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_143,XRB,0.9718921218847263,XRB,1.0,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_144,XRB,0.493436488378499,XRB,1.0,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_145,XRB,0.9898569142717444,XRB,0.9988502506265665,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_146,XRB,0.9965235535608671,XRB,0.993618187571264,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_147,XRB,0.9902858366707111,XRB,1.0,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_148,XRB,0.8723966547665415,XRB,1.0,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_149,XRB,0.9969127516778523,XRB,0.9986991338266507,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_15,XRB,0.8909720052428676,XRB,0.672727808526514,XRB,X,2,1,GX 339-4            ,BH0006,39.86,XRB
BH_OBS_151,XRB,0.9971264842540009,XRB,0.9975470085470086,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_153,XRB,0.5180941639156053,XRB,0.9974894793992769,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_154,XRB,0.9894650349650349,XRB,0.9988502506265665,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_155,XRB,0.9396921185729582,XRB,1.0,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_157,XRB,0.9891446236185042,XRB,1.0,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_159,XRB,0.9983424630924632,XRB,1.0,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_16,XRB,0.8069085618730969,XRB,0.9663575384210469,XRB,XRB,1,1,GX 339-4            ,BH0006,39.86,XRB
BH_OBS_160,XRB,0.9255128901585149,XRB,1.0,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_161,XRB,0.9085160953015262,XRB,0.9955827836064142,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_163,XRB,0.9826178869175913,XRB,1.0,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_164,XRB,0.9799221219995601,XRB,0.9988502506265665,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_165,XRB,0.9393127175469108,XRB,1.0,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_166,XRB,0.640804192930727,XRB,0.9977005012531329,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_167,XRB,0.9436090797071518,XRB,0.962269538406192,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_168,XRB,0.6311424515860207,XRB,1.0,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_169,XRB,0.7938841338676504,XRB,1.0,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_17,XRB,0.9569204061157736,XRB,1.0,XRB,XRB,1,1,IGR J17464-3213     ,BH0008,6.9,XRB
BH_OBS_170,XRB,0.8698947264300944,XRB,0.9977005012531328,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_173,XRB,0.8845713297605691,XRB,1.0,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_174,XRB,0.9992136752136753,XRB,0.9978629500580719,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_18,XRB,0.8496478924820992,XRB,0.9988502506265665,XRB,XRB,1,1,IGR J17464-3213     ,BH0008,6.9,XRB
BH_OBS_184,XRB,0.9667390436816076,XRB,0.8823373721405149,XRB,XRB,1,1,J1745-2900          ,BH0027,337.0,XRB
BH_OBS_185,XRB,1.0,XRB,0.9587265599436179,XRB,XRB,1,1,KV UMA              ,BH0028,12.97,XRB
BH_OBS_186,XRB,0.9920213460990183,XRB,0.9984273504273504,XRB,XRB,1,1,KV UMA              ,BH0028,12.97,XRB
BH_OBS_187,XRB,0.9642021203047147,XRB,0.998931475029036,XRB,XRB,1,1,KV UMA              ,BH0028,12.97,XRB
BH_OBS_188,XRB,0.9272243964630036,XRB,0.995673181339288,XRB,XRB,1,1,V404 CYG            ,BH0029,38.72,XRB
BH_OBS_189,XRB,0.95237641201632,XRB,0.8533025158278712,XRB,XRB,1,1,SAXWFC J1819.4-2524.,BH0030,2.24,XRB
BH_OBS_19,XRB,0.9249456670469253,XRB,0.9979726800861553,XRB,XRB,1,1,IGR J17464-3213     ,BH0008,6.9,XRB
BH_OBS_192,XRB,0.8619131307291875,XRB,1.0,XRB,XRB,1,1,SAXWFC J1819.4-2524.,BH0030,2.24,XRB
BH_OBS_193,XRB,0.9507183314456118,XRB,0.9947679369446977,XRB,XRB,1,1,SAXWFC J1819.4-2524.,BH0030,2.24,XRB
BH_OBS_194,XRB,0.8936992136069638,XRB,1.0,XRB,XRB,1,1,GS 1354-645         ,BH0031,2.44,XRB
BH_OBS_195,XRB,0.8647960341662658,XRB,0.9921553607629888,XRB,XRB,1,1,GS 1354-645         ,BH0031,2.44,XRB
BH_OBS_198,XRB,0.942246688516449,XRB,1.0,XRB,XRB,1,1,CJ0422+32           ,BH0033,3.65,XRB
BH_OBS_2,XRB,0.8114724735660832,XRB,0.987202892017541,XRB,XRB,1,1,1A 0620-00          ,BH0001,23.63,XRB
BH_OBS_27,XRB,0.7104552938723422,XRB,0.9943124101119982,XRB,XRB,1,1,SAX J1819.3-2525    ,BH0009,26.51,XRB
BH_OBS_28,XRB,0.9122897132692778,PULSAR,0.8823169300390575,PULSAR,PULSAR,0,0,SAX J1819.3-2525    ,BH0009,26.51,XRB
BH_OBS_29,XRB,0.7955991618843268,XRB,0.902243998217432,XRB,XRB,1,1,SAX J1819.3-2525    ,BH0009,26.51,XRB
BH_OBS_30,XRB,0.9934031537784481,XRB,1.0,XRB,XRB,1,1,SAX J1819.3-2525    ,BH0009,26.51,XRB
BH_OBS_31,XRB,0.9943051182552739,XRB,0.9992136752136753,XRB,XRB,1,1,SAX J1819.3-2525    ,BH0009,26.51,XRB
BH_OBS_32,XRB,0.8984368304364673,XRB,0.9684738121060588,XRB,XRB,1,1,XTE J1550-564       ,BH0010,29.24,XRB
BH_OBS_33,XRB,0.9815236043761995,XRB,0.8848482615547042,XRB,XRB,1,1,XTE J1550-564       ,BH0010,29.24,XRB
BH_OBS_34,XRB,0.8142824080724745,PULSAR,0.9974894793992769,XRB,XRB,1,1,XTE J1550-564       ,BH0010,29.24,XRB
BH_OBS_35,XRB,0.7787030178616376,XRB,0.9703213445763781,XRB,XRB,1,1,XTE J1550-564       ,BH0010,29.24,XRB
BH_OBS_36,XRB,0.9808154747031602,XRB,0.6110378418224917,PULSAR,X,2,0,XTE J1550-564       ,BH0010,29.24,XRB
BH_OBS_37,XRB,0.7747267964374932,XRB,0.9437236835565644,XRB,XRB,1,1,XTE J1550-564       ,BH0010,29.24,XRB
BH_OBS_38,XRB,0.8283476732709791,XRB,0.8276907587319791,XRB,XRB,1,1,XTE J1550-564       ,BH0010,29.24,XRB
BH_OBS_39,XRB,0.8019511288399074,XRB,0.9297391198472703,XRB,XRB,1,1,XTE J1650-500       ,BH0011,86.04,XRB
BH_OBS_40,XRB,0.9936368507114776,XRB,0.9574203130427619,XRB,XRB,1,1,XTE J1859+226       ,BH0012,2.11,XRB
BH_OBS_43,XRB,0.8370951285755556,XRB,0.9899244344721202,XRB,XRB,1,1,CXOU J100506.7-07443,BH0014,11.41,XRB
BH_OBS_44,XRB,0.8873371174811302,XRB,0.981408180368403,XRB,XRB,1,1,CXOU J100506.7-07443,BH0014,11.41,XRB
BH_OBS_45,XRB,0.976707588025306,XRB,0.9610590039995833,XRB,XRB,1,1,CXOU J100506.7-07443,BH0014,11.41,XRB
BH_OBS_46,XRB,0.8467099747757469,XRB,0.9712231753986535,XRB,XRB,1,1,CXOU J100506.7-07443,BH0014,11.41,XRB
BH_OBS_47,XRB,0.989231962109479,XRB,0.9907132971170078,XRB,XRB,1,1,CXOU J100506.7-07443,BH0014,11.41,XRB
BH_OBS_48,XRB,0.39925597413888614,XRB,0.9977005012531329,XRB,XRB,1,1,CXOU J100506.7-07443,BH0014,11.41,XRB
BH_OBS_49,XRB,0.9324072736815877,XRB,1.0,XRB,XRB,1,1,CXOU J100508.7-07444,BH0015,3.88,XRB
BH_OBS_50,XRB,0.941836848586233,XRB,0.9945234319658545,XRB,XRB,1,1,CXOU J100510.0-07452,BH0016,7.77,XRB
BH_OBS_51,XRB,0.9816382487758329,XRB,0.9941561460659436,XRB,XRB,1,1,CXOU J100510.9-07453,BH0017,4.58,XRB
BH_OBS_52,XRB,0.8549751937074729,XRB,0.9888358420778528,XRB,XRB,1,1,CXOU J100510.9-07453,BH0017,4.58,XRB
BH_OBS_53,XRB,0.8897473841200932,XRB,0.9865975003101517,XRB,XRB,1,1,CXOU J100510.9-07453,BH0017,4.58,XRB
BH_OBS_55,XRB,0.8874292617810211,XRB,1.0,XRB,XRB,1,1,CXOU J100510.9-07453,BH0017,4.58,XRB
BH_OBS_59,XRB,0.9975554066529675,XRB,0.9983333333333333,XRB,XRB,1,1,CXOU J100510.9-07453,BH0017,4.58,XRB
BH_OBS_61,XRB,0.8955897030675563,PULSAR,0.9904411182839855,XRB,XRB,1,1,CXOU J100514.2-07423,BH0018,16.29,XRB
BH_OBS_62,XRB,0.8511543408863896,XRB,1.0,XRB,XRB,1,1,CXOU J100514.2-07423,BH0018,16.29,XRB
BH_OBS_63,XRB,0.993284965034965,XRB,0.9963397300258432,XRB,XRB,1,1,CXOU J100514.2-07423,BH0018,16.29,XRB
BH_OBS_64,XRB,0.8056609379180347,XRB,0.9991224294595887,XRB,XRB,1,1,CXOU J100514.2-07423,BH0018,16.29,XRB
BH_OBS_65,XRB,0.9599539107334927,XRB,1.0,XRB,XRB,1,1,CXOU J100514.2-07423,BH0018,16.29,XRB
BH_OBS_66,XRB,0.7665288045741229,XRB,0.9942529685080022,XRB,XRB,1,1,CXOU J100514.2-07423,BH0018,16.29,XRB
BH_OBS_67,XRB,0.9899756544485095,XRB,1.0,XRB,XRB,1,1,CXOU J100514.2-07423,BH0018,16.29,XRB
BH_OBS_68,XRB,0.968430313467627,XRB,0.9979726800861553,XRB,XRB,1,1,CXOU J100514.2-07423,BH0018,16.29,XRB
BH_OBS_69,XRB,0.9606560798381004,XRB,0.9902850877192981,XRB,XRB,1,1,CXOU J100514.2-07423,BH0018,16.29,XRB
BH_OBS_70,XRB,0.4593183934139908,PULSAR,1.0,XRB,XRB,1,1,CXOU J100514.2-07423,BH0018,16.29,XRB
BH_OBS_71,XRB,0.9376877728341299,XRB,0.9827419518151224,XRB,XRB,1,1,CXOU J100515.4-07425,BH0019,17.39,XRB
BH_OBS_72,XRB,0.7439354079670515,XRB,1.0,XRB,XRB,1,1,CXOU J100515.4-07425,BH0019,17.39,XRB
BH_OBS_73,XRB,0.9591020444740525,XRB,0.9988502506265665,XRB,XRB,1,1,CXOU J100515.4-07425,BH0019,17.39,XRB
BH_OBS_74,XRB,0.8074533531546549,XRB,0.9991224294595887,XRB,XRB,1,1,CXOU J100515.4-07425,BH0019,17.39,XRB
BH_OBS_75,XRB,0.9446973259778745,XRB,0.9689167934925498,XRB,XRB,1,1,CXOU J100515.4-07425,BH0019,17.39,XRB
BH_OBS_76,XRB,0.510897311654601,PULSAR,0.9991224294595887,XRB,XRB,1,1,CXOU J100515.4-07425,BH0019,17.39,XRB
BH_OBS_77,XRB,0.7778491629898908,XRB,1.0,XRB,XRB,1,1,CXOU J100515.4-07425,BH0019,17.39,XRB
BH_OBS_78,XRB,0.8731985670494445,XRB,0.9968229307127215,XRB,XRB,1,1,CXOU J100515.4-07425,BH0019,17.39,XRB
BH_OBS_79,XRB,0.7638530075752784,XRB,1.0,XRB,XRB,1,1,CXOU J100515.4-07425,BH0019,17.39,XRB
BH_OBS_80,XRB,0.8369176689791761,XRB,1.0,XRB,XRB,1,1,CXOU J100515.4-07425,BH0019,17.39,XRB
BH_OBS_81,XRB,0.9228851414343004,XRB,1.0,XRB,XRB,1,1,CXOU J100515.4-07425,BH0019,17.39,XRB
