index,exp_time,date,hardness,var_mean,var_sigma,cnts_aper,flux_aper,flux_aper_hilim,flux_aper_lolim,flux_significance
3,9235.2,2000-08-30T17:20:38,,,,4161.0,9.621662000000001e-12,9.764874e-12,9.476447999999999e-12,
5,11611.1,2001-07-20T18:19:53,,,,5768.0,1.196e-11,1.223e-11,1.168e-11,
4,5023.0,2002-08-17T13:17:17,,,,2507.6,1.5838620000000002e-11,1.608066e-11,1.5587419999999998e-11,
0,14448.3,2006-06-27T16:57:50,,,,862.0,1.1100929999999999e-12,2.2141158e-12,1.05857836e-12,
1,9952.4,2006-06-28T16:40:11,,,,605.4,1.067586e-12,1.406948e-12,1.0026679999999999e-12,
2,15241.3,2006-07-01T14:10:58,,,,1012.4,9.866076e-12,1.2396178e-11,7.1817258e-12,
