index,exp_time,date,hardness,var_mean,var_sigma,cnts_aper,flux_aper,flux_aper_hilim,flux_aper_lolim,flux_significance
0,40580.4,2010-01-27T01:02:52,-1.0,,,2.2,1.6425e-15,2.622275e-15,7.097499999999999e-16,0.5820000000000001
1,75682.2,2010-01-29T14:46:35,0.49499699819891935,,,1.0,0.0,1.191125e-16,0.0,0.0
2,171955.9,2012-01-18T14:26:38,0.5462560244504525,,,5.0,7.64515e-16,1.1633125e-15,3.8967000000000003e-16,1.006
6,160215.7,2012-01-21T08:54:47,-1.0038167938931297,,,2.2,3.4579999999999997e-16,1.227262e-15,5.978e-17,0.0
3,75554.3,2012-01-26T22:21:59,14.036516853932584,,,2.0,8.579999999999999e-16,1.5408449999999999e-15,2.35675e-16,0.47400000000000003
4,184208.0,2012-01-31T15:24:33,1.0,,,4.2,3.2592499999999997e-16,5.768299999999999e-16,1.02225e-16,0.796
5,158013.8,2012-02-03T10:00:00,1.0,,,3.8,5.062e-16,7.985220000000001e-16,2.3982e-16,0.6599999999999999
7,119470.1,2012-04-04T03:00:56,-1.0,,,1.2,3.78e-17,5.421220000000001e-16,0.0,0.0
9,46277.9,2012-04-05T19:03:53,-1.0,,,1.2,1.221e-16,1.15898e-15,3.2059999999999997e-18,0.682
8,69686.1,2012-04-06T18:15:48,3.549450549450549,,,1.2,1.62375e-16,4.4068999999999997e-16,1.85825e-17,0.694
