index_compiled,index,class,hea_class,B_M_FLUX_AP,B_B_FLUX_AP_AVG,B_B_FLUX_BB_AP,B_B_FLUX_BREMS_AP,B_B_FLUX_BREMS_AP90,B_B_FLUX_PLAW_AP,B_B_FLUX_PLAW_AP90,B_B_KP_INTRA_PROB,B_B_KS_INTRA_PROB,B_B_PHOTFLUX_AP,B_B_PHOTFLUX_AP90,B_B_PHOTFLUX_AP90_AVG,B_B_PHOTFLUX_AP_AVG,B_B_VAR_INTER_INDEX,B_B_VAR_INTER_PROB,B_B_VAR_INTER_SIGMA,B_B_VAR_INTRA_INDEX,B_B_VAR_INTRA_PROB,B_BB_AMPL,B_BB_AMPL_RHAT,B_BB_KT,B_BB_KT_RHAT,B_BB_NH,B_BB_NH_RHAT,B_BB_STAT,B_BREMS_KT,B_BREMS_KT_RHAT,B_BREMS_NH,B_BREMS_NH_RHAT,B_BREMS_NORM,B_BREMS_NORM_RHAT,B_BREMS_STAT,B_FLUX_APEC,B_FLUX_BB,B_FLUX_BREMS,B_FLUX_PLAW,B_H_FLUX_AP,B_H_FLUX_AP90,B_H_FLUX_AP90_AVG,B_H_FLUX_AP_AVG,B_H_FLUX_APEC_AP,B_H_FLUX_APEC_AP90,B_H_FLUX_BB_AP,B_H_FLUX_BB_AP90,B_H_FLUX_BREMS_AP,B_H_FLUX_BREMS_AP90,B_H_FLUX_PLAW_AP,B_H_FLUX_PLAW_AP90,B_H_KP_INTRA_PROB,B_H_KS_INTRA_PROB,B_H_PHOTFLUX_AP,B_H_PHOTFLUX_AP90,B_H_PHOTFLUX_AP90_AVG,B_H_PHOTFLUX_AP_AVG,B_H_VAR_INTER_INDEX,B_H_VAR_INTER_PROB,B_H_VAR_INTER_SIGMA,B_H_VAR_INTRA_INDEX,B_H_VAR_INTRA_PROB,B_HARDNESS_RATIO_HM,B_HARDNESS_RATIO_HS,B_HARDNESS_RATIO_MS,B_M_FLUX_AP90,B_M_FLUX_AP90_AVG,B_M_FLUX_AP_AVG,B_M_FLUX_APEC_AP,B_M_FLUX_APEC_AP90,B_M_FLUX_BB_AP,B_M_FLUX_BB_AP90,B_M_FLUX_BREMS_AP,B_M_FLUX_BREMS_AP90,B_M_FLUX_PLAW_AP,B_M_FLUX_PLAW_AP90,B_M_KP_INTRA_PROB,B_M_KS_INTRA_PROB,B_M_PHOTFLUX_AP,B_M_PHOTFLUX_AP90,B_M_PHOTFLUX_AP90_AVG,B_M_PHOTFLUX_AP_AVG,B_M_VAR_INTER_INDEX,B_M_VAR_INTER_PROB,B_M_VAR_INTER_SIGMA,B_M_VAR_INTRA_INDEX,B_M_VAR_INTRA_PROB,B_POWLAW_AMPL,B_POWLAW_AMPL_RHAT,B_POWLAW_GAMMA,B_POWLAW_GAMMA_RHAT,B_POWLAW_NH,B_POWLAW_NH_RHAT,B_POWLAW_STAT,B_S_FLUX_AP,B_S_FLUX_AP90,B_S_FLUX_AP90_AVG,B_S_FLUX_AP_AVG,B_S_FLUX_APEC_AP,B_S_FLUX_APEC_AP90,B_S_FLUX_BB_AP,B_S_FLUX_BB_AP90,B_S_FLUX_BREMS_AP,B_S_FLUX_BREMS_AP90,B_S_FLUX_PLAW_AP,B_S_FLUX_PLAW_AP90,B_S_KP_INTRA_PROB,B_S_KS_INTRA_PROB,B_S_PHOTFLUX_AP,B_S_PHOTFLUX_AP90,B_S_PHOTFLUX_AP90_AVG,B_S_PHOTFLUX_AP_AVG,B_S_VAR_INTER_INDEX,B_S_VAR_INTER_PROB,B_S_VAR_INTER_SIGMA,B_S_VAR_INTRA_INDEX,B_S_VAR_INTRA_PROB
0,481,0.0,0.9467455621301775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142857142857143e-06,5.907780979827089e-06,6.368876080691643e-06,2.6970443349753693e-06,0.0,0.00997,1.0542986425339365e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7579737335834896e-07,5.555555555555554e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28149300155521e-07,7.605633802816901e-07,8.52112676056338e-07,3.8569206842923796e-07,0.0,0.0,0.0,0.0,0.0,-0.4174174174174174,-0.7217217217217217,-0.40840840840840836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.417266187050359e-06,4.422413793103448e-05,4.2413793103448274e-05,9.023323615160351e-06,0.375,0.449,0.002515759312320917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.440758293838863e-05,6.1671469740634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2129783693843596e-05,9.266666666666668e-05,8.47682119205298e-05,2.18694885361552e-05,0.0,0.18600000000000003,0.0023269230769230767,0.0,0.0
1,52,1.0,0.8875739644970414,0.011436170212765957,0.0022735674676524955,0.004186851211072665,0.004172932330827068,0.008515625,0.004119718309859155,0.008260869565217393,0.85,0.84,0.005381773399014779,0.012305475504322766,0.011902017291066281,0.005036945812807882,0.0,0.0,0.0,0.0,0.0516,0.0022627118644067794,0.0,0.1380622837370242,0.0,1.6130952380952382e-10,0.0,0.019856115107913668,0.196,0.0,0.0039502074688796684,0.0,0.0011643356643356642,0.0,0.0132370820668693,0.0,0.0023044397463002114,0.0026899383983572897,0.002693877551020408,0.0019324577861163227,0.00374074074074074,0.0032592592592592586,0.0016472795497185742,0.002233820459290188,0.00481981981981982,0.002345403899721449,0.005030120481927711,0.0023069053708439894,0.004917582417582418,0.002276595744680851,0.004872448979591836,0.596,0.902,0.002161741835147745,0.0048591549295774646,0.00454225352112676,0.001975116640746501,0.0,0.0,0.0,0.0,0.0558,0.2492492492492492,0.15715715715715714,-0.09499499499499499,0.06794871794871794,0.06366559485530547,0.010425531914893617,0.012658959537572251,0.175609756097561,0.012799999999999999,0.176,0.012631578947368423,0.17603305785123965,0.012647058823529414,0.1743801652892562,0.71,0.8079999999999999,0.012057553956834532,0.0710344827586207,0.07086206896551725,0.011836734693877552,0.0,0.0,0.0,0.0,0.185,0.002142857142857143,0.0,0.15458422174840084,0.0,0.005879629629629629,0.0,0.02025287356321839,0.02298578199052133,0.05331412103746397,0.05160349854227406,0.021793275217932753,0.021428571428571432,0.21033210332103325,0.01926121372031662,0.1917443408788283,0.022371638141809293,0.21844660194174756,0.023501199040767386,0.22813238770685582,0.7070000000000001,0.469,0.01680532445923461,0.06653333333333333,0.06688741721854305,0.01747795414462081,0.0,0.0,0.0,0.0,0.15
2,873,0.0,0.9467455621301775,0.0325531914893617,0.012033271719038818,0.01674740484429066,0.016353383458646616,0.03375,0.016126760563380284,0.03297101449275362,1.0,0.981,0.017241379310344827,0.040057636887608064,0.040057636887608064,0.017241379310344827,0.0,0.0,0.0,0.6,0.977,0.0024322033898305086,0.0,0.20761245674740483,0.0,3.315476190476191e-10,0.0,0.009784172661870504,1.0,0.0,0.017634854771784232,0.0,0.0067132867132867115,0.0,0.02340425531914894,0.0,0.010887949260042284,0.010390143737166324,0.011734693877551017,0.010750469043151972,0.021555555555555553,0.021555555555555553,0.010750469043151972,0.010981210855949896,0.024144144144144144,0.011114206128133705,0.024457831325301202,0.01104859335038363,0.024175824175824173,0.011016548463356974,0.02423469387755102,1.0,0.985,0.010824261275272163,0.024964788732394366,0.024964788732394366,0.010824261275272163,0.0,0.0,0.0,0.6,0.9259999999999999,0.4874874874874875,0.6406406406406406,0.2212212212212212,0.0,0.0,0.0325531914893617,0.035549132947976875,0.0,0.03565714285714285,0.0,0.035497076023391805,0.0,0.035470588235294115,0.0,0.9990000000000001,0.997,0.034676258992805756,0.0,0.0,0.03513119533527697,0.0,0.0,0.0,0.0,0.133,0.004485714285714286,0.0,0.08507462686567163,0.0,0.010324074074074074,0.0,0.026206896551724135,0.028672985781990522,0.06974063400576368,0.07055393586005831,0.030136986301369864,0.02807881773399016,0.2804428044280443,0.028232189973614773,0.2849533954727031,0.027750611246943765,0.2766990291262136,0.027458033573141482,0.2706855791962175,0.00796,0.15,0.025457570715474213,0.10266666666666667,0.10198675496688742,0.026984126984126982,0.0,0.0,0.0,0.0,0.0636
3,456,0.0,0.9467455621301775,2.138297872340425e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.729064039408867e-06,8.069164265129683e-06,7.118155619596541e-06,3.226600985221675e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.401408450704225e-07,4.214618973561431e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011858974358974358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3597122302158274e-05,0.00012586206896551724,7.181034482758621e-05,1.3119533527696794e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7654028436018962e-05,3.487031700288184e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6971713810316137e-05,5.486666666666667e-05,6.006622516556291e-05,1.615520282186949e-05,0.0,0.0,0.0,0.0,0.0
4,622,0.0,0.9467455621301775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.97536945812808e-07,4.236311239193084e-06,3.0547550432276656e-06,5.049261083743842e-07,0.0,0.33799999999999997,0.00019570135746606332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.306376360808709e-07,0.0,1.4894366197183097e-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.5115115115115114,-0.7877877877877877,-0.4684684684684684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.467625899280576e-06,2.9224137931034483e-05,2.198275862068965e-05,2.3906705539358597e-06,0.0,0.0007019999999999999,0.002343839541547278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.036605657237937e-05,4.4733333333333334e-05,3.602649006622517e-05,8.41269841269841e-06,0.0,0.244,0.01673076923076923,0.0,0.0
5,206,1.0,0.8284023668639053,5.3191489361702114e-05,0.0,2.0795847750865055e-05,1.906015037593985e-05,3.890625e-05,1.823943661971831e-05,3.688405797101449e-05,0.986,0.909,2.5369458128078822e-05,5.85014409221902e-05,5.389048991354467e-05,2.3399014778325123e-05,0.625,0.7170000000000001,7.352941176470588e-05,0.0,0.0,2.1610169491525424e-05,0.0,0.10865051903114187,0.0,2.166666666666667e-10,0.0,0.016762589928057556,0.0699,0.0,0.00024564315352697095,0.0,4.370629370629371e-06,0.0,0.01595744680851064,0.0,8.202959830866807e-06,1.0636550308008214e-05,1.0469387755102038e-05,6.979362101313322e-06,1.3333333333333332e-05,0.0,0.0,8.747390396659708e-06,1.8738738738738736e-05,8.969359331476324e-06,1.927710843373494e-05,8.87468030690537e-06,1.89010989010989e-05,8.817966903073285e-06,1.892857142857143e-05,0.94,0.894,9.082426127527216e-06,2.0140845070422534e-05,1.8943661971830983e-05,8.367029548989113e-06,0.375,0.564,9.028571428571428e-06,0.0,0.0,0.18018018018018014,-0.07877877877877877,-0.25625625625625625,0.0003128205128205128,0.0,0.0,5.734104046242774e-05,0.0007869918699186992,5.7714285714285716e-05,0.0007904,5.7485380116959064e-05,0.0007925619834710743,5.747058823529412e-05,0.0007884297520661155,0.625,0.8440000000000001,5.7985611510791367e-05,0.00033879310344827587,0.0003232758620689655,5.481049562682216e-05,0.625,0.782,0.004813753581661892,0.0,0.0,1.0285714285714286e-05,0.0,0.1833688699360341,0.0,0.0025787037037037037,0.0,0.024827586206896554,0.00013744075829383887,0.0003227665706051872,0.0,0.0,0.00014408866995073894,0.0013776137761377612,0.00013852242744063324,0.0013448735019973373,0.0001466992665036675,0.0013834951456310677,0.0001486810551558753,0.0014066193853427898,0.956,0.8759999999999999,0.00011281198003327788,0.000432,0.0003781456953642384,0.00010511463844797177,0.375,0.456,0.004269230769230769,0.0,0.0
6,628,0.0,0.9467455621301775,0.0,0.0,1.3875432525951558e-05,1.1616541353383457e-05,2.421875e-05,1.0845070422535212e-05,2.2318840579710145e-05,0.873,0.976,1.7733990147783254e-05,4.178674351585015e-05,4.005763688760807e-05,1.6995073891625616e-05,0.625,0.871,5.814479638009049e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.078799249530957e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.331259720062208e-07,0.0,0.0,0.0,0.0,0.0445,1.177142857142857e-06,0.0,0.0,0.0,-0.8438438438438437,0.0,0.0,0.0,0.0,0.0,0.0004910569105691057,0.0,0.0004959999999999999,0.0,0.0004942148760330578,0.0,0.0004909090909090909,0.795,0.922,0.0,0.00021120689655172413,0.0,0.0,0.5,0.5760000000000001,0.004412607449856734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001481042654028436,0.0003573487031700288,0.0,0.0,0.00014408866995073894,0.0014637146371463715,0.00014775725593667546,0.0015046604527296941,0.0001430317848410758,0.0014441747572815531,0.00014268585131894484,0.0014302600472813239,0.8420000000000001,0.9390000000000001,0.0001204658901830283,0.00049,0.0004662251655629139,0.00012345679012345677,0.625,0.7170000000000001,0.005634615384615384,0.0,0.0
7,551,0.0,0.9467455621301775,6.01063829787234e-05,2.809611829944547e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.9990000000000001,2.327586206896552e-05,3.371757925072046e-05,2.939481268011527e-05,1.3916256157635468e-05,0.0,0.457,0.0013800904977375565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.945590994371482e-06,5.481481481481481e-06,1.7555555555555554e-06,6.99812382739212e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6858475894245724e-06,6.30281690140845e-06,3.123239436619718e-06,1.3934681181959567e-06,0.0,0.228,4.405714285714285e-06,0.0,0.0,-0.25425425425425424,-0.4884884884884884,-0.2602602602602602,0.0002512820512820513,0.00021864951768488746,3.7340425531914886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.971223021582734e-05,0.0002543103448275862,0.000246551724137931,4.285714285714286e-05,0.375,0.565,0.07335243553008597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015639810426540287,0.00018472622478386168,0.00022040816326530612,0.00010323785803237859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011547420965058238,0.00023333333333333333,0.00030794701986754965,8.977072310405643e-05,0.625,0.759,0.14596153846153845,0.0,0.0
8,618,0.0,0.9467455621301775,7.659574468085106e-05,0.0,3.401384083044982e-05,2.8496240601503757e-05,5.390625e-05,2.6584507042253522e-05,4.9782608695652176e-05,0.9990000000000001,0.9990000000000001,4.37192118226601e-05,9.337175792507204e-05,0.0001314121037463977,5.689655172413793e-05,0.0,0.344,5.791855203619909e-05,0.0,0.445,0.0005449152542372881,0.0,0.050346020761245676,0.0,1.892857142857143e-09,0.0,0.014028776978417265,0.0143,0.0,0.0013029045643153528,0.0,1.1398601398601398e-05,0.0,0.018693009118541035,0.0,8.266384778012685e-06,5.2772073921971255e-06,1.0653061224489796e-05,0.0,5.592592592592591e-06,0.0,0.0,0.0,9.774774774774773e-06,0.0,1.0060240963855421e-05,0.0,9.835164835164833e-06,0.0,9.846938775510205e-06,0.0474,0.361,0.0,1.0035211267605635e-05,1.8133802816901408e-05,0.0,0.0,0.17,2.0228571428571426e-06,0.0,0.428,0.0,0.0,0.0,0.0,0.0,0.0,8.208092485549133e-05,0.0,8.285714285714286e-05,0.0,8.187134502923976e-05,0.0,8.176470588235295e-05,0.0,0.983,0.991,8.158273381294965e-05,0.0,0.0006991379310344828,0.0,0.0,0.33,0.03151862464183382,0.0,0.361,3.1714285714285715e-05,0.0,0.3326226012793177,0.0,0.009259259259259259,0.0,0.026896551724137928,0.0002950236966824645,0.0006743515850144091,0.0,0.0,0.00031280788177339905,0.002865928659286593,0.000320580474934037,0.002969374167776299,0.0003117359413202934,0.002839805825242718,0.0003105515587529976,0.0028132387706855796,0.976,0.988,0.0002628951747088186,0.0009666666666666667,0.0011788079470198675,0.00032980599647266314,0.0,0.35600000000000004,0.0054423076923076925,0.2,0.738
9,301,1.0,0.836094674556213,0.20478723404255317,0.1044362292051756,0.12179930795847752,0.1018796992481203,0.0,0.09507042253521127,0.0,1.0,1.0,0.16133004926108377,0.0,0.0,0.16133004926108377,0.0,0.0,0.0,0.2,0.748,0.01949152542372881,0.0,0.20242214532871972,0.0,6.845238095238096e-11,0.0,1.0,0.207,0.0,4.813278008298756e-09,0.0,0.023671328671328668,0.0,1.0,0.0,0.08054968287526428,0.059137577002053396,0.08612244897959184,0.08874296435272044,3.2592592592592586e-05,3.2592592592592586e-05,0.08874296435272044,0.07473903966597076,1.0225225225225224e-05,0.0766016713091922,1.0542168674698796e-05,0.07570332480818413,1.0329670329670329e-05,0.07517730496453902,1.0306122448979593e-05,0.9309999999999999,0.973,0.07776049766718508,1.0880281690140844e-05,1.0880281690140844e-05,0.07776049766718508,0.0,0.0,0.0,0.0,0.037000000000000005,0.5215215215215215,0.17417417417417413,-0.38238238238238237,0.0,0.0,0.20478723404255317,0.22023121387283237,0.0,0.22342857142857142,0.0,0.22105263157894733,0.0,0.22058823529411764,0.0,0.706,0.878,0.22589928057553957,0.0,0.0,0.22886297376093295,0.0,0.0,0.0,0.0,0.00859,0.03638095238095239,0.0,0.10159914712153517,0.0,1.0694444444444444e-10,0.0,1.0,0.6931279620853082,0.0,0.0,0.7285180572851807,0.7056650246305421,0.0,0.7150395778364115,0.0,0.7066014669926651,0.0,0.7038369304556354,0.0,0.99,0.997,0.5856905158069884,0.0,0.0,0.6208112874779541,0.0,0.0,0.0,0.0,0.41200000000000003
