,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,XOFFSET_
0,V1037 CAS            ,7.262917,59.571944,RITTERLMXB      ,             ,2CXO J002903.0+593419 ,7.262675,59.571945,0.007
1,IGR J00291+5934      ,7.262917,59.571944,INTREFCAT       ,INTEGRAL     ,2CXO J002903.0+593419 ,7.262675,59.571945,0.007
2,XMMU J004245.2+41172 ,10.688333,41.289167,INTREFCAT       ,INTEGRAL     ,2CXO J004244.8+411728 ,10.686879,41.291118,0.134
3,XMMU J004245.2+41172 ,10.688333,41.289167,INTREFCAT       ,INTEGRAL     ,2CXO J004245.2+411722 ,10.688401,41.289518,0.021
4,XMMU J004245.2+41172 ,10.688333,41.289167,INTREFCAT       ,INTEGRAL     ,2CXO J004246.1+411728 ,10.69217,41.291326,0.216
5,XMMU J004414.0+41220 ,11.058333,41.367778,INTREFCAT       ,INTEGRAL     ,2CXO J004414.4+412204 ,11.060336,41.368015,0.091
6,XMMU J004438.1+41451 ,11.15875,41.753056,INTREFCAT       ,INTEGRAL     ,2CXO J004437.9+414512 ,11.15814,41.753439,0.036
7,1WGA J0146.3+6144    ,26.596667,61.749806,WGACAT          ,ROSAT        ,2CXO J014622.4+614503 ,26.593348,61.750834,0.113
8,4U0142+614           ,26.592144,61.752053,XRBCAT          ,             ,2CXO J014622.4+614503 ,26.593348,61.750834,0.081
9,HD 22468             ,54.197083,0.587778,INTREFCAT       ,INTEGRAL     ,2CXO J033647.2+003515 ,54.197048,0.587742,0.003
10,4U0512-401           ,78.52731,-40.04366,XRBCAT          ,             ,2CXO J051406.3-400249 ,78.526581,-40.047013,0.204
11,1H 0512-401          ,78.5275,-40.043611,INTREFCAT       ,INTEGRAL     ,2CXO J051406.3-400249 ,78.526581,-40.047013,0.208
12,1WGA J0514.1-4002    ,78.525,-40.045722,WGACAT          ,ROSAT        ,2CXO J051406.3-400249 ,78.526581,-40.047013,0.106
13,4U0512-401           ,78.52731,-40.04366,XRBCAT          ,             ,2CXO J051406.4-400238 ,78.526849,-40.043909,0.026
14,1H 0512-401          ,78.5275,-40.043611,INTREFCAT       ,INTEGRAL     ,2CXO J051406.4-400238 ,78.526849,-40.043909,0.035
15,1WGA J0514.1-4002    ,78.525,-40.045722,WGACAT          ,ROSAT        ,2CXO J051406.4-400238 ,78.526849,-40.043909,0.138
16,4U0512-401           ,78.52731,-40.04366,XRBCAT          ,             ,2CXO J051406.5-400237X,78.527446,-40.04383,0.012
17,1H 0512-401          ,78.5275,-40.043611,INTREFCAT       ,INTEGRAL     ,2CXO J051406.5-400237X,78.527446,-40.04383,0.013
18,1WGA J0514.1-4002    ,78.525,-40.045722,WGACAT          ,ROSAT        ,2CXO J051406.5-400237X,78.527446,-40.04383,0.16
19,4U0512-401           ,78.52731,-40.04366,XRBCAT          ,             ,2CXO J051406.5-400249 ,78.527197,-40.047125,0.208
20,1H 0512-401          ,78.5275,-40.043611,INTREFCAT       ,INTEGRAL     ,2CXO J051406.5-400249 ,78.527197,-40.047125,0.211
21,1WGA J0514.1-4002    ,78.525,-40.045722,WGACAT          ,ROSAT        ,2CXO J051406.5-400249 ,78.527197,-40.047125,0.131
22,1WGA J0514.1-4002    ,78.525,-40.045722,WGACAT          ,ROSAT        ,2CXO J051406.6-400250 ,78.52791,-40.047392,0.167
23,4U0512-401           ,78.52731,-40.04366,XRBCAT          ,             ,2CXO J051406.8-400248 ,78.528442,-40.046729,0.191
24,1H 0512-401          ,78.5275,-40.043611,INTREFCAT       ,INTEGRAL     ,2CXO J051406.8-400248 ,78.528442,-40.046729,0.192
25,1WGA J0514.1-4002    ,78.525,-40.045722,WGACAT          ,ROSAT        ,2CXO J051406.8-400248 ,78.528442,-40.046729,0.169
26,4U0512-401           ,78.52731,-40.04366,XRBCAT          ,             ,2CXO J051407.0-400248 ,78.529286,-40.04678,0.208
27,1H 0512-401          ,78.5275,-40.043611,INTREFCAT       ,INTEGRAL     ,2CXO J051407.0-400248 ,78.529286,-40.04678,0.207
28,1WGA J0514.1-4002    ,78.525,-40.045722,WGACAT          ,ROSAT        ,2CXO J051407.0-400248 ,78.529286,-40.04678,0.207
29,EXO 0748-676         ,117.140833,-67.7525,INTREFCAT       ,INTEGRAL     ,2CXO J074833.7-674507 ,117.140456,-67.752074,0.027
30,EXO0748-676          ,117.140826,-67.75245,XRBCAT          ,             ,2CXO J074833.7-674507 ,117.140456,-67.752074,0.024
31,UY VOL               ,117.140417,-67.752222,RITTERLMXB      ,             ,2CXO J074833.7-674507 ,117.140456,-67.752074,0.009
32,1WGA J0748.5-6745    ,117.1375,-67.754306,WGACAT          ,ROSAT        ,2CXO J074833.7-674507 ,117.140456,-67.752074,0.15
33,1WGA J0748.5-6745    ,117.135833,-67.754278,WGACAT          ,ROSAT        ,2CXO J074833.7-674507 ,117.140456,-67.752074,0.169
34,1WGA J0748.5-6745    ,117.144167,-67.751444,WGACAT          ,ROSAT        ,2CXO J074833.7-674507 ,117.140456,-67.752074,0.092
35,1WGA J0748.5-6745    ,117.145,-67.751361,WGACAT          ,ROSAT        ,2CXO J074833.7-674507 ,117.140456,-67.752074,0.112
36,1WGA J0748.5-6745    ,117.14375,-67.751139,WGACAT          ,ROSAT        ,2CXO J074833.7-674507 ,117.140456,-67.752074,0.094
37,1WGA J0748.5-6745    ,117.144167,-67.751444,WGACAT          ,ROSAT        ,2CXO J074836.1-674459 ,117.150791,-67.74997,0.175
38,1WGA J0748.5-6745    ,117.145,-67.751361,WGACAT          ,ROSAT        ,2CXO J074836.1-674459 ,117.150791,-67.74997,0.156
39,1WGA J0748.5-6745    ,117.14375,-67.751139,WGACAT          ,ROSAT        ,2CXO J074836.1-674459 ,117.150791,-67.74997,0.175
40,BW ANT               ,142.334167,-31.384167,RITTERLMXB      ,             ,2CXO J092920.1-312303 ,142.334101,-31.384266,0.007
41,E1048.1-5937         ,162.532607,-59.88764,XRBCAT          ,             ,2CXO J105007.1-595321 ,162.529818,-59.889314,0.131
42,E1048.1-5937         ,162.532607,-59.88764,XRBCAT          ,             ,2CXO J105007.5-595321 ,162.531367,-59.889177,0.099
