#name,ra,dec,usrid,separation,probability,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w
 2CXO J000009.3+135618, 00 00 09.39,+13 56 18.58,  88054,     0.76,     0.06,     0.79,     0.77,     64.2,     1.95,                TRUE,FALSE,FALSE,FALSE,2.953e-15,1.243e-15,4.663e-15,         ,         ,         
 2CXO J000015.4+005246, 00 00 15.48,+00 52 46.54,  60004,     0.77,     0.21,     2.56,     1.87,     26.8,     6.03,                TRUE,FALSE,FALSE,FALSE,4.659e-14,3.624e-14,5.695e-14,         ,         ,         
 2CXO J000026.2+134604, 00 00 26.29,+13 46 04.73,  87680,     0.70,     0.22,     2.75,     1.67,     92.1,     8.37,                TRUE,FALSE,FALSE,FALSE,1.382e-13,1.187e-13,1.565e-13,         ,         ,         
 2CXO J000102.4-245848, 00 01 02.45,-24 58 48.53,  13224,     0.90,     0.06,     0.72,     0.72,      0.0,    12.49,                TRUE,FALSE,FALSE,FALSE,4.876e-14,4.485e-14,5.267e-14,         ,         ,         
 2CXO J000230.7+004959, 00 02 30.71,+00 49 59.06,  59642,     0.28,     0.06,     0.72,     0.72,     64.9,    11.07,                TRUE,FALSE,FALSE,FALSE,1.391e-13,1.260e-13,1.522e-13,         ,         ,         
 2CXO J000322.9-260318, 00 03 22.94,-26 03 18.44,  80111,     0.86,     0.06,     0.71,     0.71,     99.6,    11.75,                TRUE,FALSE,FALSE,FALSE,4.873e-14,4.395e-14,5.351e-14,         ,         ,         
 2CXO J000330.4-260121, 00 03 30.41,-26 01 21.13,  10808,     0.15,     0.08,     1.04,     0.81,     78.6,     2.32,                TRUE,FALSE,FALSE,FALSE,6.283e-15,2.665e-15,9.709e-15,         ,         ,         
 2CXO J000338.9+160220, 00 03 38.97,+16 02 20.42,   8386,     0.52,     0.06,     0.79,     0.75,     66.2,    44.67,                TRUE,FALSE,FALSE,FALSE,6.355e-13,6.208e-13,6.502e-13,         ,         ,         
 2CXO J000552.3-000655, 00 05 52.35,-00 06 55.38,  48474,     0.73,     0.06,     0.75,     0.74,    126.0,     3.88,                TRUE,FALSE,FALSE,FALSE,5.618e-15,4.053e-15,7.184e-15,         ,         ,         
 2CXO J000622.6-000424, 00 06 22.64,-00 04 24.86,  49018,     0.46,     0.06,     0.78,     0.76,     40.5,    25.42,                TRUE,FALSE,FALSE,FALSE,6.780e-13,6.503e-13,7.042e-13,         ,         ,         
 2CXO J000654.1-001533, 00 06 54.11,-00 15 33.25,  46549,     0.63,     0.06,     0.72,     0.72,    100.9,     5.58,                TRUE,FALSE,FALSE,FALSE,5.370e-14,4.403e-14,6.337e-14,         ,         ,         
 2CXO J000659.2-001740, 00 06 59.29,-00 17 40.78,  46053,     0.96,     0.07,     0.84,     0.79,    109.8,     4.11,                TRUE,FALSE,FALSE,FALSE,2.917e-14,2.198e-14,3.636e-14,         ,         ,         
 2CXO J000703.6+155423, 00 07 03.60,+15 54 23.67,  34270,     0.63,     0.06,     0.72,     0.72,     25.4,     8.63,                TRUE,FALSE,FALSE,FALSE,5.460e-13,4.822e-13,6.097e-13,         ,         ,         
 2CXO J000856.7+155045, 00 08 56.80,+15 50 45.75,  92363,     0.88,     0.07,     0.90,     0.76,     75.1,     4.89,                TRUE,FALSE,FALSE,FALSE,4.591e-14,3.527e-14,5.589e-14,         ,         ,         
 2CXO J001106.5-120627, 00 11 06.56,-12 06 27.45,  30985,     0.73,     0.06,     0.72,     0.72,      0.0,    11.70,                TRUE, TRUE,FALSE,FALSE,1.525e-13,1.395e-13,1.655e-13,         ,         ,         
 2CXO J001240.2-302226, 00 12 40.24,-30 22 26.27, 127206,     0.74,     0.20,     2.45,     1.61,    170.4,    17.61,                TRUE,FALSE,FALSE,FALSE,1.368e-13,1.204e-13,1.532e-13,         ,         ,         
 2CXO J001306.1+000431, 00 13 06.16,+00 04 31.85,  50910,     0.55,     0.06,     0.75,     0.74,    111.0,     3.65,                TRUE,FALSE,FALSE,FALSE,2.077e-14,1.508e-14,2.647e-14,         ,         ,         
 2CXO J001317.4-000635, 00 13 17.47,-00 06 35.27,  48546,     0.47,     0.30,     3.77,     2.27,     97.4,     7.15,                TRUE,FALSE,FALSE,FALSE,1.348e-13,1.133e-13,1.564e-13,         ,         ,         
 2CXO J001414.3-302239, 00 14 14.38,-30 22 39.89,   6507,     0.94,     0.06,     0.74,     0.73,     13.2,     6.00,                TRUE,FALSE,FALSE,FALSE,1.855e-14,1.619e-14,2.075e-14,         ,         ,         
 2CXO J001438.3-010751, 00 14 38.31,-01 07 51.50, 165975,     0.63,     0.19,     2.41,     1.67,     65.4,     7.41,                TRUE,FALSE,FALSE,FALSE,8.178e-14,6.969e-14,9.316e-14,         ,         ,         
 2CXO J001821.8+161942, 00 18 21.81,+16 19 42.35,  11170,     0.66,     0.15,     1.80,     1.11,    102.8,     8.70,                TRUE,FALSE,FALSE,FALSE,1.405e-14,1.093e-14,1.718e-14,         ,         ,         
 2CXO J001827.0+162859, 00 18 27.06,+16 28 59.47,  93445,     0.96,     0.06,     0.74,     0.72,    159.0,     6.96,                TRUE,FALSE,FALSE,FALSE,9.443e-15,8.077e-15,1.081e-14,         ,         ,         
 2CXO J001837.3+163446, 00 18 37.35,+16 34 46.01,  93605,     0.68,     0.07,     0.82,     0.78,     28.1,     9.54,                TRUE,FALSE,FALSE,FALSE,1.497e-14,1.336e-14,1.658e-14,         ,         ,         
 2CXO J001837.4+163756, 00 18 37.49,+16 37 56.77,  11126,     0.24,     0.09,     1.06,     0.88,     40.2,     9.48,                TRUE,FALSE,FALSE,FALSE,1.509e-14,1.316e-14,1.703e-14,         ,         ,         
 2CXO J001854.8+162952, 00 18 54.88,+16 29 52.27,  11150,     0.22,     0.08,     0.98,     0.80,     67.7,     6.55,                TRUE,FALSE,FALSE,FALSE,7.388e-15,6.185e-15,8.590e-15,         ,         ,         
 2CXO J002025.2+154054, 00 20 25.22,+15 40 54.60,  92012,     0.56,     0.06,     0.71,     0.71,    113.0,    23.67,                TRUE, TRUE,FALSE,FALSE,2.607e-13,2.497e-13,2.717e-13,         ,         ,         
 2CXO J002034.6-705526, 00 20 34.68,-70 55 26.38,  30349,     0.76,     0.06,     0.72,     0.71,     75.5,    10.16,                TRUE,FALSE,FALSE,FALSE,1.100e-13,9.885e-14,1.205e-13,         ,         ,         
 2CXO J002037.9+284231, 00 20 37.92,+28 42 31.67,  27286,     0.52,     0.06,     0.72,     0.72,    125.9,    10.89,                TRUE,FALSE,FALSE,FALSE,2.111e-13,1.917e-13,2.293e-13,         ,         ,         
 2CXO J002133.2+004301, 00 21 33.27,+00 43 01.01,  58624,     0.92,     0.06,     0.72,     0.72,     30.7,     6.54,                TRUE, TRUE,FALSE,FALSE,3.489e-14,8.723e-15,6.106e-14,         ,         ,         
 2CXO J002140.9+003841, 00 21 41.00,+00 38 41.60,   7588,     0.68,     0.07,     0.86,     0.80,      3.1,    11.00,                TRUE, TRUE,FALSE,FALSE,5.086e-13,4.348e-13,5.781e-13,         ,         ,         
 2CXO J002209.9+001629, 00 22 09.96,+00 16 29.25,  53490,     0.75,     0.08,     0.96,     0.77,     68.0,    15.77,                TRUE,FALSE,FALSE,FALSE,5.385e-14,5.023e-14,5.747e-14,         ,         ,         
 2CXO J002227.4+012412, 00 22 27.48,+01 24 12.49,  63512,     0.71,     0.06,     0.79,     0.78,    110.1,     3.09,                TRUE,FALSE,FALSE,FALSE,2.396e-14,1.597e-14,3.151e-14,         ,         ,         
 2CXO J002301.4-275238, 00 23 01.49,-27 52 38.77,  90251,     0.23,     0.07,     0.87,     0.77,    102.8,     4.73,                TRUE,FALSE,FALSE,FALSE,2.784e-14,2.188e-14,3.381e-14,         ,         ,         
 2CXO J002317.0-275319, 00 23 17.09,-27 53 19.95,  90400,     0.34,     0.08,     1.00,     0.76,    136.1,     4.76,                TRUE,FALSE,FALSE,FALSE,3.702e-14,2.874e-14,4.485e-14,         ,         ,         
 2CXO J002342.3+002041, 00 23 42.39,+00 20 41.89,  54388,     0.99,     0.27,     3.38,     2.24,    167.3,    14.66,                TRUE,FALSE,FALSE,FALSE,1.080e-13,9.709e-14,1.189e-13,         ,         ,         
 2CXO J002410.9-015647, 00 24 10.91,-01 56 47.34,  38704,     0.33,     0.14,     1.69,     1.69,      0.0,     2.16,            MARGINAL,FALSE,FALSE,FALSE,2.539e-15,1.237e-15,3.776e-15,         ,         ,         
 2CXO J002637.4+165953, 00 26 37.50,+16 59 53.72,  11085,     0.23,     0.44,     5.73,     4.32,      4.2,     5.14,                TRUE,FALSE,FALSE,FALSE,5.691e-14,4.500e-14,6.882e-14,         ,         ,         
 2CXO J002707.7+170750, 00 27 07.79,+17 07 50.71,  11063,     0.56,     0.11,     1.32,     1.06,     52.1,    16.69,                TRUE,FALSE,FALSE,FALSE,1.200e-13,1.122e-13,1.277e-13,         ,         ,         
 2CXO J002716.1-014646, 00 27 16.17,-01 46 46.70,  31510,     0.55,     0.15,     1.89,     1.40,     72.1,    10.36,                TRUE,FALSE,FALSE,FALSE,7.017e-13,6.332e-13,7.702e-13,         ,         ,         
 2CXO J002725.2+045429, 00 27 25.26,+04 54 29.66,  72069,     0.58,     0.08,     1.03,     1.03,      0.0,    12.96,                TRUE,FALSE,FALSE,FALSE,4.296e-14,3.932e-14,4.660e-14,         ,         ,         
