index,class,src_id,src_name,livetime,significance,likelihood,gti_obs,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,hard_hm,hard_hs,hard_ms,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,flux_bb_hilim,flux_bb_lolim,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_stat,hard_hm_hilim,hard_hm_lolim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,flux_powlaw_hilim,flux_powlaw_lolim,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl_hilim,powlaw_ampl_lolim,bb_ampl_lolim,bb_ampl_hilim,flux_brems_lolim,flux_brems_hilim,brems_kt_hilim,brems_kt_lolim,brems_nh_hilim,brems_nh_lolim,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim
0,BH,BH0001,1A 0620-00          ,41932.7,23.63,3822.529,2000-02-29T04:03:25,1.18358e-05,0.9964000000000001,7.8,0.0025371399999999994,0.00118278,0.00125702,0.00012125599999999999,0.49779999999999996,0.5988,0.4218,1.0,14.10226627227136,14.232231357465015,14.161932082639916,3.5346199999999997e-06,2.6721000000000002e-06,3.10766e-06,0.0974,-0.1761,-0.2673,,,,,,,,,,,,,,,,,0.2255,-0.0381,-0.0606,-0.2954,-0.1655,-0.3679,,,,,,,,,,,,,,,,,,,,
1,BH,BH0001,1A 0620-00          ,39623.0,23.63,3822.529,2005-08-20T09:03:34,1.18358e-05,0.9964000000000001,7.8,0.00335796,0.0032610800000000004,0.00330598,3.4747e-05,0.4264,0.46719999999999995,0.18380000000000002,0.0,13.6773094413256,13.763468784416245,13.717297243156692,9.4052e-06,7.601999999999999e-06,8.517e-06,-0.1324,-0.2898,-0.1624,13.369267107182804,2.451,23.29,1.971e-05,0.836,13.489186989487504,13.450751443145943,13.537302591898284,0.4657,1.986e-06,7.262e-05,1.936,13.385313657717987,2.481,11.05,0.859,-0.0468,-0.2217,-0.2105,-0.3691,-0.0956,-0.228,13.331334584545507,13.406935568341282,2.686,2.239,29.79,17.38,2.405e-05,1.625e-05,6.822e-05,9.334e-05,13.433798281145087,13.353400248279627,3.134,2.0,15.48,6.992,0.5002,0.4332,1.035,
2,BH,BH0001,1A 0620-00          ,29673.9,23.63,3822.529,2013-12-09T01:11:41,1.18358e-05,0.9964000000000001,7.8,0.007894179999999999,0.004828519999999999,0.005101260000000001,0.00042634179999999995,0.42919999999999997,0.5602,0.35459999999999997,0.4,13.339159176967849,13.413232714189364,13.376213344258261,1.8542000000000003e-05,1.4035999999999999e-05,1.6290200000000002e-05,0.04,-0.0912,-0.1299,13.030770520137358,2.193,23.98,3.559e-05,0.846,13.114469166811908,13.079720105367052,13.147154181985004,0.592,1.225e-07,6.391e-05,1.743,13.044167989767578,3.44,13.14,0.814,0.1068,-0.0281,-0.0194,-0.1618,-0.0618,-0.1968,13.00256992620253,13.063787955679752,2.379,2.02,30.6,17.94,4.25e-05,2.99e-05,6.046e-05,7.81e-05,13.083177715404087,13.01399006814674,4.313,2.799,17.89,8.83,0.6263,0.5576,0.8602,
0,BH,BH0003,GINGA 1354-645      ,39516.5,20.86,2946.576,2010-09-30T23:42:24,1.4700599999999999e-06,0.49260000000000004,2.6,0.0041335,0.0029326499999999998,0.0034093000000000005,0.0003798625,0.7999999999999999,0.74175,0.50475,1.75,13.532400772758876,13.615073401607845,13.574371236189823,8.4064e-06,6.610300000000002e-06,7.514199999999999e-06,0.1062,0.5609,0.4822,13.261774551857496,2.348,86.94,3.707e-05,1.288,13.35008128126458,13.300162274132754,13.456801414362353,0.7053,23.21,2.223e-05,2.494,13.281249265260335,3.559,64.63,1.498,0.1755,0.0344,0.634,0.4841,0.5628,0.3991,13.221559316428767,13.311580177997289,2.65,2.074,104.4,71.84,5.159e-05,2.71e-05,1.426e-05,3.601e-05,13.372736583431779,13.236871623200862,5.139,2.614,76.58,54.17,0.7901,0.627,35.2,13.05
1,BH,BH0003,GINGA 1354-645      ,19807.2,20.86,2946.576,2012-10-31T17:20:25,1.4700599999999999e-06,0.49260000000000004,2.6,0.00429675,0.003188725,0.0036391,0.0003822125,0.7597499999999999,0.8009999999999999,0.4365,0.75,13.442817497425686,13.54941836792139,13.493841459009975,1.0557799999999999e-05,7.1222e-06,8.839199999999998e-06,0.1636,0.6034,0.4859,,,,,,,,,,,,,,,,,0.2555,0.0681,0.6989,0.5041,0.6002,0.3691,,,,,,,,,,,,,,,,,,,,
2,BH,BH0003,GINGA 1354-645      ,19803.6,20.86,2946.576,2012-11-03T09:23:02,1.4700599999999999e-06,0.49260000000000004,2.6,0.00364075,0.0026268249999999997,0.0030426,0.00034812499999999996,0.513,0.81175,0.40225,0.25,13.487755990315657,13.604621180177846,13.544816979135353,8.0806e-06,5.7272e-06,6.6032e-06,0.2761,0.5522,0.3223,,,,,,,,,,,,,,,,,0.3729,0.173,0.654,0.4428,0.4616,0.1843,,,,,,,,,,,,,,,,,,,,
0,BH,BH0004,GRO J1655-40        ,42550.7,13.83,1116.716,2000-07-01T19:24:36,9.601775000000002e-06,0.996,7.5,0.001568425,0.00069005,0.0007425,0.00011483049999999999,0.51725,0.6884999999999999,0.5465,0.5,14.121556338576593,14.27899939431219,14.193898749025447,1.8602e-06,1.25062e-06,1.5264e-06,0.3548,0.7708,0.5709,,,,,,,,,,,,,,,,,0.4766,0.2217,0.8601,0.6627,0.7239,0.3966,,,,,,,,,,,,,,,,,,,,
1,BH,BH0004,GRO J1655-40        ,18207.1,13.83,1116.716,2009-06-08T02:44:36,9.601775000000002e-06,0.996,7.5,0.005442499999999999,0.0039033000000000006,0.004341575,0.00041522499999999997,0.9534999999999999,0.828,0.46099999999999997,0.75,13.246813501989156,13.341137552424945,13.291483497611306,1.05442e-05,8.17832e-06,9.234e-06,0.3273,0.8232,0.6771,13.105794740857917,2.741,176.6,0.0001146,0.536,13.118615343229427,13.062883489232947,13.214100971615617,0.758,66.0,3.24e-05,0.409,13.104798525221106,2.593,138.3,0.417,0.4066,0.2442,0.8801,0.7589,0.7739,0.569,13.047304400413083,13.19873352951038,3.158,2.364,219.2,141.1,0.0001973,6.962e-05,2.132e-05,5.044e-05,13.196065150136159,13.052468254304406,3.55,1.982,168.6,113.2,0.8334,0.6885,89.6,46.56
0,BH,BH0008,IGR J17464-3213     ,22445.1,6.9,155.7,2004-02-12T20:39:58,1.5616666666666666e-06,0.9803333333333333,7.0,0.0030145,0.00086805,0.00105305,0.0003258,0.8314999999999999,0.888,0.618,2.5,14.063394783826787,14.283989974963028,14.162462064059087,1.7622399999999997e-06,9.5578e-07,1.27534e-06,0.6184,0.9994,0.9994,,,,,,,,,,,,,,,,,0.7539,0.4603,1.0,0.9126,1.0,0.6839,,,,,,,,,,,,,,,,,,,,
1,BH,BH0008,IGR J17464-3213     ,28362.6,6.9,155.7,2004-03-24T18:10:59,1.5616666666666666e-06,0.9803333333333333,7.0,0.00070555,0.00044130000000000005,0.0004525,3.2124999999999995e-05,0.171,0.306,0.44799999999999995,0.0,14.307860155344164,14.609962655933947,14.434867940540197,8.95134e-07,3.7838000000000003e-07,5.736e-07,0.6171,0.9994,0.9994,,,,,,,,,,,,,,,,,0.7889,0.4041,1.0,0.8501,1.0,0.5178,,,,,,,,,,,,,,,,,,,,
