,A_NAME,A_RA,A_DEC,A_COUNT_RATE,A_COUNT_RATE_ERROR,A_FLUX,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,B_SIGNIFICANCE,B_B_FLUX_AP,B_B_FLUX_AP_HI,B_B_FLUX_AP_LO,B_M_FLUX_AP,B_M_FLUX_AP_HI,B_M_FLUX_AP_LO,XOFFSET_
21,CXOGLB J002405.6-720449,6.023529,-72.080314,0.001001,0.000133,8.148e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.6-720453 ,6.027839,-72.081529,3.535,4.51e-16,7.02E-16      ,2.00E-16      ,1.97e-16,3.09E-16      ,8.52E-17      ,0.108
22,CXOGLB J002406.3-720443,6.026558,-72.078611,0.01404,0.0002268,9.186e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002407.2-720446 ,6.030276,-72.079591,3.737,2.23e-16,3.31E-16      ,1.16E-16      ,0.0,              ,              ,0.09
23,CXOGLB J002406.3-720443,6.026542,-72.078603,0.01018,0.0003906,6.841e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002407.2-720446 ,6.030276,-72.079591,3.737,2.23e-16,3.31E-16      ,1.16E-16      ,0.0,              ,              ,0.091
24,[HPH2013] 101          ,10.65535,41.28613,0.01323,0.0008383,4e-13,M31CFCXO        ,CHANDRA      ,2CXO J004237.3+411709 ,10.655445,41.286063,16.74,0.0,              ,              ,0.0,              ,              ,0.006
25,IGR J00234+6141        ,5.74,61.684,0.0,0.0,7.296e-12,INTIBISGAL      ,INTEGRAL     ,2CXO J002257.6+614107 ,5.740186,61.685396,38.79,5.59e-12,5.73E-12      ,5.45E-12      ,6.06e-13,6.33E-13      ,5.80E-13      ,0.084
26,IGR J00234+6141        ,5.74,61.685,0.0,0.0,5.299e-12,IBISCAT         ,INTEGRAL     ,2CXO J002257.6+614107 ,5.740186,61.685396,38.79,5.59e-12,5.73E-12      ,5.45E-12      ,6.06e-13,6.33E-13      ,5.80E-13      ,0.024
27,IGR J00234+6141        ,5.74,61.685556,0.0,0.0,0.0,INTREFCAT       ,INTEGRAL     ,2CXO J002257.6+614107 ,5.740186,61.685396,38.79,5.59e-12,5.73E-12      ,5.45E-12      ,6.06e-13,6.33E-13      ,5.80E-13      ,0.011
28,IGR J00234+6141        ,5.742,61.686,0.0,0.0,7.9e-12,INTIBISASS      ,INTEGRAL     ,2CXO J002257.6+614107 ,5.740186,61.685396,38.79,5.59e-12,5.73E-12      ,5.45E-12      ,6.06e-13,6.33E-13      ,5.80E-13      ,0.063
29,1RXS J002258.3+614111  ,5.742917,61.686389,0.08,0.02,0.0,RASS2MASS       ,ROSAT        ,2CXO J002257.6+614107 ,5.740186,61.685396,38.79,5.59e-12,5.73E-12      ,5.45E-12      ,6.06e-13,6.33E-13      ,5.80E-13      ,0.098
30,CXOGLB J002359.3-720438,5.997488,-72.077386,0.0001481,6.611e-05,1.098e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002358.7-720436 ,5.994653,-72.076693,2.814,0.0,3.61E-17      ,0.00E+00      ,0.0,3.72E-17      ,0.00E+00      ,0.067
31,CXOGLB J002359.3-720438,5.997358,-72.077347,0.0001521,2.705e-05,1.027e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002358.7-720436 ,5.994653,-72.076693,2.814,0.0,3.61E-17      ,0.00E+00      ,0.0,3.72E-17      ,0.00E+00      ,0.064
32,CXOGLB J002359.3-720438,5.997488,-72.077386,0.0001481,6.611e-05,1.098e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002359.4-720438 ,5.997523,-72.077393,3.429,4.88e-16,5.95E-16      ,3.80E-16      ,9.68e-17,1.42E-16      ,5.21E-17      ,0.001
33,CXOGLB J002359.3-720438,5.997358,-72.077347,0.0001521,2.705e-05,1.027e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002359.4-720438 ,5.997523,-72.077393,3.429,4.88e-16,5.95E-16      ,3.80E-16      ,9.68e-17,1.42E-16      ,5.21E-17      ,0.004
34,CXOGLB J002359.3-720438,5.997488,-72.077386,0.0001481,6.611e-05,1.098e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002359.6-720443 ,5.998446,-72.078629,1.955,0.0,6.72E-17      ,0.00E+00      ,0.0,              ,              ,0.077
