A_NAME,A_RA,A_DEC,A_COUNT_RATE,A_COUNT_RATE_ERROR,A_FLUX,A_DATABASE_TABLE,B_RA,B_DEC,sig,B_DEC,B_SIGNIFICANCE,B_B_FLUX_AP,B_B_FLUX_AP_HI,B_B_FLUX_AP_LO,B_M_FLUX_AP,B_M_FLUX_AP_HI,B_M_FLUX_AP_LO,XOFFSET_
[HPH2013] 142          ,10.67815,41.26247,5.1E-14,M31CFCXO        ,CHANDRA      ,2CXO J004242.7+411544 ,10.678273,41.262422,17.24,0,              ,              ,0,              ,              ,0.006,,
[HPH2013] 143          ,10.67817,41.27079,3E-15,M31CFCXO        ,CHANDRA      ,2CXO J004242.7+411614 ,10.678239,41.270734,10.38,0,              ,              ,0,              ,              ,0.005,,
[HPH2013] 145          ,10.67915,41.25285,6.9E-13,M31CFCXO        ,CHANDRA      ,2CXO J004243.0+411510 ,10.679268,41.252825,17.44,0,              ,              ,0,              ,              ,0.006,,
[HPH2013] 146          ,10.67963,41.26783,7.6E-14,M31CFCXO        ,CHANDRA      ,2CXO J004243.1+411603 ,10.679678,41.267771,12.98,0,              ,              ,0,              ,              ,0.004,,
[HPH2013] 150          ,10.68213,41.21194,6.2E-13,M31CFCXO        ,CHANDRA      ,2CXO J004243.7+411242 ,10.682241,41.211877,16.28,0,              ,              ,0,              ,              ,0.006,,
[HPH2013] 157          ,10.68278,41.29307,1.4E-15,M31CFCXO        ,CHANDRA      ,2CXO J004243.8+411734 ,10.682873,41.293036,3.026,0,              ,              ,0,              ,              ,0.005,,
[HPH2013] 160          ,10.68316,41.29876,1.6E-14,M31CFCXO        ,CHANDRA      ,2CXO J004243.9+411755 ,10.683206,41.298743,19.7,0,              ,              ,0,              ,              ,0.002,,
[HPH2013] 169          ,10.68497,41.26952,2.1E-14,M31CFCXO        ,CHANDRA      ,2CXO J004244.3+411608A,10.684844,41.269087,20.5,0,              ,              ,0,              ,              ,0.027,,
[HPH2013] 176          ,10.68766,41.25587,7.5E-15,M31CFCXO        ,CHANDRA      ,2CXO J004245.0+411520 ,10.687728,41.255816,11.31,0,              ,              ,0,              ,              ,0.004,,
[HPH2013] 192          ,10.69645,41.2722,2.2E-12,M31CFCXO        ,CHANDRA      ,2CXO J004247.1+411619 ,10.696541,41.272151,52.93,0,              ,              ,0,              ,              ,0.005,,
[HPH2013] 196          ,10.69766,41.2522,4.8E-14,M31CFCXO        ,CHANDRA      ,2CXO J004247.4+411507 ,10.697724,41.252111,8.111,0,              ,              ,0,              ,              ,0.006,,
[HPH2013] 205          ,10.7029,41.27406,3.1E-15,M31CFCXO        ,CHANDRA      ,2CXO J004248.7+411626 ,10.702984,41.274022,12.84,0,              ,              ,0,              ,              ,0.004,,
[HPH2013] 206          ,10.70435,41.32181,2E-13,M31CFCXO        ,CHANDRA      ,2CXO J004249.0+411918 ,10.704442,41.321843,22.58,0,              ,              ,0,              ,              ,0.005,,
[HPH2013] 213          ,10.70738,41.27595,1.2E-13,M31CFCXO        ,CHANDRA      ,2CXO J004249.7+411633 ,10.707449,41.275895,22.92,0,              ,              ,0,              ,              ,0.005,,
[HPH2013] 223          ,10.71595,41.27171,1.9E-15,M31CFCXO        ,CHANDRA      ,2CXO J004251.8+411618 ,10.716006,41.271726,2.789,0,              ,              ,0,              ,              ,0.003,,
[HPH2013] 228          ,10.71865,41.30013,5.4E-13,M31CFCXO        ,CHANDRA      ,2CXO J004252.5+411800 ,10.718775,41.300103,28.45,0,              ,              ,0,              ,              ,0.006,,
[HPH2013] 232          ,10.71987,41.24142,2.3E-13,M31CFCXO        ,CHANDRA      ,2CXO J004252.7+411428 ,10.71999,41.241346,13.92,0,              ,              ,0,              ,              ,0.007,,
[HPH2013] 233          ,10.72001,41.27751,2.1E-15,M31CFCXO        ,CHANDRA      ,2CXO J004252.8+411638 ,10.720158,41.277456,4.412,0,              ,              ,0,              ,              ,0.007,,
[HPH2013] 236          ,10.724,41.31293,1.4E-13,M31CFCXO        ,CHANDRA      ,2CXO J004253.7+411846 ,10.724144,41.312881,23.33,0,              ,              ,0,              ,              ,0.007,,
[HPH2013] 239          ,10.73018,41.34608,1.8E-14,M31CFCXO        ,CHANDRA      ,2CXO J004255.2+412046 ,10.73028,41.34616,12.04,0,              ,              ,0,              ,              ,0.007,,
[HPH2013] 243          ,10.73228,41.29799,2.6E-14,M31CFCXO        ,CHANDRA      ,2CXO J004255.7+411752 ,10.732368,41.297931,4.909,0,              ,              ,0,              ,              ,0.005,,
[HPH2013] 245          ,10.73683,41.19788,7.1E-14,M31CFCXO        ,CHANDRA      ,2CXO J004256.8+411152 ,10.736955,41.197853,4.432,0,              ,              ,0,              ,              ,0.006,,
[HPH2013] 248          ,10.74057,41.13697,6.8E-13,M31CFCXO        ,CHANDRA      ,2CXO J004257.7+410812 ,10.740612,41.136835,12.67,0,              ,              ,0,              ,              ,0.008,,
[HPH2013] 252          ,10.74723,41.2786,9.1E-14,M31CFCXO        ,CHANDRA      ,2CXO J004259.3+411642 ,10.747254,41.278594,13.41,0,              ,              ,0,              ,              ,0.001,,
[HPH2013] 256          ,10.75304,41.19093,7.4E-14,M31CFCXO        ,CHANDRA      ,2CXO J004300.7+411127 ,10.753214,41.190888,8.826,0,              ,              ,0,              ,              ,0.008,,
[HPH2013] 267          ,10.76359,41.20336,3.3E-14,M31CFCXO        ,CHANDRA      ,2CXO J004303.3+411211 ,10.763846,41.203226,9.597,0,              ,              ,0,              ,              ,0.014,,
