obs_id,src_id,num_obs,src_n,name,ra,dec,livetime,significance,likelihood,class,hard_hm,hard_hs,hard_ms,var_inter_prob_b,var_inter_index_b,flux_aper_lolim_m,flux_aper_lolim_h,flux_aper_lolim_s,var_inter_sigma_m,var_inter_sigma_s,var_inter_index_m,var_inter_index_s,var_inter_index_h,flux_aper_hilim_u,var_mean_b,var_sigma_b,ks_prob_b,var_prob_b,var_inter_sigma_u
CV_230_obs_0,CV_230,1,OGLE-BLG-DN-851, 2CXO J181044.4-260901,272.6853,-26.15037,31871.5,9.29,512.9755,CV,-0.2124,-0.5547,-0.3848,0.97201,6.45,14.44454278279535,14.329105046479787,14.260506769218384,4.01943e-06,3.3857779999999975e-06,2.25,4.96,1.61,14.159831150759244,0.0034560000000000003,2.856e-05,0.8290000000000001,0.084,3.0133427e-06
CV_232_obs_0,CV_232,1,V__V495_Hya, 2CXO J084400.0+023919,131.0004,2.655357,14773.7,11.15,294.0370000000001,CV,0.0487,-0.0762,-0.1237,0.9963000000000004,5.25,13.422738046414185,13.447575154295913,13.461551948289785,4.394990000000001e-06,3.304291899999998e-06,4.06,4.06,1.56,14.314694672550974,0.01923,7.588e-05,0.07200000000000001,0.092,5.671902899999996e-06
CV_234_obs_0,CV_234,1,SDSSJ133833.06+292908.5, 2CXO J133833.0+292908,204.6378,29.48583,37644.6,9.15,325.7926,CV,0.0849,0.1099,0.0237,0.8319600000000001,5.06,14.266401539038661,13.721932669111338,14.348625056086956,1.1176390000000003e-06,8.291900000000009e-07,5.01,2.57,4.13,13.03995754427316,0.003062,0.0004329,0.198,0.421,5.8225306000000084e-05
CV_236_obs_0,CV_236,1,OGLE-BLG-DN-645, 2CXO J180451.3-274512,271.2141,-27.75337,9829.1,5.14,109.4669,CV,0.2873,0.3723,0.0912,0.8627500000000002,5.0,14.46470587995723,13.499214827082545,14.788345599446814,4.734213999999999e-07,8.835000000000002e-08,2.74,3.0,5.0,15.063989204284791,0.003416,0.0001494,0.053,0.14300000000000002,9.397962659999997e-06
CV_239_obs_0,CV_239,1,CXOGBS_J174028.3-271136, 2CXO J174028.3-271136,265.1182,-27.19339,2153.8,3.35,222.0481,CV,-0.3873,0.1836,0.5572,0.7745900000000002,5.12,13.747146969020108,14.014124642691606,15.741602195904493,4.585300000000002e-06,2.535521999999999e-06,5.15,4.02,6.13,13.03819936080832,0.0070950000000000015,0.0005175,0.294,0.267,4.805735100000001e-06
CV_240_obs_0,CV_240,1,CXOGBS_J173946.9-271809, 2CXO J173946.9-271809,264.9457,-27.30265,2150.8,5.96,211.8675,CV,0.6371,0.9994,0.9994,0.9320499999999994,5.73,13.713543530253016,12.4601714416221,14.91605235792581,4.688981200000001e-05,2.8823030000000024e-05,4.89,3.67,3.47,13.048419655096607,0.02113,0.002076,0.799,0.312,1.6334352599999992e-05
CV_245_obs_0,CV_245,1,SDSSJ155252.48+320150.9, 2CXO J155252.4+320150,238.2187,32.03079,3121.6,6.18,540.9292,CV,-0.06,-0.3485,-0.2898,0.7913600000000006,5.01,13.791558643561432,13.500725418107784,13.665144310382708,1.573418100000001e-06,9.939831000000007e-07,4.42,1.01,4.13,13.630969778190849,0.01519,0.0009793,0.534,0.135,4.822085000000006e-06
CV_253_obs_0,CV_253,1,HS_1813+6122, 2CXO J181429.7+612335,273.6241,61.39317,4897.2,5.2,117.4018,CV,0.3598,0.1924,-0.1886,0.7027,5.29,14.05320397272854,13.249800272170818,14.195996945270386,1.5233750000000005e-06,1.7375582e-06,4.7,2.62,2.61,14.679505444302402,0.007425,0.003864,0.973,0.856,2.0352252999999986e-06
CV_255_obs_0,CV_255,1,MASTER_OT_J040556.85+714813.1, 2CXO J040556.8+714816,61.48706,71.80466,28678.8,4.86,53.30116,CV,0.2061,0.1287,-0.0899,0.8058100000000004,5.0,14.323123568026865,13.617802789622544,14.47961105595862,1.0035300000000004e-06,7.735691000000014e-07,5.01,1.1,4.43,13.269702337902851,0.003732,4.981e-05,0.14,0.155,5.9124809000000086e-05
CV_256_obs_0,CV_256,1,V__CP_Tuc, 2CXO J231518.9-591028,348.8288,-59.17455,49313.1,10.04,301.4733,CV,-0.3448,-0.6408,-0.3748,0.9310400000000008,5.02,14.258375742496188,14.393188853081035,13.993533957750769,4.245167800000001e-05,2.898120000000002e-05,4.98,4.48,2.02,12.030444315779155,0.003097,3.595e-05,0.156,0.142,6.612159000000011e-05
CV_260_obs_0,CV_260,1,V__EU_Cnc, 2CXO J085127.1+114656,132.8633,11.78249,46254.7,4.57,104.6578,CV,0.1774,0.0837,-0.0987,0.8277799999999993,5.0,15.133771752620351,14.546987608878545,15.176590985107456,1.6515279999999993e-07,2.4960671000000005e-07,3.34,2.21,3.03,14.743282254022516,0.0006236000000000001,0.00028930000000000004,0.336,0.856,5.868432000000002e-07
