obs_id,true_class,level_a_prob,level_a_class,level_b_prob,level_b_class,th_class,truth,is_ok,class,src_n,src_id,significance
BH_OBS_141,BH,1.0,['XRB'],0.9991374663072776,BH,BH,1,1,BH,J1745-2900          ,BH0027,337.0
PULSAR_OBS_161,PULSAR,0.9954466912455776,['PULSAR'],0.9949982295482296,PULSAR,PULSAR,1,1,PULSAR,PSR J1400-6325,PL0049,56.35
PULSAR_OBS_190,PULSAR,0.994023166023166,['PULSAR'],1.0,PULSAR,PULSAR,1,1,PULSAR,PSR J1635-4735,PL0065,15.74
BH_OBS_84,BH,0.974904281176443,['XRB'],1.0,BH,BH,1,1,BH,CXOU J100516.2-07423,BH0020,16.78
PULSAR_OBS_12,PULSAR,0.9770223341992897,['PULSAR'],0.6566886555075178,PULSAR,PULSAR,1,1,PULSAR,PSR J0100-7211,PL0003,65.51
NS_OBS_173,NS,0.9770631953030589,['XRB'],1.0,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0044,49.26
NS_OBS_143,NS,0.9769808953138488,['XRB'],0.970305575240844,NS,NS,1,1,NS,KS 1731-260         ,NS0033,14.81
CV_OBS_2,CV,0.8961360304130366,['CV'],0.9608256776379336,CV,CV,1,1,CV,[DSH2013] 24          ,CV0001,9.81
PULSAR_OBS_128,PULSAR,0.9717015629156656,['PULSAR'],0.9799723371789235,PULSAR,PULSAR,1,1,PULSAR,PSR J1023-574,PL0029,22.45
PULSAR_OBS_266,PULSAR,0.9989761904761905,['PULSAR'],1.0,PULSAR,PULSAR,1,1,PULSAR,PSR J1745-2900,PL0081,107.91
CV_OBS_647,CV,0.9316998498359058,['CV'],0.9471234667335036,CV,CV,1,1,CV,CXOGLB J002411.8-72044,CV0092,5.0
PULSAR_OBS_164,PULSAR,0.9880455864333108,['PULSAR'],0.9875678970244838,PULSAR,PULSAR,1,1,PULSAR,PSR J1418-605,PL0053,12.04
BH_OBS_79,BH,0.9755888322934676,['XRB'],0.997412398921833,BH,BH,1,1,BH,CXOU J100515.4-07425,BH0019,17.39
BH_OBS_61,BH,0.7555273809669195,['XRB'],0.9950874885146994,BH,BH,1,1,BH,CXOU J100514.2-07423,BH0018,16.29
NS_OBS_201,NS,0.6872504360131915,['XRB'],0.9983625336927224,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0044,49.26
NS_OBS_11,NS,0.984204529486915,['XRB'],0.9980211726384364,NS,NS,1,1,NS,1A 1742-289         ,NS0001,167.36
CV_OBS_394,CV,0.892005004167291,['CV'],0.9493862177129389,CV,CV,1,1,CV,CXOGLB J002402.5-72051,CV0070,22.52
CV_OBS_686,CV,0.9794717858352735,['CV'],0.9960406091370559,CV,CV,1,1,CV,XMMSL2 J004231.9+41162,CV0110,174.76
PULSAR_OBS_39,PULSAR,0.9831862167821191,['PULSAR'],0.990044409250996,PULSAR,PULSAR,1,1,PULSAR,PSR J0359+5414,PL0010,9.65
NS_OBS_155,NS,0.8974724868361497,['XRB'],0.9901752021563344,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0044,49.26
PULSAR_OBS_394,PULSAR,0.9828192623807284,['PULSAR'],0.990356821106821,PULSAR,PULSAR,1,1,PULSAR,PSR J1856+0113,PL0108,15.97
CV_OBS_668,CV,0.9333221137460683,['CV'],0.9620298846310188,CV,CV,1,1,CV,CXOGLB J002416.9-72042,CV0094,38.28
CV_OBS_35,CV,1.0,['CV'],1.0,CV,CV,1,1,CV,[HPH2013] 100         ,CV0002,37.03
NS_OBS_118,NS,0.9737264219127109,['XRB'],0.9918126684636119,NS,NS,1,1,NS,GRS 1741.9-2853     ,NS0021,376.06
PULSAR_OBS_200,PULSAR,0.8591214667365119,['PULSAR'],0.5368731397666313,BH,X,2,0,PULSAR,PSR J1702-4128,PL0070,2.61
CV_OBS_775,CV,1.0,['CV'],1.0,CV,CV,1,1,CV,XMMSL2 J004231.9+41162,CV0110,174.76
NS_OBS_75,NS,0.9890433911828181,['XRB'],0.997145098822983,NS,NS,1,1,NS,3A 2129+470         ,NS0011,41.03
NS_OBS_74,NS,0.9629261749185315,['XRB'],0.9938701662084276,NS,NS,1,1,NS,3A 2129+470         ,NS0011,41.03
CV_OBS_691,CV,0.9919750664733346,['CV'],0.9986802030456852,CV,CV,1,1,CV,XMMSL2 J004231.9+41162,CV0110,174.76
CV_OBS_512,CV,0.9586221516275752,['CV'],0.9927670437636674,CV,CV,1,1,CV,CXOGLB J002406.0-72045,CV0081,25.99
CV_OBS_429,CV,0.9711816412374539,['CV'],0.9850899231396832,CV,CV,1,1,CV,CXOGLB J002403.6-72045,CV0073,12.38
CV_OBS_424,CV,0.9071049719648346,['CV'],0.940032049071506,CV,CV,1,1,CV,CXOGLB J002403.6-72045,CV0073,12.38
CV_OBS_391,CV,0.9546647378936782,['CV'],0.9692177658577832,CV,CV,1,1,CV,CXOGLB J002402.1-72054,CV0069,46.73
PULSAR_OBS_49,PULSAR,0.9571291334133583,['PULSAR'],0.9677535623733224,PULSAR,PULSAR,1,1,PULSAR,PSR J0418+5732,PL0011,73.32
PULSAR_OBS_254,PULSAR,0.9806248706338918,['PULSAR'],0.9255228442728441,PULSAR,PULSAR,1,1,PULSAR,PSR J1745-2900,PL0081,107.91
BH_OBS_95,BH,0.9746599087647155,['XRB'],0.9692943568199106,BH,BH,1,1,BH,CXOU J100516.5-07420,BH0021,16.75
BH_OBS_89,BH,0.9851183307910947,['XRB'],0.9991374663072776,BH,BH,1,1,BH,CXOU J100516.2-07423,BH0020,16.78
CV_OBS_613,CV,0.8572588998459372,['CV'],0.8570349945016686,CV,CV,1,1,CV,CXOGLB J002410.0-72044,CV0089,8.28
NS_OBS_358,NS,0.7469269154306992,['XRB'],0.8727497763994231,NS,NS,1,1,NS,J1824-2452          ,NS0062,92.0
CV_OBS_664,CV,0.9711394039915551,['CV'],0.9920812182741117,CV,CV,1,1,CV,CXOGLB J002415.8-72043,CV0093,21.99
PULSAR_OBS_270,PULSAR,0.9989761904761905,['PULSAR'],0.9989761904761905,PULSAR,PULSAR,1,1,PULSAR,PSR J1745-2900,PL0081,107.91
NS_OBS_151,NS,0.9150936431452821,['XRB'],0.9573631855491277,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0044,49.26
PULSAR_OBS_61,PULSAR,0.9682231842775437,['PULSAR'],0.8240189909755774,PULSAR,PULSAR,1,1,PULSAR,PSR J0525-6607,PL0014,117.49
