obs_id,src_id,num_obs,src_n,name,ra,dec,livetime,significance,likelihood,class,photflux_aper_hilim_b,photflux_aper_hilim_h,flux_aper_hilim_b,photflux_aper_hilim_s,photflux_aper_hilim_m,hard_hs,hard_hm,flux_aper_hilim_s,hard_ms,flux_aper_hilim_h,flux_aper_hilim_m,photflux_aper_hilim_u,flux_aper_hilim_u,photflux_aper_b,flux_aper_b,var_inter_prob_b,var_inter_sigma_b,flux_aper_lolim_b,photflux_aper_lolim_b,var_inter_sigma_s,var_inter_prob_m,var_inter_sigma_m,var_inter_prob_s,var_inter_index_b,var_inter_prob_h,var_inter_sigma_h,photflux_aper_h,photflux_aper_lolim_h,flux_aper_h,photflux_aper_m,flux_aper_m,flux_aper_lolim_h,var_max_b,var_mean_b,var_min_b,var_sigma_b,kp_prob_b,ks_prob_b,var_prob_b,photflux_aper_s,var_inter_index_h,var_inter_index_m,flux_aper_lolim_m,photflux_aper_lolim_m,flux_aper_s,photflux_aper_lolim_s,flux_aper_lolim_s,var_inter_index_s
CV_0_obs_0,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,4903.5,11.31,304.4646,CV,5.140904113686966,6.21645371772965,14.167171870460647,6.109802613789971,6.322119418488409,-0.9994,0.9994,14.861697301833718,-0.9994,14.231287919622336,14.89859664944467,4.583359492661719,13.834458923277626,5.32598499022637,14.299561554133986,0.888239999999999,0.0004617480000000004,14.479956154228546,5.728129792088108,1.8976610000000025e-05,0.8554799999999995,8.828570000000006e-05,0.6566200000000005,5.12,0.9024599999999995,0.00011260709999999989,6.3799754186730855,6.643511516453782,14.45324145661777,6.427412502920795,15.024400226611574,14.87153611875515,0.014136469999999998,0.011085030000000004,0.009210530000000005,0.0013401878999999995,0.39665999999999996,0.41111999999999993,0.3381500000000001,6.261571643862989,5.04,5.24,14.852761639974847,6.218768453452933,15.057965030571879,6.500526252598049,15.294336901663979,4.17
CV_0_obs_1,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3974.2,11.31,304.4646,CV,5.909741947068683,6.069866354158882,14.11565785235294,5.768785352037399,5.703904679719872,-0.9994,-0.9553389999999987,14.634699251362013,-0.22551300000000005,14.212256228353533,14.296529099409002,3.6836102489268048,12.923359556329657,6.099876071362346,14.36921383902013,1.0,0.0004695920000000005,15.534852939243894,6.975969373158641,2.572840000000002e-05,1.0,8.275350000000007e-05,0.6536400000000003,6.0,1.0,0.00010983239999999991,6.307325631339951,7.012664240723684,14.454250454181519,5.82281873449876,14.445174563880634,15.254481785743923,0.029815000000000015,0.008268275000000002,0.004569865000000003,0.0059463979999999994,0.51471,0.5734999999999998,0.5245599999999999,5.998752003341667,5.73,5.14,14.740725306859288,6.062480756845713,14.871646956139378,6.646401623561648,15.525209538095064,4.25
CV_0_obs_2,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3907.5,11.31,304.4646,CV,5.705754283861882,6.072219150652625,14.388701637703571,5.507379277956808,6.132414673452963,-0.9994,0.9994,14.24420134302617,-0.9994,14.144662595530459,14.723538195826755,3.7162466166674735,12.95233580539844,5.9791276577882355,14.594853507627503,1.0,0.0004631240000000005,15.12830229629552,6.834441199770785,2.5460000000000017e-05,0.99997,8.438990000000007e-05,0.6507500000000003,6.0,1.0,9.183829999999987e-05,6.309147300972001,6.813830458200672,14.328309334041649,6.185238466358802,14.796426466172017,15.139508153933686,0.030259800000000007,0.008097885,0.004484583000000001,0.006171070000000001,0.5059400000000002,0.6062799999999998,0.5295599999999998,5.808269606637143,5.69,5.29,14.837429803281735,6.186247761513873,14.532243948755967,6.994177451261671,15.762707662432542,4.33
CV_0_obs_3,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3907.5,11.31,304.4646,CV,5.847100403606253,5.934047019686131,14.06833876031552,5.82623117686335,6.1024828705994745,-0.9994,0.9994,14.692290076595194,-0.9994,14.076082776886894,14.693574972449312,3.7269987279362624,12.978397283971757,5.987909132928028,14.310187472076237,1.0,0.00047076800000000053,14.952200935014739,6.829652528002325,2.5460000000000017e-05,1.0,8.243300000000008e-05,0.6564500000000004,6.0,1.0,0.00011060339999999993,6.134483562997138,6.662496671119718,14.31426488862219,6.185570302327749,14.77866808004254,14.726567485062033,0.03035130000000001,0.007562275,0.002842691000000001,0.006276687999999999,0.54734,0.6553799999999999,0.5242799999999999,6.074041432030258,5.69,5.26,14.849547512503259,6.201442585109461,14.901800536069413,6.657812334889766,15.507984615951043,4.27
CV_0_obs_4,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3907.5,11.31,304.4646,CV,5.394264106123253,5.727694155597914,13.890759031411797,5.830913642512977,5.903089986991944,0.4247,0.9994,14.696587929403258,-0.9994,13.904133546521457,14.47573373123302,3.771599641296995,13.000434511774017,5.647817481888637,14.159517512786557,1.0,0.00047076800000000053,15.004628093971837,6.411280220399943,2.553720000000002e-05,1.0,8.275350000000007e-05,0.6536200000000004,6.0,1.0,0.00010851139999999994,6.007534852191957,7.329754146925876,14.19422736806433,6.059218169993169,14.681172657510315,15.495257363728312,0.030417400000000008,0.008041223000000002,0.004394863000000002,0.006219938999999999,0.5226000000000001,0.57344,0.5302,6.09974073754773,5.69,5.2,14.818570428936711,6.173512554243933,14.904196768000936,6.664845189215709,15.545160337068664,4.32
CV_0_obs_5,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,39875.5,11.31,304.4646,CV,6.35144484433733,6.841637507904751,15.040195683491662,6.746661994673894,6.685922008220787,-0.9994,-0.3073,15.382370702242158,0.0837,15.122455892284057,15.311936303053656,4.95506845385084,14.620694482249418,6.631341287607773,15.331241458249043,0.8949799999999993,0.0005259799999999999,16.67366413907125,7.953504835665291,7.382435999999999e-05,0.8511899999999996,0.00013183789999999997,0.6345100000000004,5.16,0.8996299999999994,0.00016272709999999986,7.084106278605183,7.9584441901532,15.400929889944472,6.943095148663527,15.569119053547109,16.073394189613953,0.0144285,0.010462853000000001,0.008492650000000004,0.0014463668999999998,0.38414999999999994,0.3452399999999997,0.3587300000000002,7.023669454178373,5.08,5.22,16.382056565171027,7.7559704109699785,15.646068070730003,6.835801065231251,15.635206849833738,4.3
CV_0_obs_6,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,36675.6,11.31,304.4646,CV,6.560667306169737,5.64425400029856,15.534319788401723,6.531209737900389,5.706053625868882,0.5820910000000001,0.09973300000000006,15.442011851775087,0.34004499999999993,13.744279686863553,14.285015496482504,4.6522797829659615,12.84496777120903,6.846191433156009,15.594670525986919,0.8784899999999993,0.0005242689999999997,16.213762044106954,7.590067347159159,5.333400999999998e-05,0.8087399999999996,0.0001359203999999999,0.34954999999999986,5.16,0.9003099999999995,0.00013782119999999993,5.793001645511367,6.060946455650219,13.938944236597717,5.816150576537856,14.421222440085831,14.203507906462086,0.013701379999999996,0.010367209999999998,0.008428230000000002,0.0013286065,0.3620199999999999,0.3369699999999998,0.39785000000000026,6.8201610719768135,5.13,5.15,14.635156658524394,6.015220899936989,15.640640503159602,6.794973543077135,15.622613973961865,3.59
CV_0_obs_7,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,39784.9,11.31,304.4646,CV,6.324130044681043,6.901702463505302,15.144420277498282,6.462432742847325,7.008818242332127,-0.9994,0.9994,15.081497860363827,-0.9994,15.566710314804974,15.667965722972482,4.434506370131138,12.374996398985136,6.585695311871668,15.425274416405927,0.8979199999999992,0.00047086700000000046,16.767766478885267,7.3453422453504755,4.933599999999998e-05,0.8545099999999995,7.99569000000001e-05,0.6510200000000005,5.12,0.8987699999999995,0.00014945799999999986,7.130042430968245,7.8642644059499105,15.657505581212618,7.31704542038779,15.989565076511589,16.441942253417476,0.023836190000000007,0.011038780000000002,0.00811534,0.0029081234000000013,0.47859999999999997,0.4030099999999999,0.55216,6.732828271596986,5.1,5.38,14.864327523197389,6.2175295097331045,15.333294863880102,7.774174008538107,16.081497860363825,4.33
CV_0_obs_8,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3906.9,11.31,304.4646,CV,5.917573699139228,6.06013145554049,14.002395212539545,5.788345599446817,6.1385850813640035,-0.9994,0.9994,14.630413109263655,-0.9994,14.135133085671473,14.729787145103757,3.8486301497525397,13.07355465218161,6.102779278504669,14.264900281824183,1.0,0.00047076800000000053,15.113071172652935,6.919648377077063,2.5460000000000017e-05,1.0,8.243300000000008e-05,0.6564500000000004,6.0,1.0,0.00011060339999999993,6.302281230742006,6.867473377984332,14.289840869282795,6.2029365451494085,14.801655296730614,15.121044939313386,0.030392400000000014,0.008187085,0.004597091000000002,0.006084729,0.5136700000000001,0.6191699999999999,0.5341399999999998,6.002629302719361,5.69,5.27,14.875440714752164,6.230006194942628,14.852114794228825,6.648142928657187,15.510070595107006,4.26
CV_0_obs_9,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3763.1,11.31,304.4646,CV,5.608888386297197,6.005155150446602,14.590404980603184,5.838332587562264,5.917573699139228,-0.9994,-0.5721,14.695940533782402,-0.9994,14.201902067937514,14.59260909552927,3.8548035938858183,13.106071873457394,5.909741947068683,14.836003039586274,1.0,0.0004666520000000005,15.285627370128868,6.454162063106301,2.5460000000000017e-05,1.0,8.275350000000007e-05,0.6564500000000004,6.0,1.0,0.00011009339999999991,6.235245453856115,6.849740745580191,14.460083937016787,6.06157358697414,14.675390377691386,15.125931780667322,0.02277993,0.006291495000000001,0.002661291000000002,0.004324139,0.4951700000000001,0.60308,0.5423699999999999,6.104907844391267,5.69,5.12,14.787501941153865,6.119654400733311,14.902241102551551,6.665819726333029,15.530622475395305,4.26
