,A_NAME,A_ALT_NAME_1,A_RA,A_DEC,A_SOURCE_TYPE,A_SOURCE_TYPE_FLAG,B_NAME,B_RA,B_DEC,XOFFSET_
74,CXOGLB J002400.9-720453,[GHE2001] W58 ,6.003946,-72.081444,QLX          ,                  ,2CXO J002400.9-720453,6.004075,-72.081474,0.003
75,CXOGLB J002400.9-720453,[GHE2001] W58 ,6.003917,-72.081439,QLX          ,                  ,2CXO J002400.9-720453,6.004075,-72.081474,0.004
76,CXOGLB J002401.1-720530,[GHE2001] W309,6.004621,-72.091744,             ,                  ,2CXO J002401.1-720530,6.004664,-72.091836,0.006
77,CXOGLB J002401.6-720257,[GHE2001] W143,6.006804,-72.049378,             ,                  ,2CXO J002401.6-720257,6.007049,-72.049405,0.005
78,CXOGLB J002401.6-720257,[GHE2001] W143,6.007029,-72.049356,             ,                  ,2CXO J002401.6-720257,6.007049,-72.049405,0.003
79,CXOGLB J002401.7-720512,[GHE2001] W81 ,6.007292,-72.086769,             ,                  ,2CXO J002401.7-720512,6.007215,-72.086781,0.002
80,CXOGLB J002401.7-720512,[GHE2001] W81 ,6.00725,-72.086767,             ,                  ,2CXO J002401.7-720512,6.007215,-72.086781,0.001
81,CXOGLB J002402.0-720425,[GHE2001] W305,6.008513,-72.073758,             ,                  ,2CXO J002402.0-720425,6.008433,-72.073742,0.002
82,CXOGLB J002402.1-720450,[GHE2001] W55 ,6.009004,-72.080725,CV           ,?                 ,2CXO J002402.1-720450,6.008913,-72.080727,0.002
83,CXOGLB J002402.1-720450,[GHE2001] W55 ,6.00925,-72.080678,CV           ,?                 ,2CXO J002402.1-720450,6.008913,-72.080727,0.007
84,CXOGLB J002402.1-720542,[GHE2001] W56 ,6.008829,-72.095008,CV           ,                  ,2CXO J002402.1-720542,6.008951,-72.095027,0.003
85,CXOGLB J002402.1-720542,[GHE2001] W56 ,6.008796,-72.094986,CV           ,                  ,2CXO J002402.1-720542,6.008951,-72.095027,0.004
86,CXOGLB J002402.5-720434,[GHE2001] W303,6.010767,-72.076219,             ,                  ,2CXO J002402.6-720434,6.010898,-72.076291,0.005
87,CXOGLB J002402.6-720441,[GHE2001] W80 ,6.010979,-72.078128,             ,                  ,2CXO J002402.6-720441,6.011079,-72.078182,0.004
88,CXOGLB J002402.6-720441,[GHE2001] W80 ,6.010958,-72.078111,             ,                  ,2CXO J002402.6-720441,6.011079,-72.078182,0.005
89,CXOGLB J002402.6-720538,[GHE2001] W52 ,6.010871,-72.094056,             ,                  ,2CXO J002402.6-720538,6.011109,-72.094063,0.004
90,CXOGLB J002402.6-720538,[GHE2001] W52 ,6.011008,-72.094039,             ,                  ,2CXO J002402.6-720538,6.011109,-72.094063,0.002
91,CXOGLB J002402.8-720449,[GHE2001] W51 ,6.011667,-72.080289,CV           ,                  ,2CXO J002402.8-720449,6.011798,-72.080332,0.004
92,CXOGLB J002402.8-720449,[GHE2001] W51 ,6.011767,-72.080281,CV           ,                  ,2CXO J002402.8-720449,6.011798,-72.080332,0.003
93,CXOGLB J002403.4-720505,[GHE2001] W47 ,6.014375,-72.0848,AB           ,                  ,2CXO J002403.4-720505,6.014514,-72.084816,0.003
94,CXOGLB J002403.4-720505,[GHE2001] W47 ,6.014346,-72.084783,AB           ,                  ,2CXO J002403.4-720505,6.014514,-72.084816,0.004
95,CXOGLB J002403.4-720451,[GHE2001] W46 ,6.014558,-72.081094,QLX          ,                  ,2CXO J002403.5-720452,6.014684,-72.081116,0.003
96,CXOGLB J002403.4-720451,[GHE2001] W46 ,6.014538,-72.081089,QLX          ,                  ,2CXO J002403.5-720452,6.014684,-72.081116,0.003
97,CXOGLB J002403.5-720441,[GHE2001] W79 ,6.014733,-72.078183,             ,                  ,2CXO J002403.6-720441,6.015057,-72.078176,0.006
98,CXOGLB J002403.5-720441,[GHE2001] W79 ,6.014858,-72.078175,             ,                  ,2CXO J002403.6-720441,6.015057,-72.078176,0.004
99,CXOGLB J002404.9-720522,[GHE2001] W294,6.020562,-72.089603,             ,                  ,2CXO J002404.9-720522,6.020605,-72.089642,0.002
100,CXOGLB J002403.7-720456,[GHE2001] W106,6.015642,-72.082464,MSP          ,                  ,2CXO J002403.8-720457,6.015882,-72.082523,0.006
101,CXOGLB J002403.7-720456,[GHE2001] W106,6.015708,-72.082461,MSP          ,                  ,2CXO J002403.8-720457,6.015882,-72.082523,0.005
102,CXOGLB J002403.7-720516,[GHE2001] W169,6.015767,-72.088028,             ,                  ,2CXO J002403.8-720517,6.015948,-72.088086,0.005
103,CXOGLB J002403.8-720621,[GHE2001] W122,6.016025,-72.106017,CV           ,                  ,2CXO J002403.8-720621,6.016136,-72.106038,0.002
104,CXOGLB J002403.8-720621,[GHE2001] W122,6.015979,-72.106003,CV           ,                  ,2CXO J002403.8-720621,6.016136,-72.106038,0.004
105,CXOGLB J002403.9-720442,[GHE2001] W77 ,6.0161,-72.078511,MSP          ,                  ,2CXO J002403.9-720442,6.016468,-72.078497,0.007
106,CXOGLB J002403.9-720442,[GHE2001] W77 ,6.016279,-72.078464,MSP          ,                  ,2CXO J002403.9-720442,6.016468,-72.078497,0.004
107,CXOGLB J002404.3-720501,[GHE2001] W41 ,6.017929,-72.083697,AB           ,                  ,2CXO J002404.3-720501,6.018135,-72.083736,0.004
108,CXOGLB J002404.3-720501,[GHE2001] W41 ,6.018013,-72.083697,AB           ,                  ,2CXO J002404.3-720501,6.018135,-72.083736,0.003
109,CXOGLB J002404.2-720443,[GHE2001] W43 ,6.017629,-72.078844,AB           ,                  ,2CXO J002404.4-720444,6.018357,-72.079005,0.017
110,CXOGLB J002404.4-720432,[GHE2001] W297,6.018696,-72.075631,             ,                  ,2CXO J002404.5-720432,6.01904,-72.075667,0.007
111,CXOGLB J002404.5-720517,[GHE2001] W296,6.018983,-72.088247,             ,                  ,2CXO J002404.5-720517,6.019083,-72.088263,0.002
112,CXOGLB J002404.6-720453,[GHE2001] W39 ,6.019225,-72.081619,MSP          ,                  ,2CXO J002404.6-720453,6.01947,-72.081622,0.005
113,CXOGLB J002404.6-720453,[GHE2001] W39 ,6.019104,-72.081614,MSP          ,                  ,2CXO J002404.6-720453,6.01947,-72.081622,0.007
114,CXOGLB J002404.9-720329,[GHE2001] W292,6.020787,-72.058289,             ,                  ,2CXO J002405.0-720330,6.020906,-72.058396,0.007
115,CXOGLB J002405.0-720443,[GHE2001] W202,6.020833,-72.078886,             ,                  ,2CXO J002405.0-720443,6.02098,-72.078841,0.004
116,CXOGLB J002405.0-720443,[GHE2001] W202,6.020858,-72.078778,             ,                  ,2CXO J002405.0-720443,6.02098,-72.078841,0.004
117,CXOGLB J002405.1-720502,[GHE2001] W98 ,6.021242,-72.084108,AB           ,?                 ,2CXO J002405.0-720502,6.021205,-72.084095,0.001
118,CXOGLB J002405.1-720502,[GHE2001] W98 ,6.021125,-72.084083,AB           ,?                 ,2CXO J002405.0-720502,6.021205,-72.084095,0.002
119,CXOGLB J002404.9-720506,[GHE2001] W35 ,6.020883,-72.085058,CV           ,?                 ,2CXO J002405.0-720506,6.021004,-72.085077,0.002
120,CXOGLB J002404.9-720506,[GHE2001] W35 ,6.02065,-72.085022,CV           ,?                 ,2CXO J002405.0-720506,6.021004,-72.085077,0.007
121,CXOGLB J002405.3-720421,[GHE2001] W33 ,6.02235,-72.072647,CV           ,                  ,2CXO J002405.3-720421,6.02249,-72.072679,0.003
122,CXOGLB J002405.3-720421,[GHE2001] W33 ,6.022392,-72.072592,CV           ,                  ,2CXO J002405.3-720421,6.02249,-72.072679,0.006
123,CXOGLB J002405.3-720511,[GHE2001] W97 ,6.022296,-72.086447,MSP          ,?                 ,2CXO J002405.3-720511,6.022355,-72.086452,0.001
124,CXOGLB J002405.3-720511,[GHE2001] W97 ,6.022271,-72.086436,MSP          ,?                 ,2CXO J002405.3-720511,6.022355,-72.086452,0.002
125,CXOGLB J002405.4-720457,[GHE2001] W287,6.022667,-72.082517,AGB          ,?                 ,2CXO J002405.4-720457,6.02281,-72.082582,0.005
126,CXOGLB J002405.9-720510,[GHE2001] W285,6.024733,-72.086325,             ,                  ,2CXO J002405.9-720510,6.024802,-72.086386,0.004
127,CXOGLB J002406.0-720346,[GHE2001] W168,6.024762,-72.062928,AB           ,?                 ,2CXO J002406.0-720346,6.025092,-72.062865,0.007
128,CXOGLB J002406.0-720346,[GHE2001] W168,6.025054,-72.062842,AB           ,?                 ,2CXO J002406.0-720346,6.025092,-72.062865,0.002
129,CXOGLB J002406.0-720449,[GHE2001] W29 ,6.025238,-72.080286,MSP          ,                  ,2CXO J002406.0-720449,6.025354,-72.080319,0.003
130,CXOGLB J002406.0-720449,[GHE2001] W29 ,6.025196,-72.080267,MSP          ,                  ,2CXO J002406.0-720449,6.025354,-72.080319,0.004
131,CXOGLB J002406.0-720456,[GHE2001] W30 ,6.024962,-72.082272,CV           ,                  ,2CXO J002406.0-720456,6.025117,-72.082283,0.003
132,CXOGLB J002406.0-720456,[GHE2001] W30 ,6.024983,-72.082272,CV           ,                  ,2CXO J002406.0-720456,6.025117,-72.082283,0.003
133,CXOGLB J002406.3-720439,[GHE2001] W351,6.026442,-72.077489,             ,                  ,2CXO J002406.3-720439,6.026591,-72.077505,0.003
134,CXOGLB J002406.3-720439,[GHE2001] W351,6.026346,-72.077453,AB           ,                  ,2CXO J002406.3-720439,6.026591,-72.077505,0.006
135,CXOGLB J002406.3-720452,[GHE2001] W75 ,6.02655,-72.081347,AB           ,                  ,2CXO J002406.3-720452,6.026598,-72.08135,0.001
136,CXOGLB J002406.3-720452,[GHE2001] W75 ,6.026542,-72.081283,AB           ,                  ,2CXO J002406.3-720452,6.026598,-72.08135,0.004
137,CXOGLB J002406.5-720430,[GHE2001] W76 ,6.027108,-72.075128,AB           ,                  ,2CXO J002406.4-720430,6.026943,-72.075088,0.004
138,CXOGLB J002406.5-720430,[GHE2001] W76 ,6.026725,-72.075064,AB           ,                  ,2CXO J002406.4-720430,6.026943,-72.075088,0.004
139,CXOGLB J002406.3-720443,[GHE2001] W27 ,6.026558,-72.078611,CV           ,                  ,2CXO J002406.4-720443,6.026676,-72.078634,0.003
140,CXOGLB J002406.3-720443,[GHE2001] W27 ,6.026542,-72.078603,CV           ,                  ,2CXO J002406.4-720443,6.026676,-72.078634,0.003
141,CXOGLB J002407.0-720442,[GHE2001] W201,6.029417,-72.078522,             ,                  ,2CXO J002407.0-720442,6.029553,-72.07854,0.003
142,CXOGLB J002407.0-720442,[GHE2001] W201,6.0295,-72.078483,             ,                  ,2CXO J002407.0-720442,6.029553,-72.07854,0.004
143,CXOGLB J002407.1-720420,[GHE2001] W275,6.029738,-72.072289,AGB          ,                  ,2CXO J002407.1-720420,6.029804,-72.072309,0.002
144,CXOGLB J002407.1-720507,[GHE2001] W200,6.029821,-72.085339,             ,                  ,2CXO J002407.1-720507,6.029991,-72.085328,0.003
145,CXOGLB J002407.1-720507,[GHE2001] W200,6.029792,-72.085278,             ,                  ,2CXO J002407.1-720507,6.029991,-72.085328,0.005
146,CXOGLB J002407.1-720545,[GHE2001] W25 ,6.029738,-72.096053,CV           ,                  ,2CXO J002407.1-720545,6.029837,-72.096075,0.002
147,CXOGLB J002407.1-720545,[GHE2001] W25 ,6.029675,-72.096033,CV           ,                  ,2CXO J002407.1-720545,6.029837,-72.096075,0.004
148,CXOGLB J002407.3-720449,[GHE2001] W24 ,6.030787,-72.080453,AB           ,?                 ,2CXO J002407.3-720449,6.030684,-72.080402,0.004
149,CXOGLB J002407.3-720449,[GHE2001] W24 ,6.030592,-72.080389,AB           ,?                 ,2CXO J002407.3-720449,6.030684,-72.080402,0.002
150,CXOGLB J002407.3-720504,[GHE2001] W273,6.030571,-72.084547,AGB          ,                  ,2CXO J002407.3-720504,6.030773,-72.084513,0.004
151,CXOGLB J002407.3-720519,[GHE2001] W96 ,6.030163,-72.088756,MSP          ,?                 ,2CXO J002407.3-720519,6.030437,-72.08878,0.005
152,CXOGLB J002407.3-720519,[GHE2001] W96 ,6.030446,-72.088722,MSP          ,?                 ,2CXO J002407.3-720519,6.030437,-72.08878,0.004
153,CXOGLB J002407.5-720417,[GHE2001] W270,6.031467,-72.071611,             ,                  ,2CXO J002407.5-720417,6.031461,-72.071606,0.0
154,CXOGLB J002407.7-720527,[GHE2001] W21 ,6.032371,-72.0909,CV           ,                  ,2CXO J002407.7-720527,6.032464,-72.090925,0.002
155,CXOGLB J002407.7-720527,[GHE2001] W21 ,6.032267,-72.090875,CV           ,                  ,2CXO J002407.7-720527,6.032464,-72.090925,0.005
156,CXOGLB J002407.8-720441,[GHE2001] W23 ,6.032525,-72.078211,AB           ,                  ,2CXO J002407.8-720441,6.032612,-72.078232,0.002
157,CXOGLB J002407.8-720441,[GHE2001] W23 ,6.032446,-72.078203,AB           ,                  ,2CXO J002407.8-720441,6.032612,-72.078232,0.004
158,CXOGLB J002407.9-720439,[GHE2001] W19 ,6.033096,-72.077681,MSP          ,                  ,2CXO J002407.9-720439,6.033218,-72.077723,0.003
159,CXOGLB J002407.9-720439,[GHE2001] W19 ,6.033104,-72.077678,MSP          ,                  ,2CXO J002407.9-720439,6.033218,-72.077723,0.003
160,CXOGLB J002408.1-720447,[GHE2001] W265,6.033762,-72.079967,             ,                  ,2CXO J002407.9-720448,6.033256,-72.08014,0.014
161,CXOGLB J002407.9-720454,[GHE2001] W20 ,6.032975,-72.081883,CV           ,?                 ,2CXO J002407.9-720454,6.033178,-72.081913,0.004
162,CXOGLB J002407.9-720454,[GHE2001] W20 ,6.033017,-72.081878,CV           ,?                 ,2CXO J002407.9-720454,6.033178,-72.081913,0.004
163,CXOGLB J002407.9-720502,[GHE2001] W266,6.033158,-72.083883,AGB          ,                  ,2CXO J002407.9-720502,6.033214,-72.083904,0.002
164,CXOGLB J002408.3-720431,[GHE2001] W17 ,6.034604,-72.075397,QLX          ,?                 ,2CXO J002408.3-720431,6.03472,-72.075417,0.002
165,CXOGLB J002408.3-720431,[GHE2001] W17 ,6.034629,-72.075389,QLX          ,?                 ,2CXO J002408.3-720431,6.03472,-72.075417,0.002
166,CXOGLB J002408.3-720433,[GHE2001] W263,6.0346,-72.076072,             ,                  ,2CXO J002408.3-720434,6.034756,-72.076117,0.004
167,CXOGLB J002408.2-720435,[GHE2001] W16 ,6.034517,-72.076608,CV           ,?                 ,2CXO J002408.3-720435,6.034675,-72.076618,0.003
168,CXOGLB J002408.2-720435,[GHE2001] W16 ,6.034529,-72.076575,CV           ,?                 ,2CXO J002408.3-720435,6.034675,-72.076618,0.004
169,CXOGLB J002408.6-720449,[GHE2001] W260,6.036133,-72.080392,             ,                  ,2CXO J002408.6-720449,6.036119,-72.08046,0.004
170,CXOGLB J002408.7-720507,[GHE2001] W14 ,6.036487,-72.085433,AB           ,                  ,2CXO J002408.7-720507,6.036626,-72.085454,0.003
171,CXOGLB J002408.7-720507,[GHE2001] W14 ,6.0365,-72.085431,AB           ,                  ,2CXO J002408.7-720507,6.036626,-72.085454,0.003
172,CXOGLB J002409.1-720428,[GHE2001] W13 ,6.038204,-72.074672,MSP          ,                  ,2CXO J002409.2-720428,6.038371,-72.074688,0.003
173,CXOGLB J002409.1-720428,[GHE2001] W13 ,6.038204,-72.074664,MSP          ,                  ,2CXO J002409.2-720428,6.038371,-72.074688,0.003
174,CXOGLB J002409.2-720511,[GHE2001] W259,6.038592,-72.086414,             ,                  ,2CXO J002409.2-720511,6.038738,-72.086435,0.003
175,CXOGLB J002409.5-720504,[GHE2001] W12 ,6.039625,-72.084647,AB           ,                  ,2CXO J002409.5-720504,6.039826,-72.084658,0.004
176,CXOGLB J002409.5-720504,[GHE2001] W12 ,6.039617,-72.084592,AB           ,                  ,2CXO J002409.5-720504,6.039826,-72.084658,0.006
177,CXOGLB J002409.8-720348,[GHE2001] W258,6.040975,-72.063319,AGB          ,                  ,2CXO J002409.8-720347,6.040972,-72.063313,0.0
178,CXOGLB J002409.8-720359,[GHE2001] W11 ,6.040983,-72.066581,MSP          ,                  ,2CXO J002409.8-720359,6.041056,-72.066585,0.001
179,CXOGLB J002409.8-720359,[GHE2001] W11 ,6.040967,-72.066561,MSP          ,                  ,2CXO J002409.8-720359,6.041056,-72.066585,0.002
180,CXOGLB J002410.0-720441,[GHE2001] W10 ,6.041879,-72.078128,CV           ,?                 ,2CXO J002410.0-720441,6.042059,-72.078131,0.003
