
#ATNF Pulsar Catalogue
#Catalogue Version: 1.65
INDEX;NAME;PSRJ;RAJ;DECJ;RAJD;DECJD;BINCOMP;ASSOC;SURVEY;PSR;
#;;;(hms);(dms);(deg);(deg);;;;TYPE;
41;J0039+35;J0039+35;00:39:06;+35:45;9.77500000;35.75000000;*;*;lotaas;*;
42;B0037+56;J0040+5716;00:40:32.3;+57:16:24.8;10.13495792;57.27356472;*;*;gb2,gbncc,lotaas;*;
43;J0043-73;J0043-73;00:43:25;-73:11;10.85416667;-73.18333333;*;EXGAL:SMC;misc;*;
44;J0045-7042;J0045-7042;00:45:25.6;-70:42:07.1;11.35704167;-70.70197222;*;EXGAL:SMC;misc;*;
45;J0045-7319;J0045-7319;00:45:35.1;-73:19:03.0;11.39650000;-73.31750000;MS[bbs+95];EXGAL:SMC;misc;*;
46;B0045+33;J0048+3412;00:48:33.9;+34:12:08.0;12.14160282;34.20223077;*;*;gb2,gb3,lotaas;*;
47;J0050+03;J0050+03;00:50:31;+03:48;12.62916667;3.80000000;*;*;ar327;*;
48;J0051+0423;J0051+0423;00:51:30.1;+04:22:49;12.87541667;4.38027778;*;*;gb4,lotaas;*;
49;J0052-72;J0052-72;00:52:28;-72:05;13.11666667;-72.08333333;*;EXGAL:SMC;misc;*;
50;J0054+66;J0054+66;00:54;+66;13.50000000;66.00000000;*;*;gb350;RRAT;
51;J0054+69;J0054+69;00:54:28;+69:26;13.61666667;69.43333333;*;*;gbncc;RRAT;
52;J0054+6946;J0054+6946;00:54:59.1;+69:46:16.8;13.74631750;69.77134719;*;*;gbncc;*;
53;B0052+51;J0055+5117;00:55:45.3;+51:17:24.6;13.93915875;51.29016694;*;*;gb2,lotaas;*;
54;B0053+47;J0056+4756;00:56:25.5;+47:56:10.5;14.10630345;47.93626269;*;*;gb2,lotaas;*;
55;J0057-7201;J0057-7201;00:57:44.0;-72:01:19;14.43333333;-72.02194444;*;*;misc;*;
56;J0058+4950;J0058+4950;00:58:09.9;+49:50:26.0;14.54162336;49.84055678;*;*;gbncc;*;
57;J0058+6125;J0058+6125;00:58;+61:25;14.50000000;61.41666667;*;*;gb350;*;
58;J0059+69;J0059+69;00:59:30;+69:55;14.87500000;69.91666667;*;*;lotaas;*;
59;J0100-7211;J0100-7211;01:00:43.0;-72:11:33.6;15.17929167;-72.19266667;*;EXGAL:SMC,XRS:CXOU_J010043.1-721134;misc;AXP,NRAD;
60;J0100+8023;J0100+8023;01:00:16.0;+80:23:41.7;15.06704167;80.39493056;*;*;lotaas;*;
61;J0101-6422;J0101-6422;01:01:11.1;-64:22:30.1;15.29631792;-64.37504750;He[kcj+12];GRS:4FGL_J0101.1-6422[fermi21],XRS:[pb15;FermiAssoc;HE;
62;J0102+4839;J0102+4839;01:02:50.6;+48:39:42.7;15.71111667;48.66187778;He[hrm+11];GRS:4FGL_J0102.8+4839[fermi21];FermiAssoc;HE;
63;B0059+65;J0102+6537;01:02:32.9;+65:37:13.4;15.63746417;65.62039333;*;*;gb1,gb3,gbncc,lotaas;*;
64;J0103+54;J0103+54;01:03:37;+54:02;15.90416667;54.03333333;*;*;gbncc;RRAT;
65;J0106+4855;J0106+4855;01:06:25.0;+48:55:51.8;16.60441667;48.93105556;*;GRS:4FGL_J0106.4+4855[fermi21];FermiBlind;HE;
66;J0107+1322;J0107+1322;01:07:39.9;+13:22:31.7;16.91645833;13.37547222;*;*;lotaas;*;
67;J0108-1431;J0108-1431;01:08:08.3;-14:31:50.1;17.03477923;-14.53060753;*;*;pks70;*;
68;B0105+65;J0108+6608;01:08:22.5;+66:08:34.4;17.09377042;66.14291639;*;*;jb1,gb1,gb2,lotaas;*;
69;B0105+68;J0108+6905;01:08:29.5;+69:05:52.6;17.12293293;69.09795221;*;*;gb2,gbncc,lotaas;*;
70;J0111+6624;J0111+6624;01:11:21.8;+66:24:10.8;17.84115050;66.40299564;*;*;gbncc;*;
71;J0111-7131;J0111-7131;01:11:28.7;-71:31:46.8;17.86987500;-71.52966667;*;EXGAL:SMC;misc;*;
72;J0113-7220;J0113-7220;01:13:11.0;-72:20:32.2;18.29620833;-72.34227778;*;EXGAL:SMC;misc;*;
73;J0115+6325;J0115+6325;01:15:45.8;+63:25:50.8;18.94112500;63.43077778;*;*;lotaas;*;
74;B0114+58;J0117+5914;01:17:38.6;+59:14:38.3;19.41108846;59.24399732;*;XRS:[pb15];gb3,gbncc,lotaas;*;
75;J0121+53;J0121+53;01:21;+53:29;20.25000000;53.48333333;*;*;chime;RRAT[gac+20];
76;J0122+1416;J0122+1416;01:22:01.3;+14:16:17;20.50545833;14.27138889;*;*;misc,lotaas;*;
77;J0125-23;J0125-23;01:25:10;-23:27:26;21.29166667;-23.45722222;*;*;htru_pks;*;
78;J0125+62;J0125+62;01:26;+62:35;21.50000000;62.58333333;*;*;gbncc;*;
79;J0131-7310;J0131-7310;01:31:28.5;-73:10:09.3;22.86879167;-73.16926111;*;EXGAL:SMC;misc;*;
80;J0133-6957;J0133-6957;01:33:32.4;-69:57:29.6;23.38525000;-69.95824444;*;*;pks70;*;
81;J0134-2937;J0134-2937;01:34:18.6;-29:37:17.0;23.57784333;-29.62140056;*;*;pks70;*;
82;J0137+1654;J0137+1654;01:37:23.8;+16:54:42.1;24.34950000;16.91169444;*;*;ar4,lotaas;*;
83;J0137+6349;J0137+6349;01:37:13.3;+63:49:34.3;24.30569116;63.82620927;*;*;gbncc;*;
