
#ATNF Pulsar Catalogue
#Catalogue Version: 1.65
INDEX;NAME;PSRJ;RAJ;DECJ;RAJD;DECJD;BINCOMP;ASSOC;SURVEY;PSR;
#;;;(hms);(dms);(deg);(deg);;;;TYPE;
558;J1123-6102;J1123-6102;11:23:41.7;-61:02:06.2;170.92375000;-61.03505556;*;*;pksmb,htru_pks;*;
559;J1123-6259;J1123-6259;11:23:55.5;-62:59:10.9;170.98137500;-62.98636667;*;*;pks70,pksmb,htru_pks;*;
560;J1123-6651;J1123-6651;11:23:52.2;-66:51:49.0;170.96754167;-66.86363056;*;*;pks70,pksmb,htru_pks;*;
561;J1124-3653;J1124-3653;11:24:01.1;-36:53:19.1;171.00465000;-36.88863889;*;GRS:4FGL_J1124.0-3653[fermi21];FermiAssoc;HE;
562;J1124-5638;J1124-5638;11:24:56.4;-56:38:39.7;171.23529167;-56.64436111;*;*;pksmb,htru_pks;*;
563;J1124-5916;J1124-5916;11:24:39.0;-59:16:19;171.16250000;-59.27194444;*;GRS:4FGL_J1124.7-5915[fermi21],SNR:G292.;misc;HE[hsp+03];
564;J1124-6421;J1124-6421;11:24:59.5;-64:21:17;171.24791667;-64.35472222;*;*;pksmb,htru_pks;*;
565;J1125-5825;J1125-5825;11:25:44.3;-58:25:16.8;171.43485683;-58.42135550;He[bbb+11];GRS:4FGL_J1125.6-5825[fermi21];htru_pks;HE;
566;J1125-6014;J1125-6014;11:25:55.2;-60:14:06.6;171.48007500;-60.23516889;He[lfl+06];GRS:4FGL_J1126.4-6011[fermi21];pksmb,htru_pks;HE[sbc+19];
567;J1125+7819;J1125+7819;11:25:59.8;+78:19:48.7;171.49933247;78.33019801;He(?)[tau19];*;gbncc,lotaas;*;
568;J1126-27;J1126-27;11:26;-27:37;171.50000000;-27.61666667;*;*;gbncc;RRAT;
569;J1126-38;J1126-38;11:26:18;-38:38;171.57500000;-38.63333333;*;*;pks_superb;*;
570;B1124-60;J1126-6054;11:26:52.6;-60:54:39.9;171.71920000;-60.91110000;*;*;pks1,pksmb,htru_pks;*;
571;J1126-6942;J1126-6942;11:26:21.6;-69:42:15.8;171.59025000;-69.70438889;*;*;pks70,pkssw,htru_pks;*;
572;J1128-6219;J1128-6219;11:28:46.7;-62:19:09;172.19458333;-62.31916667;*;*;pksmb,htru_pks;*;
573;J1129-53;J1129-53;11:29:21;-53:31;172.33750000;-53.51666667;*;*;pkssw;RRAT;
574;J1130-5826;J1130-5826;11:30:16.3;-58:26:02.3;172.56804167;-58.43397222;*;*;pksmb,htru_pks;*;
575;J1130-5925;J1130-5925;11:30:10.4;-59:25:34.1;172.54350000;-59.42613889;*;*;pksmb,htru_pks;*;
576;J1130-6807;J1130-6807;11:30:31.9;-68:07:28.5;172.63297083;-68.12458889;*;*;pks70,htru_pks;*;
577;J1132+25;J1132+25;11:32:50;+25:15;173.20833333;25.25000000;*;*;misc;RRAT(?)[ttm18];
578;J1132-4700;J1132-4700;11:32:14.5;-47:00:36.5;173.06050000;-47.01013889;*;*;htru_pks;*;
579;J1132-5627;J1132-5627;11:32:15.7;-56:27:28.9;173.06558333;-56.45802778;*;*;pksmb,htru_pks;*;
580;B1131-62;J1133-6250;11:33:51.4;-62:50:50.6;173.46437500;-62.84738889;*;*;pks1,pksmb,htru_pks;*;
581;J1135-49;J1135-49;11:35:56;-49:25:31;173.98333333;-49.42527778;*;*;htru_pks;RRAT;
582;J1135-6055;J1135-6055;11:35:08.3;-60:55:36.4;173.78489583;-60.92680000;*;GRS:4FGL_J1135.2-6055[fermi21];FermiBlind;NRAD;
583;B1133+16;J1136+1551;11:36:03.1;+15:51:14.1;174.01299917;15.85393972;*;XRS:[kpg06a];misc,mol2,ar4,gb4,lotaas;*;
584;B1133-55;J1136-5525;11:36:02.1;-55:25:06.9;174.00900000;-55.41858333;*;*;mol2,pks70,pkssw,htru_pks;*;
585;J1136-6527;J1136-6527;11:36:25.2;-65:27:19.5;174.10508333;-65.45541667;*;*;htru_pks;*;
586;J1137-6700;J1137-6700;11:37:32.0;-67:00:33.0;174.38370417;-67.00916944;*;*;pks70,pksmb,htru_pks;*;
587;J1137+7528;J1137+7528;11:37:02.0;+75:28:02.3;174.25857208;75.46730864;He[san16];GRS:4FGL_J1137.6+7527[fermi21];FermiAssoc;HE;
588;J1138-6207;J1138-6207;11:38:21.6;-62:07:59.3;174.59008333;-62.13313889;*;*;pksmb,htru_pks;*;
589;J1139-6247;J1139-6247;11:39:17.1;-62:47:25;174.82125000;-62.79027778;*;GRS:4FGL_J1139.2-6247[fermi21];FermiAssoc;NRAD[nie+20];
590;J1141-3107;J1141-3107;11:41:25.6;-31:07:52.6;175.35678750;-31.13127778;*;*;pks70,pkssw;*;
591;J1141-3322;J1141-3322;11:41:42.7;-33:22:37.3;175.42815000;-33.37703056;*;*;pks70,pkssw;*;
592;J1141-6545;J1141-6545;11:41:07.0;-65:45:19.1;175.27922500;-65.75530919;CO[abw+11];OPT:[abw+11];pksmb,htru_pks;*;
593;J1142+0119;J1142+0119;11:42:50.1;+01:19:35.6;175.70893750;1.32658056;He[san16];GRS:4FGL_J1142.8+0120[fermi21];FermiAssoc;HE;
594;J1142-6230;J1142-6230;11:42:52.5;-62:30:03.9;175.71875000;-62.50108333;*;*;pksmb,htru_pks;*;
595;J1143-5158;J1143-5158;11:43:15.0;-51:58:39.8;175.81277083;-51.97774722;*;*;pks70,htru_pks,ghrss;*;
596;J1143-5536;J1143-5536;11:43:09.7;-55:36:04.5;175.79079167;-55.60125000;*;*;htru_pks;*;
597;J1144-6146;J1144-6146;11:44:34.8;-61:46:49;176.14500000;-61.78027778;*;*;pksmb,htru_pks;*;
598;J1144-6217;J1144-6217;11:44:02.1;-62:17:30.3;176.00879167;-62.29175000;*;*;pksmb,htru_pks;*;
599;B1143-60;J1146-6030;11:46:07.7;-60:30:59.6;176.53214667;-60.51656167;*;*;mol2,pks1,pks70,pksmb,htru_pks;*;
600;J1147-66;J1147-66;11:47;-66;176.75000000;-66.00000000;*;*;pksmb;*;
601;J1148-5725;J1148-5725;11:48:28.5;-57:25:12.6;177.11887500;-57.42016667;*;*;pksmb;*;
602;J1148-6415;J1148-6415;11:48:37.8;-64:15:33;177.15750000;-64.25916667;*;*;pksmb,htru_pks;*;
603;J1151-6108;J1151-6108;11:51:56.8;-61:08:17.6;177.98691667;-61.13822222;*;GRS:4FGL_J1152.0-6107[fermi21];htru_pks,FermiAssoc;HE[ncb+15,fermi21];
604;J1152-5800;J1152-5800;11:52:10.0;-58:00:34;178.04166667;-58.00944444;*;*;pksmb;*;
605;J1152-6012;J1152-6012;11:52:53.8;-60:12:21;178.22416667;-60.20583333;*;*;pksmb,htru_pks;*;
606;J1153-21;J1153-21;11:53;-21:18;178.25000000;-21.30000000;*;*;gbncc;RRAT;
607;J1154-6250;J1154-6250;11:54:20.1;-62:50:02.7;178.58375000;-62.83408333;*;*;pksmb;*;
608;J1156-5707;J1156-5707;11:56:07.4;-57:07:02.1;179.03104167;-57.11725000;*;*;pksmb;*;
609;J1156-5909;J1156-5909;11:56:21.5;-59:09:12.3;179.08958333;-59.15341667;*;*;pks70;*;
610;J1157-5112;J1157-5112;11:57:08.1;-51:12:56.1;179.28402500;-51.21559444;CO[eb01b];*;pkssw;*;
611;B1154-62;J1157-6224;11:57:15.2;-62:24:50.9;179.31336250;-62.41414722;*;*;mol1,mol2,pks1,pks70,pksmb,htru_pks;*;
612;J1159-6409;J1159-6409;11:59:21.7;-64:09:57;179.84041667;-64.16583333;*;*;pksmb,htru_pks;*;
613;J1159-7910;J1159-7910;11:59:35.7;-79:10:05.6;179.89879167;-79.16822222;*;*;pks70,pkssw;*;
614;J1201-6306;J1201-6306;12:01:23.0;-63:06:59.5;180.34587500;-63.11652778;*;*;pksmb,htru_pks;*;
615;B1159-58;J1202-5820;12:02:28.3;-58:20:33.6;180.61802083;-58.34267778;*;*;mol2,pks1,pks70,pksmb,htru_pks;*;
616;J1203-6242;J1203-6242;12:03:55.3;-62:42:44;180.98041667;-62.71222222;*;GRS:4FGL_J1203.9-6242[fermi21];FermiAssoc;NRAD[nie+20];
617;J1204-6843;J1204-6843;12:04:36.7;-68:43:17.1;181.15300000;-68.72144167;*;*;pkssw,htru_pks;*;
618;J1207-4508;J1207-4508;12:07:19.2;-45:08:09.1;181.83025000;-45.13586111;*;*;pks_superb;*;
619;J1207-5050;J1207-5050;12:07:22.4;-50:50:38.6;181.84334967;-50.84407778;*;GRS:4FGL_J1207.4-5050[brj+21];FermiAssoc;HE[brj+21];
620;J1208-6238;J1208-6238;12:08:13.9;-62:38:03.3;182.05816667;-62.63425000;*;GRS:4FGL_J1208.2-6237[fermi21];FermiBlind;NRAD;
621;J1210-5226;J1210-5226;12:10:00.9;-52:26:28.4;182.50379167;-52.44122222;*;SNR:G296.5+10.0,XRS:1E_1207.4-5209;misc;NRAD;
622;J1210-5559;J1210-5559;12:10:05.9;-55:59:03.8;182.52494608;-55.98440281;*;*;pks70,pkssw,htru_pks;*;
623;J1210-6322;J1210-6322;12:10:46.7;-63:22:20.9;182.69491667;-63.37247222;*;*;htru_pks;*;
624;J1210-6550;J1210-6550;12:10:42.0;-65:50:04.6;182.67500000;-65.83461111;*;*;pksmb;*;
625;J1211-6324;J1211-6324;12:11:24.1;-63:24:45.2;182.85075000;-63.41255556;*;*;pksmb,htru_pks;*;
626;J1214-5830;J1214-5830;12:14:08.4;-58:30:25.9;183.53508333;-58.50719444;*;*;pksmb,htru_pks;*;
627;J1215-5328;J1215-5328;12:15:00.6;-53:28:31.6;183.75258333;-53.47544444;*;*;pkssw,htru_pks;*;
628;J1216-50;J1216-50;12:16:20;-50:27:01;184.08333333;-50.45027778;*;*;htru_pks;RRAT;
629;J1216-6223;J1216-6223;12:16:41.9;-62:23:57.0;184.17483333;-62.39916667;*;*;pksmb;*;
630;J1216-6410;J1216-6410;12:16:07.3;-64:10:09.2;184.03058167;-64.16922944;He[fsk+04];*;pksmb,htru_pks;*;
631;J1220-6318;J1220-6318;12:20:17.8;-63:18:46.5;185.07441667;-63.31291667;*;*;pksmb,htru_pks;*;
632;J1221-0633;J1221-0633;12:21:24.8;-06:33:51;185.35333333;-6.56416667;*;GRS:4FGL_1221.4-0634[fermi21];gbncc,FermiAssoc;HE[fermi21];
633;J1222-5738;J1222-5738;12:22:52.3;-57:38:20;185.71791667;-57.63888889;*;*;pksmb;*;
634;J1223-5856;J1223-5856;12:23:40.1;-58:56:48.9;185.91725000;-58.94691667;*;*;htru_pks;*;
635;J1224-6208;J1224-6208;12:24:44.2;-62:08:41.1;186.18437500;-62.14475000;*;*;pksmb,htru_pks;*;
636;B1221-63;J1224-6407;12:24:22.2;-64:07:53.8;186.09272500;-64.13163056;*;XRS:[pb15];misc,mol2,pks1,pks70,pksmb,htru_pks;HE[lsg+15];
637;J1225-5556;J1225-5556;12:25:43.8;-55:56:43.1;186.43261250;-55.94531667;*;*;pks70,htru_pks;*;
638;J1225-6035;J1225-6035;12:25:28.6;-60:35:37.6;186.36929167;-60.59377778;*;*;pksmb,htru_pks;*;
639;B1222-63;J1225-6408;12:25:42.8;-64:08:43;186.42833333;-64.14527778;*;*;mol2,pks70,pksmb,htru_pks;*;
640;J1226+0005;J1226+0005;12:26:14.4;+00:05:44;186.56000000;0.09555556;*;*;lotaas;*;
641;J1226-3223;J1226-3223;12:26:46.6;-32:23:01;186.69428333;-32.38361111;*;*;pkssw;RRAT;
642;J1227-4853;J1227-4853;12:27:58.7;-48:53:42.7;186.99468333;-48.89520583;MS[dcm+14];GRS:4FGL_J1228.0-4853[fermi21],XRS:XSS_J;misc;HE[pdb+15,jrr+15];
643;J1227-6208;J1227-6208;12:27:00.4;-62:08:43.7;186.75183875;-62.14549694;CO[btb+15];*;pksmb,htru_pks;*;
644;J1227-63;J1227-63;12:27:12;-63:09;186.80000000;-63.15000000;*;*;htru_pks;*;
645;J1231-1411;J1231-1411;12:31:11.3;-14:11:43.6;187.79713833;-14.19545278;He[rrc+11];GRS:4FGL_J1231.1-1412[fermi21];FermiAssoc;HE;
646;J1231-4609;J1231-4609;12:31:45.7;-46:09:45.2;187.94066667;-46.16255556;*;*;pkssw;*;
647;J1231-5113;J1231-5113;12:31:35.7;-51:13:35;187.89875000;-51.22638889;*;GRS:4FGL_J1231.6-5116[fermi21];FermiAssoc;NRAD[nie+20];
648;J1231-6303;J1231-6303;12:31:13.0;-63:03:18;187.80416667;-63.05500000;*;*;pksmb,htru_pks;*;
649;J1231-6511;J1231-6511;12:31:43.9;-65:11:48;187.93291667;-65.19666667;*;GRS:4FGL_J1231.6-6511[fermi21];FermiAssoc;NRAD[nie+20];
650;J1232-4742;J1232-4742;12:32:19.1;-47:42:50.9;188.07958333;-47.71413889;*;*;pkssw,htru_pks;*;
651;J1232-6501;J1232-6501;12:32:17.8;-65:01:03.3;188.07433333;-65.01759167;He[eb01b];*;pksmb,htru_pks;*;
652;J1233-6312;J1233-6312;12:33:31.5;-63:12:29;188.38125000;-63.20805556;*;*;pksmb,htru_pks;*;
653;J1233-6344;J1233-6344;12:33:39.9;-63:44:55;188.41625000;-63.74861111;*;*;pksmb,htru_pks;*;
654;J1234-3630;J1234-3630;12:34:12.0;-36:30:41.1;188.55000000;-36.51141667;*;*;gbncc;*;
655;B1232-55;J1235-54;12:35:19;-54:57;188.82916667;-54.95000000;*;*;mol2,pkssw;*;
656;J1235-6354;J1235-6354;12:35:57.7;-63:54:30.4;188.99050000;-63.90844444;*;*;pksmb,htru_pks;*;
657;J1236-0159;J1236-0159;12:36:02.5;-01:59:10;189.01041667;-1.98611111;*;*;lotaas;*;
658;J1236-5033;J1236-5033;12:36:59.1;-50:33:36.3;189.24645833;-50.56008333;*;*;pkssw,htru_pks;*;
659;J1237-6725;J1237-6725;12:37:25.9;-67:25:33.9;189.35791667;-67.42608333;*;*;pksmb,htru_pks;*;
660;J1238+2152;J1238+2152;12:38:23.1;+21:52:11.1;189.59656936;21.86974274;*;*;ar4,lotaas;*;
661;B1237+25;J1239+2453;12:39:40.4;+24:53:49.2;189.91858917;24.89702500;*;*;gb1,ar4,gb4,lotaas;*;
662;J1239-48;J1239-48;12:39;-48:00;189.75000000;-48.00000000;*;*;ghrss;*;
663;B1236-68;J1239-6832;12:39:58.9;-68:32:28.9;189.99566667;-68.54137222;*;*;mol2,pks70,pkssw,pksmb,htru_pks;*;
664;B1237-41;J1240-4124;12:40:17.6;-41:24:51.7;190.07337500;-41.41436111;*;*;mol2,pkssw,ghrss;*;
665;J1242+39;J1242+39;12:42:34;+39:38;190.64166667;39.63333333;*;*;misc,lotaas;*;
666;J1243+17;J1243+17;12:43:00;+17:52;190.75000000;17.86666667;*;*;misc;*;
667;J1243-5735;J1243-5735;12:43:35.3;-57:35:42.8;190.89741667;-57.59522222;*;*;pksmb;*;
668;B1240-64;J1243-6423;12:43:17.1;-64:23:23.7;190.82125417;-64.38992500;*;*;mol1,mol2,pks1,pks70,pksmb,htru_pks;*;
669;J1244-1812;J1244-1812;12:44:25.7;-18:12:16.2;191.10741667;-18.20450000;*;*;pks_superb;*;
670;J1244-5053;J1244-5053;12:44:11.4;-50:53:20.6;191.04783333;-50.88905556;*;*;pkssw,htru_pks;*;
671;J1244-6359;J1244-6359;12:44:47.6;-63:59:47.4;191.19872083;-63.99650000;CO[ncb+15];*;htru_pks;*;
672;J1244-6531;J1244-6531;12:44:38.3;-65:31:12;191.15958333;-65.52000000;*;*;pksmb,htru_pks;*;
673;J1245-6238;J1245-6238;12:45:21.1;-62:38:55.9;191.33800000;-62.64886111;*;*;pksmb,htru_pks;*;
674;J1246+2253;J1246+2253;12:46:49.3;+22:53:43.2;191.70567917;22.89535278;*;*;ar4,lotaas;*;
675;J1248-6344;J1248-6344;12:48:46.3;-63:44:09.6;192.19316667;-63.73600000;*;*;pksmb;*;
676;J1248-6444;J1248-6444;12:48:32.8;-64:44:00.0;192.13695833;-64.73333333;*;*;htru_pks;*;
677;J1249-6507;J1249-6507;12:49:54.3;-65:07:19.8;192.47633333;-65.12216667;*;*;pksmb,htru_pks;*;
678;J1251-7407;J1251-7407;12:51:52.9;-74:07:15.0;192.97058333;-74.12084444;*;*;htru_pks;*;
679;J1252+53;J1252+53;12:52;+53:42;193.00000000;53.70000000;*;*;chime;RRAT[gac+20];
680;J1252-6314;J1252-6314;12:52:42.6;-63:14:32.7;193.17758333;-63.24241667;*;*;pksmb,htru_pks;*;
681;J1253-5820;J1253-5820;12:53:28.3;-58:20:40.8;193.36809167;-58.34469167;*;GRS:4FGL_J1253.3-5816[fermi21];pks70,pksmb,htru_pks,FermiAssoc;HE[mld+96,fermi21];
682;J1254-6150;J1254-6150;12:54:32.4;-61:50:50.8;193.63533333;-61.84744444;*;*;pksmb;*;
683;J1255-46;J1255-46;12:55;-46:00;193.75000000;-46.00000000;*;*;ghrss;*;
684;J1255-6131;J1255-6131;12:55:54.8;-61:31:10.1;193.97858333;-61.51947222;*;*;pksmb,htru_pks;*;
685;J1255-62;J1255-62;12:55:18;-62:48;193.82500000;-62.80000000;*;*;htru_pks;*;
686;B1254-10;J1257-1027;12:57:04.7;-10:27:05.5;194.26984375;-10.45154194;*;*;gb2,pks70;*;
687;B1256-67;J1259-6741;12:59:22.6;-67:41:40.2;194.84433333;-67.69451944;*;*;mol2,pks70,pksmb,htru_pks;*;
688;B1257+12;J1300+1240;13:00:03.5;+12:40:56.4;195.01490292;12.68235336;ULT[wol94];XRS:[pkgw07];ar4,lotaas;*;
689;J1300-6602;J1300-6602;13:00:26.9;-66:02:16.8;195.11220833;-66.03800000;*;*;htru_pks;*;
690;J1301+0833;J1301+0833;13:01:38.2;+08:33:57.5;195.40941667;8.56597222;UL[rap+12];GRS:4FGL_J1301.6+0834[fermi21],OPT:[lht1;FermiAssoc;HE;
691;J1301-6305;J1301-6305;13:01:45.7;-63:05:33.9;195.44066667;-63.09275000;*;*;pksmb,htru_pks;*;
692;J1301-6310;J1301-6310;13:01:28.3;-63:10:40.5;195.36791667;-63.17791667;*;XRS:[pb15];pksmb;*;
693;J1302-3258;J1302-3258;13:02:26;-32:58:48;195.60833333;-32.98000000;*;GRS:4FGL_1302.4-3258[fermi21];FermiAssoc;HE[hrm+11,fermi21];
694;J1302-63;J1302-63;13:02:04;-63:44:53;195.51666667;-63.74805556;*;*;misc,pksmb,htru_pks;*;
695;J1302-6313;J1302-6313;13:02:19.2;-63:13:29;195.58000000;-63.22472222;*;*;pksmb;*;
696;B1259-63;J1302-6350;13:02:47.6;-63:50:08.6;195.69849307;-63.83573016;MS[jml+94];*;pks1,pksmb,htru_pks;*;
697;J1303+38;J1303+38;13:03:18;+38:13;195.82500000;38.21666667;*;*;lotaas;*;
698;J1303-6305;J1303-6305;13:03:00.0;-63:05:00.8;195.75008333;-63.08355556;*;*;pksmb,htru_pks;*;
699;J1304+12;J1304+12;13:04:27;+12:02:28;196.11250000;12.04111111;*;GRS:4FGL_J1304.4+1203[fermi21];FermiAssoc;NRAD[fermi21];
700;J1305-6203;J1305-6203;13:05:21.1;-62:03:21.0;196.33808333;-62.05585278;*;*;pksmb,htru_pks;*;
701;J1305-6256;J1305-6256;13:05:28.0;-62:56:39;196.36666667;-62.94416667;*;*;pksmb,htru_pks;*;
702;B1302-64;J1305-6455;13:05:23.4;-64:55:28.5;196.34779167;-64.92458333;*;*;mol2,pks1,pks70,pksmb,htru_pks;*;
703;J1305-66;J1305-66;13:05:36;-66:39;196.40000000;-66.65000000;*;*;pksmb;*;
704;J1306-4035;J1306-4035;13:06:56.3;-40:35:23.3;196.73458333;-40.58980556;MS[sscs19];GRS:4FGL_J1306.8-4035[fermi21],OPT:SSS_J;pks_superb;*;
705;J1306-6242;J1306-6242;13:06:44.6;-62:42:03;196.68583333;-62.70083333;*;*;pksmb,htru_pks;*;
706;B1303-66;J1306-6617;13:06:38.1;-66:17:21.2;196.65883333;-66.28922222;*;*;pks1,pksmb,htru_pks;*;
707;J1307-6318;J1307-6318;13:07:54.7;-63:18:35;196.97791667;-63.30972222;*;*;pksmb,htru_pks;*;
708;J1307-67;J1307-67;13:07:41;-67:03:27;196.92083333;-67.05750000;*;*;pksmb,htru_pks;RRAT;
709;J1308+2127;J1308+2127;13:08:48.2;+21:27:06.7;197.20112500;21.45188333;*;XRS:RX_J1308.6+2127,OPT:[kkvh11];misc;XINS,NRAD;
710;J1308-4650;J1308-4650;13:08:44.5;-46:50:29.7;197.18578750;-46.84158333;*;*;pkssw;*;
711;J1308-5844;J1308-5844;13:08:21.0;-58:44:13.8;197.08783333;-58.73716667;*;*;pksmb,htru_pks;*;
712;J1309-6415;J1309-6415;13:09:16.6;-64:15:59;197.31916667;-64.26638889;*;*;pksmb,htru_pks;*;
713;J1309-6526;J1309-6526;13:09:00.2;-65:26:16.6;197.25120833;-65.43794444;*;*;pksmb;*;
714;B1309-12;J1311-1228;13:11:52.6;-12:28:01.6;197.96937478;-12.46711749;*;*;gb2,pks70;*;
715;J1311-3430;J1311-3430;13:11:45.7;-34:30:30.3;197.94051750;-34.50843056;UL[rfs+12];GRS:4FGL_J1311.7-3430[fermi21],OPT:[rom1;FermiBlind;HE;
716;J1312+0051;J1312+0051;13:12:46.6;+00:51:00.1;198.19434300;0.85002889;He[san16];GRS:4FGL_J1312.7+0050[fermi21];FermiAssoc;HE;
717;B1310+18;J1312+1810;13:12:55;+18:10;198.22916667;18.16666667;*;GC:M53;misc;*;
718;B1309-53;J1312-5402;13:12:04.7;-54:02:42.5;198.01961667;-54.04513889;*;*;mol2,pks70,pkssw,ghrss;*;
719;B1309-55;J1312-5516;13:12:53.5;-55:16:47.3;198.22305417;-55.27980556;*;*;mol2,pks70,pkssw,htru_pks;*;
720;J1312-6400;J1312-6400;13:12:07.1;-64:00:55.6;198.02983333;-64.01544444;*;*;pksmb,htru_pks;*;
721;J1313+0931;J1313+0931;13:13:23.0;+09:31:56;198.34583333;9.53222222;*;*;misc,lotaas;*;
722;J1314-6101;J1314-6101;13:14:23.4;-61:01:16;198.59750000;-61.02111111;*;*;pksmb,htru_pks;*;
723;J1316-6232;J1316-6232;13:16:46.3;-62:32:12.2;199.19291667;-62.53672222;*;*;misc,pksmb,htru_pks;*;
724;J1317-5759;J1317-5759;13:17:46.2;-57:59:30.5;199.44287500;-57.99180556;*;*;pksmb;RRAT;
725;J1317-6302;J1317-6302;13:17:44.6;-63:02:52.2;199.43620833;-63.04783333;*;*;pksmb,htru_pks;*;
726;B1316-60;J1319-6056;13:19:20.2;-60:56:46.7;199.83437500;-60.94633056;*;*;pks1,pksmb,htru_pks;*;
727;J1319-6105;J1319-6105;13:19:26.3;-61:05:26.2;199.85966667;-61.09061111;*;*;pksmb,htru_pks;*;
728;J1320-3512;J1320-3512;13:20:12.6;-35:12:26.0;200.05283333;-35.20722222;*;*;pks70,pkssw;*;
729;B1317-53;J1320-5359;13:20:53.9;-53:59:05.0;200.22467083;-53.98472222;*;*;mol2,pks70,pkssw,htru_pks,ghrss;*;
730;J1320+67;J1320+67;13:20;+67:30;200.00000000;67.50000000;*;*;gbncc;*;
731;J1321-5922;J1321-5922;13:21:39.5;-59:22:52.1;200.41483333;-59.38113889;*;*;pksmb;*;
732;B1322+83;J1321+8323;13:21:45.6;+83:23:39.4;200.44013125;83.39428667;*;*;gb1,gb2,gbncc,lotaas;*;
733;J1322-62;J1322-62;13:22:54;-62:51;200.72500000;-62.85000000;*;*;pksmb;*;
734;J1322-6241;J1322-6241;13:22:32.1;-62:41:53.5;200.63395833;-62.69819444;*;*;pksmb,htru_pks;*;
735;J1322-6329;J1322-6329;13:22:18.0;-63:29:37;200.57500000;-63.49361111;*;*;pksmb;*;
736;J1324-6146;J1324-6146;13:24:43.9;-61:46:00;201.18291667;-61.76666667;*;*;pksmb,htru_pks;*;
737;J1324-6302;J1324-6302;13:24:13.6;-63:02:21.1;201.05687500;-63.03919444;*;*;pksmb,htru_pks;*;
738;J1326+33;J1326+33;13:26:42;+33:46;201.67500000;33.76666667;*;*;misc;*;
739;J1326-4728A;J1326-4728A;13:26:39.6;-47:30:11.6;201.66529167;-47.50323333;*;GC:OmegaCen[djk+20];misc;*;
740;J1326-4728B;J1326-4728B;13:26:49.5;-47:29:24.6;201.70651250;-47.49017222;UL[djk+20];GC:OmegaCen[djk+20];misc;*;
741;J1326-4728C;J1326-4728C;13:26:44;-47:30;201.68333333;-47.50000000;*;GC:OmegaCen[djk+20];misc;*;
742;J1326-4728D;J1326-4728D;13:26:44;-47:30;201.68333333;-47.50000000;*;GC:OmegaCen[djk+20];misc;*;
743;J1326-4728E;J1326-4728E;13:26:44;-47:30;201.68333333;-47.50000000;*;GC:OmegaCen[djk+20];misc;*;
744;B1323-58;J1326-5859;13:26:58.2;-58:59:29.2;201.74257083;-58.99146944;*;*;mol2,pks1,pks70,pksmb,htru_pks;*;
745;B1323-63;J1326-6408;13:26:32.4;-64:08:43.8;201.63513750;-64.14550000;*;*;mol2,pks70,pksmb,htru_pks;*;
746;B1322-66;J1326-6700;13:26:02.7;-67:00:49.2;201.51137500;-67.01366667;*;*;mol2,pksmb,htru_pks;*;
747;J1327-0755;J1327-0755;13:27:57.5;-07:55:29.8;201.98995000;-7.92494444;He[blr+13];GRS:[sbc+19];gb350;HE[sbc+19];
748;B1323-62;J1327-6222;13:27:17.1;-62:22:45.4;201.82156667;-62.37929444;*;*;misc,mol2,pks1,pks70,pksmb,htru_pks;*;
749;B1323-627;J1327-6301;13:27:07.4;-63:01:15.5;201.78096667;-63.02097500;*;*;pks1,pksmb,htru_pks;*;
750;J1327-6400;J1327-6400;13:27:10.2;-64:00:13.1;201.79279167;-64.00363889;*;*;pksmb,htru_pks;*;
751;B1325-43;J1328-4357;13:28:06.4;-43:57:44.1;202.02680000;-43.96225556;*;*;mol2,pks70,pkssw;*;
752;B1325-49;J1328-4921;13:28:33.5;-49:21:33.4;202.13991667;-49.35927778;*;*;mol2,pks70,pkssw,htru_pks;*;
753;J1329+13;J1329+13;13:29:00;+13:44;202.25000000;13.73333333;*;*;misc;RRAT(?)[ttm+18];
754;J1329-6158;J1329-6158;13:29:03.3;-61:58:59;202.26375000;-61.98305556;*;*;pksmb,htru_pks;*;
755;J1331-5245;J1331-5245;13:31:00.0;-52:45:25.4;202.75004167;-52.75705556;*;*;htru_pks;*;
756;J1332-03;J1332-03;13:32;-03:26;203.00000000;-3.43333333;*;*;gb350;RRAT;
757;J1332-3032;J1332-3032;13:32:52.4;-30:32:17.3;203.21868568;-30.53813716;*;*;pks70;*;
758;J1333-4449;J1333-4449;13:33:44.8;-44:49:26.2;203.43678750;-44.82395000;*;*;pkssw;*;
759;J1334+10;J1334+10;13:34:30;+10:05;203.62500000;10.08333333;*;*;lotaas;*;
760;J1334-5839;J1334-5839;13:34:30.1;-58:39:16.5;203.62545458;-58.65459583;*;*;pks70,pksmb,htru_pks;*;
761;J1335-3642;J1335-3642;13:35:36;-36:42;203.90000000;-36.70000000;*;*;pks70,pkssw;*;
762;J1335-5656;J1335-5656;13:35:05.4;-56:56:01;203.77250000;-56.93361111;*;GRS:4FGL_J1335.0-5656[fermi21];FermiAssoc;NRAD[nie+20];
763;J1336-2522;J1336-2522;13:36:20.8;-25:22:01.6;204.08683333;-25.36711111;*;*;gbncc;*;
764;J1336+33;J1336+33;13:36:00;+33:46;204.00000000;33.76666667;*;*;misc;RRAT(?)[ttm18];
765;J1337-4441;J1337-4441;13:37:27.7;-44:41:42.3;204.36562083;-44.69508333;*;*;pks_superb;*;
766;J1337-6306;J1337-6306;13:37:20.3;-63:06:23.3;204.33479167;-63.10647222;*;*;pksmb;*;
767;J1337-6423;J1337-6423;13:37:31.8;-64:23:04.9;204.38284583;-64.38469861;CO[kjb+12];*;htru_pks;*;
