SRC_ID,A_NAME,"A_NAME_ALT
",A_RA,A_DEC,A_SOURCE_TYPE,A_SOURCE_TYPE_FLAG,B_NAME,B_RA,B_DEC,XOFFSET_
TC0034,CXOGLB J002402.1-720450,[GHE2001] W55 ,6.009004,-72.080725,CV           ,?                 ,2CXO J002402.1-720450,6.008913,-72.080727,0.002
TC0035,CXOGLB J002402.1-720542,[GHE2001] W56 ,6.008829,-72.095008,CV           ,                  ,2CXO J002402.1-720542,6.008951,-72.095027,0.003
TC0036,CXOGLB J002402.5-720511,[GHE2001] W53 ,6.010542,-72.086458,CV           ,                  ,2CXO J002402.5-720511,6.010643,-72.086484,0.002
TC0037,CXOGLB J002402.8-720449,[GHE2001] W51 ,6.011767,-72.080281,CV           ,                  ,2CXO J002402.8-720449,6.011798,-72.080332,0.003
TC0038,CXOGLB J002403.1-720447,[GHE2001] W49 ,6.012975,-72.079817,CV           ,                  ,2CXO J002403.1-720447,6.013009,-72.07985,0.002
TC0039,CXOGLB J002403.7-720423,[GHE2001] W45 ,6.015675,-72.07305,CV           ,                  ,2CXO J002403.7-720423,6.01575,-72.073064,0.002
TC0040,CXOGLB J002403.6-720459,[GHE2001] W44 ,6.015346,-72.083072,CV           ,                  ,2CXO J002403.7-720459,6.015486,-72.083083,0.003
TC0041,CXOGLB J002403.8-720621,[GHE2001] W122,6.016025,-72.106017,CV           ,                  ,2CXO J002403.8-720621,6.016136,-72.106038,0.002
TC0042,CXOGLB J002404.2-720458,[GHE2001] W42 ,6.017704,-72.082783,CV           ,                  ,2CXO J002404.2-720457,6.017843,-72.082764,0.003
TC0043,CXOGLB J002404.9-720455,[GHE2001] W36 ,6.020471,-72.082044,CV           ,                  ,2CXO J002404.9-720455,6.020589,-72.082103,0.004
TC0044,CXOGLB J002404.9-720506,[GHE2001] W35 ,6.020883,-72.085058,CV           ,?                 ,2CXO J002405.0-720506,6.021004,-72.085077,0.002
TC0045,CXOGLB J002405.3-720421,[GHE2001] W33 ,6.02235,-72.072647,CV           ,                  ,2CXO J002405.3-720421,6.02249,-72.072679,0.003
TC0046,CXOGLB J002405.6-720449,[GHE2001] W32 ,6.023521,-72.080333,CV           ,?                 ,2CXO J002405.6-720449,6.023632,-72.080356,0.002
TC0047,CXOGLB J002406.0-720456,[GHE2001] W30 ,6.024962,-72.082272,CV           ,                  ,2CXO J002406.0-720456,6.025117,-72.082283,0.003
TC0048,CXOGLB J002406.3-720443,[GHE2001] W27 ,6.026558,-72.078611,CV           ,                  ,2CXO J002406.4-720443,6.026676,-72.078634,0.003
TC0049,CXOGLB J002407.1-720545,[GHE2001] W25 ,6.029738,-72.096053,CV           ,                  ,2CXO J002407.1-720545,6.029837,-72.096075,0.002
TC0050,CXOGLB J002407.7-720527,[GHE2001] W21 ,6.032371,-72.0909,CV           ,                  ,2CXO J002407.7-720527,6.032464,-72.090925,0.002
TC0051,CXOGLB J002407.9-720454,[GHE2001] W20 ,6.032975,-72.081883,CV           ,?                 ,2CXO J002407.9-720454,6.033178,-72.081913,0.004
TC0052,CXOGLB J002408.2-720435,[GHE2001] W16 ,6.034517,-72.076608,CV           ,?                 ,2CXO J002408.3-720435,6.034675,-72.076618,0.003
TC0053,CXOGLB J002408.4-720500,[GHE2001] W15 ,6.035312,-72.083417,CV           ,                  ,2CXO J002408.4-720500,6.035411,-72.083435,0.002
TC0054,CXOGLB J002409.2-720543,[GHE2001] W140,6.038412,-72.095519,CV           ,?                 ,2CXO J002409.2-720543,6.038483,-72.095544,0.002
TC0055,CXOGLB J002410.0-720441,[GHE2001] W10 ,6.041879,-72.078128,CV           ,?                 ,2CXO J002410.0-720441,6.042059,-72.078131,0.003
TC0056,CXOGLB J002410.6-720516,[GHE2001] W71 ,6.04435,-72.087906,CV           ,?                 ,2CXO J002410.6-720516,6.044488,-72.087879,0.003
TC0057,CXOGLB J002410.7-720425,[GHE2001] W8  ,6.044775,-72.073814,CV           ,                  ,2CXO J002410.7-720425,6.044885,-72.073826,0.002
TC0058,CXOGLB J002411.0-720620,[GHE2001] W120,6.046208,-72.105567,CV           ,                  ,2CXO J002411.1-720620,6.046367,-72.105583,0.003
TC0059,CXOGLB J002411.8-720443,[GHE2001] W70 ,6.0496,-72.078858,CV           ,                  ,2CXO J002411.9-720443,6.049667,-72.078852,0.001
TC0060,CXOGLB J002415.8-720436,[GHE2001] W2  ,6.06615,-72.076775,CV           ,                  ,2CXO J002415.9-720436,6.066288,-72.076792,0.003
TC0061,CXOGLB J002416.9-720427,[GHE2001] W1  ,6.0707,-72.074225,CV           ,                  ,2CXO J002416.9-720427,6.070791,-72.074234,0.002
TC0062,CXOGLB J002404.1-720512,[GHE2001] W299,6.017271,-72.086797,AGB          ,                  ,2CXO J002404.1-720512,6.017315,-72.086822,0.002
TC0063,CXOGLB J002405.4-720457,[GHE2001] W287,6.022667,-72.082517,AGB          ,?                 ,2CXO J002405.4-720457,6.02281,-72.082582,0.005
TC0064,CXOGLB J002405.6-720452,[GHE2001] W286,6.023725,-72.081281,AGB          ,                  ,2CXO J002405.7-720452,6.023896,-72.081266,0.003
TC0065,CXOGLB J002406.3-720416,[GHE2001] W280,6.026308,-72.071372,AGB          ,                  ,2CXO J002406.3-720417,6.026374,-72.071406,0.002
TC0066,CXOGLB J002407.1-720420,[GHE2001] W275,6.029738,-72.072289,AGB          ,                  ,2CXO J002407.1-720420,6.029804,-72.072309,0.002
TC0067,CXOGLB J002407.1-720452,[GHE2001] W274,6.029879,-72.081322,AGB          ,                  ,2CXO J002407.2-720452,6.030002,-72.081364,0.003
TC0068,CXOGLB J002407.3-720504,[GHE2001] W273,6.030571,-72.084547,AGB          ,                  ,2CXO J002407.3-720504,6.030773,-72.084513,0.004
TC0069,CXOGLB J002407.5-720620,[GHE2001] W271,6.031346,-72.105581,AGB          ,                  ,2CXO J002407.5-720620,6.031596,-72.105608,0.005
TC0070,CXOGLB J002407.8-720458,[GHE2001] W267,6.03255,-72.082889,AGB          ,                  ,2CXO J002407.8-720458,6.032715,-72.0829,0.003
TC0071,CXOGLB J002407.9-720502,[GHE2001] W266,6.033158,-72.083883,AGB          ,                  ,2CXO J002407.9-720502,6.033214,-72.083904,0.002
TC0072,CXOGLB J002408.5-720535,[GHE2001] W262,6.0356,-72.093106,AGB          ,                  ,2CXO J002408.5-720535,6.035819,-72.093124,0.004
TC0073,CXOGLB J002409.8-720348,[GHE2001] W258,6.040975,-72.063319,AGB          ,                  ,2CXO J002409.8-720347,6.040972,-72.063313,0
TC0074,CXOGLB J002410.0-720451,[GHE2001] W257,6.041667,-72.081036,AGB          ,                  ,2CXO J002410.0-720451,6.041759,-72.081056,0.002
TC0075,CXOGLB J002411.0-720444,[GHE2001] W251,6.046079,-72.078897,AGB          ,                  ,2CXO J002411.0-720444,6.046232,-72.078906,0.003
TC0076,CXOGLB J002412.0-720512,[GHE2001] W248,6.0501,-72.086772,AGB          ,                  ,2CXO J002412.0-720512,6.050188,-72.08681,0.003
TC0077,CXOGLB J002412.1-720507,[GHE2001] W93 ,6.050617,-72.08545,AGB          ,                  ,2CXO J002412.2-720507,6.050838,-72.085508,0.005
TC0078,CXOGLB J002412.5-720521,[GHE2001] W246,6.052171,-72.089361,AGB          ,                  ,2CXO J002412.5-720521,6.052374,-72.089418,0.005
TC0079,CXOGLB J002413.5-720447,[GHE2001] W244,6.056496,-72.079786,AGB          ,                  ,2CXO J002413.5-720447,6.056478,-72.079827,0.002
TC0080,CXOGLB J002413.7-720334,[GHE2001] W243,6.05735,-72.059569,AGB          ,                  ,2CXO J002413.7-720334,6.057499,-72.059575,0.003
TC0081,CXOGLB J002414.0-720403,[GHE2001] W242,6.058471,-72.067544,AGB          ,                  ,2CXO J002414.0-720403,6.058495,-72.067561,0.001
TC0082,CXOGLB J002415.0-720503,[GHE2001] W239,6.062721,-72.084222,AGB          ,                  ,2CXO J002415.0-720503,6.062896,-72.08419,0.004
TC0083,CXOGLB J002415.2-720456,[GHE2001] W238,6.063587,-72.082392,AGB          ,                  ,2CXO J002415.2-720456,6.063709,-72.082432,0.003
TC0084,CXOGLB J002415.3-720450,[GHE2001] W237,6.063829,-72.080561,AGB          ,                  ,2CXO J002415.3-720449,6.063903,-72.080516,0.003
TC0085,CXOGLB J002416.7-720447,[GHE2001] W233,6.069696,-72.079806,AGB          ,                  ,2CXO J002416.7-720447,6.069895,-72.079756,0.005
TC0086,CXOGLB J002418.6-720455,[GHE2001] W228,6.077538,-72.081972,AGB          ,                  ,2CXO J002418.6-720455,6.077546,-72.082065,0.006
TC0087,CXOGLB J002421.2-720503,[GHE2001] W222,6.088633,-72.084172,AGB          ,                  ,2CXO J002421.3-720502,6.089008,-72.084109,0.008
TC0088,CXOGLB J002424.6-720500,[GHE2001] W216,6.102658,-72.083375,AGB          ,                  ,2CXO J002424.6-720500,6.102685,-72.083414,0.002
TC0089,CXOGLB J002430.7-720446,[GHE2001] W211,6.128083,-72.079631,AGB          ,                  ,2CXO J002430.7-720446,6.127958,-72.079676,0.004
TC0090,CXOGLB J002357.6-720502,[GHE2001] W64 ,5.990296,-72.083883,AB           ,                  ,2CXO J002357.6-720502,5.990402,-72.083914,0.003
TC0091,CXOGLB J002400.6-720554,[GHE2001] W59 ,6.00265,-72.098403,AB           ,                  ,2CXO J002400.6-720554,6.00262,-72.098446,0.003
TC0092,CXOGLB J002402.5-720444,[GHE2001] W54 ,6.010438,-72.079019,AB           ,?                 ,2CXO J002402.5-720444,6.010455,-72.079034,0.001
TC0093,CXOGLB J002403.4-720505,[GHE2001] W47 ,6.014375,-72.0848,AB           ,                  ,2CXO J002403.4-720505,6.014514,-72.084816,0.003
TC0094,CXOGLB J002404.2-720443,[GHE2001] W43 ,6.0177,-72.078761,AB           ,                  ,2CXO J002404.2-720443,6.017724,-72.078755,0.001
TC0095,CXOGLB J002404.3-720501,[GHE2001] W41 ,6.018013,-72.083697,AB           ,                  ,2CXO J002404.3-720501,6.018135,-72.083736,0.003
TC0096,CXOGLB J002404.2-720443,[GHE2001] W43 ,6.017629,-72.078844,AB           ,                  ,2CXO J002404.4-720444,6.018357,-72.079005,0.017
TC0097,CXOGLB J002404.8-720446,[GHE2001] W38 ,6.020367,-72.079469,AB           ,                  ,2CXO J002404.9-720446,6.020592,-72.079522,0.005
TC0098,CXOGLB J002405.1-720502,[GHE2001] W98 ,6.021242,-72.084108,AB           ,?                 ,2CXO J002405.0-720502,6.021205,-72.084095,0.001
TC0099,CXOGLB J002405.1-720604,[GHE2001] W121,6.021483,-72.101239,AB           ,                  ,2CXO J002405.1-720604,6.021642,-72.101254,0.003
TC0100,CXOGLB J002406.0-720346,[GHE2001] W168,6.025054,-72.062842,AB           ,?                 ,2CXO J002406.0-720346,6.025092,-72.062865,0.002
TC0101,CXOGLB J002406.3-720452,[GHE2001] W75 ,6.02655,-72.081347,AB           ,                  ,2CXO J002406.3-720452,6.026598,-72.08135,0.001
TC0102,CXOGLB J002406.5-720430,[GHE2001] W76 ,6.027108,-72.075128,AB           ,                  ,2CXO J002406.4-720430,6.026943,-72.075088,0.004
TC0103,CXOGLB J002406.8-720512,[GHE2001] W26 ,6.028442,-72.086772,AB           ,                  ,2CXO J002406.8-720512,6.028634,-72.08681,0.004
TC0104,CXOGLB J002407.2-720446,[GHE2001] W141,6.030192,-72.079567,AB           ,?                 ,2CXO J002407.2-720446,6.030276,-72.079591,0.002
TC0105,CXOGLB J002407.3-720449,[GHE2001] W24 ,6.030787,-72.080453,AB           ,?                 ,2CXO J002407.2-720450,6.030259,-72.080583,0.013
TC0106,CXOGLB J002407.2-720457,[GHE2001] W73 ,6.030033,-72.082614,AB           ,                  ,2CXO J002407.2-720457,6.030138,-72.082654,0.003
TC0107,CXOGLB J002407.3-720449,[GHE2001] W24 ,6.030592,-72.080389,AB           ,?                 ,2CXO J002407.3-720449,6.030684,-72.080402,0.002
TC0108,CXOGLB J002407.8-720441,[GHE2001] W23 ,6.032525,-72.078211,AB           ,                  ,2CXO J002407.8-720441,6.032612,-72.078232,0.002
TC0109,CXOGLB J002407.8-720524,[GHE2001] W22 ,6.032646,-72.090156,AB           ,                  ,2CXO J002407.8-720524,6.0328,-72.090147,0.003
TC0110,CXOGLB J002408.1-720513,[GHE2001] W18 ,6.033908,-72.087033,AB           ,                  ,2CXO J002408.1-720513,6.034126,-72.08706,0.004
TC0111,CXOGLB J002408.7-720507,[GHE2001] W14 ,6.036487,-72.085433,AB           ,                  ,2CXO J002408.7-720507,6.036626,-72.085454,0.003
TC0112,CXOGLB J002409.5-720504,[GHE2001] W12 ,6.039625,-72.084647,AB           ,                  ,2CXO J002409.5-720504,6.039826,-72.084658,0.004
TC0113,CXOGLB J002410.2-720401,[GHE2001] W167,6.042571,-72.067086,AB           ,                  ,2CXO J002410.2-720401,6.042659,-72.067123,0.003
TC0114,CXOGLB J002410.4-720459,[GHE2001] W72 ,6.043608,-72.083328,AB           ,                  ,2CXO J002410.4-720500,6.043718,-72.083345,0.002
TC0115,CXOGLB J002410.5-720506,[GHE2001] W9  ,6.043938,-72.085183,AB           ,                  ,2CXO J002410.5-720506,6.043943,-72.085175,0.001
TC0116,CXOGLB J002410.6-720529,[GHE2001] W184,6.044158,-72.091447,AB           ,                  ,2CXO J002410.6-720529,6.044218,-72.091472,0.002
TC0117,CXOGLB J002411.8-720514,[GHE2001] W94 ,6.049221,-72.087378,AB           ,                  ,2CXO J002411.8-720514,6.049228,-72.087417,0.002
TC0118,CXOGLB J002413.4-720451,[GHE2001] W4  ,6.056029,-72.080894,AB           ,?                 ,2CXO J002413.4-720451,6.056162,-72.080927,0.003
TC0119,CXOGLB J002413.4-720523,[GHE2001] W68 ,6.056163,-72.089806,AB           ,                  ,2CXO J002413.4-720523,6.056051,-72.089809,0.002
TC0120,CXOGLB J002415.1-720443,[GHE2001] W3  ,6.063171,-72.07875,AB           ,                  ,2CXO J002415.1-720443,6.063287,-72.07877,0.002
TC0121,CXOGLB J002415.6-720441,[GHE2001] W92 ,6.065387,-72.078169,AB           ,                  ,2CXO J002415.6-720441,6.065396,-72.078193,0.001
TC0122,CXOGLB J002415.9-720451,[GHE2001] W66 ,6.066504,-72.081031,AB           ,                  ,2CXO J002416.0-720451,6.066674,-72.08102,0.003
TC0123,CXOGLB J002418.8-720602,[GHE2001] W137,6.078313,-72.100761,AB           ,                  ,2CXO J002418.8-720602,6.078341,-72.100808,0.003
TC0124,CXOGLB J002419.3-720431,[GHE2001] W182,6.080725,-72.07535,AB           ,                  ,2CXO J002419.4-720431,6.080871,-72.075437,0.006
TC0125,CXOGLB J002425.1-720507,[GHE2001] W163,6.104908,-72.08535,AB           ,                  ,2CXO J002425.1-720507,6.10492,-72.085367,0.001
TC0126,CXOGLB J002331.5-720515,[GHE2001] W350,5.881425,-72.087661,             ,                  ,2CXO J002331.4-720515,5.881189,-72.087654,0.004
TC0127,CXOGLB J002336.3-720403,[GHE2001] W349,5.901496,-72.067492,             ,                  ,2CXO J002336.2-720403,5.901094,-72.067675,0.013
TC0128,CXOGLB J002339.1-720604,[GHE2001] W176,5.913271,-72.101311,             ,                  ,2CXO J002339.2-720604,5.913403,-72.101269,0.004
TC0129,CXOGLB J002341.1-720511,[GHE2001] W348,5.921421,-72.086603,             ,                  ,2CXO J002341.0-720512,5.920972,-72.086739,0.012
TC0130,CXOGLB J002341.3-720402,[GHE2001] W347,5.922104,-72.067442,             ,                  ,2CXO J002341.2-720403,5.92173,-72.067607,0.012
TC0131,CXOGLB J002342.6-720359,[GHE2001] W346,5.927642,-72.066378,             ,                  ,2CXO J002342.5-720359,5.927407,-72.066465,0.007
TC0132,CXOGLB J002344.8-720602,[GHE2001] W126,5.936813,-72.100558,             ,                  ,2CXO J002344.8-720602,5.93685,-72.100621,0.004
TC0133,CXOGLB J002345.9-720458,[GHE2001] W345,5.941325,-72.083033,             ,                  ,2CXO J002345.8-720459,5.941221,-72.08315,0.007
TC0134,CXOGLB J002346.3-720401,[GHE2001] W344,5.943037,-72.067203,             ,                  ,2CXO J002346.3-720401,5.94313,-72.067209,0.002
TC0135,CXOGLB J002348.9-720719,[GHE2001] W342,5.954025,-72.121942,             ,                  ,2CXO J002348.9-720719,5.95413,-72.122025,0.005
TC0136,CXOGLB J002349.2-720351,[GHE2001] W340,5.955283,-72.064289,             ,                  ,2CXO J002349.2-720351,5.955347,-72.064344,0.004
TC0137,CXOGLB J002349.2-720537,[GHE2001] W341,5.955146,-72.093739,             ,                  ,2CXO J002349.2-720538,5.955211,-72.093934,0.012
TC0138,CXOGLB J002350.6-720541,[GHE2001] W90 ,5.961125,-72.094867,             ,                  ,2CXO J002350.7-720541,5.96133,-72.094905,0.004
TC0139,CXOGLB J002351.9-720343,[GHE2001] W334,5.966621,-72.062172,             ,                  ,2CXO J002351.9-720343,5.966618,-72.062195,0.001
TC0140,CXOGLB J002351.9-720429,[GHE2001] W103,5.966392,-72.074967,             ,                  ,2CXO J002351.9-720430,5.966427,-72.075,0.002
TC0141,CXOGLB J002351.9-720453,[GHE2001] W336,5.966317,-72.081625,             ,                  ,2CXO J002351.9-720453,5.96631,-72.081643,0.001
TC0142,CXOGLB J002352.0-720436,[GHE2001] W335,5.966729,-72.076861,             ,                  ,2CXO J002352.0-720436,5.96675,-72.076938,0.005
TC0143,CXOGLB J002352.2-720723,[GHE2001] W147,5.96765,-72.123194,             ,                  ,2CXO J002352.2-720723,5.967776,-72.123257,0.004
TC0144,CXOGLB J002352.2-720723,[GHE2001] W147,5.967733,-72.123194,             ,                  ,2CXO J002352.2-720723,5.967776,-72.123257,0.004
TC0145,CXOGLB J002352.3-720311,[GHE2001] W333,5.968042,-72.05315,             ,                  ,2CXO J002352.3-720311,5.967987,-72.05315,0.001
TC0146,CXOGLB J002352.4-720533,[GHE2001] W89 ,5.968575,-72.092592,             ,                  ,2CXO J002352.4-720533,5.968617,-72.092619,0.002
TC0147,CXOGLB J002353.3-720707,[GHE2001] W188,5.972721,-72.118864,             ,                  ,2CXO J002353.4-720708,5.972677,-72.118945,0.005
TC0148,CXOGLB J002353.4-720511,[GHE2001] W65 ,5.973008,-72.086514,             ,                  ,2CXO J002353.5-720511,5.973032,-72.086527,0.001
TC0149,CXOGLB J002354.5-720355,[GHE2001] W331,5.977379,-72.065386,             ,                  ,2CXO J002354.5-720355,5.977498,-72.065538,0.009
