,NAME,ALT_NAME_1,RA,DEC,COUNTS,COUNTS_POS_ERR,COUNTS_NEG_ERR,LX,SOURCE_TYPE,SOURCE_TYPE_FLAG,DATASET_YEAR,SOURCE_NUMBER,NOTE_FLAGS,CLASS
93,CXOGLB J002350.3-720431,[GHE2001] W108,5.959879,-72.0754,39.5,8.3,6.2,2.5e+30,MSP        ,                ,2002,108,          ,"          RADIO PULSAR
"
94,CXOGLB J002408.3-720431,[GHE2001] W17 ,6.034604,-72.075397,756.9,29.5,27.5,4.84e+31,QLX        ,?               ,2002,17,          ,"LMXRB GLOBULAR CLUSTER
"
96,CXOGLB J002409.1-720428,[GHE2001] W13 ,6.038204,-72.074672,57.8,9.7,7.5,3.3e+30,MSP        ,                ,2002,13,          ,"          RADIO PULSAR
"
98,CXOGLB J002416.9-720427,[GHE2001] W1  ,6.0707,-72.074225,1810.6,44.5,42.5,9.73e+31,CV         ,                ,2002,1,H?Y       ,"                    CV
"
101,CXOGLB J002410.7-720425,[GHE2001] W8  ,6.044779,-72.073797,589.5,26.2,24.2,3.77e+31,CV         ,                ,2002,8,Y         ,"                    CV
"
103,CXOGLB J002416.4-720425,[GHE2001] W104,6.068675,-72.073653,62.0,9.9,7.8,3.8e+30,MSP        ,                ,2002,104,          ,"          RADIO PULSAR
"
104,CXOGLB J002403.7-720423,[GHE2001] W45 ,6.015675,-72.07305,1320.5,38.3,36.3,7.28e+31,CV         ,                ,2002,45,DH        ,"                    CV
"
106,CXOGLB J002405.3-720421,[GHE2001] W33 ,6.02235,-72.072647,131.4,13.4,11.4,8.3e+30,CV         ,                ,2002,33,          ,"                    CV
"
109,CXOGLB J002404.1-720420,[GHE2001] W142,6.017462,-72.072253,43.9,8.8,6.5,2.8e+30,MSP        ,?               ,2002,142,          ,"          RADIO PULSAR
"
110,CXOGLB J002410.8-720415,[GHE2001] W95 ,6.045125,-72.070992,11.7,5.8,3.2,1e+30,MSP        ,?               ,2002,95,          ,"          RADIO PULSAR
"
111,CXOGLB J002406.7-720406,[GHE2001] W74 ,6.027946,-72.068578,65.1,10.0,8.0,4.5e+30,MSP        ,                ,2002,74,          ,"          RADIO PULSAR
"
114,CXOGLB J002409.8-720359,[GHE2001] W11 ,6.040967,-72.066561,83.7,11.2,9.1,4.7e+30,MSP        ,                ,2002,11,H?        ,"          RADIO PULSAR
"
116,CXOGLB J002359.4-720358,[GHE2001] W63 ,5.997513,-72.066325,135.2,13.7,11.6,8.2e+30,MSP        ,                ,2002,63,          ,"          RADIO PULSAR
"
117,CXOGLB J002417.5-720357,[GHE2001] W91 ,6.07305,-72.066017,25.6,7.2,5.0,1.4e+30,MSP        ,?               ,2002,91,H?        ,"          RADIO PULSAR
"
119,CXOGLB J002353.9-720350,[GHE2001] W125,5.974925,-72.063908,1118.8,35.4,33.4,6.78e+31,QLX        ,?               ,2002,125,D?H       ,"LMXRB GLOBULAR CLUSTER
"
