,A_NAME,A_RA,A_DEC,B_NAME,B_RA,B_DEC,XOFFSET_
0,PSR J0007+7303 ,1.757083,73.052056,2CXO J000701.5+730308 ,1.756555,73.052259,0.015
1,PSR J0100-7211 ,15.179292,-72.192667,2CXO J010043.0-721133 ,15.179341,-72.192701,0.002
2,PSR J0023+0923 ,5.820326,9.389963,2CXO J002316.8+092323 ,5.820373,9.389989,0.003
3,PSR J0359+5414 ,59.858375,54.248806,2CXO J035925.4+541501 ,59.855928,54.250465,0.131
4,PSR J0357+3205 ,59.46875,32.090278,2CXO J035752.3+320520 ,59.467935,32.089093,0.082
5,PSR J0359+5414 ,59.858375,54.248806,2CXO J035926.0+541455 ,59.858627,54.248739,0.01
6,PSR J0101-6422 ,15.296318,-64.375047,2CXO J010111.0-642230 ,15.296214,-64.375178,0.008
7,PSR J0146+6145 ,26.593417,61.750778,2CXO J014622.4+614503 ,26.593348,61.750834,0.004
8,PSR J0205+6449 ,31.40801,64.828148,2CXO J020537.9+644941 ,31.40807,64.828178,0.002
9,PSR J0205+6449 ,31.40801,64.828148,2CXO J020538.0+644936X,31.408341,64.826701,0.087
10,PSR J0248+6021 ,42.077571,60.359644,2CXO J024818.6+602134 ,42.077716,60.359713,0.006
11,PSR J0358+5413 ,59.723849,54.220496,2CXO J035853.7+541309 ,59.724062,54.219213,0.077
12,PSR J0358+5413 ,59.723849,54.220496,2CXO J035853.7+541313 ,59.723885,54.220487,0.001
13,PSR J0537-6910 ,84.447567,-69.172189,2CXO J053747.4-691019 ,84.447521,-69.172182,0.001
14,PSR J0418+5732 ,64.641113,57.539697,2CXO J041833.8+573222 ,64.640939,57.539719,0.006
15,PSR J0437-4715 ,69.316234,-47.252531,2CXO J043715.9-471509X,69.316352,-47.252618,0.007
16,PSR J0437-4715 ,69.316234,-47.252531,2CXO J043715.8-471508 ,69.315921,-47.252399,0.015
17,PSR J0525-6607 ,81.50375,-66.07675,2CXO J052600.9-660436 ,81.503755,-66.076702,0.003
18,PSR J0501+4516 ,75.278167,45.276089,2CXO J050106.7+451634 ,75.278167,45.276135,0.003
19,PSR J0538+2817 ,84.604405,28.285878,2CXO J053825.0+281709 ,84.6044,28.286017,0.008
20,PSR J0540-6919 ,85.046675,-69.331714,2CXO J054010.8-691954 ,85.045294,-69.331887,0.031
21,PSR J0540-6919 ,85.046675,-69.331714,2CXO J054010.9-691955X,85.045467,-69.332151,0.037
22,PSR J0734-1559 ,113.690396,-15.9884,2CXO J073445.6-155919 ,113.690409,-15.988759,0.022
23,PSR J0633+1746 ,98.475638,17.770253,2CXO J063354.2+174613 ,98.475897,17.770521,0.022
24,PSR J0633+1746 ,98.475638,17.770253,2CXO J063354.2+174616 ,98.476132,17.77113,0.06
25,PSR J0633+1746 ,98.475638,17.770253,2CXO J063354.3+174614 ,98.476366,17.770773,0.052
26,PSR J0729-1448 ,112.318542,-14.810222,2CXO J072916.3-144837 ,112.318297,-14.810383,0.017
27,PSR J0630-2834 ,97.705852,-28.57855,2CXO J063049.4-283443 ,97.705913,-28.578624,0.005
28,PSR J0633+0632 ,98.434208,6.543028,2CXO J063344.1+063230 ,98.433929,6.54178,0.077
