A_NAME,B_DEC,B_NAME,B_RA,DEC,RA,XOFFSET_
PSR J1930+1852 ,18.870471,2CXO J193029.9+185213X,292.624855,18.870583,292.625542,0.04
PSR J1930+1852 ,18.870595,2CXO J193030.1+185214 ,292.625562,18.870583,292.625542,0.001
PSR J1932+1059 ,10.990509,2CXO J193213.9+105925 ,293.058314,10.992606,293.058571,0.127
PSR J1932+1059 ,10.992423,2CXO J193213.9+105932 ,293.058323,10.992606,293.058571,0.018
PSR J1939+2134 ,21.583164,2CXO J193938.5+213459 ,294.910672,21.58309,294.910672,0.004
PSR J1952+3252 ,32.877973,2CXO J195258.2+325240 ,298.242521,32.877919,298.242525,0.003
PSR J1932+1059 ,10.991792,2CXO J193214.1+105930 ,293.058906,10.992606,293.058571,0.053
PSR J1952+3252 ,32.87872,2CXO J195258.9+325243X,298.245616,32.877919,298.242525,0.163
PSR J2017+0603 ,6.051485,2CXO J201722.6+060305 ,304.344531,6.051546,304.344605,0.006
PSR J1959+2048 ,20.804127,2CXO J195936.7+204814 ,299.903118,20.804201,299.903208,0.007
PSR J2021+3651 ,36.851285,2CXO J202105.4+365104 ,305.272795,36.851333,305.27275,0.004
PSR J2017+3625 ,36.418816,2CXO J201755.8+362507 ,304.482584,36.418861,304.482667,0.005
PSR J2021+3651 ,36.851122,2CXO J202105.4+365104X,305.272555,36.851333,305.27275,0.016
PSR J2021+4026 ,40.446145,2CXO J202130.7+402646 ,305.378049,40.445861,305.374958,0.142
PSR J2028+3332 ,33.534451,2CXO J202819.8+333204 ,307.082833,33.534544,307.08275,0.007
PSR J2022+3842 ,38.704153,2CXO J202221.6+384214 ,305.590348,38.704117,305.590371,0.002
PSR J2051-0827 ,-8.460488,2CXO J205107.5-082737 ,312.781306,-8.460486,312.781332,0.002
PSR J2047+1053 ,10.885505,2CXO J204710.2+105307 ,311.792704,10.8855,311.792692,0.001
PSR J2032+4127 ,41.456741,2CXO J203213.1+412724 ,308.054745,41.456753,308.054663,0.004
PSR J2043+1711 ,17.191451,2CXO J204320.8+171129 ,310.836924,17.191363,310.837007,0.007
PSR J2229+6114 ,61.236016,2CXO J222904.2+611409X,337.267885,61.235917,337.272,0.119
PSR J2124-3358 ,-33.978071,2CXO J212443.4-335841 ,321.180837,-33.979125,321.182706,0.112
PSR J2214+3000 ,30.010592,2CXO J221438.8+300038 ,333.661892,30.010609,333.661886,0.001
PSR J2229+6114 ,61.235858,2CXO J222905.2+611409 ,337.271901,61.235917,337.272,0.005
PSR J2229+6114 ,61.235506,2CXO J222905.9+611407 ,337.274908,61.235917,337.272,0.088
PSR J2124-3358 ,-33.979094,2CXO J212443.8-335844 ,321.182708,-33.979125,321.182706,0.002
PSR J2139+4716 ,47.270397,2CXO J213955.9+471613 ,324.98332,47.270278,324.983125,0.011
PSR J2215+5135 ,51.593496,2CXO J221532.7+513536 ,333.886279,51.593428,333.886202,0.005
PSR J2241-5236 ,-52.61006,2CXO J224142.0-523636 ,340.425038,-52.610063,340.425077,0.001
PSR J2238+5903 ,59.061979,2CXO J223827.9+590343 ,339.616483,59.061333,339.617792,0.056
PSR J2256-1024 ,-10.409532,2CXO J225656.3-102434 ,344.234879,-10.409551,344.234971,0.006
PSR J2301+5852 ,58.878949,2CXO J230108.2+585244 ,345.284506,58.879014,345.284542,0.004
PSR J2339-0533 ,-5.551438,2CXO J233938.7-053305 ,354.911401,-5.551478,354.911417,0.003
