SRC_ID,A_NAME,B_DEC,B_NAME,B_RA,DEC,RA,XOFFSET_
PL0030,PSR J1023+0038 ,0.644712,2CXO J102347.6+003840 ,155.948682,0.644679,155.948697,0.002
PL0031,PSR J1028-5819 ,-58.318499,2CXO J102827.8-581906 ,157.116106,-58.318111,157.116667,0.029
PL0032,PSR J1044-5737 ,-57.621974,2CXO J104432.8-573719 ,161.136919,-57.622028,161.136667,0.009
PL0033,PSR J1048-5832 ,-58.534278,2CXO J104812.6-583203 ,162.052616,-58.535056,162.054375,0.072
PL0034,PSR J1050-5953 ,-59.889177,2CXO J105007.5-595321 ,162.531367,-59.889278,162.529667,0.052
PL0035,PSR J1057-5226 ,-52.4491,2CXO J105758.9-522656 ,164.495761,-52.448981,164.496021,0.012
PL0036,PSR J1101-6101 ,-61.027389,2CXO J110144.8-610138 ,165.437062,-61.027667,165.437333,0.018
PL0037,PSR J1105-6107,-61.130282,2CXO J110526.2-610749 ,166.359353,-61.1309,166.359,0.038
PL0038,PSR J1111-6039 ,-60.657132,2CXO J111148.5-603925 ,167.952375,-60.657222,167.9525,0.007
PL0039,PSR J1112-6103,-61.058534,2CXO J111214.8-610330 ,168.061993,-61.0587,168.0618,0.011
PL0040,PSR J1119-6127 ,-61.463667,2CXO J111914.2-612749 ,169.809484,-61.46375,169.809583,0.006
PL0041,PSR J1124-3653 ,-36.888648,2CXO J112401.1-365319 ,171.00471,-36.888639,171.00465,0.003
PL0042,PSR J1124-5916,-59.272072,2CXO J112439.1-591619 ,171.163186,-59.2722,171.1629,0.012
PL0043,PSR J1135-6055 ,-60.926834,2CXO J113508.3-605536 ,173.784932,-60.9268,173.784896,0.002
PL0044,PSR J1210-5226 ,-52.44122,2CXO J121000.8-522628 ,182.503605,-52.441222,182.503792,0.007
PL0045,PSR J1227-4853 ,-48.89537,2CXO J122758.7-485343 ,186.994816,-48.895206,186.994683,0.011
PL0046,PSR J1231-1411 ,-14.195533,2CXO J123111.3-141143 ,187.797096,-14.195453,187.797138,0.005
PL0047,PSR J1311-3430 ,-34.508381,2CXO J131145.7-343030 ,197.94049,-34.508431,197.940517,0.003
PL0048,PSR J1357-6429 ,-64.49165,2CXO J135702.5-642929 ,209.260551,-64.491722,209.260125,0.012
PL0049,PSR J1400-6325 ,-63.428606,2CXO J140045.7-632542 ,210.190423,-63.4285,210.190375,0.007
PL0050,PSR J1412+7922 ,79.367702,2CXO J141255.8+792203 ,213.232548,79.367749,213.232779,0.004
PL0051,PSR J1413-6205 ,-62.093325,2CXO J141330.2-620535 ,213.375909,-62.093889,213.374583,0.05
PL0052,PSR J1417-4402 ,-44.049235,2CXO J141730.5-440257 ,214.377275,-44.049278,214.3775,0.01
PL0053,PSR J1418-6058,-60.967486,2CXO J141842.6-605802 ,214.677725,-60.9667,214.6783,0.05
PL0054,PSR J1429-5911,-59.193342,2CXO J142958.5-591136 ,217.493755,-59.1935,217.4939,0.01
PL0055,PSR J1459-6053 ,-60.888965,2CXO J145930.2-605320 ,224.876053,-60.889083,224.874958,0.033
PL0056,PSR J1509-5850,-58.849899,2CXO J150927.4-585059 ,227.364228,-58.8489,227.363,0.071
PL0057,PSR J1513-5908 ,-59.135892,2CXO J151355.6-590809 ,228.481812,-59.136,228.482546,0.024
PL0058,PSR J1514-4946 ,-49.771096,2CXO J151419.0-494615 ,228.579492,-49.770977,228.579642,0.009
PL0059,PSR J1531-5610 ,-56.182037,2CXO J153127.8-561055 ,232.86624,-56.182036,232.866254,0.001
PL0060,PSR J1550-5418 ,-54.306649,2CXO J155054.1-541823 ,237.725463,-54.306698,237.725516,0.004
PL0061,PSR J1614-2230 ,-22.508628,2CXO J161436.5-223031 ,243.652113,-22.508686,243.652114,0.003
PL0062,PSR J1617-5055 ,-50.920227,2CXO J161729.3-505512 ,244.372309,-50.920333,244.372083,0.011
PL0063,PSR J1622-4950 ,-49.847976,2CXO J162244.8-495052 ,245.687059,-49.848444,245.686667,0.032
PL0064,PSR J1628-3205 ,-32.096931,2CXO J162806.9-320548 ,247.029127,-32.096917,247.029167,0.002
PL0065,PSR J1635-4735 ,-47.589821,2CXO J163551.8-473523 ,248.965919,-47.589808,248.966017,0.004
PL0066,PSR J1640-4631 ,-46.526447,2CXO J164043.5-463135 ,250.181342,-46.5265,250.181333,0.003
PL0067,PSR J1647-4552 ,-45.871404,2CXO J164710.2-455217 ,251.792604,-45.871333,251.7925,0.006
PL0068,PSR J1653-0158 ,-1.97686,2CXO J165338.0-015836 ,253.408534,-1.976915,253.408558,0.004
PL0069,PSR J1658-5324 ,-53.401932,2CXO J165839.3-532406 ,254.663967,-53.401945,254.663932,0.002
PL0070,PSR J1702-4128 ,-41.48007,2CXO J170252.4-412848 ,255.7187,-41.480056,255.718833,0.006
PL0071,PSR J1708-4008 ,-40.147996,2CXO J170846.8-400852 ,257.195359,-40.1479,257.195292,0.007
PL0072,PSR J1709-4429 ,-44.485678,2CXO J170942.7-442908 ,257.42801,-44.485622,257.428033,0.004
PL0073,PSR J1714-3810 ,-38.175265,2CXO J171405.7-381030 ,258.523908,-38.17525,258.523917,0.001
PL0074,PSR J1714-3830 ,-38.506216,2CXO J171419.8-383022 ,258.582695,-38.506389,258.5825,0.014
PL0075,PSR J1718-3825 ,-38.421655,2CXO J171813.6-382517 ,259.556682,-38.421683,259.556521,0.008
PL0076,PSR J1730-3350 ,-33.843575,2CXO J173032.3-335036 ,262.634793,-33.844278,262.635663,0.06
PL0077,PSR J1732-3131,-31.523318,2CXO J173233.5-313123 ,263.139795,-31.5228,263.1397,0.031
PL0078,PSR J1740+1000 ,10.001684,2CXO J174025.9+100006 ,265.108131,10.00175,265.108125,0.004
PL0079,PSR J1741-2054,-20.903519,2CXO J174157.2-205412 ,265.488696,-20.9036,265.4883,0.023
PL0080,PSR J1744-1134 ,-11.581923,2CXO J174429.4-113454 ,266.122503,-11.581856,266.122524,0.004
PL0081,PSR J1745-2900 ,-29.007799,2CXO J174540.0-290028 ,266.416843,-29.008304,266.417359,0.041
PL0082,PSR J1747-2958,-29.966982,2CXO J174715.8-295801 ,266.815857,-29.9669,266.8162,0.018
PL0083,PSR J1803-2137 ,-21.618674,2CXO J180351.4-213707 ,270.964349,-21.618709,270.96421,0.008
PL0084,PSR J1808-2024 ,-20.411009,2CXO J180839.3-202439 ,272.163821,-20.411069,272.163904,0.006
PL0085,PSR J1809-1943 ,-19.731093,2CXO J180951.0-194351 ,272.462855,-19.731092,272.462862,0
PL0086,PSR J1809-2332,-23.533424,2CXO J180949.9-233200 ,272.458278,-23.5343,272.4592,0.073
PL0087,PSR J1809-2332 ,-23.539682,2CXO J180950.2-233222 ,272.459428,-23.539633,272.459375,0.004
PL0088,PSR J1810+1744 ,17.743715,2CXO J181037.3+174437 ,272.655465,17.743717,272.655333,0.008
PL0089,PSR J1811-1925 ,-19.424222,2CXO J181129.2-192527 ,272.871889,-19.424444,272.871667,0.018
PL0090,PSR J1813-1246 ,-12.76675,2CXO J181323.7-124600 ,273.349044,-12.766444,273.349042,0.018
PL0091,PSR J1813-1749 ,-17.832534,2CXO J181335.1-174957 ,273.396561,-17.832658,273.3963,0.017
PL0092,PSR J1816+4510 ,45.176106,2CXO J181635.9+451033 ,274.149613,45.176073,274.149726,0.005
PL0093,PSR J1822-1604 ,-16.073778,2CXO J182218.0-160425 ,275.575277,-16.074111,275.575,0.026
PL0094,PSR J1824-2452A,-24.871483,2CXO J182432.1-245217 ,276.133963,-24.869676,276.133366,0.113
PL0095,PSR J1824-2452I,-24.868928,2CXO J182432.4-245208 ,276.135398,-24.869056,276.135542,0.011
PL0096,PSR J1826-1256,-12.942939,2CXO J182608.5-125634 ,276.535592,-12.9428,276.5355,0.01
PL0097,PSR J1826-1334 ,-13.579608,2CXO J182613.1-133446 ,276.554876,-13.579667,276.554896,0.004
PL0098,PSR J1833-0831 ,-8.518808,2CXO J183344.3-083107 ,278.434946,-8.518806,278.434875,0.004
PL0099,PSR J1833-1034,-10.568861,2CXO J183333.5-103407 ,278.38986,-10.5688,278.3899,0.004
PL0100,PSR J1834-0845 ,-8.76558,2CXO J183452.1-084556 ,278.717198,-8.765561,278.717158,0.003
PL0101,PSR J1836+5925,59.425023,2CXO J183613.7+592530 ,279.057092,59.4249,279.0571,0.007
PL0102,PSR J1838-0655 ,-6.925997,2CXO J183803.1-065533 ,279.513281,-6.925944,279.513042,0.015
PL0103,PSR J1841-0456 ,-4.936374,2CXO J184119.3-045610 ,280.330517,-4.936433,280.330596,0.006
PL0104,PSR J1846-0258 ,-2.975011,2CXO J184624.9-025830 ,281.603915,-2.975028,281.603917,0.001
PL0105,PSR J1846+0919,9.330484,2CXO J184625.8+091949 ,281.607687,9.3294,281.6078,0.065
PL0106,PSR J1849-0001 ,-0.021551,2CXO J184901.6-000117 ,282.256736,-0.021514,282.2568,0.004
PL0107,PSR J1852+0040 ,0.67213,2CXO J185238.5+004019 ,283.160731,0.672167,283.160708,0.003
PL0108,PSR J1856+0113 ,1.223021,2CXO J185610.6+011322 ,284.044504,1.222583,284.044375,0.027
PL0109,PSR J1907+0602,6.037426,2CXO J190754.7+060214 ,286.97817,6.038,286.9781,0.035
PL0110,PSR J1907+0602 ,6.037426,2CXO J190754.7+060214 ,286.97817,6.038028,286.978083,0.036
PL0111,PSR J1907+0919 ,9.322134,2CXO J190714.3+091919 ,286.809682,9.32225,286.809708,0.007
PL0112,PSR J1930+1852 ,18.870595,2CXO J193030.1+185214 ,292.625562,18.870583,292.625542,0.001
PL0113,PSR J1932+1059 ,10.992423,2CXO J193213.9+105932 ,293.058323,10.992606,293.058571,0.018
PL0114,PSR J1939+2134,21.583164,2CXO J193938.5+213459 ,294.910672,21.5831,294.9107,0.004
PL0115,PSR J1952+3252 ,32.877973,2CXO J195258.2+325240 ,298.242521,32.877919,298.242525,0.003
PL0116,PSR J1958+2846,28.765136,2CXO J195840.0+284554 ,299.66685,28.7648,299.6667,0.022
PL0117,PSR J1959+2048 ,20.804127,2CXO J195936.7+204814 ,299.903118,20.804201,299.903208,0.007
PL0118,PSR J2017+0603 ,6.051485,2CXO J201722.6+060305 ,304.344531,6.051546,304.344605,0.006
PL0119,PSR J2017+3625 ,36.418816,2CXO J201755.8+362507 ,304.482584,36.418861,304.482667,0.005
PL0120,PSR J2021+3651,36.851285,2CXO J202105.4+365104 ,305.272795,36.851,305.274,0.06
PL0121,PSR J2021+3651 ,36.851285,2CXO J202105.4+365104 ,305.272795,36.851333,305.27275,0.004
PL0122,PSR J2021+4026 ,40.446145,2CXO J202130.7+402646 ,305.378049,40.445861,305.374958,0.142
PL0123,PSR J2022+3842 ,38.704153,2CXO J202221.6+384214 ,305.590348,38.704117,305.590371,0.002
PL0124,PSR J2028+3332 ,33.534451,2CXO J202819.8+333204 ,307.082833,33.534544,307.08275,0.007
PL0125,PSR J2032+4127 ,41.456741,2CXO J203213.1+412724 ,308.054745,41.456753,308.054663,0.004
PL0126,PSR J2043+1711,17.191451,2CXO J204320.8+171129 ,310.836924,17.1914,310.837,0.005
PL0127,PSR J2047+1053,10.885505,2CXO J204710.2+105307 ,311.792704,10.8855,311.7928,0.006
PL0128,PSR J2051-0827 ,-8.460488,2CXO J205107.5-082737 ,312.781306,-8.460486,312.781332,0.002
PL0129,PSR J2124-3358,-33.979094,2CXO J212443.8-335844 ,321.182708,-33.9791,321.1827,0.001
PL0130,PSR J2139+4716,47.270397,2CXO J213955.9+471613 ,324.98332,47.2703,324.983,0.014
PL0131,PSR J2214+3000 ,30.010592,2CXO J221438.8+300038 ,333.661892,30.010609,333.661886,0.001
PL0132,PSR J2215+5135 ,51.593496,2CXO J221532.7+513536 ,333.886279,51.593428,333.886202,0.005
PL0133,PSR J2229+6114 ,61.235858,2CXO J222905.2+611409 ,337.271901,61.235917,337.272,0.005
PL0134,PSR J2238+5903 ,59.061979,2CXO J223827.9+590343 ,339.616483,59.061333,339.617792,0.056
PL0135,PSR J2241-5236 ,-52.61006,2CXO J224142.0-523636 ,340.425038,-52.610063,340.425077,0.001
PL0136,PSR J2256-1024 ,-10.409532,2CXO J225656.3-102434 ,344.234879,-10.409551,344.234971,0.006
PL0137,PSR J2301+5852 ,58.878949,2CXO J230108.2+585244 ,345.284506,58.879014,345.284542,0.004
PL0138,PSR J2339-0533 ,-5.551438,2CXO J233938.7-053305 ,354.911401,-5.551478,354.911417,0.003
