SRC_ID,A_NAME,B_DEC,B_NAME,B_RA,DEC,RA,XOFFSET_
PL0001,PSR J0007+7303 ,73.052259,2CXO J000701.5+730308 ,1.756555,73.052056,1.757083,0.015
PL0002,PSR J0023+0923 ,9.389989,2CXO J002316.8+092323 ,5.820373,9.389963,5.820326,0.003
PL0003,PSR J0100-7211 ,-72.192701,2CXO J010043.0-721133 ,15.179341,-72.192667,15.179292,0.002
PL0004,PSR J0101-6422 ,-64.375178,2CXO J010111.0-642230 ,15.296214,-64.375047,15.296318,0.008
PL0005,PSR J0146+6145 ,61.750834,2CXO J014622.4+614503 ,26.593348,61.750778,26.593417,0.004
PL0006,PSR J0205+6449 ,64.828178,2CXO J020537.9+644941 ,31.40807,64.828148,31.40801,0.002
PL0007,PSR J0248+6021 ,60.359713,2CXO J024818.6+602134 ,42.077716,60.359644,42.077571,0.006
PL0008,PSR J0357+3205 ,32.089093,2CXO J035752.3+320520 ,59.467935,32.090278,59.46875,0.082
PL0009,PSR J0358+5413 ,54.220487,2CXO J035853.7+541313 ,59.723885,54.220496,59.723849,0.001
PL0010,PSR J0359+5414 ,54.248739,2CXO J035926.0+541455 ,59.858627,54.248806,59.858375,0.01
PL0011,PSR J0418+5732 ,57.539719,2CXO J041833.8+573222 ,64.640939,57.539697,64.641113,0.006
PL0012,PSR J0437-4715 ,-47.252399,2CXO J043715.8-471508 ,69.315921,-47.252531,69.316234,0.015
PL0013,PSR J0501+4516 ,45.276135,2CXO J050106.7+451634 ,75.278167,45.276089,75.278167,0.003
PL0014,PSR J0525-6607 ,-66.076702,2CXO J052600.9-660436 ,81.503755,-66.07675,81.50375,0.003
PL0015,PSR J0537-6910 ,-69.172182,2CXO J053747.4-691019 ,84.447521,-69.172189,84.447567,0.001
PL0016,PSR J0538+2817 ,28.286017,2CXO J053825.0+281709 ,84.6044,28.285878,84.604405,0.008
PL0017,PSR J0540-6919 ,-69.331887,2CXO J054010.8-691954 ,85.045294,-69.331714,85.046675,0.031
PL0018,PSR J0630-2834 ,-28.578624,2CXO J063049.4-283443 ,97.705913,-28.57855,97.705852,0.005
PL0019,PSR J0633+0632 ,6.54178,2CXO J063344.1+063230 ,98.433929,6.543028,98.434208,0.077
PL0020,PSR J0633+1746 ,17.770521,2CXO J063354.2+174613 ,98.475897,17.770253,98.475638,0.022
PL0021,PSR J0659+1414 ,14.239219,2CXO J065948.1+141421 ,104.950734,14.238722,104.950817,0.03
PL0022,PSR J0729-1448 ,-14.810383,2CXO J072916.3-144837 ,112.318297,-14.810222,112.318542,0.017
PL0023,PSR J0734-1559 ,-15.988759,2CXO J073445.6-155919 ,113.690409,-15.9884,113.690396,0.022
PL0024,PSR J0737-3039A,-30.661306,2CXO J073751.2-303940 ,114.463516,-30.66131,114.463535,0.001
PL0025,PSR J0821-4300 ,-43.004826,2CXO J082157.3-430017 ,125.488948,-43.004743,125.489022,0.006
PL0026,PSR J0835-4510 ,-45.176291,2CXO J083520.6-451034 ,128.835887,-45.176354,128.835881,0.004
PL0027,PSR J0908-4913 ,-49.218183,2CXO J090835.4-491305 ,137.147533,-49.218056,137.14775,0.011
PL0028,PSR J1016-5857,-58.953157,2CXO J101621.2-585711 ,154.08857,-58.9534,154.0882,0.019
PL0029,PSR J1023-5746,-57.768545,2CXO J102302.8-574606 ,155.761818,-57.7698,155.7609,0.081
