,Unnamed: 0,A_NAME,SRC_ID,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,XOFFSET_,transient,burst,type,comments,nearest_GC,GC_dist,near_gc,near_gc_dist
0,0,1A 1742-289          ,NS0001,266.404167,-29.018611,INTREFCAT       ,INTEGRAL     ,2CXO J174536.7-290107 ,266.403262,-29.018745,0.048,transient,burst,,,,,no_cluster,
1,1,1A 1742-294          ,NS0002,266.522917,-29.515278,INTREFCAT       ,INTEGRAL     ,2CXO J174605.2-293053 ,266.52171,-29.514876,0.067,transient,burst,,,,,no_cluster,
2,2,1A 1743-288          ,NS0003,266.760833,-28.883056,INTREFCAT       ,INTEGRAL     ,2CXO J174702.5-285259 ,266.760784,-28.883084,0.003,,,,,,,no_cluster,
3,3,1A 1744-361          ,NS0004,267.08,-36.121389,INTREFCAT       ,INTEGRAL     ,2CXO J174819.2-360716 ,267.080098,-36.121268,0.009,transient,burst,atoll source,,NCG – 6411,60.3,no_cluster,
4,4,1H 0512-401          ,NS0005,78.5275,-40.043611,INTREFCAT       ,INTEGRAL     ,2CXO J051406.4-400238 ,78.526849,-40.043909,0.035,,,,,,, NGC-1851,0.16993644954945245
5,5,1H 1715-321          ,NS0006,259.6975,-32.177778,INTREFCAT       ,INTEGRAL     ,2CXO J171847.4-321032 ,259.697892,-32.17561,0.132,,burst,,,,,no_cluster,
6,6,1H 1746-370          ,NS0007,267.552917,-37.052222,INTREFCAT       ,INTEGRAL     ,2CXO J175012.7-370306 ,267.552922,-37.051758,0.028,,burst,,,,, NGC-6441,0.07400429301119334
7,7,1RXS J171824.2-40293 ,NS0008,259.600417,-40.491667,INTREFCAT       ,INTEGRAL     ,2CXO J171824.1-402933 ,259.600626,-40.492545,0.054,,burst,,,,,no_cluster,
8,8,2E 1613.5-5053       ,NS0009,244.40125,-51.040278,INTREFCAT       ,INTEGRAL     ,2CXO J161736.2-510224 ,244.400927,-51.04022,0.013,,,,,,,no_cluster,
9,9,3A 1954+319          ,NS0010,298.92625,32.096944,INTREFCAT       ,INTEGRAL     ,2CXO J195542.3+320549 ,298.92637,32.096958,0.006,,burst,,,,,no_cluster,
10,10,3A 2129+470          ,NS0011,322.859167,47.29,INTREFCAT       ,INTEGRAL     ,2CXO J213126.2+471724 ,322.859213,47.290151,0.009,,,,,,,no_cluster,
11,11,4U 1708-40           ,NS0012,258.099167,-40.842778,INTREFCAT       ,INTEGRAL     ,2CXO J171223.7-405034 ,258.099163,-40.842823,0.003,,burst,,,,,no_cluster,
12,12,4U 1730-335          ,NS0013,263.350417,-33.387778,INTREFCAT       ,INTEGRAL     ,2CXO J173324.5-332320 ,263.352479,-33.388921,0.124,,,,,,, Liller-1,0.020380667016019864
13,13,4U 1812-12           ,NS0014,273.775833,-12.096389,INTREFCAT       ,INTEGRAL     ,2CXO J181506.2-120545 ,273.775986,-12.095957,0.027,,burst,atoll source,,,,no_cluster,
14,14,4U 2129+12           ,NS0015,322.492917,12.1675,INTREFCAT       ,INTEGRAL     ,2CXO J212958.1+121002 ,322.492171,12.167285,0.046,,burst,,,,, NGC-7078,0.05385350839102229
