,flux_bb,flux_bb_lolim,flux_bb_hilim,flux_brems,flux_brems_hilim,flux_brems_lolim,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,photflux_aper,photflux_aper_lolim,photflux_aper_hilim,flux_aper,flux_aper_lolim,flux_aper_hilim,photflux_aper_b,photflux_aper_h,photflux_aper_m,photflux_aper_u,photflux_aper_s,photflux_aper_lolim_b,photflux_aper_lolim_h,photflux_aper_lolim_m,photflux_aper_lolim_u,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_hilim_h,photflux_aper_hilim_m,photflux_aper_hilim_u,photflux_aper_hilim_s,flux_aper_b,flux_aper_h,flux_aper_m,flux_aper_u,flux_aper_s,flux_aper_lolim_b,flux_aper_lolim_h,flux_aper_lolim_m,flux_aper_lolim_u,flux_aper_lolim_s,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_hilim_m,flux_aper_hilim_u,flux_aper_hilim_s
10,3.212e-13,3.131e-13,3.297e-13,3.559e-13,3.656e-13,3.46e-13,3.49e-13,3.394e-13,3.574e-13,0.00011343400000000001,0.00010750599999999998,0.00011935000000000001,1.80236e-13,1.7278599999999998e-13,1.8763e-13,0.0002485,1.147e-05,4.26e-05,0.0001421,0.0001225,0.0002423,1.029e-05,4.074e-05,0.0001256,0.0001186,0.0002547,1.259e-05,4.446e-05,0.00015859999999999998,0.0001264,4.159e-13,5.897e-14,1.034e-13,6.991e-14,2.5300000000000003e-13,4.055e-13,5.2889999999999996e-14,9.885e-14,6.179e-14,2.449e-13,4.263e-13,6.471e-14,1.079e-13,7.804e-14,2.612e-13
11,3.679e-13,3.449e-13,3.905e-13,3.61e-13,3.96e-13,2.887e-13,3.786e-13,3.521e-13,4.029e-13,0.0001398484,0.00012205879999999999,0.000156934,1.97394e-13,1.7902400000000002e-13,2.15414e-13,0.0002944,7.0220000000000015e-06,4.812e-05,0.0001941,0.0001556,0.0002768,4.724e-06,4.277e-05,0.00014169999999999995,0.0001443,0.000312,9.32e-06,5.315e-05,0.0002434,0.00016680000000000002,4.602e-13,3.3569999999999996e-14,1.115e-13,6.78e-14,3.139e-13,4.327e-13,2.258e-14,9.912999999999999e-14,4.951e-14,2.912e-13,4.877e-13,4.455e-14,1.232e-13,8.502e-14,3.366e-13
12,1.88e-13,1.844e-13,1.916e-13,1.984e-13,2.023e-13,1.945e-13,1.957e-13,1.921e-13,1.994e-13,5.99722e-05,5.8165400000000004e-05,6.176319999999998e-05,9.356600000000001e-14,9.066200000000001e-14,9.646799999999999e-14,0.0001541,8.601e-06,2.938e-05,4.104e-05,6.674e-05,0.0001511,7.937e-06,2.84e-05,3.828e-05,6.511e-05,0.000157,9.266e-06,3.037e-05,4.381e-05,6.837e-05,2.158e-13,3.776e-14,6.923e-14,3.634e-14,1.087e-13,2.116e-13,3.482e-14,6.69e-14,3.3889999999999995e-14,1.061e-13,2.199e-13,4.0689999999999995e-14,7.156e-14,3.879e-14,1.114e-13
13,6.373e-14,5.989e-14,6.63e-14,6.489e-14,6.775e-14,6.179e-14,6.627e-14,6.367000000000001e-14,6.892000000000001e-14,1.6102199999999996e-05,1.5213800000000002e-05,1.6992599999999997e-05,2.99336e-14,2.82132e-14,3.16478e-14,4.632e-05,4.04e-06,1.274e-05,3.1210000000000007e-06,1.429e-05,4.462e-05,3.571e-06,1.206e-05,2.328e-06,1.349e-05,4.803e-05,4.509e-06,1.343e-05,3.914e-06,1.508e-05,7.362e-14,2.0409999999999998e-14,3.076e-14,2.098e-15,2.2780000000000002e-14,7.089e-14,1.801e-14,2.91e-14,1.556e-15,2.1509999999999998e-14,7.633999999999998e-14,2.281e-14,3.241000000000001e-14,2.639e-15,2.404e-14
14,1.067e-13,1.039e-13,1.095e-13,1.111e-13,1.139e-13,1.08e-13,1.054e-13,1.028e-13,1.082e-13,3.33874e-05,3.20314e-05,3.47396e-05,5.2575999999999996e-14,5.0415999999999996e-14,5.4714e-14,8.527e-05,5.687000000000002e-06,1.743e-05,2.364e-05,3.491e-05,8.307e-05,5.147000000000002e-06,1.667e-05,2.154e-05,3.373e-05,8.746e-05,6.228e-06,1.819e-05,2.573e-05,3.609e-05,1.228e-13,2.413e-14,4.212e-14,1.7e-14,5.6829999999999996e-14,1.196e-13,2.181e-14,4.028e-14,1.548e-14,5.491e-14,1.259e-13,2.645e-14,4.396e-14,1.8509999999999998e-14,5.875e-14
15,1.677e-13,1.645e-13,1.709e-13,1.93e-13,1.971e-13,1.887e-13,1.928e-13,1.889e-13,1.962e-13,5.82916e-05,5.65096e-05,6.0033799999999994e-05,9.1332e-14,8.848799999999999e-14,9.419599999999999e-14,0.00014480000000000002,8.948e-06,2.364e-05,4.725e-05,6.682e-05,0.0001419,8.288e-06,2.278e-05,4.435e-05,6.523e-05,0.0001475,9.609e-06,2.451e-05,5.014e-05,6.841e-05,2.083e-13,4.165e-14,5.657000000000002e-14,3.994e-14,1.102e-13,2.043e-13,3.855e-14,5.45e-14,3.749e-14,1.076e-13,2.124e-13,4.475e-14,5.864e-14,4.2389999999999997e-14,1.128e-13
16,,,,,,,,,,1.2196e-05,1.00392e-05,1.47612e-05,3.3134000000000006e-14,2.6483000000000004e-14,3.9787499999999996e-14,3.653e-05,4.631e-06,1.444e-05,,5.379e-06,3.15e-05,2.93e-06,1.202e-05,,3.746e-06,4.156e-05,6.332000000000001e-06,1.686e-05,2.043e-06,7.011e-06,6.475e-14,2.546e-14,3.401000000000001e-14,,8.316e-15,5.5720000000000014e-14,1.611e-14,2.831e-14,,5.792e-15,7.379e-14,3.4810000000000005e-14,3.971e-14,,1.0840000000000001e-14
17,3.784e-13,3.463e-13,4.093e-13,3.809e-13,4.304e-13,2.754e-13,4.202e-13,3.781e-13,4.622e-13,0.00014623600000000003,0.0001292764,0.00016261000000000002,2.0753200000000002e-13,1.83146e-13,2.3138399999999996e-13,0.0003529,1.267e-05,5.241e-05,0.00013680000000000002,0.0001764,0.0003265,7.952000000000001e-06,4.473e-05,0.0001064,0.0001608,0.0003793,1.715e-05,6.01e-05,0.0001655,0.000191,4.594e-13,5.1560000000000003e-14,1.246e-13,1.128e-13,2.893e-13,4.246e-13,3.197e-14,1.063e-13,8.916000000000001e-14,2.637e-13,4.942e-13,7.012000000000002e-14,1.428e-13,1.365e-13,3.133e-13
18,9.143e-14,5.743999999999999e-14,1.076e-13,1.027e-13,1.789e-13,4.3719999999999996e-14,1.081e-13,9.503999999999999e-14,1.197e-13,3.46166e-05,3.0168200000000007e-05,3.8935200000000006e-05,6.00746e-14,5.1537399999999995e-14,6.8404e-14,9.402e-05,5.433e-06,1.564e-05,1.461e-05,4.338e-05,8.598e-05,3.588e-06,1.318e-05,9.133e-06,3.896e-05,0.0001015,7.176e-06,1.811e-05,2.009e-05,4.78e-05,1.445e-13,4.1239999999999996e-14,3.6219999999999996e-14,8.833e-15,6.957999999999998e-14,1.321e-13,2.723e-14,3.052e-14,5.337e-15,6.25e-14,1.568e-13,5.4470000000000007e-14,4.1930000000000004e-14,1.215e-14,7.667e-14
19,,,,,,,,,,7.0564e-06,5.471400000000001e-06,8.984799999999999e-06,1.4650250000000005e-14,1.08946e-14,1.831725e-14,2.109e-05,1.401e-06,7.437e-06,,5.354e-06,1.74e-05,4.67e-07,5.742e-06,,3.748e-06,2.478e-05,2.335e-06,9.037e-06,1.901e-06,6.871e-06,2.903000000000001e-14,3.8600000000000004e-15,1.7230000000000003e-14,,8.481e-15,2.3790000000000002e-14,5.513999999999998e-16,1.33e-14,,5.937e-15,3.428e-14,7.169e-15,2.094e-14,,1.088e-14
