,flux_bb,flux_bb_lolim,flux_bb_hilim,flux_brems,flux_brems_hilim,flux_brems_lolim,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,photflux_aper,photflux_aper_lolim,photflux_aper_hilim,flux_aper,flux_aper_lolim,flux_aper_hilim,photflux_aper_b,photflux_aper_h,photflux_aper_m,photflux_aper_u,photflux_aper_s,photflux_aper_lolim_b,photflux_aper_lolim_h,photflux_aper_lolim_m,photflux_aper_lolim_u,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_hilim_h,photflux_aper_hilim_m,photflux_aper_hilim_u,photflux_aper_hilim_s,flux_aper_b,flux_aper_h,flux_aper_m,flux_aper_u,flux_aper_s,flux_aper_lolim_b,flux_aper_lolim_h,flux_aper_lolim_m,flux_aper_lolim_u,flux_aper_lolim_s,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_hilim_m,flux_aper_hilim_u,flux_aper_hilim_s
0,,,,,,,,,,2.913e-06,1.8272999999999999e-06,8.8786e-06,1.381525e-14,8.33275e-15,1.910975e-14,8.386e-06,2.98e-06,1.829e-06,,1.37e-06,6.01e-06,1.749e-06,1.035e-06,,3.425e-07,1.076e-05,4.1460000000000015e-06,2.588e-06,2.457e-05,2.329e-06,2.713e-14,1.965e-14,3.641e-15,,4.84e-15,1.917e-14,1.092e-14,2.031e-15,,1.21e-15,3.508e-14,2.795e-14,5.181e-15,,8.228e-15
1,,,,,,,,,,2.12e-06,1.7175999999999999e-06,3.78298e-05,6.3408e-15,4.8476e-15,2.65086e-14,5.778e-06,1.7059999999999996e-06,1.5e-06,,1.616e-06,4.988e-06,1.336e-06,1.197e-06,,1.067e-06,6.522e-06,2.075e-06,1.7869999999999996e-06,0.0001766,2.165e-06,1.554e-14,8.865e-15,3.512e-15,,3.7869999999999994e-15,1.286e-14,6.3530000000000005e-15,2.8019999999999998e-15,,2.223e-15,1.806e-14,1.123e-14,4.1829999999999995e-15,9.38e-14,5.27e-15
2,,,,,,,,,,1.53248e-06,1.1146400000000001e-06,3.6611200000000006e-05,4.227e-15,2.60725e-15,6.2220000000000005e-15,4.09e-06,7.614e-07,1.351e-06,,1.46e-06,3.281000000000001e-06,4.326e-07,1.03e-06,,8.296e-07,4.854e-06,1.073e-06,1.6719999999999996e-06,0.0001734,2.057e-06,8.739e-15,5.05e-15,3.119e-15,,,5.771e-15,2.295e-15,2.363e-15,,,1.154e-14,7.69e-15,3.875e-15,,1.783e-15
3,,,,,,,,,,1.8968e-07,9.984e-09,5.53958e-06,,,5.1707999999999995e-15,,,,,9.484e-07,,,,,4.992e-08,1.685e-06,7.003e-07,6.056e-07,2.291e-05,1.797e-06,,,,,,,,,,,1.655e-15,5.707e-15,1.553e-15,1.529e-14,1.6489999999999998e-15
4,,,,,,,,,,5.4986e-07,8.430000000000001e-08,1.09586e-05,3.4416000000000005e-15,4.053e-16,1.1977600000000001e-14,2.029e-06,,7.203e-07,,,3.529e-07,,6.86e-08,,,3.706e-06,1.415e-06,1.3380000000000001e-06,4.701e-05,1.3240000000000002e-06,7.329e-15,7.954000000000003e-15,1.925e-15,,,1.275e-15,5.681e-16,1.834e-16,,,1.338e-14,1.477e-14,3.575e-15,2.636e-14,1.8030000000000003e-15
5,,,,,,,,,,3.9962e-07,,9.737800000000002e-06,2.0162e-15,5.558e-17,9.443599999999999e-15,1.08e-06,9.181e-07,,,,,,,,,2.273e-06,1.788e-06,6.72e-07,4.275e-05,1.206e-06,4.801e-15,5.28e-15,,,,,2.779e-16,,,,9.602e-15,1.028e-14,1.723e-15,2.3969999999999998e-14,1.6429999999999999e-15
6,,,,,,,,,,1.3518e-06,3.422e-08,3.0992200000000005e-05,2.2138000000000002e-15,5.872000000000001e-17,2.74618e-14,3.422e-06,,,,3.337e-06,1.711e-07,,,,,6.5020000000000014e-06,2.292e-06,1.8680000000000002e-06,0.00013780000000000002,6.499e-06,5.4909999999999995e-15,,,,5.578e-15,,,,,2.9360000000000003e-16,1.098e-14,1.8680000000000002e-14,4.789e-15,9.2e-14,1.0859999999999999e-14
7,,,,,,,,,,,,1.3125980000000003e-05,,,1.1822600000000001e-14,,,,,,,,,,,1.478e-06,9.006999999999998e-07,7.992e-07,6.101e-05,1.442e-06,,,,,,,,,,,8.879000000000002e-15,7.341e-15,2.049e-15,3.888e-14,1.964e-15
8,,,,,,,,,,2.327094e-05,5.460933999999999e-06,4.15249e-05,3.3531e-14,7.56106e-15,6.02836e-14,1.108e-06,9.467e-07,,0.0001143,,,9.467e-08,,2.721e-05,,2.332e-06,1.799e-06,7.475e-07,0.00020140000000000002,1.346e-06,4.65e-15,5.305e-15,,1.577e-13,,,2.653e-16,,3.754e-14,,9.787999999999999e-15,1.008e-14,1.916e-15,2.778e-13,1.834e-15
9,,,,,,,,,,7.784e-07,1.0685999999999998e-07,1.325636e-05,3.8378e-15,6.684e-16,1.6285600000000003e-14,1.811e-06,,,,2.081e-06,1.7239999999999998e-07,,,,3.619e-07,3.449e-06,9.233e-07,7.105e-07,5.74e-05,3.799e-06,9.129e-15,,,,1.006e-14,1.245e-15,,,,2.097e-15,1.66e-14,6.656999999999999e-15,1.8210000000000002e-15,3.832e-14,1.803e-14
