,SRC_ID,A_NAME,"A_NAME_ALT
",A_RA,A_DEC,A_SOURCE_TYPE,A_SOURCE_TYPE_FLAG,B_NAME,B_RA,B_DEC,XOFFSET_
0,TC0001,CXOGLB J002353.9-720350,[GHE2001] W125,5.974829,-72.06392199999999,QLX          ,?                 ,2CXO J002353.9-720350,5.974991999999999,-72.063947,0.003
1,TC0002,CXOGLB J002400.9-720453,[GHE2001] W58 ,6.003946,-72.08144399999999,QLX          ,                  ,2CXO J002400.9-720453,6.004075,-72.081474,0.003
2,TC0003,CXOGLB J002403.4-720451,[GHE2001] W46 ,6.014558,-72.081094,QLX          ,                  ,2CXO J002403.5-720452,6.014684,-72.08111600000001,0.003
3,TC0004,CXOGLB J002404.9-720451,[GHE2001] W37 ,6.020679,-72.080925,QLX          ,?                 ,2CXO J002404.9-720451,6.020771,-72.08095300000001,0.002
4,TC0005,CXOGLB J002408.3-720431,[GHE2001] W17 ,6.034604,-72.075397,QLX          ,?                 ,2CXO J002408.3-720431,6.03472,-72.075417,0.002
5,TC0006,CXOGLB J002350.3-720431,[GHE2001] W108,5.959879,-72.0754,MSP          ,                  ,2CXO J002350.3-720431,5.959967,-72.075434,0.003
6,TC0007,CXOGLB J002354.4-720530,[GHE2001] W107,5.977037,-72.091897,MSP          ,                  ,2CXO J002354.5-720530,5.977162,-72.091909,0.002
7,TC0008,CXOGLB J002359.4-720358,[GHE2001] W63 ,5.997513,-72.066325,MSP          ,                  ,2CXO J002359.4-720358,5.997605,-72.066351,0.002
8,TC0009,CXOGLB J002403.7-720456,[GHE2001] W106,6.015708,-72.082461,MSP          ,                  ,2CXO J002403.8-720457,6.015882,-72.082523,0.005
9,TC0010,CXOGLB J002403.9-720442,[GHE2001] W77 ,6.016279,-72.078464,MSP          ,                  ,2CXO J002403.9-720442,6.016468,-72.078497,0.004
10,TC0011,CXOGLB J002404.1-720420,[GHE2001] W142,6.017708,-72.07229699999999,MSP          ,?                 ,2CXO J002404.2-720420,6.017691,-72.072303,0.001
11,TC0012,CXOGLB J002404.6-720453,[GHE2001] W39 ,6.019225,-72.08161899999999,MSP          ,                  ,2CXO J002404.6-720453,6.01947,-72.081622,0.005
12,TC0013,CXOGLB J002405.2-720446,[GHE2001] W34 ,6.021679,-72.07964399999999,MSP          ,?                 ,2CXO J002405.2-720446,6.021793,-72.07968100000001,0.003
