,SRC_ID,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,XOFFSET_
6,NS0007,1H 1746-370          ,267.552917,-37.052222,INTREFCAT       ,INTEGRAL     ,2CXO J175012.7-370306 ,267.552922,-37.051758,0.027999999999999997
36,NS0037,SAX J1808.4-3658     ,272.114583,-36.978889,INTREFCAT       ,INTEGRAL     ,2CXO J180828.2-365848 ,272.117875,-36.980076000000004,0.17300000000000001
50,NS0051,XTE J1739-285        ,264.975,-28.496389,INTREFCAT       ,INTEGRAL     ,2CXO J173953.9-282946 ,264.974746,-28.496229999999997,0.016
15,NS0016,CEN X-4              ,224.591667,-31.668889,INTREFCAT       ,INTEGRAL     ,2CXO J145821.9-314007 ,224.59132200000002,-31.668837,0.018000000000000002
63,NS0064,V5512 SGR            ,273.629583,-17.157222,RITTERLMXB      ,             ,2CXO J181431.0-170925 ,273.629472,-17.157138,0.008
52,NS0053,1832-3301            ,278.93208300000003,-32.990833,RITTERLMXB      ,             ,2CXO J183543.6-325926 ,278.931934,-32.990602,0.016
24,NS0025,H 1702-429           ,256.56375,-43.035833000000004,INTREFCAT       ,INTEGRAL     ,2CXO J170615.3-430208 ,256.563917,-43.035801,0.008
16,NS0017,CIR X-1              ,230.170417,-57.166943999999994,INTREFCAT       ,INTEGRAL     ,2CXO J152040.8-571000 ,230.1702,-57.166675,0.018000000000000002
7,NS0008,1RXS J171824.2-40293 ,259.600417,-40.491667,INTREFCAT       ,INTEGRAL     ,2CXO J171824.1-402933 ,259.600626,-40.492545,0.054000000000000006
65,NS0066,SAXWFC J1734.2-2605.2,263.54375,-26.087083,SAXWFCCAT       ,BEPPOSAX     ,2CXO J173410.1-260524 ,263.54239900000005,-26.090134,0.19699999999999998
12,NS0013,4U 1730-335          ,263.350417,-33.387778000000004,INTREFCAT       ,INTEGRAL     ,2CXO J173324.5-332320 ,263.352479,-33.388921,0.124
80,NS0081,E1048.1-5937         ,162.532607,-59.887640000000005,XRBCAT          ,             ,2CXO J105007.1-595321 ,162.529818,-59.889314,0.131
70,NS0071,SAXWFC J1748.1-2446.1,267.026667,-24.769083,SAXWFCCAT       ,BEPPOSAX     ,2CXO J174805.7-244603 ,267.024155,-24.767679,0.161
11,NS0012,4U 1708-40           ,258.09916699999997,-40.842778,INTREFCAT       ,INTEGRAL     ,2CXO J171223.7-405034 ,258.099163,-40.842822999999996,0.003
72,NS0073,SAXWFC J1750.2-3703.1,267.539167,-37.052083,SAXWFCCAT       ,BEPPOSAX     ,2CXO J175009.7-370300 ,267.54075,-37.050032,0.145
22,NS0023,H 1608-522           ,243.179167,-52.423056,INTREFCAT       ,INTEGRAL     ,2CXO J161243.0-522523 ,243.17937799999999,-52.423114,0.008
1,NS0002,1A 1742-294          ,266.522917,-29.515278000000002,INTREFCAT       ,INTEGRAL     ,2CXO J174605.2-293053 ,266.52171,-29.514876,0.067
35,NS0036,SAX J1808.4-3658     ,272.114583,-36.978889,INTREFCAT       ,INTEGRAL     ,2CXO J180827.6-365843 ,272.115179,-36.978637,0.032
38,NS0039,SLX 1735-269         ,264.57125,-26.994166999999997,INTREFCAT       ,INTEGRAL     ,2CXO J173817.0-265939 ,264.571236,-26.994189000000002,0.002
