,feat_name,feat_imp
0,var_mean,0.23515047321260799
1,var_sigma,0.19176332273624774
2,var_max,0.18714329404234703
3,var_min,0.09072148724871733
4,var_index,0.04089718011047757
5,hard_hs,0.03684372314251057
6,hard_hs_hilim,0.03636251719763481
7,hard_hm_hilim,0.016850340519533498
8,hard_hs_lolim,0.010815072238841664
9,photflux_aper_h,0.00897688431564674
10,hard_ms_lolim,0.008097136278294028
11,var_prob,0.008046575841659558
12,hard_ms_hilim,0.007460041951652276
13,photflux_aper_hilim_h,0.006528705372208806
14,photflux_aper_lolim_h,0.0064390328753678875
15,flux_aper_hilim_b,0.005894234735340399
16,flux_aper_u,0.005328626458343841
17,hard_hm,0.005077949407352266
18,hard_ms,0.004978145275202737
19,flux_aper_lolim_b,0.004712910791125972
20,photflux_aper_lolim_m,0.004511963537332625
21,flux_aper_lolim_m,0.00449679482665141
22,flux_aper_lolim,0.0040870327236416995
23,flux_aper_b,0.00354343865121777
24,flux_aper_lolim_h,0.0035337760484102847
25,photflux_aper_m,0.003403953120249508
26,hard_hm_lolim,0.0033161879950426624
27,flux_aper_m,0.003315053250937542
28,flux_aper_hilim,0.0032830604340757753
29,flux_aper_hilim_h,0.003117715202410644
30,photflux_aper_hilim_m,0.0030605527766865473
31,photflux_aper_hilim,0.002666672140190872
32,photflux_aper_u,0.0026387776756443596
33,photflux_aper_lolim_s,0.0025677162241056046
34,photflux_aper_b,0.002564258666133355
35,photflux_aper_hilim_b,0.0025491018893369776
36,photflux_aper_lolim_b,0.0024847925362581217
37,photflux_aper_lolim,0.002274675308941335
38,flux_aper_h,0.0021337810464786785
39,flux_aper_s,0.0020912564972633617
40,photflux_aper,0.002078516525079878
41,flux_aper,0.0020115605037831956
42,photflux_aper_s,0.0019408407151100225
43,flux_aper_hilim_s,0.0018125905746500554
44,photflux_aper_hilim_s,0.0016754416903202386
45,flux_aper_lolim_s,0.0016208625938846264
46,photflux_aper_lolim_u,0.0015246347527362177
47,flux_aper_hilim_m,0.0014689790367579485
48,kp_prob,0.0013877949178433475
49,ks_prob,0.0013311914911453403
50,flux_aper_hilim_u,0.0012185632759135808
51,flux_aper_lolim_u,0.0011232478490825174
52,photflux_aper_hilim_u,0.0010775617715711335
