,feat_name,feat_imp
0,var_max,0.20017249804589737
1,var_sigma,0.1700353761504045
2,var_min,0.16582000097570918
3,var_mean,0.0690214823582202
4,var_index,0.06150068081944328
5,hard_hm_hilim,0.027889120767320138
6,hard_ms_lolim,0.027253528429053948
7,hard_ms,0.017829528590937806
8,photflux_aper_lolim,0.015767309058104802
9,hard_hm,0.015362945883232915
10,photflux_aper_lolim_b,0.01314734829836124
11,hard_hs_hilim,0.011970129920924614
12,photflux_aper_b,0.01073055509129443
13,photflux_aper_hilim_b,0.010443386452929594
14,hard_hs,0.009736380982533046
15,photflux_aper_hilim_s,0.00919286824626318
16,flux_aper_u,0.008735916929873157
17,photflux_aper_u,0.00849281954538174
18,photflux_aper,0.007727408323633626
19,photflux_aper_lolim_m,0.007151464139693805
20,photflux_aper_s,0.0071131083511990194
21,photflux_aper_hilim,0.006903894876701427
22,hard_hm_lolim,0.00678429125721063
23,photflux_aper_lolim_s,0.006079455741919405
24,var_prob,0.005987264214103812
25,photflux_aper_m,0.005916752412975063
26,photflux_aper_lolim_u,0.005598433525506421
27,photflux_aper_hilim_h,0.005251495466418448
28,flux_aper_hilim_m,0.005196479924975042
29,flux_aper_lolim_m,0.005156920742184072
30,photflux_aper_hilim_m,0.0051425668948152144
31,flux_aper_m,0.004958532489287289
32,hard_hs_lolim,0.004739040040082772
33,flux_aper_lolim_u,0.0045064180301708084
34,photflux_aper_hilim_u,0.0039286046192143174
35,flux_aper_lolim,0.0037608391119433927
36,hard_ms_hilim,0.0036867117843211216
37,flux_aper_lolim_s,0.0034147650002861706
38,photflux_aper_h,0.003266019995979364
39,flux_aper_hilim,0.0031521212792121134
40,flux_aper_hilim_s,0.0031235614918300268
41,flux_aper,0.003106684056468481
42,flux_aper_s,0.0028784100474031323
43,kp_prob,0.002841826505968178
44,flux_aper_lolim_b,0.002836715609776868
45,flux_aper_b,0.002784566411689839
46,flux_aper_hilim_h,0.0025922532502415585
47,flux_aper_hilim_b,0.0022774480687300907
48,photflux_aper_lolim_h,0.002257996586523409
49,flux_aper_hilim_u,0.0019086639134846162
50,ks_prob,0.0018722287882859323
51,flux_aper_h,0.0016401816095150412
52,flux_aper_lolim_h,0.0013549988923641546
