,SRC_ID,A_NAME,"A_NAME_ALT
",A_RA,A_DEC,A_SOURCE_TYPE,A_SOURCE_TYPE_FLAG,B_NAME,B_RA,B_DEC,XOFFSET_,SRC_ID,src_pred
34,TC0035,CXOGLB J002402.1-720542,[GHE2001] W56 ,6.008829,-72.09500799999999,CV           ,                  ,2CXO J002402.1-720542,6.008951000000001,-72.095027,0.003,TC0037,CV
35,TC0036,CXOGLB J002402.5-720511,[GHE2001] W53 ,6.010542,-72.086458,CV           ,                  ,2CXO J002402.5-720511,6.010643,-72.086484,0.002,TC0038,CV
36,TC0037,CXOGLB J002402.8-720449,[GHE2001] W51 ,6.011767,-72.080281,CV           ,                  ,2CXO J002402.8-720449,6.011798000000001,-72.080332,0.003,TC0039,CV
37,TC0038,CXOGLB J002403.1-720447,[GHE2001] W49 ,6.012975,-72.079817,CV           ,                  ,2CXO J002403.1-720447,6.013008999999999,-72.07985,0.002,TC0040,CV
38,TC0039,CXOGLB J002403.7-720423,[GHE2001] W45 ,6.015675,-72.07305,CV           ,                  ,2CXO J002403.7-720423,6.01575,-72.073064,0.002,TC0041,CV
39,TC0040,CXOGLB J002403.6-720459,[GHE2001] W44 ,6.015346,-72.083072,CV           ,                  ,2CXO J002403.7-720459,6.015486,-72.083083,0.003,TC0042,CV
40,TC0041,CXOGLB J002403.8-720621,[GHE2001] W122,6.016025,-72.10601700000001,CV           ,                  ,2CXO J002403.8-720621,6.016136,-72.106038,0.002,TC0043,CV
41,TC0042,CXOGLB J002404.2-720458,[GHE2001] W42 ,6.017704,-72.08278299999999,CV           ,                  ,2CXO J002404.2-720457,6.017843,-72.082764,0.003,TC0044,CV
42,TC0043,CXOGLB J002404.9-720455,[GHE2001] W36 ,6.020471,-72.082044,CV           ,                  ,2CXO J002404.9-720455,6.020589,-72.082103,0.004,TC0045,CV
43,TC0044,CXOGLB J002404.9-720506,[GHE2001] W35 ,6.020883,-72.08505799999999,CV           ,?                 ,2CXO J002405.0-720506,6.0210040000000005,-72.085077,0.002,TC0046,CV
44,TC0045,CXOGLB J002405.3-720421,[GHE2001] W33 ,6.02235,-72.072647,CV           ,                  ,2CXO J002405.3-720421,6.02249,-72.07267900000001,0.003,TC0047,CV
45,TC0046,CXOGLB J002405.6-720449,[GHE2001] W32 ,6.023521,-72.080333,CV           ,?                 ,2CXO J002405.6-720449,6.023632,-72.08035600000001,0.002,TC0048,CV
46,TC0047,CXOGLB J002406.0-720456,[GHE2001] W30 ,6.024962,-72.082272,CV           ,                  ,2CXO J002406.0-720456,6.025117,-72.08228299999999,0.003,TC0049,CV
47,TC0048,CXOGLB J002406.3-720443,[GHE2001] W27 ,6.0265580000000005,-72.078611,CV           ,                  ,2CXO J002406.4-720443,6.026676,-72.078634,0.003,TC0050,CV
48,TC0049,CXOGLB J002407.1-720545,[GHE2001] W25 ,6.029738,-72.096053,CV           ,                  ,2CXO J002407.1-720545,6.029837000000001,-72.096075,0.002,TC0051,CV
49,TC0050,CXOGLB J002407.7-720527,[GHE2001] W21 ,6.0323709999999995,-72.0909,CV           ,                  ,2CXO J002407.7-720527,6.032464,-72.090925,0.002,TC0052,CV
50,TC0051,CXOGLB J002407.9-720454,[GHE2001] W20 ,6.032975,-72.08188299999999,CV           ,?                 ,2CXO J002407.9-720454,6.0331779999999995,-72.081913,0.004,TC0053,CV
51,TC0052,CXOGLB J002408.2-720435,[GHE2001] W16 ,6.034517,-72.076608,CV           ,?                 ,2CXO J002408.3-720435,6.034675,-72.07661800000001,0.003,TC0054,CV
52,TC0053,CXOGLB J002408.4-720500,[GHE2001] W15 ,6.035312,-72.083417,CV           ,                  ,2CXO J002408.4-720500,6.035411,-72.083435,0.002,TC0055,CV
53,TC0054,CXOGLB J002409.2-720543,[GHE2001] W140,6.038412,-72.095519,CV           ,?                 ,2CXO J002409.2-720543,6.038483,-72.09554399999999,0.002,TC0056,CV
54,TC0055,CXOGLB J002410.0-720441,[GHE2001] W10 ,6.041879,-72.078128,CV           ,?                 ,2CXO J002410.0-720441,6.042059,-72.078131,0.003,TC0057,CV
55,TC0056,CXOGLB J002410.6-720516,[GHE2001] W71 ,6.04435,-72.087906,CV           ,?                 ,2CXO J002410.6-720516,6.044487999999999,-72.087879,0.003,TC0058,CV
56,TC0057,CXOGLB J002410.7-720425,[GHE2001] W8  ,6.044775,-72.073814,CV           ,                  ,2CXO J002410.7-720425,6.044885,-72.073826,0.002,TC0059,CV
57,TC0058,CXOGLB J002411.0-720620,[GHE2001] W120,6.046208,-72.10556700000001,CV           ,                  ,2CXO J002411.1-720620,6.046367,-72.105583,0.003,TC0060,CV
58,TC0059,CXOGLB J002411.8-720443,[GHE2001] W70 ,6.0496,-72.078858,CV           ,                  ,2CXO J002411.9-720443,6.0496669999999995,-72.078852,0.001,TC0061,CV
59,TC0060,CXOGLB J002415.8-720436,[GHE2001] W2  ,6.06615,-72.076775,CV           ,                  ,2CXO J002415.9-720436,6.066288,-72.076792,0.003,TC0062,PULSAR
60,TC0061,CXOGLB J002416.9-720427,[GHE2001] W1  ,6.0707,-72.074225,CV           ,                  ,2CXO J002416.9-720427,6.070791000000001,-72.07423399999999,0.002,TC0063,PULSAR
