#name,ra,dec,pileup_flag,photflux_aper_b,photflux_aper_h,photflux_aper_m,photflux_aper_s,flux_aper_b,flux_aper_h,flux_aper_m,flux_aper_s,photflux_aper_avg_b,photflux_aper_avg_h,photflux_aper_avg_m,photflux_aper_avg_s,flux_aper_avg_b,flux_aper_avg_h,flux_aper_avg_m,flux_aper_avg_s,flux_powlaw_aper_b,flux_powlaw_aper_h,flux_powlaw_aper_m,flux_powlaw_aper_s,flux_bb_aper_b,flux_bb_aper_h,flux_bb_aper_m,flux_bb_aper_s,flux_brems_aper_b,flux_brems_aper_h,flux_brems_aper_m,flux_brems_aper_s,flux_apec_aper_b,flux_apec_aper_h,flux_apec_aper_m,flux_apec_aper_s,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_norm,brems_stat,hard_hm,var_inter_hard_prob_hs,var_inter_hard_sigma_hs,hard_ms,var_inter_hard_prob_ms,var_inter_hard_sigma_ms,ks_intra_prob_b,ks_intra_prob_h,ks_intra_prob_m,ks_intra_prob_s
 2CXO J131440.6+620305, 13 14 40.63,+62 03 05.68,FALSE,1.412E-05,4.161E-06,2.514E-06,5.623E-06,2.809E-14,2.002E-14,3.969E-15,5.523E-15,1.412E-05,4.161E-06,2.514E-06,5.623E-06,2.809E-14,2.002E-14,3.969E-15,5.523E-15,2.582E-14,1.829E-14,4.22E-15,7.848E-15,2.575E-14,1.601E-14,4.436E-15,5.591E-15,2.441E-14,1.711E-14,4.254E-15,7.258E-15,2.858E-14,2.048E-14,4.293E-15,6.888E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0.2673,         ,         ,-0.4197,         ,         ,0.244,0.575,0.824,0.633
 2CXO J131458.4+560342, 13 14 58.42,+56 03 42.25,FALSE,4.659E-05,9.634E-06,8.726E-06,1.619E-05,1.061E-13,5.686E-14,2.087E-14,2.837E-14,4.659E-05,9.634E-06,8.726E-06,1.619E-05,1.061E-13,5.686E-14,2.087E-14,2.837E-14,1.006E-13,6.072E-14,2.077E-14,2.724E-14,1.274E-13,5.248E-14,2.161E-14,2.464E-14,1.004E-13,5.642E-14,2.091E-14,2.666E-14,1.241E-13,6.814E-14,2.11E-14,2.638E-14,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0.0537,         ,         ,-0.3036,         ,         ,0.228,0.112,0.099,0.199
 2CXO J131709.5-020414, 13 17 09.54,-02 04 14.04,FALSE,6.52E-06,3.761E-06,0,0,2.316E-14,2.264E-14,0,         ,6.52E-06,3.761E-06,0,0,2.316E-14,2.264E-14,0,         ,1.681E-14,         ,         ,         ,1.654E-14,         ,         ,         ,1.585E-14,         ,         ,         ,1.845E-14,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0.9994,         ,         ,-0.9994,         ,         ,0.46,         ,         ,         
 2CXO J131804.3+411734, 13 18 04.32,+41 17 34.59,FALSE,4.574E-05,7.309E-06,8.9E-06,1.688E-05,8.676E-14,3.614E-14,2.251E-14,2.921E-14,4.574E-05,7.309E-06,8.9E-06,1.688E-05,8.676E-14,3.614E-14,2.251E-14,2.921E-14,1.005E-13,4.842E-14,2.187E-14,2.971E-14,1.282E-13,4.16E-14,2.278E-14,2.689E-14,1.004E-13,4.485E-14,2.202E-14,2.907E-14,1.246E-13,5.457E-14,2.223E-14,2.877E-14,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.0837,         ,         ,-0.3173,         ,         ,0.416,0.146,0.433,0.061
 2CXO J131914.2+520200, 13 19 14.23,+52 02 00.18,FALSE,1.828E-05,5.677E-06,0,9.317E-06,9.643E-14,8.027E-14,0,1.859E-14,1.828E-05,5.677E-06,0,9.317E-06,9.643E-14,8.027E-14,0,1.859E-14,4.498E-14,         ,         ,1.748E-14,5.258E-14,         ,         ,1.474E-14,4.406E-14,         ,         ,1.682E-14,5.36E-14,         ,         ,1.644E-14,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0.9994,         ,         ,-0.9994,         ,         ,0.189,         ,         ,0.202
 2CXO J131926.5+105611, 13 19 26.53,+10 56 11.08,FALSE,1.044E-05,1.964E-06,0,7.337E-06,4.613E-14,3.993E-14,         ,1.716E-14,1.044E-05,1.964E-06,0,7.337E-06,4.613E-14,3.993E-14,         ,1.716E-14,2.435E-14,         ,         ,1.323E-14,2.946E-14,         ,         ,1.152E-14,2.404E-14,         ,         ,1.283E-14,2.949E-14,         ,         ,1.261E-14,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0.9994,         ,         ,-0.9994,         ,         ,0.944,         ,         ,0.859
 2CXO J131927.5+445656, 13 19 27.59,+44 56 56.74,FALSE,1.462E-05,9.656E-06,0,2.427E-06,5.383E-14,4.916E-14,0,5.284E-15,1.462E-05,9.656E-06,0,2.427E-06,5.383E-14,4.916E-14,0,5.284E-15,3.582E-14,         ,         ,         ,4.184E-14,         ,         ,         ,3.509E-14,         ,         ,         ,4.27E-14,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0.9994,         ,         ,-0.8432,         ,         ,0.991,         ,         ,         
 2CXO J131946.2+514805, 13 19 46.21,+51 48 05.68,FALSE,0.0003854,8.261E-05,6.407E-05,0.0001306,9.736E-13,5.98E-13,1.568E-13,2.146E-13,0.0003854,8.261E-05,6.407E-05,0.0001306,9.736E-13,5.98E-13,1.568E-13,2.146E-13,7.896E-13,5.344E-13,1.543E-13,2.17E-13,1.043E-12,4.618E-13,1.609E-13,2.025E-13,7.957E-13,4.965E-13,1.554E-13,2.139E-13,9.915E-13,5.999E-13,1.568E-13,2.128E-13,8.361E-13,1.631,3.935E-06,0.0001513,0.975,4.666E-13,0.443,2.208E-07,0.001242,4.704,7.855E-13,6.433,1.258E-07,0.0001971,1.165,0.1299,         ,         ,-0.3423,         ,         ,0.097,0.482,0.036,0.687
 2CXO J132016.8-214938, 13 20 16.87,-21 49 38.33,FALSE,0.0002659,7.168E-05,6.125E-05,6.599E-05,8.297E-13,5.034E-13,1.574E-13,1.802E-13,0.0002659,7.168E-05,6.125E-05,6.599E-05,8.297E-13,5.034E-13,1.574E-13,1.802E-13,7.293E-13,4.913E-13,1.585E-13,1.294E-13,7.576E-13,4.336E-13,1.669E-13,9.702E-14,6.961E-13,4.617E-13,1.598E-13,1.211E-13,8.268E-13,5.472E-13,1.615E-13,1.158E-13,6.437E-13,2.204,35.42,0.0002751,0.793,5.59E-13,0.6446,9.744E-07,0.0003253,1.615,6.352E-13,3.65,21.73,0.0002478,0.845,0.0775,         ,         ,-0.0412,         ,         ,0.716,0.292,0.418,0.127
 2CXO J132024.9-203639, 13 20 24.96,-20 36 39.62,FALSE,1.477E-05,4.294E-06,2.567E-06,5.029E-06,4.424E-14,3.013E-14,6.124E-15,8.81E-15,1.477E-05,4.294E-06,2.567E-06,5.029E-06,4.424E-14,3.013E-14,6.124E-15,8.81E-15,3.691E-14,2.777E-14,6.237E-15,8.921E-15,4.329E-14,2.397E-14,6.464E-15,7.723E-15,3.615E-14,2.579E-14,6.275E-15,8.636E-15,4.456E-14,3.118E-14,6.335E-15,8.472E-15,3.445E-14,1.529,1.708,6.029E-06,1.615,1.418E-14,0.442,8.145E-07,4.846E-05,4.615,3.393E-14,12.26,2.666E-06,8.136E-06,1.697,0.2573,         ,         ,-0.3285,         ,         ,0.058,0.435,0.509,0.601
 2CXO J132106.3+003714, 13 21 06.33,+00 37 14.20,FALSE,5.497E-05,1.059E-05,9.865E-06,2.011E-05,1.298E-13,7.175E-14,2.459E-14,3.528E-14,5.497E-05,1.059E-05,9.865E-06,2.011E-05,1.298E-13,7.175E-14,2.459E-14,3.528E-14,1.201E-13,6.919E-14,2.398E-14,3.469E-14,1.529E-13,5.972E-14,2.496E-14,3.152E-14,1.2E-13,6.425E-14,2.414E-14,3.399E-14,1.487E-13,7.771E-14,2.436E-14,3.365E-14,1.207E-13,1.751,3.84E-06,2.409E-05,0.595,6.39E-14,0.423,3.889E-07,0.0002202,3.939,1.106E-13,4.762,3.65E-07,3.101E-05,0.901,0.04,         ,         ,-0.3435,         ,         ,0.356,0.32,0.693,0.432
 2CXO J132107.3+003644, 13 21 07.33,+00 36 44.66,FALSE,6.568E-06,1.766E-07,1.818E-06,2.507E-06,9.029E-15,0,4.604E-15,4.387E-15,6.568E-06,1.766E-07,1.818E-06,2.507E-06,9.029E-15,0,4.604E-15,4.387E-15,1.434E-14,         ,4.438E-15,4.407E-15,1.833E-14,         ,4.622E-15,4.01E-15,1.433E-14,         ,4.468E-15,4.319E-15,1.779E-14,         ,4.508E-15,4.279E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.8257,         ,         ,-0.1661,         ,         ,0.27,         ,0.588,0.064
 2CXO J132117.8+423515, 13 21 17.87,+42 35 15.21,FALSE,3.201E-05,2.797E-05,4.056E-07,4.1E-07,3.721E-13,3.776E-13,1.119E-15,6.229E-16,3.201E-05,2.797E-05,4.056E-07,4.1E-07,3.721E-13,3.776E-13,1.119E-15,6.229E-16,7.055E-14,1.818E-13,9.826E-16,7.141E-16,8.897E-14,1.571E-13,1.022E-15,6.425E-16,7.034E-14,1.689E-13,9.891E-16,6.979E-16,8.688E-14,2.041E-13,9.98E-16,6.9E-16,2.566E-13,-0.289,1224,9.572E-06,2.141,2.225E-13,4.597,1148,1.179E-06,2.122,3.015E-13,100,2265,0.0004392,2.329,0.9719,         ,         ,-0.0362,         ,         ,0.015,0.035,0.1,0.734
 2CXO J132224.4+422643, 13 22 24.43,+42 26 43.38,FALSE,5.052E-05,1.713E-05,3.941E-06,2.174E-05,1.436E-13,1.039E-13,1.072E-14,3.681E-14,5.052E-05,1.713E-05,3.941E-06,2.174E-05,1.436E-13,1.039E-13,1.072E-14,3.681E-14,1.174E-13,1.103E-13,         ,3.941E-14,1.422E-13,9.528E-14,         ,3.426E-14,1.16E-13,1.025E-13,         ,3.819E-14,1.421E-13,1.238E-13,         ,3.752E-14,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0.6433,         ,         ,-0.7008,         ,         ,0.504,0.492,         ,0.743
 2CXO J132317.4-002434, 13 23 17.48,-00 24 34.66,FALSE,1.526E-05,2.807E-06,3.445E-06,4.993E-06,3.67E-14,1.754E-14,8.61E-15,1.211E-14,1.526E-05,2.807E-06,3.445E-06,4.993E-06,3.67E-14,1.754E-14,8.61E-15,1.211E-14,3.633E-14,1.863E-14,8.847E-15,9.746E-15,4.04E-14,1.644E-14,9.292E-15,7.727E-15,3.519E-14,1.75E-14,8.915E-15,9.248E-15,4.208E-14,2.071E-14,9.018E-15,8.949E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.0537,         ,         ,-0.2336,         ,         ,0.871,0.497,0.024,0.98
 2CXO J132323.7-002155, 13 23 23.78,-00 21 55.21,FALSE,9.098E-05,1.772E-05,1.68E-05,3.222E-05,1.89E-13,1.022E-13,3.977E-14,5.07E-14,9.098E-05,1.772E-05,1.68E-05,3.222E-05,1.89E-13,1.022E-13,3.977E-14,5.07E-14,1.886E-13,1.112E-13,3.927E-14,5.293E-14,2.424E-13,9.612E-14,4.089E-14,4.851E-14,1.889E-13,1.033E-13,3.953E-14,5.196E-14,2.345E-13,1.248E-13,3.989E-14,5.154E-14,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0.0387,         ,         ,-0.321,         ,         ,0.201,0.193,0.279,0.813
 2CXO J132331.9-002433, 13 23 31.91,-00 24 33.02,FALSE,1.199E-05,1.995E-06,3.579E-06,3.475E-06,2.461E-14,1.181E-14,8.629E-15,5.972E-15,1.199E-05,1.995E-06,3.579E-06,3.475E-06,2.461E-14,1.181E-14,8.629E-15,5.972E-15,2.691E-14,         ,8.571E-15,6.021E-15,3.331E-14,         ,8.905E-15,5.369E-15,2.672E-14,         ,8.625E-15,5.871E-15,3.294E-14,         ,8.706E-15,5.794E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.2423,         ,         ,-0.015,         ,         ,0.566,         ,0.52,0.683
 2CXO J132506.8+652018, 13 25 06.84,+65 20 18.54,FALSE,9.69E-06,1.641E-06,1.803E-06,3.92E-06,1.826E-14,7.538E-15,4.29E-15,6.953E-15,9.69E-06,1.641E-06,1.803E-06,3.92E-06,1.826E-14,7.538E-15,4.29E-15,6.953E-15,2.257E-14,1.086E-14,4.446E-15,7.121E-15,2.775E-14,9.323E-15,4.623E-15,6.275E-15,2.235E-14,1.006E-14,4.475E-15,6.924E-15,2.759E-14,1.224E-14,4.515E-15,6.822E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.0387,         ,         ,-0.3748,         ,         ,0.245,0.483,0.436,0.751
