#name,ra,dec,pileup_flag,photflux_aper_b,photflux_aper_h,photflux_aper_m,photflux_aper_s,flux_aper_b,flux_aper_h,flux_aper_m,flux_aper_s,photflux_aper_avg_b,photflux_aper_avg_h,photflux_aper_avg_m,photflux_aper_avg_s,flux_aper_avg_b,flux_aper_avg_h,flux_aper_avg_m,flux_aper_avg_s,flux_powlaw_aper_b,flux_powlaw_aper_h,flux_powlaw_aper_m,flux_powlaw_aper_s,flux_bb_aper_b,flux_bb_aper_h,flux_bb_aper_m,flux_bb_aper_s,flux_brems_aper_b,flux_brems_aper_h,flux_brems_aper_m,flux_brems_aper_s,flux_apec_aper_b,flux_apec_aper_h,flux_apec_aper_m,flux_apec_aper_s,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_norm,brems_stat,hard_hm,var_inter_hard_prob_hs,var_inter_hard_sigma_hs,hard_ms,var_inter_hard_prob_ms,var_inter_hard_sigma_ms,ks_intra_prob_b,ks_intra_prob_h,ks_intra_prob_m,ks_intra_prob_s
 2CXO J002350.3-720431, 00 23 50.39,-72 04 31.56,FALSE,3.898E-07,1.936E-08,1.729E-08,2.442E-07,3.794E-16,0,         ,         ,3.709E-07,1.687E-08,1.62E-08,2.403E-07,         ,         ,         ,         ,8.118E-16,         ,         ,3.945E-16,1.061E-15,         ,         ,3.705E-16,8.153E-16,         ,         ,3.895E-16,1.023E-15,         ,         ,3.88E-16,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0.2511,0.406,0.402,-0.8707,0.214,0.07405,0.958,         ,         ,0.825
 2CXO J002354.5-720530, 00 23 54.52,-72 05 30.87,FALSE,5.713E-07,2.239E-08,4.97E-08,3.283E-07,7.953E-16,1.49E-16,1.094E-16,5.183E-16,5.459E-07,1.949E-08,4.247E-08,3.118E-07,         ,         ,         ,         ,1.212E-15,         ,         ,5.396E-16,1.584E-15,         ,         ,5.068E-16,1.217E-15,         ,         ,5.327E-16,1.528E-15,         ,         ,5.307E-16,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.2723,0.267,         ,-0.7358,0.022,         ,0.995,         ,         ,0.948
 2CXO J002359.4-720358, 00 23 59.43,-72 03 58.86,FALSE,1.381E-06,2.698E-07,1.732E-07,5.503E-07,2.842E-15,1.758E-15,4.075E-16,8.851E-16,1.335E-06,2.725E-07,1.598E-07,5.36E-07,         ,         ,         ,         ,2.938E-15,1.757E-15,4.197E-16,9.052E-16,3.824E-15,1.516E-15,4.375E-16,8.489E-16,2.948E-15,1.632E-15,4.226E-16,8.933E-16,3.697E-15,1.974E-15,4.267E-16,8.896E-16,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0.2274,0.984,1.323,-0.5272,0.386,0.1758,0.742,0.493,0.58,0.8
 2CXO J002401.4-720441, 00 24 01.44,-72 04 41.92,FALSE,5.108E-07,0,5.931E-08,3.141E-07,5.271E-16,0,1.316E-16,5.195E-16,4.972E-07,0,5.294E-08,3.098E-07,         ,         ,         ,         ,1.084E-15,         ,         ,5.158E-16,1.412E-15,         ,         ,4.841E-16,1.088E-15,         ,         ,5.091E-16,1.364E-15,         ,         ,5.071E-16,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.9994,0.571,1.999,-0.6846,0.506,0.2773,0.854,         ,         ,0.846
 2CXO J002403.8-720457, 00 24 03.81,-72 04 57.08,FALSE,2.311E-06,1.301E-07,2.217E-07,1.296E-06,3.195E-15,5.186E-16,4.758E-16,2.162E-15,1.905E-06,         ,         ,1.086E-06,         ,         ,         ,         ,4.889E-15,         ,5.306E-16,2.127E-15,6.358E-15,         ,5.535E-16,1.992E-15,4.906E-15,         ,5.343E-16,2.098E-15,6.148E-15,         ,5.394E-16,2.089E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.2011,0.586,0.4635,-0.7033,0.724,0.3098,0.843,0.776,0.792,0.74
 2CXO J002403.9-720442, 00 24 03.95,-72 04 42.59,FALSE,1.738E-06,4.387E-08,1.606E-07,9.649E-07,2.207E-15,1.892E-16,3.631E-16,1.629E-15,1.943E-06,3.312E-08,5.204E-07,1.039E-06,2.033E-15,0,1.189E-15,1.824E-15,3.69E-15,         ,3.886E-16,1.585E-15,4.807E-15,         ,4.052E-16,1.487E-15,3.704E-15,         ,3.913E-16,1.564E-15,4.645E-15,         ,3.95E-16,1.558E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.5347,0.56,0.2766,-0.7183,0.486,0.1804,0.934,         ,0.845,0.934
 2CXO J002404.6-720453, 00 24 04.67,-72 04 53.84,FALSE,1.041E-06,         ,1.057E-07,7.158E-07,1.602E-15,0,2.634E-16,1.333E-15,1.419E-06,4.2E-08,1.57E-07,8.695E-07,         ,         ,         ,         ,2.002E-15,         ,         ,1.159E-15,2.562E-15,         ,         ,1.07E-15,2.002E-15,         ,         ,1.14E-15,2.498E-15,         ,         ,1.132E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0.386,0.2102,         ,0.123,0.09817,0.776,         ,         ,0.902
 2CXO J002405.7-720452, 00 24 05.73,-72 04 52.56,FALSE,1.743E-07,2.108E-08,5.854E-08,1.329E-07,7.634E-17,1.473E-16,         ,2.057E-16,2.192E-07,2.477E-08,6.189E-08,1.235E-07,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.4172,0.744,0.7201,-0.4085,0.814,0.4858,         ,         ,         ,         
 2CXO J002406.0-720449, 00 24 06.08,-72 04 49.15,FALSE,2.937E-06,7.141E-07,4.382E-07,1.035E-06,9.515E-15,6.761E-15,1.111E-15,1.778E-15,2.903E-06,6.289E-07,5.02E-07,1.003E-06,         ,         ,         ,         ,6.268E-15,4.668E-15,1.066E-15,1.745E-15,8.059E-15,4.04E-15,1.114E-15,1.618E-15,6.274E-15,4.341E-15,1.074E-15,1.718E-15,7.839E-15,5.237E-15,1.084E-15,1.707E-15,6.042E-15,1.622,2.632E-06,1.095E-06,1.653,3.182E-15,0.4201,2.109E-06,1.13E-05,3.392,5.753E-15,6.833,2.733E-06,1.441E-06,1.829,0.2473,0.707,1.227,-0.411,0.525,0.2263,0.982,0.923,0.938,0.991
 2CXO J002406.0-720501, 00 24 06.06,-72 05 01.56,FALSE,8.555E-07,2.083E-08,1.324E-07,4.582E-07,9.585E-16,0,2.991E-16,7.704E-16,8.633E-07,2.078E-08,1.322E-07,4.64E-07,9.666E-16,0,2.986E-16,7.812E-16,1.82E-15,         ,3.225E-16,7.571E-16,2.327E-15,         ,3.374E-16,6.986E-16,1.819E-15,         ,3.249E-16,7.445E-16,2.269E-15,         ,3.281E-16,7.395E-16,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.7071,0,0.317,-0.5559,0.199,0.07737,0.998,         ,0.884,0.996
