index,obs_id,class,src_n,src_id,livetime,significance,likelihood,pileup_flag,mstr_sat_src_flag,mstr_streak_src_flag,gti_obs,flux_significance_b,flux_significance_m,flux_significance_s,flux_significance_h,flux_significance_u,flux_aper_hilim_s,flux_aper_hilim_u,flux_aper_hilim_m,flux_aper_hilim_h,flux_aper_hilim_b,flux_aper_lolim_s,flux_aper_lolim_u,flux_aper_lolim_m,flux_aper_lolim_h,flux_aper_lolim_b,flux_aper_s,flux_aper_u,flux_aper_m,flux_aper_h,flux_aper_b,photflux_aper_hilim_s,photflux_aper_hilim_u,photflux_aper_hilim_m,photflux_aper_hilim_h,photflux_aper_hilim_b,photflux_aper_lolim_s,photflux_aper_lolim_u,photflux_aper_lolim_m,photflux_aper_lolim_h,photflux_aper_lolim_b,photflux_aper_s,photflux_aper_u,photflux_aper_m,photflux_aper_h,photflux_aper_b,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,flux_powlaw_hilim,flux_powlaw_lolim,flux_powlaw,flux_brems_lolim,flux_brems_hilim,flux_brems,flux_bb_hilim,flux_bb_lolim,flux_bb,var_index,var_prob,ks_prob,kp_prob,var_sigma,var_mean,var_min,var_max,var_inter_index,var_inter_prob,var_inter_sigma,hard_hm,hard_hm_hilim,hard_hm_lolim,hard_hs,hard_ms,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,powlaw_gamma,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl,powlaw_ampl_hilim,powlaw_ampl_lolim,powlaw_stat,bb_kt,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim,bb_nh,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_stat,brems_kt,brems_kt_hilim,brems_kt_lolim,brems_nh,brems_nh_hilim,brems_nh_lolim,brems_stat
270,TUC_OBS_270,TUC,CXOGLB J002411.6-720503,TC0027,5734.6,5.69,141.8278,False,False,False,2002-10-11T21:35:09,0.0,0.0,1.03,0.0,0.0,-15.006299305179649,,,,-14.90622821850127,,,,,,,,,,,-6.053793446157217,-5.6955094722265125,-6.468521082957745,-6.263364502313179,-6.005155150446602,,,,,,-6.341035157335565,,,,,-14.953387790931554,,,-6.020178569969775,,-7.0400051616715835,,,,,,,,,,,,,,,,,,2.0,0.4655,3.4060249999999993e-07,0.9994,1.0,-0.168,-0.9994,-0.9994,0.0031,-1.0,-0.2042,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,TUC_OBS_271,TUC,CXOGLB J002412.6-720440,TC0028,3874.2,5.86,247.2666,False,False,False,2000-03-16T07:29:58,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,-6.110306208555815,-4.919734372660155,-6.295420550303701,-6.101549080801625,-5.984221243610959,,,,,,,,,,,,,,-5.518824049970534,,,,,,,,,,,,,,,,,,,,1.75,0.33325,8.11875e-07,0.9994,1.0,-0.1455,0.9994,-0.9994,1.0,-0.3492,0.158,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,TUC_OBS_272,TUC,CXOGLB J002412.6-720440,TC0028,31673.8,5.86,247.2666,False,False,False,2000-03-16T09:06:03,1.5,1.06,1.35,0.0,0.0,-14.989276134608227,,-15.349012905616554,,-14.988006885340743,-15.844663962534938,,-16.867420152340262,,-16.112832979105224,-15.224972399901155,,-15.63714069704132,,-15.247490599211156,-6.408824049688208,-5.770318157682325,-6.790484985457369,-7.014573525916998,-6.201280314814994,-7.264081883468703,,-8.309095445945033,,-6.90031935889075,-6.644356949779131,,-7.078625704581525,,-6.423083044034793,-15.079059660613858,-16.108481126143175,-15.333513219882066,-6.225497632650648,-7.431450979247641,-6.861545720034592,,,,,,,,,,,,,,,,,,1.75,0.33325,8.11875e-07,-0.9994,0.0219,-1.0,-0.9994,-0.5709,-0.4116,-1.0,-0.1181,-0.8713,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,TUC_OBS_273,TUC,CXOGLB J002412.6-720440,TC0028,31673.8,5.86,247.2666,False,False,False,2000-03-16T18:59:23,2.11,1.64,1.55,0.0,0.0,-14.49093195498284,,-14.98296666070122,,-14.443576878628715,-15.119300710781298,,-15.61996975203217,,-14.890759031411797,-14.693360558975739,,-15.19388788983091,,-14.611898798429483,-6.2789316982028405,-5.755228238504705,-6.46826569072345,-7.009838807101521,-5.9582126810282485,-6.945004138470859,,-7.096692920035826,,-6.405386490839902,-6.495121540589784,,-6.670805584911549,,-6.126679398184601,-14.581146522360598,-15.118102026426989,-14.76870885358165,-6.1166725038607765,-6.930524307823936,-6.5916921814762475,,,,,,,,,,0.0,0.485,0.38799999999999996,0.53,1.027e-05,0.00018700000000000002,0.0001833,0.00027289999999999997,1.75,0.33325,8.11875e-07,-0.9994,-0.3741,-1.0,-0.9994,-0.2761,-0.5403,-1.0,0.1293,-0.6127,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,TUC_OBS_274,TUC,CXOGLB J002412.6-720440,TC0028,4691.1,5.86,247.2666,False,False,False,2000-03-17T04:09:04,1.31,0.0,1.35,0.0,0.0,-14.293111605018382,,,,-14.289459552066702,-15.150396341917553,,,,-15.146849563552157,-14.527243550682787,,,,-14.52360317327467,-5.598427154323554,-4.893129455521346,-6.346208812612188,-6.186552455735179,-5.494850021680094,-6.4558078892349675,,,,-6.364114314718727,-5.8326826652518236,,,,-5.740884155814934,-14.291281739715428,-15.148619332034404,-14.52541954765762,-5.406439262122614,-6.805485658117533,-6.182302445236976,,,,,,,,,,,,,,,,,,1.75,0.33325,8.11875e-07,0.9994,1.0,-0.2055,-0.9994,-0.9994,-0.4091,-1.0,-0.5465,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,TUC_OBS_275,TUC,CXOGLB J002412.6-720440,TC0028,65237.5,5.86,247.2666,False,False,False,2002-09-29T17:14:19,3.11,0.0,3.26,0.0,1.54,-15.047643522676209,-15.129362036789194,,,-15.1170772093974,-15.3257820544233,-15.828273546346768,,,-15.474178047843337,-15.161025045044532,-15.351249787301981,,,-15.255394124585761,-6.245575210722741,-6.104687975524213,-7.518700726667144,-7.330125497510197,-6.095338542084475,-6.523748203992967,-6.794795636051855,,,-6.384786665198641,-6.358922686674625,-6.317764643097436,,,-6.2163822348092515,-15.09651209208555,-15.496481687275924,-15.24897764712192,-6.349915996863236,-6.758403717845929,-6.515330100114667,,,,,,,,,,2.0,0.885,0.986,0.9359999999999999,0.00011059999999999999,0.00020780000000000004,9.718e-05,0.0003185,1.75,0.33325,8.11875e-07,0.9994,1.0,-0.1843,-0.9994,-0.9994,-0.8051,-1.0,-0.8688,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,TUC_OBS_276,TUC,CXOGLB J002412.6-720440,TC0028,59044.6,5.86,247.2666,False,False,False,2002-09-30T13:49:27,2.58,1.32,2.11,0.0,1.59,-15.275478372881437,-15.416347891457956,-15.544089759617258,-15.207188228751853,-14.982132281036494,-15.722620025332745,-16.1944991418416,-16.409492537991415,,-15.37345434097287,-15.443818153347088,-15.65033401590337,-15.789681480173767,,-15.135192370973853,-6.485319455875018,-6.054482177922161,-6.907630300370879,-6.981715691573469,-6.193887889830909,-6.932557157223619,-6.711974464611637,-7.772884917410875,,-6.54928912185308,-6.653647025549361,-6.262092076625361,-7.153044674980176,,-6.336204877780593,-15.242300374912261,-15.844390716321085,-15.529178050459988,-6.381512598603646,-6.913590335112843,-6.584926441787942,,,,,,,,,,0.0,0.466,0.597,0.331,9.001e-06,0.0001579,0.00015209999999999998,0.0002501,1.75,0.33325,8.11875e-07,0.02,0.4166,-0.7114,-0.9994,-0.5509,-0.3666,-1.0,-0.2292,-0.8076,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,TUC_OBS_277,TUC,CXOGLB J002412.6-720440,TC0028,65240.7,5.86,247.2666,False,False,False,2002-10-02T19:14:18,2.42,0.0,2.58,0.0,2.63,-15.165325025537257,-14.971428747307462,,,-15.267928059000134,-15.52071268352383,-15.335264031481294,,,-15.786482243003695,-15.30768195574072,-15.116452120731957,,,-15.453951133598265,-6.4180503416266825,-5.739451627363021,-7.518700726667144,-7.330125497510197,-6.286005732339356,-6.773400094792643,-6.086875209610441,,,-6.667561540084395,-6.560351570436526,-5.879097182385473,,,-6.436163081335455,-15.117096165530265,-15.50999467364325,-15.270619197130976,-6.252036933747152,-6.618993280703421,-6.4061603389187285,,,,,,,,,,0.0,0.4326666666666666,0.4226666666666667,0.34400000000000003,6.8e-06,0.00012813333333333335,0.00012343333333333332,0.00018533333333333333,1.75,0.33325,8.11875e-07,0.9994,1.0,-0.1805,-0.9994,-0.9994,-0.7027,-1.0,-0.7976,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,TUC_OBS_278,TUC,CXOGLB J002412.6-720440,TC0028,68771.4,5.86,247.2666,False,False,False,2002-10-11T01:59:30,3.11,1.64,2.7,0.0,0.0,-15.139781815331244,-16.212468683872764,-15.440811810995225,-14.581201709409646,-14.644356949779132,-15.473402290896548,,-16.0692037370167,,-14.945386945443111,-15.27099729072781,,-15.643209539648284,-14.868381335650875,-14.76929568638743,-6.395342027952129,-6.537751784645002,-6.838631997765025,-7.034610129784878,-6.107404577171102,-6.736600668665997,,-7.466863711721361,,-6.396855627379818,-6.528855034839367,,-7.0409108856326075,,-6.228486010020333,-14.917968299643457,-15.507108364950504,-15.117111331032305,-6.465836769968016,-6.907609235668391,-6.708715529883747,,,,,,,,,,0.0,0.3315,0.2545,0.231,9.02e-06,0.0001721,0.00016485000000000002,0.00024065,1.75,0.33325,8.11875e-07,-0.4372,-0.0056,-1.0,-0.9994,-0.5547,-0.5353,-1.0,-0.2917,-0.7726,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,TUC_OBS_279,TUC,CXOGLB J002412.6-720440,TC0028,5307.0,5.86,247.2666,False,False,False,2002-09-30T11:50:19,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,-6.348237552619889,-5.6637404479858064,-6.422278475490979,-6.221993538576491,-6.192464971931146,,,,,,,,,,,,,,-6.07186029312488,,,,,,,,,,,,,,,,,,,,1.75,0.33325,8.11875e-07,0.9994,1.0,-0.1443,0.9994,-0.9994,1.0,-0.233,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
