#angDist,name,ra,dec,err_ellipse_r0,conf_flag,extent_flag,sat_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,significance,hard_hm,hard_hm_lolim,hard_hm_hilim,hard_ms,hard_ms_lolim,hard_ms_hilim,var_intra_index_b,var_intra_index_w,var_inter_index_b,var_inter_index_w,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp
0.737274,2CXO J174759.7-244751,266.99910102621254,-24.79768771237564,0.7653856447050983,0,0,0,3.5301158976959E-16,2.372700849271E-16,4.6296601936995E-16,,,,4.514285714285668,-0.11367895065584,-0.50405996252342,0.23048094940662,-0.50593379138039,-0.67645221736415,-0.31667707682698,0,,0,,4068055175815702784,266.99887575149944,1.3140103338733395,-24.797676721668466,1.1064641206298595,,,19.429775,
0.067012,2CXO J174759.9-244734,266.99996419428976,-24.792881276160305,0.7154141579847977,0,0,0,3.2073136466351E-15,2.8265997633769E-15,3.5642329121896E-15,,,,10.856941484292594,-0.2948157401624,-0.43035602748282,-0.1630231105559,-0.032479700187383,-0.14678326046221,0.085571517801374,1,,5,,4068055210175455872,266.99994436276245,0.7948928412033026,-24.7928765469052,0.7013670890118383,,,15.24434,
0.153550,2CXO J174802.2-244535,267.0093762957973,-24.759995267295185,0.8399113346247159,0,0,0,0.0,0.0,6.374481572571E-17,,,,1.9090909090908899,-0.12492192379763,-0.81761399125547,0.27420362273579,0.99937539038101,0.21174266083698,1.0,,,0,,4068061188777287168,267.00939901339217,2.586286685656345,-24.760032599622065,1.6362305475973107,,,19.420198,2.9087448
0.691479,2CXO J174803.0-244618,267.0127691464676,-24.77171898100274,0.7306293910076318,0,0,0,5.8402782684339E-16,3.2121530476386E-16,8.4684034892291E-16,,,,3.6190476190477,,,,,,,8,,3,,4068061085694289792,267.012710084231,13.633828322603529,-24.771534541878992,10.896376739104321,,,20.665785,
0.701407,2CXO J174803.3-244641,267.01398702008964,-24.778283636899058,0.7456608713576623,0,0,0,0.0,0.0,1.0089169682362E-16,,,,1.6595744680851097,-0.1736414740787,-0.84134915677701,0.20424734540912,-0.026233603997502,-0.43035602748282,0.37289194253591,,,0,,4068061085762357888,267.01395104207364,1.3109825056971232,-24.778475714351327,0.8803571788130106,,,17.392494,4.7117863
0.109356,2CXO J174803.5-244651,267.0146739850211,-24.780900886656866,0.724976575392377,1,0,0,4.9607357868539E-16,2.4252486069063E-16,7.4962229668014E-16,,,,5.454545454545316,-0.20112429731418,-0.64647095565272,0.20799500312305,-0.43222985633979,-0.68144909431605,-0.14178638351031,1,,5,,4068061085689836800,267.01470276839314,4.121006882746947,-24.780916372576392,3.389086393036138,,,18.617704,
0.774249,2CXO J174803.8-244641,267.0160200947728,-24.778283942784316,0.7115744519287972,0,0,0,1.0574823208093E-14,9.2190430747206E-15,1.1845867083129E-14,,,,16.982725362283848,0.69081823860087,0.60399750156152,0.77514053716427,0.99937539038101,0.79262960649594,1.0,7,,7,,4068061085762316416,267.0162351504776,12.835430571401144,-24.7783741066174,11.384072244931701,,,18.197289,
0.852152,2CXO J174803.9-244647,267.0166253862842,-24.779865409081363,0.7178989541501373,1,0,0,2.0778718028023E-15,1.4087266459677E-15,2.747016959637E-15,,,,7.5308510161565705,0.22485946283573,-0.053091817613991,0.47532792004997,,,,2,,0,,4068061085762321536,267.01639447597364,34.24113971861464,-24.779755508029133,25.43864469093707,,,19.065641,
0.390007,2CXO J174804.0-244640,267.0170651340935,-24.77796103955811,0.7105248668442558,0,0,0,5.5295393626743E-14,5.2683305318301E-14,5.7753829681748E-14,,,,31.917281125210973,0.72454715802623,0.69643972517177,0.7526545908807,0.89194253591505,0.82885696439725,0.947532792005,1,,5,,4068061085762362880,267.01696260133696,1.9916754882521306,-24.777905630822875,1.4820902372472122,,,17.87075,
0.634834,2CXO J174804.1-244648,267.0174384250124,-24.78003883911819,0.7245399166762017,0,0,0,6.9863929865568E-15,5.9866173676719E-15,7.9273582749191E-15,,,,19.2800331653732,,,,,,,0,,6,,4068061085762329472,267.0173583809127,3.3280527266122264,-24.78019951041003,2.7271023076778604,,,18.487803,
