obs_id,src_id,num_obs,src_n,name,ra,dec,livetime,significance,likelihood,class,photflux_aper_hilim_b,photflux_aper_hilim_m,photflux_aper_hilim_h,flux_aper_hilim_b,photflux_aper_hilim_s,hard_hm,hard_hs,hard_ms,flux_aper_hilim_s,flux_aper_hilim_m,flux_aper_hilim_h,var_inter_sigma_b,var_inter_prob_b,photflux_aper_hilim_u,var_inter_sigma_m,var_inter_prob_m,var_inter_prob_s,var_inter_sigma_s,photflux_aper_b,var_inter_sigma_h,var_inter_index_b,var_inter_prob_h,flux_aper_b,photflux_aper_lolim_b,flux_aper_lolim_b,photflux_aper_m,flux_aper_m,photflux_aper_h,photflux_aper_lolim_m,flux_aper_h,photflux_aper_lolim_h,photflux_aper_s,flux_aper_lolim_m,flux_aper_hilim_u,flux_aper_lolim_h,flux_aper_s,var_inter_index_h,photflux_aper_lolim_s,flux_aper_lolim_s,kp_prob_b,var_max_b,var_min_b,var_mean_b,var_sigma_b,ks_prob_b,var_prob_b,var_inter_index_s,var_inter_index_m,var_inter_sigma_u
CV_0_obs_0,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,4103.7,52.93,16618.73,CV,5.458920232223371,5.973466735476704,5.686132779630847,14.027797161620935,5.698752911363789,0.9994,0.9994,-0.9994,14.564474148501345,14.564633493387339,13.93292914395463,0.0004766,1.0,3.9262816496538773,2.525202979999999e-05,0.1082700000000002,0.989,2.546e-05,5.7500527829120305,0.00010004667179999996,6.0,0.9988199999999996,14.30308977301648,7.121534346182193,15.418217112710497,6.249437821868502,14.867354723645008,5.970258474159965,7.247752164114328,14.2209087961545,7.130602243875054,5.9602016627695455,15.791577572147103,13.17750501472125,15.451364940185249,14.835456025031897,7.72,7.1046547528317765,15.858613533969384,0.7880399999999996,0.007736039999999999,0.0015808240000000004,0.002352829999999999,0.0016604190000000002,0.8320600000000001,0.5618699999999999,5.0,3.16,0.0005740943599999991
CV_0_obs_1,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,5.461551948289783,5.698319050706424,5.5968794788241825,13.717604495257474,5.4362816600343224,0.9994,-0.9994,-0.9994,14.264321274094096,14.288192770958808,13.738975166007602,0.0004766,1.0,3.4377071355435254,2.5245729799999987e-05,0.12058000000000019,0.989,2.546e-05,5.754253092629726,5.71073018e-05,6.0,0.9987199999999994,14.015971891007178,6.8558354402976995,15.311384242108714,5.990960280869153,14.584652767558463,5.874383161686199,7.2615901295706236,14.022537626232763,7.019602915850294,5.736763331295748,15.783785617018786,12.64839692758087,15.309203609792002,14.556763985801744,7.72,6.622870531824332,15.440295948657997,0.8092399999999996,0.0068942100000000004,0.001942251,0.0024307899999999986,0.0012168380000000007,0.7801299999999998,0.5558199999999999,5.0,3.16,0.0006092247099999989
CV_0_obs_2,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,5.575281662668433,6.002176919254275,5.6010189333418685,14.039148846280314,5.643209539648284,0.9994,0.06,-0.9994,14.526221165353276,14.59328954139021,13.876475019057269,0.0004766,1.0,3.6765416331505323,2.5294029799999987e-05,0.11104000000000021,0.989,2.546e-05,5.864582362614848,0.00010004667179999996,6.0,0.9987299999999995,14.307667295367374,7.088950625603356,15.366297395867315,6.251800341385015,14.879976018249097,5.879755204453635,7.253365195639353,14.15508812608786,6.879755204453635,5.919712132373412,15.78193841863886,12.947306058075032,15.456056057517094,14.822626165644083,7.72,7.067250246064548,15.831156340575573,0.7742899999999997,0.00714611,0.0017758880000000004,0.002405259999999999,0.0012917130000000005,0.7949,0.5613199999999999,5.0,3.16,0.0006034897099999989
CV_0_obs_3,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3904.6,52.93,16618.73,CV,5.306536872780469,6.114695332411032,5.522589312092748,13.797511682939906,5.508918586576812,0.9994,-0.0837,-0.9994,14.219826756357406,14.705974905904677,13.817015032996418,0.0004766,1.0,3.876475019057268,2.4555129799999987e-05,0.12183000000000022,0.989,2.546e-05,5.547293773488971,6.66381218e-05,6.0,0.9987099999999995,14.03819936080832,6.13353543402826,14.624519285381428,6.374308062324278,14.975831248081695,5.768020973168496,7.3069250240426085,14.062482107982653,6.387852161673513,5.809948582240794,15.817246504544903,13.06414020196212,14.68235445677884,14.509199047989146,7.72,6.470203993718246,15.25989180262031,0.7881299999999994,0.004996130000000002,0.001705854,0.0023588699999999995,0.0008845062,0.7914599999999998,0.5888099999999998,5.0,3.16,0.0005840549349999992
CV_0_obs_4,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,5.708409174341999,5.815308569182402,6.059533322336471,14.543785844642011,5.757458571701616,-0.9994,-0.9994,-0.2823,14.623423042943488,14.404283380056576,14.146119349875457,0.0004766,1.0,3.8218867476853684,2.5245729799999987e-05,0.09245000000000012,0.989,2.546e-05,5.981557138714359,7.01380318e-05,6.0,0.9987299999999995,14.81340998949861,6.9697268388763165,15.756257833556365,6.104190849830869,14.680477550934546,6.317288829471397,7.359518563029578,14.428896121797575,7.137859187955457,5.989672647092875,15.935542010773082,13.072989131024348,15.515247165324938,14.851191255118653,7.72,6.5808367902468,15.35056062607493,0.7383199999999998,0.006300639999999999,0.0019678720000000007,0.002551727,0.001034783,0.7819800000000002,0.5471399999999998,5.0,3.16,0.0006034897099999989
CV_0_obs_5,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,5.677160727313679,5.830619504688051,6.0602811176458955,14.603277721496227,5.784626847216578,-0.9994,-0.9994,-0.2798,14.650528200785613,14.414764936634224,14.149108815864077,0.0004766,1.0,3.8904214530956134,2.5245729799999987e-05,0.10556000000000018,0.989,2.546e-05,5.959111571011455,5.91042118e-05,6.0,0.9987299999999995,14.857097766406413,7.031167538700557,15.766380479851561,6.1094113322945125,14.693574972449312,6.319142118228378,7.1094113322945125,14.427841296479976,7.12176326885832,6.061514227302095,15.693574972449312,13.077949597832827,15.550715964732914,14.895436736481548,7.72,6.6011645137994766,15.546190740375657,0.73637,0.007112720000000001,0.0019568660000000002,0.002504827,0.0011789350000000003,0.7855000000000001,0.5533999999999998,5.0,3.16,0.000596414809999999
CV_0_obs_7,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3906.9,52.93,16618.73,CV,5.868702203402377,6.127902025725773,6.004145520125434,14.089962876446949,5.788612447063142,0.9994,-0.9994,-0.9994,14.654430243943608,14.702020755840637,14.146180154143236,0.0004766,1.0,3.9333014495770047,2.5245729799999987e-05,0.11545000000000018,0.989,2.546e-05,6.116192099246057,0.00011509440179999993,6.0,0.9987299999999995,14.38251059680786,7.122711001332156,15.357076294425221,6.402431964587105,14.988269432687577,6.221489180281712,7.275996949946295,14.421897174738456,7.123169404978046,6.075504223991645,15.831138777002863,13.12372441132212,15.352010316724375,14.919260871545445,7.73,7.086360320957958,15.836418821893004,0.7757499999999997,0.007598469999999999,0.0016203160000000003,0.0023460559999999987,0.0013071128000000003,0.7896900000000001,0.5587799999999999,5.0,3.16,0.0005590416849999992
CV_0_obs_8,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3904.0,52.93,16618.73,CV,5.321481620959886,5.848017604542526,5.535063570878267,13.393941250589686,5.763462738511306,0.4884,0.9944,-0.3548,14.629301907424423,14.411392195257314,13.337147766735203,0.0004766,1.0,3.9427143555817854,2.4045675799999987e-05,0.12107000000000025,0.989,2.546e-05,5.569280112136718,6.228623540000001e-05,6.0,0.9986599999999995,13.60712725459792,6.285335007137463,14.084178212379602,6.137391636035058,14.700928739972591,5.788345599446817,7.264817585169233,13.582694416755475,6.469544156415324,6.012914492395494,15.826298706958285,13.118102026426989,14.202455485638273,14.884177528624473,7.72,6.598303810685681,15.562422049222441,0.7921899999999995,0.003380409999999999,0.001478358,0.0020102889999999997,0.0007130900000000001,0.85805,0.66149,5.0,3.16,0.0005162697489999993
CV_0_obs_9,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3971.3,52.93,16618.73,CV,5.878768544850379,6.17134010346468,6.061930813776614,14.082967377837607,5.800793520838343,0.9994,-0.9994,-0.9994,14.666754301038036,14.709297756712145,14.150764908685277,0.0004766,1.0,3.9083330424043154,2.5245729799999987e-05,0.10894000000000022,0.989,2.546e-05,6.120066789825354,0.00010957749179999993,6.0,0.9987299999999995,14.378276327688816,7.184992534182287,15.415391488972551,6.427598897114182,14.993559122897217,6.318028813141373,7.247471012402276,14.423441138807421,7.154864293208144,6.093092221737664,15.78373596490471,13.159454812363162,15.465826472725194,14.959187440872059,7.73,7.084302138754598,15.854003212149323,0.7735999999999997,0.007560899999999998,0.0016203160000000003,0.0023460559999999987,0.0013071128000000003,0.7895200000000001,0.5581799999999999,5.0,3.16,0.0005817171349999991
CV_0_obs_10,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3971.9,52.93,16618.73,CV,5.882728704344236,6.203217588298692,6.067374055978218,14.08692825969075,5.824198367151721,0.9994,-0.9994,-0.9994,14.689944262249108,14.721932669111338,14.156206801674088,0.0004766,1.0,3.9637704559137052,2.5245729799999987e-05,0.11416000000000018,0.989,2.546e-05,6.1157601347050115,0.00010406058179999993,6.0,0.9987299999999995,14.379610194174232,6.901081089243982,15.33640163479893,6.434175399194872,14.992745686157452,6.323268547149468,7.2688696414042875,14.423138976085433,7.162863767241754,6.11560012044269,15.818327605077425,13.214812579970639,15.385212393851354,14.96500734207908,7.73,7.079776516277244,15.84343962025229,0.7634799999999998,0.007703119999999997,0.0015682489999999999,0.0023512359999999987,0.0012955958000000004,0.8216800000000003,0.56274,5.0,3.16,0.0005666644599999992
CV_0_obs_11,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3971.3,52.93,16618.73,CV,5.8843894883257,6.198664904325454,6.091568601033994,14.105683937315561,5.801617869991706,0.9994,-0.9994,-0.9994,14.667561540084394,14.700928739972591,14.161087972594002,0.0004766,1.0,3.9273825234547632,2.5245729799999987e-05,0.10894000000000022,0.989,2.546e-05,6.122565044786731,0.00010957749179999993,6.0,0.9987299999999995,14.384260975729378,7.183370705900513,15.428468670258928,6.428945312358155,14.983880378727326,6.375954102755597,7.247640687920967,14.422420196390986,7.163651870609029,6.09315020721116,15.784087548793924,13.17855198098247,15.455785012641885,14.959484233896529,7.73,7.082683767454846,15.855683884576015,0.7729199999999997,0.007646559999999999,0.0016203160000000003,0.0023460559999999987,0.0013065428000000004,0.7875,0.5581799999999999,5.0,3.16,0.0005740943599999991
CV_0_obs_12,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,4138.6,52.93,16618.73,CV,5.551757587365561,6.00665196007674,5.876148359032914,14.596536298654682,5.4576726172260255,0.9994,-0.9994,-0.9994,14.645123577483766,14.59773861754532,14.018271974638385,0.0004766,1.0,3.8982529260536336,2.5245729799999987e-05,0.10835000000000022,0.989,2.546e-05,5.823022651141292,0.00010556358179999996,6.0,0.9987299999999995,14.854548822104697,7.088271010960658,15.736924799176197,6.2507421719711544,14.884089565609665,6.142782229672195,7.243917652292549,14.30847523657469,7.138616764483689,5.747146969020107,15.786136500864098,13.149476291121006,15.54051199204007,14.916525483010941,7.72,6.989507746041237,15.81436140808487,0.7589699999999998,0.00740595,0.0017627040000000006,0.0024043499999999982,0.0012926240000000002,0.7851700000000001,0.56206,5.0,3.16,0.0005817171349999991
CV_0_obs_13,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3968.3,52.93,16618.73,CV,5.673869043289206,6.220547816595938,6.085022527555669,14.672436739812722,5.586030028251939,0.9981,-0.9994,-0.9994,14.613144470815275,14.735890843694191,14.171533452647322,0.0004766,1.0,4.039481657219292,2.5245729799999987e-05,0.11287000000000019,0.989,2.546e-05,5.957046204446716,0.00011509440179999993,6.0,0.9986999999999995,14.902136922743765,7.185633969897111,15.837289986557332,6.457284952485612,15.012543508076572,6.36959610334234,7.282916527237711,14.426017683053896,7.167189188650623,5.88706002391592,15.818514221537942,13.290730039024169,15.503660421921984,14.893424247332963,7.72,7.089094830065356,15.85716590769535,0.77228,0.00752263,0.0016753330000000002,0.0023888969999999983,0.0012464338000000004,0.7784700000000001,0.5549199999999999,5.0,3.16,0.0005602686599999991
CV_0_obs_14,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3904.0,52.93,16618.73,CV,5.828273546346769,6.128602218512516,6.097453220686009,14.049489107014002,5.760450279159527,0.9994,-0.9994,-0.9994,14.626352527790782,14.719649306953995,14.146788665496683,0.0004766,1.0,3.915066425063284,2.5245729799999987e-05,0.10894000000000022,0.989,2.546e-05,6.1112620232237225,0.00010406058179999993,6.0,0.9987299999999995,14.315790880074923,7.1725064050193215,15.4466077075283,6.405381435849032,14.997683916143078,6.388412779362136,7.2511477972378815,14.419118143444871,7.170769956040635,6.004077542184895,15.786265138565218,13.083388154890654,15.475711893950312,14.896118582930534,7.73,7.090838168229513,15.852125405455267,0.7720299999999998,0.007686580000000001,0.0016251060000000003,0.002368315999999999,0.0013049728000000004,0.78534,0.5586099999999999,5.0,3.16,0.0005817171349999991
CV_0_obs_15,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3961.8,52.93,16618.73,CV,5.70421305974839,6.110698297493689,6.087777943467584,14.511308301683059,5.587707490676953,0.9994,-0.9994,-0.9994,14.401100112936117,14.701802132890185,14.157265981051731,0.0004766,1.0,4.037962313434988,2.5245729799999987e-05,0.11416000000000018,0.989,2.546e-05,5.986034271586842,9.854367179999993e-05,6.0,0.9987299999999995,14.75112115878763,7.146284955880971,15.71639105409222,6.384359417173015,14.983679732510133,6.37135383347211,7.266242367870872,14.424042695030643,7.18194246619237,5.8887374863409345,15.80387416937637,13.289205900069673,15.507256022034246,14.702020755840637,7.72,7.088933738857892,15.841275703439345,0.7782499999999999,0.007522519999999998,0.0016314420000000005,0.002366615999999999,0.0012216798000000003,0.7765100000000001,0.5527699999999999,5.0,3.16,0.0005602686599999991
CV_0_obs_16,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,4136.0,52.93,16618.73,CV,5.872247484167027,6.131767131577535,6.03343591590269,14.110530216030492,5.837734385701978,0.9994,-0.9994,-0.9994,14.703554205793603,14.722849386036204,14.17548367199279,0.0004766,1.0,4.1273193928480705,2.4977869799999988e-05,0.11333000000000018,0.989,2.546e-05,6.11708554387388,0.00011509440179999993,6.0,0.9987299999999995,14.387173101732474,7.106497085762296,15.375693154279407,6.409452218301816,14.997069917203019,6.221818643606914,7.275026046594325,14.449155371226967,7.174578410572158,6.131228981913205,15.820007573076856,13.320572103387882,15.44360067456151,14.986783710432704,7.73,7.078592612429695,15.852160723336308,0.7778299999999997,0.007608319999999997,0.0015808099999999998,0.0023593969999999988,0.0012393308000000003,0.8159100000000004,0.5634800000000001,5.0,3.16,0.0005111733599999994
CV_0_obs_17,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,4035.0,52.93,16618.73,CV,4.1434523551432525,5.604498875694374,5.387322081683498,13.184887341810187,4.154467882506425,0.9994,-0.9994,-0.9994,13.19037295810595,14.079250738724292,13.546834607474143,0.0004766,1.0,3.097398869333469,2.559052259999999e-05,0.17006000000000043,0.989,2.546e-05,4.2604276555499085,5.72401318e-05,6.0,0.9361499999999994,13.301812430133877,4.42101715729721,13.462432742847325,5.8326181129999926,14.361619123825285,5.596851283953088,6.667093439090008,13.767472985102545,6.179388966729409,4.271402756616569,15.282845139079663,13.013900374944871,14.425113151582785,13.30732930084363,7.73,4.4320330931768455,13.467882883751196,0.388,0.0202,0.01198,0.01484,0.002399,0.585,0.289,5.0,3.44,0.00032288523700000016
CV_0_obs_18,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3965.1,52.93,16618.73,CV,5.674689628288939,6.142426295852505,6.066310291042106,14.452225294612177,5.611543547299734,0.9994,-0.9994,-0.9994,14.317043073698791,14.733533104559758,14.152859382586593,0.0004766,1.0,4.1926679607088095,2.5245729799999987e-05,0.11333000000000018,0.989,2.546e-05,5.958695296342579,0.00010957749179999993,6.0,0.9987299999999995,14.718815981634188,7.135274463632718,15.70293837512818,6.413339341908411,15.013468047267104,6.324441993885863,7.273538989273082,14.421678842503939,7.1732623940553015,5.912573542963715,15.80442453366063,13.443938840990468,15.499550902322676,14.606424796730412,7.72,7.094132225793764,15.885389015767826,0.7722399999999999,0.007208579999999996,0.001628532,0.0023442959999999988,0.0011828280000000004,0.7764700000000002,0.5536399999999999,5.0,3.16,0.0005269472999999994
