,Name,Disc. Date,Mag.,R.A.,Dec.,num_obs,Type
0,Gaia19eqg,2019,15.38,19:15:22.08,-28:50:58.92,0,Candidate
1,Gaia19eql,2019,16.13,09:23:11.28,-16:32:31.56,0,Candidate
2,Gaia19eqt,2019,17.12,15:52:54,-58:18:48.6,0,Candidate
3,Gaia19era,2019,17.77,16:44:52.56,-58:36:07.92,0,Candidate
4,Gaia19erp,2019,13.95,09:44:31.68,+03:58:05.232,0,known_CV
5,Gaia19erz,2019,17.5,15:41:04.56,-63:46:20.64,0,Candidate
6,Gaia19esa,2019,14.55,21:39:37.68,-02:39:12.996,0,Candidate
7,Gaia19esm,2019,15.06,23:40:16.32,+51:49:32.88,0,Candidate
8,Gaia19etq,2019,15.76,09:43:25.92,+52:01:28.56,1,known_CV
9,Gaia19eux,2019,15.86,10:59:24.48,-62:42:27,0,Candidate
10,Gaia19ewe,2019,17.79,23:18:46.32,+04:44:15.828,0,Candidate
11,Gaia19ewl,2019,16.79,22:46:26.4,+28:37:22.8,0,Candidate
12,Gaia19ext,2019,14.49,21:09:25.44,+48:10:52.32,0,N
13,Gaia19eyq,2019,16.8,05:14:25.584,-52:53:51.72,0,known_CV
14,Gaia19ezq,2019,17.43,19:27:36.72,+40:12:27.36,0,Candidate
15,Gaia19fbi,2019,17.56,03:58:22.824,-30:59:07.08,0,known_CV
16,Gaia19fcc,2019,18.98,17:53:30.48,+20:38:07.08,0,known_CV
17,Gaia19fcg,2019,18.69,18:20:25.68,+20:26:35.16,0,known_CV
18,Gaia19fcr,2019,16.24,00:27:41.237,-24:39:46.8,0,Candidate
19,Gaia19fda,2019,17.45,22:11:15.84,-18:08:38.04,0,known_CV
20,Gaia19fgv,2019,16.49,19:02:03.12,-06:27:08.316,0,Candidate
21,Gaia19fig,2019,16.26,06:54:33.36,-28:38:47.4,0,Candidate
22,Gaia19fit,2019,16.2,19:27:04.08,+42:54:24.48,0,Candidate
23,Gaia19fiu,2019,14.78,19:33:06.24,+33:15:37.8,0,known_CV
24,Gaia19fjd,2019,18.55,07:52:39.6,+06:10:33.888,0,Candidate
25,Gaia19fji,2019,17.9,07:49:13.2,-39:19:27.84,0,Candidate
26,Gaia19fjj,2019,16.78,08:02:01.92,-74:43:25.32,0,Candidate
27,Gaia19fjs,2019,17.11,08:03:03.84,+25:16:26.76,0,known_CV
28,Gaia19fjt,2019,17.55,20:28:55.68,+47:56:20.4,0,Candidate
29,Gaia19fju,2019,15.64,20:21:30.24,+25:57:43.2,0,Candidate
30,Gaia19fkr,2019,17.47,08:51:18.96,-42:39:48.96,0,Candidate
31,Gaia19fks,2019,16.87,08:19:36,+19:15:39.96,0,known_CV
32,Gaia19fll,2019,14.87,09:10:17.52,-20:08:12.84,0,known_CV
33,Gaia19fly,2019,16.68,20:32:48.72,-29:55:22.8,0,known_CV
34,Gaia19fmu,2019,16.15,16:15:42.48,-71:46:48.36,0,Candidate
35,Gaia19fmz,2019,17.35,22:30:58.32,+21:01:46.92,0,known_CV
36,Gaia19fnc,2019,16.6,09:27:47.52,+31:58:06.24,0,Candidate
37,Gaia19fng,2019,15.24,20:29:15.84,-50:58:46.56,0,Candidate
38,Gaia19fnj,2019,17.31,14:11:48,-66:22:15.24,0,Candidate
39,Gaia19fnx,2019,16.1,09:23:04.56,+42:24:02.88,0,Candidate
40,Gaia19foi,2019,16.51,13:28:56.64,-56:17:24.72,0,Candidate
41,Gaia19foj,2019,15.38,00:11:07.2624,+30:32:35.88,0,known_CV
42,Gaia19fok,2019,17.98,10:31:00.48,+20:28:31.8,0,known_CV
43,Gaia19fom,2019,14.95,10:02:07.44,+33:51:00,0,known_CV
44,Gaia19fon,2019,11.43,13:31:19.44,-54:58:33.6,0,known_CV
45,Gaia19fpk,2019,15.92,12:29:37.92,-29:16:54.12,0,Candidate
46,Gaia19fsf,2019,14.22,14:33:08.88,-44:53:35.16,0,Candidate
47,Gaia19fsg,2019,14.87,23:04:41.76,-65:56:21.48,0,Candidate
48,Gaia19fss,2019,14.89,02:11:10.224,+17:16:24.24,0,Candidate
49,Gaia19fst,2019,16.79,18:14:26.88,-75:02:05.64,0,Candidate
50,iPTF16emh,2016,,00:43:57.77,+41:34:52.6,0,N
51,iPTF17aan,2017,,07:39:26.00,+13:55:09.7,0,Candidate_CV
52,KAIT_-16ai,2016,,00:40:03.13,+41:45:18.7,0,Candidate_Nova
53,LSQ15xi,2015,,12:48:08.40,-26:39:58.5,0,CataclyV
54,M31N_2015-12c,2015/12/29,,00:38:36.50,+39:39:53.6,0,N
55,M31N_2016-12e,2016,,00:41:31.52,+41:07:14.2,0,Candidate_Nova
56,M31N_2019-10i,2019,,00:42:40.62,+41:07:45.6,0,Candidate_Nova
57,M31N_2019-12b,2019,,00:42:20.53,+41:14:59.7,0,Candidate_Nova
58,M81N_2015-10c,2015,,09:55:18.57,+69:04:22.3,0,Candidate_Nova
59,M81N_2017-04c,2017,,09:56:08.39,+68:56:33.9,0,Candidate_Nova
60,MASTER_OT_J003944.84+403535.5,2018,,00:39:44.84,+40:35:35.5,0,Candidate_Nova
61,MASTER_OT_J013347.25+302653.3,2015/12/1,16.56,"01:33:47.27,1:33:47.25","+30:26:50.7,30:26:53.3",-1,Candidate_Nova
62,MASTER_OT_J175351.23-641739.9,2015/03/3,15.77,"17:53:51.23,17:53:51.7","-64:17:39.9,-64:17:39.5",-1,CataclyV
63,MASTER_OT_J205316.61-105633.1,2016/07/26,15.4,20:53:16.58,-10:56:32.6,0,Candidate
64,MASTER_OT_JJ000250.69+102403.3,2015/Nov/10,18.6,00:02:50.69,+10:24:03.3,0,DN
65,MASTER_OT_JJ000337.27-343323.9,2015/Oct/13,17.1,00:03:37.27,-34:33:23.9,0,DN
66,MASTER_OT_JJ001021.33+731516.5,2016/May/24,15.7,00:10:21.33,+73:15:16.5,0,DN
67,MASTER_OT_JJ002110.78-454159.1,2016/Oct/27,18.3,00:21:10.78,-45:41:59.1,0,DN
68,MASTER_OT_JJ002253.29+134041.0,2015/Jan/13,17.1,00:22:53.29,+13:40:41.0,0,Known_CV
69,MASTER_OT_JJ002521.98+545036.7,2015/Aug/31,15.5,00:25:21.98,+54:50:36.7,0,DN
70,MASTER_OT_JJ003026.72+475624.0,2015/Apr/22,17.1,00:30:26.72,+47:56:24.0,0,DN
71,MASTER_OT_JJ003831.10-640313.7,2016/Jan/26,12.7,00:38:31.10,-64:03:13.7,0,DN
72,MASTER_OT_JJ003836.48+393953.5,2016/Jan/04,17.4,00:38:36.48,+39:39:53.5,0,DN
73,MASTER_OT_JJ003944.84+403535.5,2018/Dec/17,18.4,00:39:44.84,+40:35:35.5,0,N
74,MASTER_OT_JJ004003.13+414518.7,2016/Jul/27,16.5,00:40:03.13,+41:45:18.7,0,N
75,MASTER_OT_JJ004011.55+404219.4,2015/Jul/24,19.4,00:40:11.55,+40:42:19.4,0,N
76,MASTER_OT_JJ004056.15+405819.1,2017/Apr/13,17.6,00:40:56.15,+40:58:19.1,0,N
77,MASTER_OT_JJ004127.19+410354.4,2017/Jun/21,18.3,00:41:27.19,+41:03:54.4,0,N
78,MASTER_OT_JJ004207.99+405501.1,2015/Jan/13,17.4,00:42:07.99,+40:55:01.1,4,N
79,MASTER_OT_JJ004514.13+420007.2,2016/Jan/28,16.6,00:45:14.13,+42:00:07.2,0,N
80,MASTER_OT_JJ004528.12+414117.6,2016/Apr/10,19.0,00:45:28.12,+41:41:17.6,0,N
81,MASTER_OT_JJ004559.36+415629.7,2019/Jan/15,17.1,00:45:59.36,+41:56:29.7,0,N
82,MASTER_OT_JJ005051.63+521106.6,2015/Jan/25,16.2,00:50:51.63,+52:11:06.6,0,Known_CV
83,MASTER_OT_JJ005058.67-020914.0,2015/Dec/13,19.2,00:50:58.67,-02:09:14.0,0,DN
84,MASTER_OT_JJ010433.60-015902.9,2016/Sep/22,18.0,01:04:33.60,-01:59:02.9,0,DN
85,MASTER_OT_JJ010603.18-744715.8,2016/Oct/14,10.9,01:06:03.18,-74:47:15.8,0,N
86,MASTER_OT_JJ010655.69+493834.9,2019/Mar/14,16.1,01:06:55.69,+49:38:34.9,0,DN
87,MASTER_OT_JJ010925.88+521021.3,2015/Oct/05,17.9,01:09:25.88,+52:10:21.3,0,DN
88,MASTER_OT_JJ011146.67-810821.2,2017/Jul/14,17.6,01:11:46.67,-81:08:21.2,0,DN
89,MASTER_OT_JJ011751.75-560158.6,2016/Jun/13,19.2,01:17:51.75,-56:01:58.6,0,DN
90,MASTER_OT_JJ012303.34-492007.7,2016/Jun/17,16.5,01:23:03.34,-49:20:07.7,0,DN
91,MASTER_OT_JJ012310.82-355413.3,2015/Jul/13,19.5,01:23:10.82,-35:54:13.3,0,DN
92,MASTER_OT_JJ012523.45+124151.5,2016/Sep/27,18.4,01:25:23.45,+12:41:51.5,0,DN
93,MASTER_OT_JJ012608.84-234636.5,2015/Jul/26,19.2,01:26:08.84,-23:46:36.5,0,DN
