,Name,Disc. Date,Mag.,R.A.,Dec.,num_obs,Type
0,ASASSN-19py,2019/06/23,15.4,19:20:55.73,-28:17:4.7,0,Candidate
1,ASASSN-19pz,2019/06/23,14.92,10:47:33.97,-42:27:28.2,0,Candidate
2,ASASSN-19qc,2019/06/23,15.18,9:59:5.6,-21:49:5.6,0,Candidate
3,ASASSN-19qd,2019/06/25,16.27,17:54:3.03,-42:7:52.6,0,Candidate
4,ASASSN-19qe,2019/06/26,16.28,20:9:30.7,-24:42:33.9,0,Candidate
5,ASASSN-19qf,2019/06/26,16.76,21:24:41.24,39:7:57.1,0,Candidate
6,ASASSN-19ql,2019/06/26,15.64,12:3:34.34,-64:12:33.9,0,Candidate
7,ASASSN-19qp,2019/06/27,15.21,18:12:45.87,-40:29:52.7,0,Candidate
8,ASASSN-19qq,2019/07/2,15.58,19:36:40.95,33:26:6,0,Candidate
9,ASASSN-19qs,2019/06/25,15.77,19:50:37.23,38:0:2.4,0,Candidate
10,ASASSN-19qy,2019/07/3,13.41,16:27:16.64,4:6:2.8,0,Candidate
11,ASASSN-19qz,2019/07/3,15.85,17:31:59.98,-42:19:0.6,0,Candidate
12,ASASSN-19ra,2019/07/3,13.32,19:17:13.45,-55:48:40.7,0,Candidate
13,ASASSN-19rb,2019/07/3,15.13,18:36:39.32,-34:31:4.9,0,Candidate
14,ASASSN-19rc,2017/03/1,13.97,15:56:2.08,-52:15:59.9,0,Candidate
15,ASASSN-19rd,2019/07/5,14.54,17:12:16.62,-8:49:14.1,0,Candidate
16,ASASSN-19rg,2019/07/8,13.13,13:25:58.19,-14:52:26,0,Candidate
17,ASASSN-19rh,2019/07/6,16.78,18:9:47.04,-14:19:42.3,0,Candidate
18,ASASSN-19ri,2019/07/5,16.77,17:0:53.74,-31:15:8.9,0,Candidate
19,ASASSN-19rj,2019/07/9,15.42,22:34:17.88,-56:41:7.7,0,Candidate
20,ASASSN-19rk,2019/07/10,,18:10:20.41,-45:58:26.1,0,Candidate
21,ASASSN-19rl,2019/07/10,15.75,19:58:41.03,43:7:28.2,0,Candidate
22,ASASSN-19rm,2019/07/10,16.42,18:24:4.37,-39:38:55.7,0,Candidate
23,ASASSN-19rp,2019/07/13,14.97,14:45:39.54,-72:30:25.3,0,Candidate
24,ASASSN-19rq,2019/07/15,15.09,18:6:33.17,12:43:52.4,0,Candidate
25,ASASSN-19rr,2019/07/17,13.52,13:45:8.82,-38:18:36.1,0,Candidate
26,ASASSN-19rs,2019/07/19,14.42,20:16:16.83,18:22:25.9,0,Candidate
27,ASASSN-19rt,2019/07/18,15.44,0:41:17.39,73:17:10.5,0,Candidate
28,ASASSN-19ru,2019/07/19,15.91,17:27:2.62,-50:0:33.9,0,Candidate
29,ASASSN-19ry,2019/07/6,16.25,19:43:8.74,-4:2:29.6,0,Candidate
30,ASASSN-19rz,2019/07/20,14.73,12:5:58.6,-68:32:37.9,0,Candidate
31,ASASSN-19sa,2019/07/20,13.82,11:22:53.07,-53:18:48.7,0,Candidate
32,ASASSN-19sd,2019/07/23,16.47,18:34:27.76,-26:54:4.1,0,Candidate
33,ASASSN-19sg,2019/07/24,15.46,19:34:30.42,2:1:10.4,0,Candidate
34,ASASSN-19sh,2019/07/24,15.48,17:58:7.53,-64:52:17.6,0,Candidate
35,ASASSN-19sk,2019/07/26,12.84,22:25:4.7,37:48:1.7,0,Candidate
36,ASASSN-19sn,2019/07/28,16.99,19:49:53.96,-10:49:9.9,0,Candidate
37,ASASSN-19so,2019/07/28,16.8,20:36:31.02,5:40:57.8,0,Candidate
38,ASASSN-19sp,2019/07/28,14.57,17:25:2.57,-52:32:24.1,0,Candidate
39,ASASSN-19sq,2019/07/28,16.28,18:55:29.25,-10:45:8.3,0,Candidate
40,ASASSN-19ss,2019/07/26,16.05,1:34:16.87,42:16:45.1,0,Candidate
41,ASASSN-19st,2019/07/27,16.71,21:22:46.3,-86:45:53.5,0,Candidate
42,ASASSN-19su,2019/07/28,16.99,20:37:40.41,-0:37:18.9,0,Candidate
43,ASASSN-19sw,2019/07/30,13.68,0:52:7.11,43:52:19.2,0,Candidate
44,ASASSN-19ta,2019/07/31,17.03,19:15:56.67,20:33:56.4,0,Candidate
45,ASASSN-19tb,2019/08/2,15.27,19:58:6.39,22:10:29.7,0,Candidate
46,ASASSN-19td,2019/08/2,16.83,13:23:6.71,-42:57:58.2,0,Candidate
47,ASASSN-19te,2019/08/5,15.4,19:50:6.82,29:23:45.3,0,Candidate
48,ASASSN-19tg,2019/08/3,16.91,19:50:40.84,-11:28:31.6,0,Candidate
