,Name,Disc. Date,Mag.,R.A.,Dec.,num_obs,Type
110,Gaia16bkw,2016,18.74,09:17:45.12,-19:06:08.28,0,Candidate
111,Gaia16bla,2016,17.06,09:21:50.4,-29:57:36.72,0,Candidate
112,Gaia16bld,2016,16.4,00:00:49.02,-77:18:57.96,0,known_CV
113,Gaia16ble,2016,16.52,21:26:24.24,+25:38:26.88,0,known_CV
114,Gaia16blf,2016,20.64,19:18:53.28,+79:32:16.44,0,Candidate
115,Gaia16blm,2016,18.02,22:02:27.36,+51:49:30.72,0,Candidate
116,Gaia16bln,2016,17.79,21:46:40.08,+09:21:18.828,0,Candidate
117,Gaia16blu,2016,17.72,22:28:33.36,+50:40:15.96,0,Candidate
118,Gaia16bmc,2016,18.92,22:24:45.84,+38:53:06.72,0,Candidate
119,Gaia16bmi,2016,16.59,11:56:06,-60:34:17.04,0,Candidate
120,Gaia16bmp,2016,17.45,11:28:05.28,-52:44:56.4,0,Candidate
121,Gaia16bms,2016,16.7,20:36:45.36,-30:15:49.32,0,Candidate
122,Gaia16bmx,2016,17.93,14:06:05.52,-67:19:42.6,0,Candidate
123,Gaia16bno,2016,17.62,21:01:40.32,+21:57:31.68,0,Candidate
124,Gaia16bnx,2016,18.3,19:42:29.52,-02:41:59.568,0,Candidate
125,Gaia16bny,2016,15.54,10:27:05.76,-43:43:41.52,0,known_CV
126,Gaia16boc,2016,18.93,18:10:36.48,-50:08:52.8,0,Candidate
127,Gaia16bof,2016,18.17,16:33:17.04,-59:50:37.32,0,Candidate
128,Gaia16bog,2016,18.57,07:19:46.08,+32:45:33.48,0,Candidate
129,Gaia16boh,2016,18.77,16:50:37.92,-58:41:29.4,0,Candidate
130,Gaia16boi,2016,16.5,12:38:51.6,-55:40:56.28,0,Candidate
131,Gaia16bok,2016,17.69,16:38:32.16,-59:41:25.8,0,Candidate
132,Gaia16bop,2016,18.78,20:19:57.6,+19:58:49.08,0,Candidate
133,Gaia16bos,2016,17.79,22:24:53.04,+53:30:01.44,0,Candidate
134,Gaia16bot,2016,18.81,03:18:37.848,+50:25:25.32,0,Candidate
135,Gaia16box,2016,18.42,19:05:01.68,+01:30:54.828,0,Candidate
136,Gaia16boy,2016,17.95,17:04:11.28,-30:09:24.12,0,Candidate
137,Gaia16boz,2016,18.82,08:01:49.92,-11:33:34.2,0,Candidate
138,Gaia16bpb,2016,17.62,12:08:00.24,-57:42:23.4,0,Candidate
139,Gaia16bpg,2016,18.33,10:26:35.76,-49:44:21.12,0,Candidate
140,Gaia16bpj,2016,18.04,17:49:12,-02:13:24.024,0,Candidate
141,Gaia16bpl,2016,16.04,07:08:56.4,-18:37:43.68,0,Candidate
142,Gaia16bqk,2016,17.06,16:54:32.16,-60:35:29.76,0,Candidate
143,Gaia16bqw,2016,18.39,09:47:13.44,-72:48:22.32,0,Candidate
144,Gaia16bqx,2016,18.71,14:52:31.68,-70:02:56.04,0,Candidate
145,Gaia16bqy,2016,18.47,13:34:03.6,-70:25:51.96,0,Candidate
146,Gaia16brb,2016,18.09,16:40:18,-40:14:50.64,0,Candidate
147,Gaia16brc,2016,18.66,14:41:19.68,-65:40:30.72,0,Candidate
148,Gaia16brl,2016,18.12,16:50:39.36,-53:57:35.64,0,Candidate
149,Gaia16brm,2016,18.91,16:53:42.96,-52:12:56.16,0,Candidate
150,Gaia16brn,2016,17.86,17:42:22.8,-51:58:06.24,0,Candidate
151,Gaia16brz,2016,18.91,18:05:33.84,-27:15:43.2,0,Candidate
152,Gaia16bsd,2016,18.61,17:46:24,-57:59:34.44,0,Candidate
153,Gaia16bsj,2016,18.52,05:49:55.632,+11:48:43.92,0,Candidate
154,Gaia16bsk,2016,18.26,06:07:56.28,+19:34:06.6,0,Candidate
155,Gaia16bss,2016,18.12,06:57:54.48,+24:38:19.32,0,Candidate
156,Gaia16bst,2016,18.23,06:43:39.6,+21:09:58.68,0,Candidate
157,Gaia16bsv,2016,17.54,17:55:02.16,-00:51:41.004,0,Candidate
158,Gaia16bsw,2016,17.75,18:54:02.4,-21:58:58.08,0,Candidate
159,Gaia16bti,2016,18.7,19:03:21.84,-13:15:48.24,0,Candidate
160,Gaia16btl,2016,17.76,18:51:59.52,-10:18:27,0,Candidate
161,Gaia16btp,2016,18.75,19:16:36,-12:08:40.92,0,Candidate
162,Gaia16btq,2016,18.39,18:58:12,-06:58:26.184,0,Candidate
163,Gaia16bvf,2016,18.48,19:25:17.52,+08:39:21.78,0,Candidate
164,Gaia16bwr,2016,17.63,10:31:50.88,-04:16:12.576,0,Candidate
165,Gaia16bww,2016,15.31,16:36:33.12,+39:33:12.96,0,Candidate
166,Gaia16bxb,2016,18.81,20:31:24,+25:27:13.68,0,Candidate
167,Gaia16bxc,2016,17.93,20:12:40.08,+25:10:26.4,0,Candidate
168,Gaia16bxk,2016,17.56,08:49:31.68,-23:02:38.4,0,Candidate
169,Gaia16byc,2016,18.57,19:49:09.84,+35:19:03,0,Candidate
170,Gaia16byw,2016,18.95,09:58:53.76,-47:43:02.28,0,Candidate
171,Gaia16byx,2016,17.36,10:05:39.6,-45:05:35.88,0,Candidate
172,Gaia16bzb,2016,18.32,17:52:11.76,+57:24:47.88,0,Candidate
173,Gaia16bzc,2016,17.91,22:24:52.08,+52:05:38.04,0,Candidate
174,Gaia16bzl,2016,13.84,06:47:18.96,-64:37:07.32,0,Candidate
175,Gaia16bzo,2016,17.53,23:33:21.6,+55:03:42.12,0,Candidate
176,Gaia16bzv,2016,18.55,10:47:14.16,-56:32:08.88,0,Candidate
177,Gaia16bzy,2016,17.86,00:46:25.872,+38:20:24,0,Candidate
178,Gaia16caf,2016,17.4,00:43:04.2,+53:17:16.08,0,Candidate
179,Gaia16cao,2016,18.26,12:52:26.4,-57:59:22.2,0,Candidate
180,Gaia16cap,2016,18.06,13:15:12.72,-57:37:32.16,0,Candidate
181,Gaia16cas,2016,18.62,00:55:13.536,+83:40:32.88,0,Candidate
182,Gaia16caw,2016,20.22,01:28:04.104,-17:47:13.92,0,Candidate
183,Gaia16cba,2016,17.69,01:39:26.736,+49:40:53.76,0,Candidate
184,Gaia16cbb,2016,18.81,01:37:58.944,+49:51:05.4,0,known_CV
185,Gaia16cbj,2016,18.09,02:03:37.944,+51:08:06.72,0,known_CV
186,Gaia16cbo,2016,19.31,13:08:43.92,-13:32:40.56,0,Candidate
187,Gaia16cbr,2016,18.83,14:18:09.12,-54:35:54.24,0,Candidate
188,Gaia16cbt,2016,18.21,23:10:35.76,-56:05:04.2,0,Candidate
189,Gaia16cdp,2016,16.82,15:03:00.96,-67:42:13.32,0,known_CV
190,Gaia16cds,2016,16.05,12:02:49.68,-54:22:46.92,0,known_CV
191,Gaia16cdu,2016,18.84,11:33:37.92,-42:14:54.24,0,known_CV
192,Gaia16cew,2016,18.47,22:06:41.04,+30:14:35.88,0,known_CV
193,Gaia16cfe,2016,17.72,09:47:37.68,-36:25:58.08,0,known_CV
194,Gaia16cfn,2016,15.11,09:27:37.2,-19:15:34.56,0,Candidate
195,Gaia16cfo,2016,18.57,08:47:06.96,-60:08:17.88,0,Candidate
196,Gaia16cft,2016,16.34,21:12:04.56,+36:35:29.4,0,Candidate
197,Gaia16cfx,2016,17.67,10:29:37.68,+41:40:46.2,0,known_CV
