obs_id,class,src_n,src_id,significance,photflux_aper_lolim_b,photflux_aper_lolim_m,photflux_aper_h,photflux_aper_lolim_s,photflux_aper_hilim_m,photflux_aper_m,photflux_aper_hilim_b,photflux_aper_hilim_h,photflux_aper_lolim_h,photflux_aper_s,photflux_aper_hilim_s,photflux_aper_b,photflux_aper_lolim,flux_aper,photflux_aper,flux_aper_b,flux_aper_hilim_m,flux_aper_hilim,flux_aper_lolim_s,flux_aper_lolim_m,flux_aper_s,flux_aper_hilim_h,flux_aper_hilim_b,flux_aper_hilim_s,flux_aper_m,flux_aper_lolim_h,flux_aper_lolim,photflux_aper_hilim,flux_aper_h,flux_aper_lolim_b,var_max,kp_prob,var_index,var_inter_index,var_mean,var_min,var_inter_sigma,var_inter_prob,var_sigma,var_prob,ks_prob,hard_hm_hilim,hard_hm_lolim,hard_hs_hilim,hard_hm,hard_ms_hilim,hard_ms_lolim,hard_ms,hard_hs,hard_hs_lolim
BH_OBS_71,BH,CXOU J100515.4-07425,BH0019,17.39,-6.412401270278756,-7.771599641296994,-6.648783654660658,-7.143512787131369,-6.760700520873108,-7.011887159731648,-6.021226215669878,-6.427012291801795,-7.1259822961378125,-6.707743928643524,-6.5036239459876,-6.174184555014796,-6.823850838873451,-15.257196341530836,-6.447015606108617,-14.905878404159438,-15.367542707815275,-15.0527820084026,-15.943857737940949,-16.388701637703573,-15.508078287413847,-14.876148359032914,-14.75300930075845,-15.303993284781455,-15.629116983222394,-15.721246399047173,-15.676055231853807,-6.250016469691431,-15.119072134732914,-15.161339774011056,0.00033999999999999997,0.26899999999999996,0.0,7.0,0.0002403,0.00023569999999999998,6.238000000000001e-07,0.951,1.312e-05,0.461,0.585,0.7876,0.0406,0.4966,0.4647,0.0581,-0.7189,-0.3635,0.1174,-0.3054
BH_OBS_73,BH,CXOU J100515.4-07425,BH0019,17.39,-5.716698771296451,-6.288867927693159,-6.5597207867644105,-6.258533238230245,-6.093180284533456,-6.177505014721249,-5.585026652029182,-6.410832609453952,-6.805208242278075,-6.135785669538669,-6.040195683491661,-5.645891560852599,-6.096996880591486,-14.766115891234115,-5.94099732392215,-14.409046764812016,-14.711303739409745,-14.662221375163815,-14.993106292052099,-14.906928693623936,-14.870310107800698,-14.80799040734633,-14.34447740374658,-14.774690718274135,-14.7956086680807,-15.28525123927494,-14.906466253301366,-5.829750022452362,-14.984221243610962,-14.485053994691993,0.00063162,0.4038000000000001,1.0,7.0,0.00032097800000000003,0.00030833,6.238000000000001e-07,0.951,3.36244e-05,0.5744,0.268,-0.2117,-0.589,-0.2555,-0.4047,0.1106,-0.20800000000000002,-0.0512,-0.4497,-0.6277
BH_OBS_78,BH,CXOU J100515.4-07425,BH0019,17.39,-6.787013815263332,-7.488517711373999,-6.886630892096931,-7.151872489432125,-7.003838706631992,-7.176199846250122,-6.47977856411804,-7.48372911727066,-7.228622680844957,-6.898596649444669,-6.73969005420508,-6.606775883638703,-7.273664076665701,-15.891908764418778,-7.0552706396967055,-15.581864501574767,-15.667359589612536,-15.619354680809073,-15.880414225038214,-16.167938385409276,-15.627087997029893,-15.89928491342692,-15.395881993807965,-15.475344287642224,-15.84345084866822,-15.738376221276587,-16.191883596045507,-6.62640764480106,-15.30254191171635,-15.914352711703145,0.00014040000000000002,0.6875,1.5,7.0,7.068e-05,6.0375e-05,6.238000000000001e-07,0.951,1.18335e-05,0.6655,0.7815,-0.3429,-1.0,-0.589,-0.9994,-0.0369,-0.604,-0.341,-0.9994,-1.0
BH_OBS_76,BH,CXOU J100515.4-07425,BH0019,17.39,-5.898252926053634,-6.5115903110968025,-6.688246138944246,-6.3663295939485565,-6.347753658996678,-6.4195312160489975,-5.793174123968151,-6.574955125448612,-6.85294232897164,-6.2718086014100525,-6.198184831418562,-5.8425432318657755,-6.368069444668085,-14.880697911638787,-6.291171343495232,-14.488250288655017,-14.947306058075032,-14.803867495404935,-15.119243555489788,-15.11322735694556,-15.024706084643796,-14.729321163855294,-14.438183335681044,-14.95116991347165,-15.022276394711154,-15.007402303897962,-14.969278870639537,-6.162929488897473,-14.842543231865776,-14.544698228342927,0.000341025,0.474,0.0,7.0,0.0002384025,0.000236095,6.238000000000001e-07,0.951,9.2795e-06,0.37625,0.7040000000000001,-0.1343,-0.4541,-0.2979,-0.2948,-0.0394,-0.2929,-0.1699,-0.4447,-0.5828
BH_OBS_74,BH,CXOU J100515.4-07425,BH0019,17.39,-6.6495581434649385,-8.118558278058607,-7.140261433802853,-6.945004138470859,-7.286089645871044,-7.516555351901465,-6.396530840266161,-6.95116991347165,-7.512720183556932,-6.764724123312948,-6.6378946807062285,-6.504872118757068,-7.083302914612172,-15.580834295769467,-6.702309506753442,-15.232473100591614,-15.878440155812497,-15.417686591843053,-15.736127323134776,-16.711080394338275,-15.551757587365561,-15.410050398674292,-15.117304737618403,-15.422623108082984,-16.10896458468469,-16.180127178049453,-15.847412034634646,-6.503554708126647,-15.643018599006867,-15.38955277855788,0.00012485,0.6659999999999999,0.0,7.0,8.6115e-05,8.539499999999999e-05,6.238000000000001e-07,0.951,3.1260000000000002e-06,0.47200000000000003,0.5569999999999999,0.7626,0.0893,-0.1205,0.4622,-0.4953,-0.8826,-0.7108,-0.3948,-0.644
BH_OBS_72,BH,CXOU J100515.4-07425,BH0019,17.39,-5.914709421769935,-6.539703673242523,-6.607830850510264,-6.5371529641683255,-6.218747405751544,-6.345823458122039,-5.699621935129298,-6.400226060853613,-7.020042106659335,-6.315334135974139,-6.169154807691388,-5.7939841232366565,-6.301483635944539,-14.887307880224451,-6.021591207376961,-14.522011023749108,-14.834755673874689,-14.745601788800812,-15.288699040083834,-15.155647103689107,-15.066867176273265,-14.742561433140187,-14.423773862550394,-14.920818753952375,-14.96177736163128,-15.460422116654689,-15.108752540451304,-5.858011220780215,-14.96738123914928,-14.65856547542186,0.0005012666666666666,0.3586666666666667,0.0,7.0,0.0003244,0.00031743333333333337,6.238000000000001e-07,0.951,2.0690000000000007e-05,0.4526666666666667,0.37833333333333335,0.0493,-0.5589999999999999,0.0056,-0.2523,0.2067,-0.3067,-0.0562,-0.3123,-0.6115
BH_OBS_79,BH,CXOU J100515.4-07425,BH0019,17.39,-5.8591778198906885,-6.609594843519919,-6.656197666838344,-6.199076818186783,-6.3931888530810355,-6.484656106911618,-5.7318902701915215,-6.522734004575148,-6.863913902615902,-6.1033635694704165,-6.028956208163972,-5.790753151246626,-6.314174097014848,-14.877017817745545,-6.150396341917553,-14.485585079419632,-15.010639186223752,-14.782416047966475,-14.913996294381619,-15.232473100591614,-14.818442226137213,-14.82390874094432,-14.424581208785641,-14.744004273277598,-15.107515820635312,-15.196406335228655,-14.981657400924174,-6.033576654056307,-14.971428747307463,-14.556737012541303,0.000461875,0.44,0.5,7.0,0.00027260000000000007,0.00025847,6.238000000000001e-07,0.951,2.5827e-05,0.485,0.34750000000000003,0.0244,-0.3879,-0.4179,-0.1811,-0.2879,-0.5403,-0.4197,-0.5646,-0.6977
BH_OBS_77,BH,CXOU J100515.4-07425,BH0019,17.39,-5.917933065714887,-6.668167955563751,-6.555174800490253,-6.322119418488409,-6.461426266193143,-6.552531869050244,-5.8016178699917065,-6.445147565627947,-6.702677285794697,-6.226432951073941,-6.151995728502731,-5.854182285508172,-6.283162276700477,-14.865771876978338,-6.130486667064363,-14.529295570277213,-15.082757142092536,-14.776270490635126,-15.056258234168684,-15.289628735739234,-14.959397659885926,-14.779368980551908,-14.475993554442628,-14.884389488325699,-15.173990022208901,-15.046578600318966,-14.983543318746538,-6.019351350792544,-14.892790030352133,-14.593971055036386,0.0003585,0.38425,0.75,7.0,0.0002342075,0.000218755,6.238000000000001e-07,0.951,2.146025e-05,0.509,0.399,0.1818,-0.1843,-0.2117,0.0037,-0.228,-0.4878,-0.3623,-0.3635,-0.5103
BH_OBS_80,BH,CXOU J100515.4-07425,BH0019,17.39,-5.865822892423234,-6.537751784645003,-6.685871336512424,-6.149782758201611,-6.277695213125672,-6.385524633909606,-5.700492701299512,-7.070376748484759,-6.913708306948137,-6.032031037121308,-5.939302159646387,-5.772884917410876,-6.326021198308232,-14.962469921233392,-6.217885852520928,-14.560036064079096,-14.898940645091884,-14.831119657586358,-14.885722703438413,-15.159141445958118,-14.76624263703449,-15.495121540589786,-14.486382926212125,-14.67264106561367,-15.00687251489429,-15.247619946823873,-15.071686097829744,-6.056125766130741,-14.971992090348914,-14.648783654660658,0.0005409,0.7086666666666668,0.0,7.0,0.00037293333333333336,0.00032353333333333336,6.238000000000001e-07,0.951,5.171000000000001e-05,0.454,0.7333333333333334,-0.6515,-1.0,-0.8326,-0.9994,-0.243,-0.5528,-0.4047,-0.9994,-1.0
BH_OBS_75,BH,CXOU J100515.4-07425,BH0019,17.39,-6.576426480267265,-7.758951849328357,-6.953504835665291,-7.059483515067433,-6.926281649653879,-7.156829535480102,-6.242831807785728,-6.7318902701915215,-7.430743166671389,-6.746661994673893,-6.566550206238404,-6.374070507283705,-7.089471641365375,-15.357674001225956,-6.556959302993192,-15.02342078135989,-15.545460015035179,-15.165668326274213,-15.772627557710367,-16.377993326993195,-15.459670525209127,-15.108797172739706,-14.8921119748172,-15.279675282582556,-15.775985188627136,-15.897223385116561,-15.722427455907393,-6.333687983763835,-15.344285450381289,-15.225848141045288,0.00022319999999999998,0.047,1.0,7.0,0.0001437,0.0001412,6.238000000000001e-07,0.951,8.248e-06,0.506,0.006,0.6552,-0.1468,0.1405,0.2848,-0.1205,-0.7639,-0.4735,-0.2299,-0.5778
