obs_id,class,src_n,src_id,significance,photflux_aper_hilim_h,photflux_aper_b,photflux_aper_hilim_b,photflux_aper_hilim_s,photflux_aper_hilim_m,photflux_aper_m,photflux_aper_lolim_h,photflux_aper_s,photflux_aper_h,photflux_aper_lolim_s,photflux_aper_lolim_b,photflux_aper_lolim_m,flux_aper_h,flux_aper_b,flux_aper,flux_aper_lolim_h,flux_aper_hilim_m,photflux_aper_lolim,flux_aper_hilim_s,flux_aper_s,flux_aper_lolim_s,photflux_aper_hilim,flux_aper_lolim,photflux_aper,flux_aper_m,flux_aper_lolim_b,flux_aper_hilim_h,flux_aper_lolim_m,flux_aper_hilim_b,flux_aper_hilim,var_inter_index,var_prob,var_min,var_mean,var_inter_sigma,var_max,var_sigma,var_inter_prob,kp_prob,var_index,ks_prob,hard_ms_hilim,hard_hm_lolim,hard_hs_hilim,hard_ms_lolim,hard_hm_hilim,hard_hs_lolim,hard_hm,hard_hs,hard_ms
BH_OBS_77,BH,CXOU J100515.4-07425,BH0019,17.39,-6.445147565627947,-5.854182285508172,-5.8016178699917065,-6.151995728502731,-6.461426266193143,-6.552531869050244,-6.702677285794697,-6.226432951073941,-6.555174800490253,-6.322119418488409,-5.917933065714887,-6.668167955563751,-14.892790030352133,-14.529295570277213,-14.865771876978338,-15.046578600318966,-15.082757142092536,-6.283162276700477,-14.884389488325699,-14.959397659885926,-15.056258234168684,-6.019351350792544,-14.983543318746538,-6.130486667064363,-15.173990022208901,-14.593971055036386,-14.779368980551908,-15.289628735739234,-14.475993554442628,-14.776270490635126,7.0,0.509,0.000218755,0.0002342075,6.238000000000001e-07,0.0003585,2.146025e-05,0.951,0.38425,0.75,0.399,-0.228,-0.1843,-0.2117,-0.4878,0.1818,-0.5103,0.0037,-0.3635,-0.3623
BH_OBS_79,BH,CXOU J100515.4-07425,BH0019,17.39,-6.522734004575148,-5.790753151246626,-5.7318902701915215,-6.028956208163972,-6.3931888530810355,-6.484656106911618,-6.863913902615902,-6.1033635694704165,-6.656197666838344,-6.199076818186783,-5.8591778198906885,-6.609594843519919,-14.971428747307463,-14.485585079419632,-14.877017817745545,-15.196406335228655,-15.010639186223752,-6.314174097014848,-14.744004273277598,-14.818442226137213,-14.913996294381619,-6.033576654056307,-14.981657400924174,-6.150396341917553,-15.107515820635312,-14.556737012541303,-14.82390874094432,-15.232473100591614,-14.424581208785641,-14.782416047966475,7.0,0.485,0.00025847,0.00027260000000000007,6.238000000000001e-07,0.000461875,2.5827e-05,0.951,0.44,0.5,0.34750000000000003,-0.2879,-0.3879,-0.4179,-0.5403,0.0244,-0.6977,-0.1811,-0.5646,-0.4197
BH_OBS_78,BH,CXOU J100515.4-07425,BH0019,17.39,-7.48372911727066,-6.606775883638703,-6.47977856411804,-6.73969005420508,-7.003838706631992,-7.176199846250122,-7.200864422683568,-6.898596649444669,-6.876572768079306,-7.151872489432125,-6.787013815263332,-7.488517711373999,-15.273280972783164,-15.581864501574767,-15.891908764418778,-15.697273637250026,-15.667359589612536,-7.273664076665701,-15.475344287642224,-15.627087997029893,-15.880414225038214,-6.62640764480106,-16.191883596045507,-7.0552706396967055,-15.84345084866822,-15.914352711703145,-15.89928491342692,-16.167938385409276,-15.395881993807965,-15.619354680809073,7.0,0.6655,6.0375e-05,7.068e-05,6.238000000000001e-07,0.00014040000000000002,1.18335e-05,0.951,0.6875,1.5,0.7815,-0.0369,-1.0,-0.589,-0.604,-0.3429,-1.0,-0.9994,-0.9994,-0.341
BH_OBS_76,BH,CXOU J100515.4-07425,BH0019,17.39,-6.574955125448612,-5.8425432318657755,-5.793174123968151,-6.198184831418562,-6.347753658996678,-6.4195312160489975,-6.85294232897164,-6.2718086014100525,-6.688246138944246,-6.3663295939485565,-5.898252926053634,-6.5115903110968025,-14.842543231865776,-14.488250288655017,-14.880697911638787,-15.007402303897962,-14.947306058075032,-6.368069444668085,-14.95116991347165,-15.024706084643796,-15.119243555489788,-6.162929488897473,-14.969278870639537,-6.291171343495232,-15.022276394711154,-14.544698228342927,-14.729321163855294,-15.11322735694556,-14.438183335681044,-14.803867495404935,7.0,0.37625,0.000236095,0.0002384025,6.238000000000001e-07,0.000341025,9.2795e-06,0.951,0.474,0.0,0.7040000000000001,-0.0394,-0.4541,-0.2979,-0.2929,-0.1343,-0.5828,-0.2948,-0.4447,-0.1699
BH_OBS_75,BH,CXOU J100515.4-07425,BH0019,17.39,-6.7318902701915215,-6.374070507283705,-6.242831807785728,-6.566550206238404,-6.926281649653879,-7.156829535480102,-7.430743166671389,-6.746661994673893,-6.953504835665291,-7.059483515067433,-6.576426480267265,-7.758951849328357,-15.344285450381289,-15.02342078135989,-15.357674001225956,-15.897223385116561,-15.545460015035179,-7.089471641365375,-15.279675282582556,-15.459670525209127,-15.772627557710367,-6.333687983763835,-15.722427455907393,-6.556959302993192,-15.775985188627136,-15.225848141045288,-15.108797172739706,-16.377993326993195,-14.8921119748172,-15.165668326274213,7.0,0.506,0.0001412,0.0001437,6.238000000000001e-07,0.00022319999999999998,8.248e-06,0.951,0.047,1.0,0.006,-0.1205,-0.1468,0.1405,-0.7639,0.6552,-0.5778,0.2848,-0.2299,-0.4735
BH_OBS_71,BH,CXOU J100515.4-07425,BH0019,17.39,-6.427012291801795,-6.174184555014796,-6.021226215669878,-6.5036239459876,-6.760700520873108,-7.011887159731648,-7.1259822961378125,-6.707743928643524,-6.648783654660658,-7.143512787131369,-6.412401270278756,-7.771599641296994,-15.119072134732914,-14.905878404159438,-15.257196341530836,-15.721246399047173,-15.367542707815275,-6.823850838873451,-15.303993284781455,-15.508078287413847,-15.943857737940949,-6.250016469691431,-15.676055231853807,-6.447015606108617,-15.629116983222394,-15.161339774011056,-14.876148359032914,-16.388701637703573,-14.75300930075845,-15.0527820084026,7.0,0.461,0.00023569999999999998,0.0002403,6.238000000000001e-07,0.00033999999999999997,1.312e-05,0.951,0.26899999999999996,0.0,0.585,0.0581,0.0406,0.4966,-0.7189,0.7876,-0.3054,0.4647,0.1174,-0.3635
BH_OBS_74,BH,CXOU J100515.4-07425,BH0019,17.39,-6.95116991347165,-6.504872118757068,-6.396530840266161,-6.6378946807062285,-7.286089645871044,-7.516555351901465,-7.512720183556932,-6.764724123312948,-7.140261433802853,-6.945004138470859,-6.6495581434649385,-8.118558278058607,-15.643018599006867,-15.232473100591614,-15.580834295769467,-16.180127178049453,-15.878440155812497,-7.083302914612172,-15.422623108082984,-15.551757587365561,-15.736127323134776,-6.503554708126647,-15.847412034634646,-6.702309506753442,-16.10896458468469,-15.38955277855788,-15.410050398674292,-16.711080394338275,-15.117304737618403,-15.417686591843053,7.0,0.47200000000000003,8.539499999999999e-05,8.6115e-05,6.238000000000001e-07,0.00012485,3.1260000000000002e-06,0.951,0.6659999999999999,0.0,0.5569999999999999,-0.4953,0.0893,-0.1205,-0.8826,0.7626,-0.644,0.4622,-0.3948,-0.7108
BH_OBS_72,BH,CXOU J100515.4-07425,BH0019,17.39,-6.400226060853613,-5.7939841232366565,-5.699621935129298,-6.169154807691388,-6.218747405751544,-6.345823458122039,-7.020042106659335,-6.315334135974139,-6.607830850510264,-6.5371529641683255,-5.914709421769935,-6.539703673242523,-14.96738123914928,-14.522011023749108,-14.887307880224451,-15.460422116654689,-14.834755673874689,-6.301483635944539,-14.920818753952375,-15.066867176273265,-15.288699040083834,-5.858011220780215,-15.108752540451304,-6.021591207376961,-14.96177736163128,-14.65856547542186,-14.742561433140187,-15.155647103689107,-14.423773862550394,-14.745601788800812,7.0,0.4526666666666667,0.00031743333333333337,0.0003244,6.238000000000001e-07,0.0005012666666666666,2.0690000000000007e-05,0.951,0.3586666666666667,0.0,0.37833333333333335,0.2067,-0.5589999999999999,0.0056,-0.3067,0.0493,-0.6115,-0.2523,-0.3123,-0.0562
BH_OBS_81,BH,CXOU J100515.4-07425,BH0019,17.39,-6.432150549426893,-5.7281583934635005,-5.643782865780264,-6.137570443893992,-6.0953926361845525,-6.1973630819171905,-7.002089632653258,-6.275888046038787,-6.62967199222049,-6.480040819247932,-5.832682665251824,-6.3308691526266685,-14.945004138470859,-14.447940465812115,-14.842374019942598,-15.317313521750233,-14.682772650823582,-6.324694692118182,-14.923359556329654,-15.061580354206807,-15.265680319140992,-5.980966836069001,-15.00638744206111,-6.184528514089255,-14.790484985457368,-14.562566556202027,-14.747389659432626,-14.933674074637961,-14.362510270487487,-14.699504515340458,7.0,0.4283333333333333,0.00037656666666666653,0.00038396666666666666,6.238000000000001e-07,0.0006064999999999999,2.356233333333333e-05,0.951,0.16466666666666666,0.0,0.279,0.2942,-0.6652,-0.0981,-0.1455,-0.193,-0.6427,-0.4372,-0.3848,0.07
BH_OBS_80,BH,CXOU J100515.4-07425,BH0019,17.39,-7.070376748484759,-5.772884917410876,-5.700492701299512,-5.939302159646387,-6.277695213125672,-6.385524633909606,-6.904783241934413,-6.032031037121308,-6.683152535058376,-6.149782758201611,-5.865822892423234,-6.537751784645003,-14.973576249591472,-14.560036064079096,-14.962469921233392,-15.253095581864102,-14.898940645091884,-6.326021198308232,-14.67264106561367,-14.76624263703449,-14.885722703438413,-6.056125766130741,-15.071686097829744,-6.217885852520928,-15.00687251489429,-14.648783654660658,-15.495121540589786,-15.159141445958118,-14.486382926212125,-14.831119657586358,7.0,0.454,0.00032353333333333336,0.00037293333333333336,6.238000000000001e-07,0.0005409,5.171000000000001e-05,0.951,0.7086666666666668,0.0,0.7333333333333334,-0.243,-1.0,-0.8326,-0.5528,-0.6515,-1.0,-0.9994,-0.9994,-0.4047
