obs_id,src_id,num_obs,sepn,name,ra,dec,livetime,significance,likelihood,class,photflux_aper_b,photflux_aper_m,photflux_aper_h,photflux_aper_s,hard_hm,flux_aper_b,hard_hs,hard_ms,flux_aper_s,flux_aper_m,flux_aper_h,photflux_aper_u,var_inter_prob_b,var_inter_index_b,var_inter_sigma_b,var_inter_index_s,var_inter_prob_s,var_inter_sigma_s,var_inter_sigma_m,var_inter_index_m,var_inter_prob_m,var_inter_index_h,var_inter_prob_h,var_inter_sigma_h,flux_aper_u,var_max_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b
CV_0_obs_13,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,3968.3,52.93,16618.73,CV,,,,5.88706002391592,0.9981,,-0.9994,-0.9994,,,,,1.0,6.0,0.0004766,5.0,0.989,2.546e-05,,,,,,,,,,,,,,
CV_0_obs_14,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,3904.0,52.93,16618.73,CV,,,,,0.9994,,-0.9994,-0.9994,,,,,1.0,6.0,0.0004766,5.0,0.989,2.546e-05,,,,,,,,,,,,,,
CV_0_obs_15,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,3961.8,52.93,16618.73,CV,,,,5.8887374863409345,0.9994,,-0.9994,-0.9994,14.702020755840637,,,,1.0,6.0,0.0004766,5.0,0.989,2.546e-05,,,,,,,,,,,,,,
CV_0_obs_16,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,4136.0,52.93,16618.73,CV,,,,,0.9994,,-0.9994,-0.9994,,,,,1.0,6.0,0.0004766,5.0,0.989,2.546e-05,,,,,,,,,,,,,,
CV_0_obs_17,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,4035.0,52.93,16618.73,CV,4.2604276555499085,,,4.271402756616569,0.9994,13.301812430133877,-0.9994,-0.9994,13.30732930084363,,,3.307064997468862,1.0,6.0,0.0004766,5.0,0.989,2.546e-05,,,,,,,13.223589411192657,0.0202,0.289,0.585,0.388,0.002399,0.01484,0.01198
CV_0_obs_18,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,3965.1,52.93,16618.73,CV,,,,5.912573542963715,0.9994,,-0.9994,-0.9994,14.606424796730412,,,,1.0,6.0,0.0004766,5.0,0.989,2.546e-05,,,,,,,,,,,,,,
CV_0_obs_19,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,3964.8,52.93,16618.73,CV,,,,,0.9994,,-0.9994,-0.9994,,,,,1.0,6.0,0.0004766,5.0,0.989,2.546e-05,,,,,,,,,,,,,,
CV_0_obs_20,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,3961.8,52.93,16618.73,CV,,,,,0.9994,,-0.9994,-0.9994,,,,,1.0,6.0,0.0004766,5.0,0.989,2.546e-05,,,,,,,,,,,,,,
CV_0_obs_21,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,4139.6,52.93,16618.73,CV,,,5.808269606637143,,0.9994,13.617802789622546,0.6596,-0.9994,,,13.54867419151048,,1.0,6.0,0.0004766,5.0,0.989,2.546e-05,,,,,,,,,,,,,,
CV_0_obs_22,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,3964.7,52.93,16618.73,CV,,6.119472221801195,,,-0.9994,,-0.9994,-0.1811,,14.500587874327724,,,1.0,6.0,0.0004766,5.0,0.989,2.546e-05,,,,,,,,,,,,,,
CV_0_obs_23,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,3962.4,52.93,16618.73,CV,,,,,0.9994,,-0.9994,-0.9994,,,,,1.0,6.0,0.0004766,5.0,0.989,2.546e-05,,,,,,,,,,,,,,
CV_0_obs_24,CV_0,25,0.1579536, 2CXO J004247.1+411619,10.696539999999999,41.27215,4102.3,52.93,16618.73,CV,,,,,-0.9994,,-0.9994,-0.5209,,,,,1.0,6.0,0.0004766,5.0,0.989,2.546e-05,,,,,,,,,,,,,,
CV_1_obs_0,CV_1,12,0.2590943, 2CXO J002405.6-720449,6.023632,-72.08036,31673.8,20.78,1834.511,CV,5.354577730650908,6.131355561605174,6.188626102946107,5.739213331345024,-0.0425,13.945004138470859,-0.4872,-0.446,14.411056357259985,14.743041847439068,14.237771715713526,5.3447651970755645,0.992,6.0,1.968e-06,5.0,0.922,9.067e-07,1.141e-06,0.0,0.036000000000000004,5.0,0.7040000000000001,5.397e-07,14.580685425770541,0.001512,0.244,0.245,0.043,5.449e-05,0.001091,0.001069
