index,class,src_id,src_name,livetime,significance,likelihood,gti_obs,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,hard_hm,hard_hs,hard_ms,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,flux_bb_hilim,flux_bb_lolim,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_stat,hard_hm_hilim,hard_hm_lolim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,flux_powlaw_hilim,flux_powlaw_lolim,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl_hilim,powlaw_ampl_lolim,bb_ampl_lolim,bb_ampl_hilim,flux_brems_lolim,flux_brems_hilim,brems_kt_hilim,brems_kt_lolim,brems_nh_hilim,brems_nh_lolim,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim
43,NS,NS0029,2XMM J010337.4-720133,7658.6,54.89,18916.44,2003-08-10T11:35:32,0.00014367539999999998,0.8,6.4,0.004376333333333334,0.0036983333333333334,0.003825666666666667,0.00015966666666666665,0.5176666666666666,0.5113333333333333,0.233,0.0,13.194412155727738,13.385501421510995,13.292964931731472,1.3659e-05,6.336e-06,7.98704e-06,0.5284,0.9032,0.7108,,,,,,,,,,,,,,,,,0.6515,0.3904,0.98,0.8051,0.9101,0.4578,,,,,,,,,,,,,,,,,,,,
44,NS,NS0029,2XMM J010337.4-720133,7639.6,54.89,18916.44,2003-02-02T16:58:43,0.00014367539999999998,0.8,6.4,0.00339075,0.0021871,0.00251825,0.00030429999999999997,0.677,0.6535,0.39625,0.25,13.33552914385642,13.577482384434921,13.454806730626855,1.59894e-05,6.4516e-06,8.6498e-06,0.5397,0.1312,-0.446,,,,,,,,,,,,,,,,,0.6989,0.3554,0.3379,-0.0768,-0.218,-0.6415,,,,,,,,,,,,,,,,,,,,
45,NS,NS0029,2XMM J010337.4-720133,7675.4,54.89,18916.44,2008-02-05T04:17:42,0.00014367539999999998,0.8,6.4,0.05831649999999999,0.02242625,0.0414135,0.011211849999999999,0.5740000000000001,0.649,0.5775,4.0,12.136661672132352,12.237138456079872,12.213948838770392,0.00014308000000000002,0.000116544,0.00012352,0.6084,0.6821,0.1249,11.868381335650874,0.514,19.71,7.609e-05,1.305,11.894830572000668,11.873868592738015,11.922632094715844,1.505,1.871e-06,3.469e-05,1.377,11.913284336055117,100.0,86.72,1.948,0.6415,0.574,0.7227,0.6402,0.2105,0.0406,11.845271792559844,11.890759031411797,0.645,0.388,30.75,10.47,9.148e-05,6.38e-05,2.986e-05,4.013e-05,11.940436582098732,11.88941028970075,,77.02,99.43,75.13,1.596,1.423,1.937,
46,NS,NS0029,2XMM J010337.4-720133,7652.2,54.89,18916.44,2003-08-09T06:33:00,0.00014367539999999998,0.8,6.4,0.004037666666666667,0.002635666666666667,0.0028483333333333334,0.00028596,0.105,0.055333333333333325,0.3426666666666667,0.0,11.91786282210632,12.683397345911496,12.150047474607078,3.2372599999999996e-05,7.719400000000001e-06,2.03642e-05,0.5084,0.3685,-0.2061,,,,,,,,,,,,,,,,,0.6752,0.3217,0.6002,0.1268,0.1205,-0.4803,,,,,,,,,,,,,,,,,,,,
47,NS,NS0029,2XMM J010337.4-720133,7633.3,54.89,18916.44,2003-02-02T12:15:57,0.00014367539999999998,0.8,6.4,0.006241666666666667,0.004268,0.004548333333333334,0.00035296666666666666,0.3846666666666667,0.4473333333333333,0.28633333333333333,0.0,11.870258884692046,12.670132075876227,12.107358308281176,3.46732e-05,1.1452999999999999e-05,2.3321000000000003e-05,0.4859,0.4884,-0.0187,,,,,,,,,,,,,,,,,0.6165,0.3429,0.6615,0.3067,0.2467,-0.2617,,,,,,,,,,,,,,,,,,,,
48,NS,NS0029,2XMM J010337.4-720133,7939.4,54.89,18916.44,2008-02-04T23:29:35,0.00014367539999999998,0.8,6.4,0.05746425,0.044965750000000006,0.04998925,0.0048434425,0.68525,0.6675,0.45225000000000004,2.75,11.901645669535583,12.079894421682956,11.98153251872894,0.00021814400000000003,0.000153894,0.00018703,0.5734,0.6271,0.0812,11.736837535037782,0.555,14.55,0.0001071,0.794,11.773400094792642,11.750557038557417,11.79344395590097,1.402,1.078e-06,5.696e-05,0.911,11.788345599446817,100.0,72.81,1.405,0.6052,0.5415,0.669,0.5853,0.158,0.0056,11.718058066559175,11.758453519403451,0.671,0.444,23.93,6.541,0.0001257,9.168e-05,5e-05,6.469e-05,11.811915626285062,11.769295686387432,,81.53,83.26,63.27,1.473,1.336,1.313,
49,NS,NS0029,2XMM J010337.4-720133,7557.4,54.89,18916.44,2002-06-22T09:00:23,0.00014367539999999998,0.8,6.4,0.0060275,0.005124999999999999,0.0052715,0.00016972,0.6605,0.7215,0.132,0.0,13.094146936794296,13.310385732333103,13.213470039340192,1.61594e-05,6.64714e-06,1.129526e-05,0.9219,0.9994,-0.2898,,,,,,,,,,,,,,,,,0.9725,0.8576,1.0,0.8451,0.4478,-0.659,,,,,,,,,,,,,,,,,,,,
50,NS,NS0029,2XMM J010337.4-720133,7453.0,54.89,18916.44,2003-12-24T23:27:55,0.00014367539999999998,0.8,6.4,0.0084485,0.00733825,0.00761625,0.00026625,0.56925,0.27775,0.198,0.0,13.012693114964765,13.134308673564568,13.070428842433488,1.92318e-05,1.3904e-05,1.62136e-05,0.4622,0.6184,0.2161,,,,,,,,,,,,,,,,,0.554,0.3616,0.7127,0.5166,0.3766,0.0556,,,,,,,,,,,,,,,,,,,,
51,NS,NS0029,2XMM J010337.4-720133,8371.9,54.89,18916.44,2000-04-30T08:38:20,0.00014367539999999998,0.8,6.4,0.011984749999999999,0.00936825,0.009825,0.0005443,0.675,0.69575,0.3125,0.0,12.884533944382289,12.986859296860402,12.93377846697311,3.5074400000000004e-05,2.6138999999999995e-05,2.9708e-05,0.5334,0.5222,-0.0212,12.55720677406023,0.73,11.69,2.066e-05,0.639,12.588885581449095,12.535808629359,12.65033401590337,1.264,6.216e-07,1.262e-05,0.804,12.604324214730063,100.0,39.72,1.254,0.6065,0.4541,0.6115,0.4279,0.1243,-0.1605,12.506960411682348,12.611366030648211,0.969,0.504,27.79,,2.825e-05,1.518e-05,9.663e-06,1.629e-05,12.66354026615147,12.56177419239547,,47.73,54.96,28.02,1.392,1.152,3.605,
52,NS,NS0029,2XMM J010337.4-720133,7633.3,54.89,18916.44,2003-02-02T14:37:20,0.00014367539999999998,0.8,6.4,0.004081875,0.0034418249999999995,0.0037274250000000004,0.00021611500000000001,0.5485,0.6355000000000001,0.34325,0.5,13.230417392743364,13.39920129241622,13.309074209570275,2.1934399999999998e-05,8.7446e-06,1.55014e-05,0.5372,0.7008,0.2361,,,,,,,,,,,,,,,,,0.654,0.4091,0.8314,0.5515,0.5066,-0.0306,,,,,,,,,,,,,,,,,,,,
53,NS,NS0029,2XMM J010337.4-720133,7672.1,54.89,18916.44,2008-02-05T01:55:56,0.00014367539999999998,0.8,6.4,0.04149749999999999,0.039204750000000003,0.039782750000000006,0.000566775,0.75525,0.63725,0.173,0.0,12.1945236098256,12.264304512454464,12.22763868038436,0.000148546,0.00011489200000000001,0.00013216600000000002,0.5684,0.6421,0.1137,11.888401475119606,0.675,25.82,9.218e-05,1.045,11.920818753952375,11.899629454882437,11.954285941059132,1.383,1.774e-06,4.242e-05,1.238,11.928486194904911,100.0,70.35,1.468,0.604,0.5303,0.6877,0.594,0.2005,0.0269,11.865185629679539,11.913640169325252,0.816,0.541,37.25,16.14,0.0001117,7.657e-05,3.974e-05,4.923e-05,11.955852379121277,11.90239567112559,,74.32,81.14,60.71,1.466,1.308,2.277,
54,NS,NS0029,2XMM J010337.4-720133,7633.3,54.89,18916.44,2003-02-02T05:11:48,0.00014367539999999998,0.8,6.4,0.0059830000000000005,0.00390775,0.0046515,0.0005509849999999999,0.6825000000000001,0.5717500000000001,0.3554999999999999,0.25,13.082333825959774,13.232643736552777,13.157570505642154,1.8270599999999997e-05,1.0662599999999999e-05,1.28476e-05,0.5896,0.5459,-0.08,,,,,,,,,,,,,,,,,0.6877,0.4828,0.6727,0.4104,0.1393,-0.2854,,,,,,,,,,,,,,,,,,,,
55,NS,NS0029,2XMM J010337.4-720133,7652.2,54.89,18916.44,2003-08-10T09:13:46,0.00014367539999999998,0.8,6.4,0.005008333333333333,0.0028113333333333337,0.0031376666666666666,0.00043226666666666664,0.4653333333333333,0.3703333333333334,0.4696666666666667,0.6666666666666666,12.683724706472848,13.569693984438635,12.923317330251848,1.8515999999999997e-05,5.7507199999999996e-06,1.22646e-05,0.5272,0.7046,0.2498,,,,,,,,,,,,,,,,,0.6652,0.3704,0.8538,0.5265,0.559,-0.0568,,,,,,,,,,,,,,,,,,,,
56,NS,NS0029,2XMM J010337.4-720133,7633.3,54.89,18916.44,2003-02-02T09:54:34,0.00014367539999999998,0.8,6.4,0.00398175,0.0034571999999999997,0.00355625,0.00012787750000000002,0.46075,0.37200000000000005,0.26275000000000004,0.0,13.259662579283438,13.4426203381914,13.35214973011571,1.6089e-05,8.307799999999999e-06,1.0381e-05,0.6284,0.5334,-0.1636,,,,,,,,,,,,,,,,,0.7352,0.5091,0.679,0.3766,0.0893,-0.3916,,,,,,,,,,,,,,,,,,,,
57,NS,NS0029,2XMM J010337.4-720133,7162.4,54.89,18916.44,2005-01-12T10:02:33,0.00014367539999999998,0.8,6.4,0.014744499999999999,0.013375250000000002,0.013891,0.0004337325,0.765,0.6607500000000001,0.20625,0.0,12.650504894014848,12.745031607485855,12.699074247521358,5.1548e-05,3.6694e-05,4.1160000000000006e-05,0.6046,0.6009,-0.0137,12.35585694949008,0.443,7.453,2.222e-05,0.914,12.399027104313252,12.356251314540474,12.456428576037634,1.447,6.439e-06,1.277e-05,1.09,12.423198104171087,100.0,70.49,2.042,0.6665,0.539,0.6802,0.5166,0.1343,-0.1555,12.312827895405201,12.400116927926312,0.673,0.244,25.33,,3.047e-05,1.702e-05,9.696e-06,1.648e-05,12.497163361378997,12.372839047625224,,56.94,98.5,49.93,1.609,1.312,4.684,
58,NS,NS0029,2XMM J010337.4-720133,7418.5,54.89,18916.44,2001-06-05T09:09:47,0.00014367539999999998,0.8,6.4,0.067305,0.05794525000000001,0.06041575,0.002528575,0.8837499999999999,0.9490000000000001,0.44425000000000003,1.75,12.025685189063717,12.065150215370535,12.044751094331406,0.00016894799999999998,0.00015115200000000002,0.000158886,0.5671,0.7433,0.3061,11.694218848745018,0.521,25.23,0.0001159,0.908,11.725149679983335,11.705754283861882,11.749336080536757,1.544,1.141e-06,4.717e-05,1.27,11.753501419204198,100.0,77.69,1.523,0.5953,0.5365,0.7739,0.7139,0.3729,0.2392,11.674279141980588,11.712422190921295,0.639,0.406,34.23,17.2,0.0001364,9.879e-05,4.555e-05,5.37e-05,11.773915884024175,11.735890843694191,,85.1,85.84,70.23,1.629,1.467,1.413,
59,NS,NS0029,2XMM J010337.4-720133,7592.2,54.89,18916.44,2000-07-03T15:45:16,0.00014367539999999998,0.8,6.4,0.04728,0.04357,0.04539000000000001,0.001445755,0.8747499999999999,0.868,0.2695,1.5,12.16431196454115,12.209555647297929,12.186037986817146,0.00013092,0.0001129698,0.00012206800000000002,0.6146,0.6671,0.0862,11.82419836715172,0.291,1.92,5.879e-05,1.249,11.862013267276469,11.842845560093718,11.88907375773358,1.559,1.041e-06,3.361e-05,1.694,11.91080163319485,100.0,75.77,2.639,0.6465,0.5828,0.7027,0.629,0.1618,0.0119,11.811915626285062,11.837734385701978,0.399,0.203,8.637,,6.804e-05,5.261e-05,3.228e-05,3.891e-05,11.938547520912806,11.887394998465426,,84.97,88.55,64.34,1.658,1.471,0.9206,
