photflux_aper_u,photflux_aper_lolim_s,photflux_aper_hilim_h,photflux_aper_lolim_h,photflux_aper_m,photflux_aper_hilim_b,photflux_aper_hilim_s,photflux_aper_h,photflux_aper_lolim_u,photflux_aper_b,photflux_aper_s,photflux_aper_hilim_m,photflux_aper_lolim_b,photflux_aper_lolim_m,photflux_aper_hilim_u,photflux_aper_lolim,photflux_aper_hilim,flux_aper_lolim,flux_aper_hilim,flux_aper_lolim_u,flux_aper_hilim_b,flux_aper_lolim_s,flux_aper_h,flux_aper_lolim_h,flux_aper_lolim_m,flux_aper_hilim_s,photflux_aper,flux_aper_hilim_u,flux_aper_m,flux_aper_hilim_h,flux_aper_lolim_b,flux_aper_u,flux_aper,flux_aper_s,flux_aper_b,flux_aper_hilim_m,var_index,var_inter_index,var_mean,var_prob,kp_prob,var_max,var_min,var_inter_sigma,var_inter_prob,var_sigma,ks_prob,hard_hm_hilim,hard_hm,hard_hs_hilim,hard_hs_lolim,hard_hm_lolim,hard_ms,hard_hs,hard_ms_lolim,hard_ms_hilim,class
-5.425505731714672,-5.0,-5.238748925691337,-6.117931055563853,-5.0,-5.086239113587677,-6.190238334892875,-5.4858508655245615,-5.0,-5.298863933907474,-5.0,-6.050756409431735,-5.732593581247097,-5.0,-5.1244178956721145,-6.281797354818244,-5.3369778955782055,-14.767715597919604,-13.740705787336626,-14.0,-13.324863495532005,-14.0,-13.717604495257476,-13.0,-14.0,-15.13531096586315,-5.618127145501457,-14.606073993414164,-14.0,-13.41657449959349,-14.068745593583586,-13.0,-14.025949097207125,-14.0,-13.553773598221836,-14.70377371273884,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.131475e-06,0.69025,0.0,0.0,1.0,0.9994,1.0,0.6777,0.5815,0.9994,0.9994,-0.2117,1.0,XRB
-4.0,-6.483068191131988,-3.746904414150968,-3.87484417041947,-5.610302451793613,-3.6880343396316335,-5.204258979130755,-3.8063189704587184,-5.0,-3.746419710437817,-5.483068191131988,-5.3192113884933185,-3.8138916201867943,-6.9527251326158215,-4.576099081471583,-4.2405734634808105,-4.073880932856157,-12.325973450988956,-12.19437573546735,-14.0,-11.805208242278075,-15.702239488900867,-11.856672870007953,-11.925183559354824,-15.583359492661721,-14.030211462585061,-4.165908798358651,-13.82739706879014,-14.26106096879652,-11.7972393126068,-11.931072388317927,-13.0,-12.256451824642387,-14.322119418488407,-11.86359655186601,-13.970616222314789,0.0,4.0,0.054845000000000005,0.0985,0.1145,0.055154999999999996,0.05462,8.355125e-05,0.633,0.00021445,0.08299999999999999,0.9925,0.9694,0.9888,0.92,0.9375,-0.1986,0.9594,-0.639,0.3142,XRB
-6.217814133507984,-6.350957365913824,-6.8127613801685225,-7.25987426303427,-6.538501473216982,-5.863596551866009,-6.180851057192867,-6.9812995013337575,-6.804100347590767,-5.919734372660155,-6.2552377629344225,-6.4540746706441565,-5.983802646487561,-6.649751981665838,-5.977159389123473,-6.415743426412032,-6.144141778803787,-15.142715761192195,-14.941323493281756,-14.0,-14.583193128177054,-15.04774046340918,-15.356744774975226,-15.724688645458189,-15.249337353865945,-14.877784121727176,-6.258375742496188,-15.652279782965962,-15.137928280620006,-15.167044249395401,-14.709520186669328,-13.0,-15.039462632579289,-14.951946826884393,-14.64187471472335,-15.053596866100946,0.6666666666666666,2.4,0.00025446666666666665,0.4916666666666667,0.4106666666666667,0.0004540666666666667,0.0002491333333333333,2.9786e-07,0.465,1.7856333333333334e-05,0.19733333333333333,-0.263,-0.461,-0.5465,-0.8076,-0.6477,-0.3198,-0.6858,-0.4416,-0.1893,XRB
-4.0,-6.336487529584844,-6.796695083861518,-7.910448117113546,-6.828273546346768,-5.883724412419456,-6.110978577904775,-7.065400561781927,-5.0,-5.969400278034049,-6.209292712672321,-6.659754238432067,-6.083335535458603,-7.106959888042883,-5.0,-6.463233297517293,-6.211107230336168,-15.228486010020333,-14.855309062250747,-14.0,-14.61261017366127,-15.096204857258966,-15.22533707746218,-14.0,-15.739213331345027,-14.870632404277014,-6.3176021854244695,-14.0,-15.460422116654689,-14.891434976267163,-14.860120913598767,-13.0,-15.00638744206111,-14.968995718636465,-14.715343717211486,-15.29200425357707,1.0,5.5,0.0003066,0.5415,0.364,0.00059775,0.00029995,1.4263249999999996e-06,0.7609999999999999,2.2535e-05,0.242,0.2117,-0.1649,-0.5453,-0.9051,-0.5665,-0.6196,-0.7458,-0.7664,-0.4428,XRB
-5.745693667668713,-6.258533238230245,-6.410832609453952,-6.805208242278075,-6.177505014721249,-5.585026652029182,-6.040195683491661,-6.5597207867644105,-6.0670191780768015,-5.645891560852599,-6.135785669538669,-6.093180284533456,-5.716698771296451,-6.288867927693159,-5.5697636465884885,-6.096996880591486,-5.829750022452362,-14.906466253301366,-14.662221375163815,-15.809388202186394,-14.34447740374658,-14.993106292052099,-14.984221243610962,-15.28525123927494,-14.906928693623936,-14.774690718274135,-5.94099732392215,-14.928486194904911,-14.7956086680807,-14.80799040734633,-14.485053994691993,-15.165897344287204,-14.766115891234115,-14.870310107800698,-14.409046764812016,-14.711303739409745,1.0,7.0,0.00032097800000000003,0.5744,0.4038000000000001,0.00063162,0.00030833,6.238000000000001e-07,0.951,3.36244e-05,0.268,-0.2117,-0.4047,-0.2555,-0.6277,-0.589,-0.0512,-0.4497,-0.20800000000000002,0.1106,XRB
-4.869988050328097,-5.0,-5.0,-5.0,-5.0,-5.694218848745017,-5.0,-5.0,-5.3472703039307525,-4.0,-5.0,-6.158015195409887,-5.0,-5.0,-4.648203693102976,-5.824391558650415,-5.0757724187398825,-14.134698573897454,-13.391720065030814,-13.657577319177792,-14.00859669741996,-14.0,-13.0,-13.0,-14.0,-14.0,-5.347109305047757,-12.958607314841776,-14.0,-13.0,-13.0,-13.180390267248413,-13.657511521968074,-14.0,-13.0,-14.715118285344547,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.131475e-06,0.69025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XRB
-4.0,-5.0,-5.401209493236885,-5.0,-5.808828544271441,-5.0707343817469335,-5.560036064079095,-5.6893066876566385,-5.0,-5.316232738574689,-5.0,-5.52360317327467,-5.935916564036404,-6.95506845385084,-4.070070439915412,-6.595200481142347,-4.684802420729006,-15.401997845679489,-13.787918984007893,-14.0,-13.99869906697958,-14.0,-14.270997290727811,-15.270997290727811,-16.10457745396059,-14.42596873227228,-5.77334854954519,-13.260585897301304,-14.825940192274976,-14.003838706631992,-14.864231485432176,-13.0,-14.600430106343158,-14.0,-14.2444300193712,-14.536405597813001,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.3510000000000004e-06,1.0,0.0,0.0,0.674,0.2461,1.0,-0.0481,-0.273,0.0712,0.9044,-0.3854,0.7976,XRB
-6.158452834743446,-6.573001041243463,-6.510604078272871,-6.9722427953094455,-6.561774192395472,-5.874518734299405,-6.283495836226783,-6.68277265082358,-7.023787622882622,-5.9578184054842325,-6.404614019190857,-6.438898616350943,-6.0611801749737895,-6.7340036295049215,-5.888065723667317,-6.516649525829379,-6.116656596179071,-15.264385133886426,-14.937455618653535,-14.0,-14.621238824683626,-15.327532686931914,-15.13353543402826,-15.505984625242856,-15.356744774975226,-15.03810452633215,-6.27211729730065,-15.356744774975226,-15.18462151503408,-14.935916564036406,-14.824488186636552,-13.0,-15.092674646648591,-15.159141445958118,-14.708409174341998,-15.061630402548193,0.6666666666666666,2.4,0.0002261333333333333,0.5396666666666666,0.435,0.0004056000000000001,0.0002169666666666667,2.9786e-07,0.465,2.2164666666666668e-05,0.326,0.17300000000000001,-0.0937,-0.0356,-0.534,-0.3691,-0.1961,-0.2923,-0.4041,0.0269,XRB
-6.217527375833714,-6.605023280445436,-7.3503731131594705,-5.0,-5.0,-6.1325914434772075,-6.303993284781455,-5.0,-6.58989792335714,-6.257510535418224,-6.428990327690696,-7.227825039175387,-6.433680378475188,-5.0,-6.028492218288744,-6.757557963962469,-6.342215832198456,-15.44405956218149,-14.977953299226842,-15.1349552783069,-15.135963817274225,-15.400772137226205,-13.0,-13.0,-14.0,-15.099742141562224,-6.513966447844213,-14.594995334949632,-14.0,-13.0,-15.51074483163074,-14.779630367548606,-15.157593603307767,-15.224680878170524,-15.279344643448276,-15.849857838151443,0.0,0.0,0.0001891,0.465,0.565,0.0002718,0.00018565,3.5055e-07,0.141,9.75e-06,0.715,0.2317,-0.9994,-0.7814,-1.0,-1.0,-0.9994,-0.9994,-1.0,-0.7202,CV
-4.0,-6.988852639224203,-6.030071810571884,-6.515130967279598,-5.635449004646027,-5.260902553882525,-6.327532686931917,-6.2022478713492895,-5.0,-5.329754146925876,-6.536405597812999,-5.5620909644605,-5.411616231621271,-5.723768042078167,-5.0,-5.811563714360852,-5.618501356588003,-14.455882324830645,-14.2288683633069,-14.0,-13.96537154337468,-15.836838625022981,-14.472241247479026,-14.827689031478045,-14.31884925006758,-15.175743962370314,-5.703691384632328,-14.0,-14.230548820597964,-14.287687091318636,-14.120904120499928,-13.0,-14.32521920658242,-15.384576047114056,-14.033764375901418,-14.157265981051733,0.0,4.5,0.001413,0.24600000000000002,0.2245,0.0020455,0.001371,1.7364000000000002e-05,0.77225,8.261999999999999e-05,0.43799999999999994,-0.3816,-0.5621,0.6814,0.0593,-0.7227,0.7733,0.3985,0.6352,0.8851,XRB
