obs_id,class,src_id,src_n,significance,photflux_aper_hilim_b,photflux_aper_m,photflux_aper_lolim_h,photflux_aper_b,photflux_aper_hilim_m,photflux_aper_s,photflux_aper_hilim_h,photflux_aper_lolim_s,photflux_aper_lolim_m,photflux_aper_lolim_b,photflux_aper_h,photflux_aper_hilim_s,flux_aper_hilim,flux_aper_lolim,flux_aper_b,flux_aper_m,flux_aper_lolim_b,flux_aper_lolim_s,flux_aper_hilim_h,photflux_aper_hilim,flux_aper_hilim_b,flux_aper_hilim_s,flux_aper_hilim_m,photflux_aper_lolim,photflux_aper,flux_aper_lolim_h,flux_aper_s,flux_aper_h,flux_aper_lolim_m,flux_aper,kp_prob,var_min,var_max,ks_prob,var_sigma,var_prob,var_index,var_mean,hard_hm_lolim,hard_hs_lolim,hard_ms,hard_ms_hilim,hard_ms_lolim,hard_hm,hard_hm_hilim,hard_hs_hilim,hard_hs
PULSAR_OBS_190,PULSAR,PL0065,PSR J1635-4735,15.74,-4.886390848926972,0.0,-5.094258072608398,-4.959002307576508,-6.703554205793604,0.0,-4.931814138253839,0.0,0.0,-5.052076380168273,-5.005550862985964,-6.6156465858624935,-12.93647900031001,-13.100617294466732,-13.013004460275619,0.0,-13.106238237942055,0.0,-12.932557157223618,-5.272341645640423,-12.940436582098732,0.0,0.0,-5.470595313914112,-5.37959324627777,-13.095068172604348,0.0,-13.006343371384535,0.0,-13.009661145212398,0.243,0.003666,0.003756,0.16399999999999998,3.418e-05,0.14,0.0,0.003724,0.9613,0.9525,-0.9994,1.0,-1.0,0.9994,1.0,1.0,0.9994
NS_OBS_134,NS,NS0028,IGR J00291+5934     ,18.99,-4.75300930075845,-5.5290018303391255,-5.490259984429618,-4.793443955900972,-5.459045191073868,-5.2770371910575085,-5.327902142064284,-5.346305204684918,-5.612610173661269,-4.838033383635925,-5.401537799525848,-5.217240807376003,-13.755711991039947,-13.87692621376252,-13.419189027339053,-14.1349552783069,-13.463820467862776,-14.14966014541652,-13.561615892965285,-5.1788534515027855,-13.378719832449589,-14.020542681902153,-14.064946410768936,-5.306290634204836,-5.247198915177634,-13.723998010037947,-14.08029446545088,-13.635261444944602,-14.2185318571582,-13.813094495211828,0.5337500000000001,0.0023081,0.00299425,0.50975,0.000194885,0.3685,0.5,0.00251375,0.0306,-0.2505,-0.2848,-0.1805,-0.3866,0.1549,0.2742,-0.0231,-0.1374
PULSAR_OBS_263,PULSAR,PL0081,PSR J1745-2900,107.91,-4.680685695909488,-6.70246336890833,-4.9503943874050265,-4.737311655698304,-6.533132379645891,-6.828847923089657,-4.827397068790139,-7.657684362741878,-7.2012103364648326,-4.80271944187438,-4.884722408604097,-6.551602896542232,-13.24805625667454,-13.387428045934826,-12.928117992693874,-15.29623203412076,-12.992252221999259,-16.512744771734468,-12.865822892423234,-4.763544365330387,-12.872571222148402,-15.373249146316605,-15.027565723042636,-5.209053691470943,-4.928780981600027,-12.986741334716484,-15.601322075056943,-12.922268820347607,-15.742854446171448,-13.313633684854643,1.0,0.0024395,0.014355,1.0,0.0034775,1.0,8.0,0.005772,0.9575,0.9588,0.1911,0.8663,-0.4516,0.9994,1.0,1.0,0.9994
CV_OBS_423,CV,CV0073,CXOGLB J002403.6-72045,12.38,-5.450138811528057,-6.185885643870875,-6.278354233710254,-5.508498233762674,-6.093557206182967,-6.071296972569402,-6.009527946474381,-6.188693159918664,-6.310868802765503,-5.575935474582511,-6.123435786016152,-5.983802646487561,-14.499889823854375,-14.71016454160928,-14.17986424812957,-14.809108283077832,-14.25165689551245,-14.985059650207065,-14.372224624770697,-5.83602806254447,-14.118330092327941,-14.773915884024177,-14.716925025264528,-6.045786444491278,-5.927007913177468,-14.71783122169536,-14.863913902615902,-14.507938395487402,-14.934047019686133,-14.590878768754802,0.36425,0.000619075,0.001053225,0.39425,5.974500000000001e-05,0.4025,0.25,0.000643,-0.1043,-0.2355,-0.1337,0.0281,-0.2892,0.0849,0.2605,0.1255,-0.0512
BH_OBS_19,BH,BH0008,IGR J17464-3213     ,6.9,-5.762456261857126,-6.549442990581671,-6.227458267359056,-5.860750782428392,-6.395557933739277,0.0,-5.949233688766958,0.0,-6.8091082830778324,-5.9974020192800905,-6.062682752237506,-7.227971834675144,-14.341511618690983,-14.7715483092856,-14.258769588974529,-15.147154181985009,-14.397940008672034,0.0,-14.17698247655395,-6.093012390508701,-14.159078799801225,-15.987162775294829,-14.993533957750769,-6.450378860147692,-6.2356445058992875,-14.455188088242226,0.0,-14.29039087892735,-15.406824736521898,-14.50405069480937,0.4993333333333334,0.0003051,0.0004535666666666666,0.5836666666666667,1.916266666666667e-05,0.4463333333333333,0.0,0.00031239999999999995,0.3217,0.8713,0.9994,1.0,0.6465,0.5309,0.7064,1.0,0.9994
CV_OBS_100,CV,CV0006,[HPH2013] 123         ,23.44,-5.575281662668433,0.0,0.0,-5.863279432843593,-6.081288334617679,-5.726073219899473,-5.9677842967020185,-7.027195677663423,0.0,0.0,0.0,-5.447453452044339,-13.529657143085652,-16.539703673242528,0.0,0.0,0.0,-15.840733668906505,-14.109970413836589,-4.3074451163962735,-14.366026844210324,-14.260981754116518,-14.672436739812722,-7.726165681999443,-6.187220292991036,0.0,-14.539703673242526,0.0,0.0,-15.238673677578545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2355,-1.0,-0.9994,-0.4379,-1.0,0.9994,1.0,-0.3217,-0.9994
CV_OBS_385,CV,CV0069,CXOGLB J002402.1-72054,46.73,-4.564952358660037,-5.367239111520561,-5.186886245992102,-4.586030028251939,-5.328271911760441,-5.116508909811071,-5.108072465779325,-5.151072286772922,-5.410050398674293,-4.608183076386752,-5.145693958198919,-5.084494638245625,-13.48786816004484,-13.550827180078395,-13.132120216541619,-13.975514332300833,-13.154281982033341,-13.944621668625,-13.24504041227829,-4.9754486594620735,-13.110978577904776,-13.878112014896322,-13.936291440608585,-5.043514611809225,-5.007915048328128,-13.323946875348131,-13.910094888560602,-13.282662417276134,-14.018317272628716,-13.518164820617587,0.7253999999999999,0.00324878,0.00471184,0.6594,0.00032034,0.4942,0.8,0.00359718,0.1918,-0.0906,-0.2811,-0.2267,-0.3354,0.2511,0.3104,0.0244,-0.0325
PULSAR_OBS_161,PULSAR,PL0049,PSR J1400-6325,56.35,-3.5902358957336538,-4.5142785735184185,-3.754981129262247,-3.59773861754532,-4.4971633613789965,-5.616723349592348,-3.737786294523583,-5.6955094722265125,-4.5320960534772015,-3.6055483191737836,-3.746419710437817,-5.5502131530142265,-12.22126863028565,-12.239291850811313,-11.83743559347698,-13.084600164787734,-11.845271792559846,-14.484656106911617,-11.84740592207253,-4.014496284956955,-11.830031826003108,-14.34008379993015,-13.067475502949458,-4.036625893529076,-4.025360294459847,-11.864549300654485,-14.406381691870465,-11.856048883576035,-13.102372908709555,-12.230187268301814,0.7213999999999999,0.03747036,0.037854,0.7111999999999999,0.00016112,0.21,0.2,0.0376249,0.6977,0.97,0.8532,0.8763,0.8314,0.7083,0.7189,0.9775,0.9731
NS_OBS_130,NS,NS0024,H 1658-298          ,31.12,-5.842241113953136,-6.419987887470577,-7.7972393126067985,-5.932557157223619,-6.303468880030392,-6.393188853081036,-6.786482243003695,-6.600845666041782,-6.589391457431632,-6.047110735089071,-7.037535953942099,-6.259637310505756,-14.952662816802404,-15.313147530929855,-14.730954290342375,-15.047837425785534,-14.851705902565255,-15.396963943749476,-15.193684330191884,-6.0695909904287015,-14.636764195516307,-15.05576415620652,-14.93218548883816,-6.546299526640228,-6.388421126886683,-16.7956086680807,-15.189297139052885,-15.473531487530522,-15.216596718877435,-15.094085446672395,0.5633333333333334,0.0002387666666666667,0.0003398666666666666,0.5366666666666666,1.2379666666666666e-05,0.4366666666666667,0.0,0.0002431333333333333,-0.8176,-0.8438,-0.0362,0.2042,-0.263,-0.5909,-0.3304,-0.3504,-0.6234
PULSAR_OBS_246,PULSAR,PL0081,PSR J1745-2900,107.91,-4.602233743873549,-6.273272790973428,-4.9775716288145135,-4.697885623043799,-6.000260654893433,-6.3797517841052045,-4.7505570385574165,-7.123672334628469,-7.477425367308824,-4.8207355356609725,-4.846185135655472,-5.960982678002588,-13.187893175102296,-13.446111878311086,-12.928486194904911,-14.605023280445435,-13.0515870342214,-15.932824101696355,-12.827105302247825,-4.7560030957070545,-12.832682665251825,-14.826813731587727,-14.34418950550475,-5.289488139479792,-5.15697912455655,-13.046192002334692,-15.036700758579874,-12.922995673206652,-15.53446844302645,-13.319151614847186,0.6296183333333331,0.005258415000000002,0.053067959000000005,0.6818749999999999,0.0107105655,0.7808949999999996,4.12,0.008340777333333332,0.8601,0.8588,-0.2086,0.5853,-0.6227,0.9307,0.9838,1.0,0.9994
BH_OBS_133,BH,BH0027,J1745-2900          ,337.0,-5.337903554582076,-6.896880746454286,-5.603103550857476,-5.389765824665611,-6.7486051499598965,-6.978517666698402,-5.489857300597427,-7.810717999141327,-7.124244420741945,-5.448794056252093,-5.5427238139386725,-7.391260080931213,-14.027797161620937,-14.159222899474125,-13.693360558975739,-15.417822962311591,-13.758453519403453,-16.051288446971554,-13.642446280256918,-5.7618575092554165,-13.636764195516307,-15.853561864714225,-15.267043630424375,-5.911713618238196,-5.849624310144677,-13.769806621130956,-15.804060754213607,-13.701365216875566,-15.650722472532046,-14.091170898872509,0.5705,0.002182,0.0022265,0.893,1.9765e-05,0.111,0.0,0.002203,0.8788,0.9725,0.9994,1.0,0.5191,0.9157,0.9463,1.0,0.9994
NS_OBS_380,NS,NS0071,SAXWFC J1748.1-2446.,2.75,-5.791021482723746,-6.7700145018650675,-6.004012915105336,-5.959801118299347,-6.254300773397494,-6.340083799930151,-5.916497380169733,-7.618884919290148,-6.9760309431983,-6.396816197337982,-6.0914507974445256,-6.062482107982652,-14.329809829275064,-15.712914919672036,-14.420517540816975,-15.357563779231631,-14.07282870542095,-16.183623553856023,-14.011887159731648,-5.8073879487498905,-14.071348153346305,-14.946153573147747,-14.791827473332875,-8.317854923626168,-7.039053804266168,-14.12057751285042,-15.247106845115404,-13.962297051904736,-15.445279835132807,-15.946076849451424,0.7174633333333331,0.0007131846666666668,0.0013165453333333324,0.6730866666666665,9.367390000000002e-05,0.4399500000000002,0.39666666666666667,0.0007572774999999994,0.0206,-0.3292,-0.9994,0.0319,-1.0,0.9994,1.0,0.8264,0.4685
CV_OBS_431,CV,CV0074,CXOGLB J002403.7-72042,16.15,-4.7856861025756015,-5.457050151185821,-5.598771832501887,-4.827397068790139,-5.395342027952129,-5.479647495916681,-5.428757149439776,-5.576590272266906,-5.529148675473882,-4.876148359032914,-5.503070351926786,-5.404503778174425,-13.757095982862625,-13.88846113173029,-13.42678017288558,-14.075720713938114,-13.47560387789616,-14.239351380418643,-13.567993312730401,-5.18881388856725,-13.385208208043585,-14.0673233413776,-14.013990068146741,-5.366117646973713,-5.266497792248696,-13.738023808602188,-14.14248658522331,-13.642446280256918,-14.147703034173071,-13.816205902091186,0.25675,0.00184375,0.0021965,0.307,6.016e-05,0.25,0.0,0.001886,-0.1705,-0.1618,0.02,0.1418,-0.0993,-0.05,0.0681,0.1031,-0.03
CV_OBS_476,CV,CV0077,CXOGLB J002404.9-72045,19.64,-4.874518734299406,-6.158265221025259,-5.513427849481643,-4.999565922520682,-5.8938091027365855,-5.9653715433746815,-5.126446906486382,-6.3057690904739285,-6.950781977329817,-5.186419011431808,-5.278189384787454,-5.654430243943608,-13.511329446038179,-13.762456261857126,-13.33658178774732,-14.99224856646792,-13.461426266193145,-15.13294446387765,-13.480447683682518,-5.261774551857496,-13.239652921470096,-14.395018370392568,-14.816307103314655,-5.712735874201022,-5.467052078329794,-13.954507975705127,-14.714667772356114,-13.595430657574825,-15.233819844571723,-13.61979780618435,0.4195,0.0028285000000000003,0.006926000000000001,0.254,0.00076505,0.5980000000000001,1.0,0.0033490000000000004,0.5978,0.3342,-0.441,0.0593,-0.8089,0.7945,0.9425,0.8751,0.6196
NS_OBS_275,NS,NS0046,XMMU J004245.2+41172,4.71,-5.377371573870675,-6.097344524782074,-6.97183558057553,-5.630598586303376,-5.82102305270683,-6.073267054284568,-5.704652851666382,-6.570457261052349,-7.35261702988538,-6.311847244408432,-5.97183558057553,-5.825940192274975,-13.695655985155526,-15.14602208075063,-13.995678626217355,-14.718285029972705,-14.61546738450575,-15.353521161985093,-13.715118285344547,-4.722523729946729,-13.750068243365805,-14.691862621361961,-14.442132038431973,-6.893605096869575,-6.0749768465306175,-14.982132281036494,-14.837205097037456,-13.982132281036494,-15.973466735476705,-14.348082647992305,0.6211683333333332,0.0009751657499999992,0.0017541995000000005,0.5949491666666665,0.0001378395333333334,0.4713208333333333,0.267,0.0010594905833333323,-0.3067,-0.1181,-0.1024,0.6727,-0.5353,0.2149,0.6565,1.0,0.4397
CV_OBS_583,CV,CV0087,CXOGLB J002408.4-72050,18.4,-5.11120293254332,-5.937042165915487,-6.339608901597532,-5.279592599196892,-5.701365216875565,-5.99097425791309,-5.541211118289155,-7.221342368052643,-6.556580538217182,-5.5805399272139296,-5.769806621130956,-5.702896349850744,-13.921343843757025,-14.563837352959244,-13.850165303284216,-14.546375926408553,-14.15113378850522,-16.092051478387727,-13.710857164067669,-5.267477579390458,-13.681727919788376,-14.573488738635426,-14.300856312605514,-6.1646684245464565,-5.73854679725819,-14.509199047989144,-14.861697301833718,-13.939302159646385,-15.166151950468853,-14.127304837036164,0.308,0.001163,0.0016530000000000002,0.6509999999999999,0.0001121,0.433,0.0,0.001235,-0.2105,-0.2417,-0.0225,0.4578,-0.4753,0.2399,0.6215,0.6577,0.2423
PULSAR_OBS_388,PULSAR,PL0103,PSR J1841-0456,69.99,-3.4615519482897827,-4.398048595866479,-3.6274561992409295,-3.470826396738277,-4.376957565753618,-5.574465779501737,-3.6066003047068977,-5.688882157337496,-4.420102130396897,-3.480172006224281,-3.6169030700509057,-5.488250288655016,-12.008244496502444,-12.029491060803554,-11.625251653989894,-12.966576244513053,-11.6345120151091,-14.449404792510672,-11.630227711403036,-3.8890165732244033,-11.616184634019568,-14.251269443901505,-12.945386945443113,-3.9136871611065014,-3.901163220427649,-11.650722472532046,-14.336487529584847,-11.640354207325457,-12.988429556402721,-12.01873985864778,0.4492,0.04870308,0.04905798,0.5314,8.775e-05,0.2146,0.0,0.04877754,0.7027,0.9738,0.8745,0.9001,0.8476,0.7158,0.7289,0.9825,0.9781
BH_OBS_83,BH,BH0020,CXOU J100516.2-07423,16.78,-5.803271277376712,-6.538501473216982,-7.1397818153312445,-5.9044819576768495,-6.384681343388523,-6.301725423325633,-6.473531487530522,-6.526659035814062,-6.79805693659835,-6.046336936252909,-6.689731633367553,-6.160899217292847,-14.834886308401739,-15.26287099484859,-14.640354207325457,-15.161276809968625,-14.785156151952302,-15.217097594025354,-14.941953769604714,-6.0326486239660015,-14.537751784645007,-14.859806321421368,-15.004145520125434,-6.529545405527401,-6.210898968629709,-15.952725132615821,-14.998266287191,-15.19293876008276,-15.430041181903405,-15.0339427868434,0.586,0.0002963,0.00043210000000000004,0.4505,1.8707e-05,0.446,0.0,0.0003041,-0.4716,-0.6877,-0.3011,-0.0256,-0.544,-0.1212,0.2242,-0.1156,-0.4185
CV_OBS_436,CV,CV0074,CXOGLB J002403.7-72042,16.15,-4.774174008538107,-5.526659035814066,-5.573976984310124,-4.801068130067791,-5.4812229310732254,-5.279923427231858,-5.4541982428407225,-5.322119418488409,-5.577574323628795,-4.8297382846050425,-5.509900994936695,-5.241466577762713,-13.800206439829411,-13.884695765588114,-13.45892023222337,-14.129654628919036,-13.48758245139916,-14.111090740736469,-13.655804284128564,-5.169308703682334,-13.432033093176846,-14.03039773515146,-14.084230934016313,-5.2578878683734205,-5.2113226568184015,-13.775985188627136,-14.068898254367365,-13.711750774428015,-14.180456064458133,-13.840396717311744,0.6526,0.00198158,0.00285026,0.6874,0.000245888,0.5206,1.0,0.00219994,-0.0656,-0.3342,-0.2773,-0.2117,-0.3429,0.0212,0.1056,-0.1843,-0.2586
CV_OBS_498,CV,CV0080,CXOGLB J002405.6-72044,20.78,-4.849857838151441,-5.705093089394808,-6.492144128304169,-4.968591535748375,-5.516698047641833,-5.3535962737769305,-5.578396073130169,-5.61852390972497,-6.04498609696195,-5.1330041868893534,-5.829444941478791,-5.196884445109973,-13.626995995232726,-14.037441264204034,-13.61726273423867,-14.58139669830201,-13.7856861025756,-14.494417937446844,-13.802995271976956,-4.832399136936284,-13.50210325708678,-14.128735305701154,-14.455534472448347,-5.466797548249775,-5.042268236220948,-14.705974905904677,-14.323767766604302,-14.043207479629505,-14.957004517834314,-13.779983489728222,0.37799999999999995,0.0013858666666666669,0.002293333333333333,0.2796666666666667,0.00017965000000000006,0.4623333333333333,0.3333333333333333,0.0014951999999999995,-0.4828,-0.7801,-0.426,-0.1218,-0.6777,-0.0687,0.3229,-0.1755,-0.5072
CV_OBS_689,CV,CV0110,XMMSL2 J004231.9+41162,174.76,-3.64569943765464,-4.287434472126692,-4.472112434047295,-3.677780705266081,-4.242831807785727,-4.266401539038661,-4.33856594960608,-4.333294863880101,-4.337147766735204,-3.712198270069774,-4.398265851739895,-4.20844969497267,-12.708071989168305,-12.806663873804393,-12.3624102141613,-12.927382523454765,-12.396963943749476,-13.113058294016586,-12.572189427324009,-4.012155049828702,-12.330404218975687,-12.988006885340743,-12.883724412419456,-4.175965331914482,-4.085075351794852,-12.705974905904677,-13.045950553236404,-12.632085261206248,-12.976336081802206,-12.756684091750865,0.45675,0.0233725,0.023875,0.33774999999999994,0.000215625,0.12175,0.0,0.0236275,-0.2167,-0.2555,-0.03,0.0606,-0.1168,-0.1249,-0.0356,-0.0543,-0.1562
