obs_id,class,src_id,src_n,significance,photflux_aper_hilim_b,photflux_aper_m,photflux_aper_lolim_h,photflux_aper_b,photflux_aper_hilim_m,photflux_aper_s,photflux_aper_hilim_h,photflux_aper_lolim_s,photflux_aper_lolim_m,photflux_aper_lolim_b,photflux_aper_h,photflux_aper_hilim_s,flux_aper_hilim,flux_aper_lolim,flux_aper_b,flux_aper_m,flux_aper_lolim_b,flux_aper_lolim_s,flux_aper_hilim_h,photflux_aper_hilim,flux_aper_hilim_b,flux_aper_hilim_s,flux_aper_hilim_m,photflux_aper_lolim,photflux_aper,flux_aper_lolim_h,flux_aper_s,flux_aper_h,flux_aper_lolim_m,flux_aper,kp_prob,var_min,var_max,ks_prob,var_sigma,var_prob,var_index,var_mean,hard_hm_lolim,hard_hs_lolim,hard_ms,hard_ms_hilim,hard_ms_lolim,hard_hm,hard_hm_hilim,hard_hs_hilim,hard_hs
CV_OBS_728,CV,CV0110,XMMSL2 J004231.9+41162,174.76,-3.517126416391246,-4.186352304653103,-4.106404666180117,-3.5265130299354315,-4.171404543628298,-4.125170422120278,-4.0745847629157534,-4.145572494212138,-4.201832940284061,-3.5365549682295723,-4.090230085267232,-4.105683937315561,-12.441819622279015,-12.485638223629428,-12.104522203724285,-12.817300096663955,-12.114243118930734,-12.922995673206652,-12.269056306572265,-3.865242945049951,-12.094960071923788,-12.883060353449245,-12.802443786846464,-3.931146506328502,-3.8968738964376164,-12.300943145452333,-12.902395671125591,-12.284748971121152,-12.832682665251825,-12.46318913400846,0.7979999999999999,0.02858806,0.029397280000000005,0.8901999999999999,0.00039047,0.28600000000000003,0.2,0.02898016,0.0856,0.0119,-0.0712,-0.0418,-0.0981,0.1099,0.1343,0.0693,0.04
CV_OBS_777,CV,CV0110,XMMSL2 J004231.9+41162,174.76,-3.5848596478041275,-4.222138375823758,-4.1083510561294405,-3.59328954139021,-4.20844969497267,-4.1732127611837075,-4.079876673709276,-4.1898347154568505,-4.236197775925407,-3.6018863082694974,-4.093880542454438,-4.15720360482442,-12.4139305569695,-12.461124777474403,-12.107905397309521,-12.831797253157367,-12.116452120731955,-12.939302159646385,-12.266000713461613,-3.9415056478704313,-12.099469017547245,-12.906578314837766,-12.818156412055226,-3.9803188708081434,-3.9604827729135472,-12.294478386577332,-12.922632094715846,-12.280006173632396,-12.845880474484153,-12.436518914605589,0.5478,0.03380938,0.0340334,0.5770000000000001,9.324399999999999e-05,0.17460000000000006,0.4,0.033946199999999996,0.1243,0.0668,-0.0562,-0.0331,-0.0806,0.1462,0.168,0.1143,0.0912
PULSAR_OBS_160,PULSAR,PL0049,PSR J1400-6325,56.35,-3.545765104251734,-4.69486368105636,-3.812197361281581,-3.573163546196492,-4.624153563690844,-5.3814289718798705,-3.7510463845042934,-5.721475035262983,-4.779368980551908,-3.602407565961883,-3.780677491580663,-5.193141970481181,-12.191388013328506,-12.263630751553311,-11.839231438138876,-13.23822246249182,-11.868060704789574,-14.149047600206508,-11.821023052706833,-3.9097631154715846,-11.811915626285062,-13.647046088289912,-13.167682730077738,-4.069987773628323,-3.9825701304756302,-11.882066164960358,-13.82333006733185,-11.85047298624565,-13.322484295201242,-12.226052734990349,0.585,0.035494475,0.03630325,0.7135,0.000306675,0.2445,0.5,0.0357607,0.7464,0.9225,0.6458,0.7851,0.4803,0.7833,0.8189,0.9725,0.9507
CV_OBS_565,CV,CV0085,CXOGLB J002407.9-72045,16.47,-5.429924294678396,-6.129128104932258,-6.293196902962662,-5.484656106911618,-6.045709238298872,-6.039053804266168,-6.050122295963125,-6.142426295852505,-6.2324731005916165,-5.5471406642041465,-6.1513183459760485,-5.955460239607589,-14.380280734388275,-14.548789424646586,-14.165388579277312,-14.730720610228099,-14.229000794836061,-14.939302159646385,-14.311580177997286,-5.867740310468956,-14.109914473283675,-14.752517739322945,-14.647431613820693,-6.031330298279607,-5.947798717329569,-14.554707230574028,-14.835944708106547,-14.412738150307465,-14.834162375309873,-14.455404917986991,0.812,0.000319675,0.00098965,0.64725,0.000203505,0.6125,2.0,0.0005681499999999999,-0.1868,-0.2917,-0.1099,0.0369,-0.2517,-0.0162,0.1455,0.0356,-0.1262
CV_OBS_645,CV,CV0091,CXOGLB J002410.7-72042,23.78,-4.95663772197887,-5.7920964696139485,-5.408378961786681,-5.057942316158605,-5.619788758288393,-6.288625832199391,-5.124822940185296,-6.472448226640275,-6.1049091030656015,-5.1998330097986365,-5.239954672034188,-6.397831448621003,-13.507784566395907,-13.784468181508705,-13.456801414362351,-14.388807939131565,-13.598599459218454,-15.288717644004164,-13.366430557445907,-5.331556305484238,-13.35556141053216,-15.073618410216165,-14.216596718877435,-5.657482574353526,-5.491604966866947,-13.655804284128564,-15.122540697464625,-13.487449007095787,-14.701583619938704,-13.622420579105055,0.38566666666666666,0.0017635666666666668,0.002776333333333333,0.4076666666666666,0.00018147333333333327,0.39433333333333337,0.0,0.0018798,0.3616,0.8701,0.9994,1.0,0.6102,0.5759,0.7464,1.0,0.9994
NS_OBS_439,NS,NS0084,GRO J1744-28        ,5.5,-5.372122305420028,-6.050707598587973,-6.143633676340753,-5.454692883534176,-5.942333896090172,-6.215810794619039,-5.842543231865776,-6.5168407902830205,-6.195383583012745,-5.556737012541305,-5.9633711046378375,-6.039719535563357,-14.265160181968426,-14.55678005286587,-14.09663866374468,-14.640733835393252,-14.223880200947013,-15.549904924128398,-14.117703199062348,-5.713509847912714,-13.998266287191,-14.95467702121334,-14.530767257493384,-5.955136990849468,-5.8170007847235246,-14.492548939098027,-15.151934104596007,-14.261140197927801,-14.788345599446814,-14.385160764042089,0.7483333333333334,0.0005556333333333333,0.0010303333333333334,0.7626666666666666,8.627333333333333e-05,0.5513333333333333,1.0,0.0006147666666666668,-0.1043,-0.0156,0.1362,0.4079,-0.1218,0.1187,0.3242,0.5228,0.2586
BH_OBS_198,BH,BH0033,CJ0422+32           ,3.65,-5.3533022687006655,-5.861066059743076,-7.064694309710075,-5.458545571252412,-5.742081549685942,-6.3959900675877694,-6.19942037843087,-7.0192242260373785,-6.025166044951461,-5.597738617545319,-6.444905551421683,-6.149966742310232,-14.376378616634682,-14.784671284004467,-14.19456711186786,-14.375305468727918,-14.333762904104194,-15.829444941478796,-14.478992747591395,-5.465471317558186,-14.089322245257295,-14.96018944585165,-14.256411849840095,-6.0934570207987555,-5.674656775102706,-15.344285450381285,-15.206209615309179,-14.72445831159869,-14.5394028111024,-14.534230620044589,0.5955,0.0006072,0.001471,0.696,0.00017155000000000002,0.5820000000000001,1.0,0.0007357500000000001,-0.7951,-0.5091,0.5222,0.7626,0.2405,-0.5721,-0.3054,0.3579,-0.0887
BH_OBS_173,BH,BH0027,J1745-2900          ,337.0,-5.374790474618119,-6.4806971507645725,-6.054285285940138,-5.541060138109673,-6.255394124585763,-6.782491276660782,-5.570247719997592,-7.5158145228274265,-6.9755143323008335,-5.814174640387037,-5.743041847439067,-6.52841494581481,-13.949858532964404,-14.74366236787365,-13.942333896090169,-14.993962045002682,-14.334325219006107,-15.919099495836875,-13.751781438809926,-5.096686408922988,-13.739690054205079,-15.364315237452777,-14.775466937393913,-6.297173264447856,-5.9987337080007315,-14.393618634889394,-15.628983918963636,-13.963371104637835,-15.454569170534649,-14.331353212201345,0.7624149999999997,0.0034731859999999988,0.0049588833333333365,0.8142200000000002,0.0005609592993333338,0.45606,0.6766666666666665,0.00514941,0.4903,0.7002,0.9994,1.0,0.0656,0.7358,0.9063,1.0,0.9994
PULSAR_OBS_397,PULSAR,PL0112,PSR J1930+1852,133.82,-3.7081873125328815,-4.603277721496227,-3.894149325614857,-3.718058066559175,-4.582362260347772,-5.4944430613361765,-3.8709549401120418,-5.562883906951921,-4.6252516539898965,-3.728158393463501,-3.882397308309917,-5.435333935747911,-12.344683656195695,-12.367237695235252,-11.96177736163128,-13.17750501472125,-11.971835580575528,-14.363813104801276,-11.971835580575528,-4.141890931800255,-11.951946826884393,-14.236497134532405,-13.156580334795082,-4.16616977849273,-4.1541172168125176,-11.99481948749622,-14.295506302990699,-11.983384452442822,-13.199420378430867,-12.355913794838779,0.51775,0.034973000000000004,0.03504675,0.41275,2.3045125e-05,0.05325,0.0,0.035009,0.6665,0.9463,0.7708,0.8001,0.7402,0.6808,0.6952,0.9588,0.9519
NS_OBS_187,NS,NS0044,XMMU J004245.2+41172,49.26,-5.258848401148215,-5.705093089394808,-6.8676849827604896,-5.469672210221914,-5.50265561898242,-5.997487413546178,-6.065249125336421,-6.528723032512525,-6.131120553762911,-5.8955128886876045,-6.059465673824817,-5.7654827164873135,-13.623328165437885,-15.243363891754155,-14.408045444953265,-14.358724242768087,-14.916139199133427,-15.296597408723756,-14.154096161101215,-4.514194845072269,-14.189229988765636,-14.631155493174179,-14.156331277020856,-6.395471558543703,-5.969562207372952,-15.240195713554636,-14.740710802726596,-14.3690486949172,-14.784626847216575,-14.780625075373745,0.3400133333333336,0.0014931043333333337,0.005181669916666664,0.2665250000000001,0.0009634846000000002,0.3929163333333335,0.0725,0.0021807861666666662,-1.0,-1.0,0.9994,1.0,0.0806,-0.9994,-0.3954,0.0456,-0.9994
PULSAR_OBS_139,PULSAR,PL0038,PSR J1111-6039,23.2,-4.369572124974976,-5.10419084983087,-4.666955970176512,-4.3879582553547305,-5.072578304949581,-5.763462738511306,-4.6192462291961,-5.8474059220725305,-5.138346129786089,-4.4070464284521345,-4.642446280256919,-5.693146251306993,-13.087846947019848,-13.132347519704627,-12.714442690992227,-13.692503962086787,-12.733533104559758,-14.658169943079493,-12.740167300936516,-4.809138505652626,-12.696156225111348,-14.504178246614096,-13.66094626429086,-4.857654341009418,-4.833860104844693,-12.787812395596044,-14.574302786637409,-12.763462738511304,-13.726767165956955,-13.10972992056602,0.498,0.007245524999999998,0.0077164999999999985,0.4705,0.00017364675,0.3505,0.5,0.007469274999999998,0.4516,0.8364,0.6408,0.6952,0.5853,0.4872,0.5203,0.8826,0.8595
