angDist,name,ra,dec,err_ellipse_r0,conf_flag,extent_flag,sat_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,significance,hard_hm,hard_hm_lolim,hard_hm_hilim,hard_ms,hard_ms_lolim,hard_ms_hilim,var_intra_index_b,var_intra_index_w,var_inter_index_b,var_inter_index_w,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
0.806309,2CXO J162229.9-263753,245.62494597083105,-26.631414096700755,6.256461418508207,0,0,0,1.0473585663752E-14,5.1253717077933E-15,1.5598957371545E-14,,,,4.4999999999999485,0.34853216739538,0.078076202373516,0.56152404747033,-0.37851342910681,-0.56777014366021,-0.16427232979388,,,0,,245.6247637303065,-26.6315678048592,0.002,0.001,90,6045470110440052608,245.62478944781,0.0461,-26.63159319011,0.0224,0.8829,0.0471,5.339,0.107,-5.896,0.077,0,8.01278e+03,2.84994e+00,15.928907,3.20370e+03,1.03129e+01,16.587260,7.18042e+03,1.44139e+01,15.121545,1.465715,,,0,4396.00,,,1.27,0.545,0.000386,0.003495,0.002179
0.548358,2CXO J162250.5-262850,245.710826233602,-26.480704283166933,3.974291994630663,0,0,0,7.7282928567061E-15,3.0913171426824E-15,1.2172061249312E-14,,,,1.739130434782606,0.25359150530918,-0.51655215490319,0.65896314803248,-0.44472204871955,-0.79138038725796,0.033104309806371,,,0,,245.7108447237425,-26.4808557030718,0.002,0.001,90,6045477566503686144,245.71088629616,0.0586,-26.48087727894,0.0280,0.7811,0.0629,8.643,0.135,-5.011,0.095,0,4.48985e+03,3.86807e+01,16.557787,1.92997e+03,5.64864e+01,17.137512,4.99200e+03,1.31668e+02,15.516234,1.621278,,,0,4467.50,,,1.03,0.378,0.009354,0.031777,0.028637
0.829833,2CXO J162259.8-262601,245.74943239258778,-26.433850442977963,1.381347257351486,1,0,0,2.175394582436E-14,1.8003225988306E-14,2.527024567066E-14,,,,10.95407358449395,0.26358525921299,0.12929419113054,0.38663335415365,0.059962523422861,-0.13304184884447,0.29544034978139,2,,8,,245.7493439945891,-26.4340669350370,0.014,0.004,90,6045482170701814784,245.74934399459,14.0032,-26.43406693504,4.3294,,,,,,,0,6.90046e+01,1.19738e+00,21.091170,,,,,,,,,,0,,,,,,0.018840,,
0.069303,2CXO J162317.2-263330,245.8219830552148,-26.558363900965947,1.0567779494899174,0,0,0,9.4716588808599E-16,5.0257781816808E-16,1.3917539580039E-15,,,,4.514285714285623,-0.99937539038101,-1.0,-0.1155527795128,-0.64584634603373,-0.80637101811368,-0.46033728919425,0,,0,,245.8219616901435,-26.5583662200222,0.007,0.005,90,6045464436777542784,245.82193467617,0.1976,-26.55838248294,0.0951,1.1743,0.2107,-5.612,0.422,-3.777,0.326,0,7.91901e+02,1.20095e+00,18.441689,2.69960e+02,1.22259e+01,19.273138,1.11406e+03,1.59108e+01,17.144644,2.128494,,,0,,,,,,0.001647,0.049171,0.015506
0.558068,2CXO J162319.4-262709,245.8308419047264,-26.45266071978496,3.582970082068701,0,0,0,2.0155214400058E-15,3.5052546782709E-16,3.6805174121845E-15,,,,2.000000000000031,0.43098063710181,0.041848844472205,0.73891317926296,0.75327920049969,0.10930668332292,1.0,,,0,,245.8310076024940,-26.4526157397299,0.021,0.014,90,6045478288050504960,245.83094015581,0.9250,-26.45269974016,0.4190,-1.0072,1.0619,-14.025,1.380,-19.510,0.926,0,2.55261e+02,8.44741e-01,19.670904,,,,,,,,,,0,,,,,,0.003593,,
0.605879,2CXO J162322.5-262708,245.84400116182212,-26.45225418989452,2.5233220400669825,0,0,0,0.0,0.0,5.3399313413411E-16,,,,2.9142857142856102,-0.35103060587133,-0.95128044971893,0.049344159900062,-0.1261711430356,-0.43035602748282,0.21673953778888,0,,5,,245.8440937551439,-26.4524006567120,0.008,0.006,90,6045478597288109312,245.84403715695,0.2189,-26.45248189434,0.1056,0.4168,0.2530,-11.769,0.508,-18.868,0.361,0,5.59426e+02,9.16157e-01,18.819010,2.80432e+02,6.77586e+00,19.231821,5.96861e+02,5.79188e+00,17.822237,1.409584,,,0,,,,,,0.001778,0.026234,0.010536
0.171779,2CXO J162322.8-263155,245.8451360983555,-26.532084894660656,1.0240907043386558,0,0,0,0.0,0.0,1.9070222795405E-16,,,,2.277777777777821,-0.46221111805122,-1.0,0.029356652092442,-0.27982510930668,-0.60649594003748,0.093066833229232,,,0,,245.8451197580270,-26.5320394729025,0.003,0.002,90,6045466021630961408,245.84506304601,0.0760,-26.53212153461,0.0359,0.5883,0.0811,-11.785,0.179,-19.059,0.126,0,3.63681e+03,2.33045e+00,16.786564,1.74686e+03,1.70187e+01,17.245745,3.40914e+03,1.64349e+01,15.930308,1.315436,,,0,4572.53,,,1.15,0.518,0.000696,0.010578,0.005234
0.019152,2CXO J162322.9-262216,245.84555895576727,-26.37121951674056,0.7290308062066396,0,0,0,2.769436680491E-12,2.7407428341082E-12,2.7981305268738E-12,,,,124.82976636349605,-0.25234228607121,-0.26670830730793,-0.2367270455965,-0.54840724547158,-0.55527795128045,-0.54028732042473,10,,8,,245.8455613219373,-26.3712243962019,0.001,0.001,90,6045503336308078208,245.84547529605,0.0375,-26.37137606725,0.0194,9.8929,0.0365,-17.901,0.092,-35.227,0.068,1,3.09150e+06,2.09416e+03,9.462942,1.67041e+06,3.55536e+03,9.794333,2.02299e+06,3.56638e+03,8.996937,0.797396,-2.62,2.50,3,5731.50,0.0947,0.0477,1.13,1.251,0.000735,0.002311,0.001914
0.766510,2CXO J162323.3-263211,245.84726788884882,-26.536541311436338,0.9737261251984184,0,0,0,1.4836562693686E-15,8.1247843322564E-16,2.1195089562408E-15,,,,3.0526315789473357,0.99937539038101,0.75390381011868,1.0,-0.99937539038101,-1.0,0.13429106808245,0,,3,,245.8472356744789,-26.5363303516890,0.004,0.002,90,6045465952911308800,245.84718092596,0.0926,-26.53641059519,0.0413,0.4904,0.1043,-11.376,0.228,-18.637,0.141,0,2.70629e+03,1.80790e+00,17.107430,1.28310e+03,7.38564e+00,17.580740,2.36662e+03,8.07039e+00,16.326597,1.254143,,,0,,,,,,0.000725,0.006250,0.003702
0.394756,2CXO J162324.0-262648,245.85041306181563,-26.446722424995297,3.795386323180908,0,0,0,0.0,0.0,1.8535600664563E-16,,,,2.2916666666666288,-0.45721424109931,-1.0,-0.019362898188632,-0.5683947532792,-0.82011242973142,-0.26046221111805,,,0,,245.8503171204754,-26.4466542698187,0.020,0.014,90,6045478597295758592,245.85029382044,0.5487,-26.44669297804,0.2540,0.3557,0.6034,-4.845,1.322,-8.990,0.915,0,2.35398e+02,8.47567e-01,19.758858,1.03043e+02,7.47561e+00,20.318844,4.51452e+02,8.28711e+00,18.125391,2.193453,,,0,,,,,,0.003909,0.078769,0.019930
