,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,XOFFSET_
39,CXOGLB J002404.9-720455,6.020471,-72.082044,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.6-720453 ,6.027839,-72.081529,0.139
40,XMMSL2 J002402.8-720447,6.02072,-72.081412,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002406.6-720453 ,6.027839,-72.081529,0.132
41,CXOGLB J002404.9-720455,6.020575,-72.082044,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.6-720453 ,6.027839,-72.081529,0.138
42,CXOGLB J002405.6-720449,6.023521,-72.080333,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.6-720453 ,6.027839,-72.081529,0.107
43,CXOGLB J002405.6-720449,6.023529,-72.080314,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.6-720453 ,6.027839,-72.081529,0.108
44,CXOGLB J002407.9-720454,6.032975,-72.081883,GC47TUCCXO      ,CHANDRA      ,2CXO J002407.2-720446 ,6.030276,-72.079591,0.146
45,CXOGLB J002407.9-720454,6.033017,-72.081878,GC47TUCCXO      ,CHANDRA      ,2CXO J002407.2-720446 ,6.030276,-72.079591,0.146
46,CXOGLB J002406.3-720443,6.026558,-72.078611,GC47TUCCXO      ,CHANDRA      ,2CXO J002407.2-720446 ,6.030276,-72.079591,0.09
47,CXOGLB J002405.6-720449,6.023521,-72.080333,GC47TUCCXO      ,CHANDRA      ,2CXO J002407.2-720446 ,6.030276,-72.079591,0.132
48,CXOGLB J002405.6-720449,6.023529,-72.080314,GC47TUCCXO      ,CHANDRA      ,2CXO J002407.2-720446 ,6.030276,-72.079591,0.132
49,CXOGLB J002406.3-720443,6.026542,-72.078603,GC47TUCCXO      ,CHANDRA      ,2CXO J002407.2-720446 ,6.030276,-72.079591,0.091
50,[HPH2013] 101          ,10.65535,41.28613,M31CFCXO        ,CHANDRA      ,2CXO J004237.3+411709 ,10.655445,41.286063,0.006
51,IGR J00234+6141        ,5.74,61.685,IBISCAT         ,INTEGRAL     ,2CXO J002257.6+614107 ,5.740186,61.685396,0.024
52,IGR J00234+6141        ,5.74,61.685556,INTREFCAT       ,INTEGRAL     ,2CXO J002257.6+614107 ,5.740186,61.685396,0.011
53,IGR J00234+6141        ,5.742,61.686,INTIBISASS      ,INTEGRAL     ,2CXO J002257.6+614107 ,5.740186,61.685396,0.063
54,1RXS J002258.3+614111  ,5.742917,61.686389,RASS2MASS       ,ROSAT        ,2CXO J002257.6+614107 ,5.740186,61.685396,0.098
55,IGR J00234+6141        ,5.74,61.684,INTIBISGAL      ,INTEGRAL     ,2CXO J002257.6+614107 ,5.740186,61.685396,0.084
56,CXOGLB J002359.3-720438,5.997488,-72.077386,GC47TUCCXO      ,CHANDRA      ,2CXO J002358.7-720436 ,5.994653,-72.076693,0.067
57,CXOGLB J002359.3-720438,5.997358,-72.077347,GC47TUCCXO      ,CHANDRA      ,2CXO J002358.7-720436 ,5.994653,-72.076693,0.064
58,CXOGLB J002359.3-720438,5.997488,-72.077386,GC47TUCCXO      ,CHANDRA      ,2CXO J002358.7-720447 ,5.994977,-72.079914,0.159
59,CXOGLB J002359.3-720438,5.997358,-72.077347,GC47TUCCXO      ,CHANDRA      ,2CXO J002358.7-720447 ,5.994977,-72.079914,0.16
60,CXOGLB J002401.4-720441,6.006012,-72.078264,GC47TUCCXO      ,CHANDRA      ,2CXO J002359.4-720438 ,5.997523,-72.077393,0.165
61,CXOGLB J002401.4-720441,6.005854,-72.078206,GC47TUCCXO      ,CHANDRA      ,2CXO J002359.4-720438 ,5.997523,-72.077393,0.161
62,CXOGLB J002359.3-720438,5.997488,-72.077386,GC47TUCCXO      ,CHANDRA      ,2CXO J002359.4-720438 ,5.997523,-72.077393,0.001
63,CXOGLB J002359.3-720438,5.997358,-72.077347,GC47TUCCXO      ,CHANDRA      ,2CXO J002359.4-720438 ,5.997523,-72.077393,0.004
64,CXOGLB J002359.3-720438,5.997488,-72.077386,GC47TUCCXO      ,CHANDRA      ,2CXO J002359.3-720448 ,5.997318,-72.080057,0.16
65,CXOGLB J002359.3-720438,5.997358,-72.077347,GC47TUCCXO      ,CHANDRA      ,2CXO J002359.3-720448 ,5.997318,-72.080057,0.163
66,XMMSL2 J002402.8-720447,6.004696,-72.081982,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002359.3-720459 ,5.997449,-72.083076,0.149
67,CXOGLB J002401.4-720441,6.006012,-72.078264,GC47TUCCXO      ,CHANDRA      ,2CXO J002359.6-720443 ,5.998446,-72.078629,0.141
68,CXOGLB J002401.4-720441,6.005854,-72.078206,GC47TUCCXO      ,CHANDRA      ,2CXO J002359.6-720443 ,5.998446,-72.078629,0.139
69,CXOGLB J002359.3-720438,5.997488,-72.077386,GC47TUCCXO      ,CHANDRA      ,2CXO J002359.6-720443 ,5.998446,-72.078629,0.077
70,CXOGLB J002359.3-720438,5.997358,-72.077347,GC47TUCCXO      ,CHANDRA      ,2CXO J002359.6-720443 ,5.998446,-72.078629,0.079
71,XMMSL2 J002402.8-720447,6.004696,-72.081982,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002400.4-720448 ,6.001914,-72.08002,0.128
72,CXOGLB J002402.1-720450,6.009004,-72.080725,GC47TUCCXO      ,CHANDRA      ,2CXO J002400.4-720448 ,6.001914,-72.08002,0.138
73,CXOGLB J002402.1-720450,6.00925,-72.080678,GC47TUCCXO      ,CHANDRA      ,2CXO J002400.4-720448 ,6.001914,-72.08002,0.141
74,CXOGLB J002401.4-720441,6.006012,-72.078264,GC47TUCCXO      ,CHANDRA      ,2CXO J002400.4-720448 ,6.001914,-72.08002,0.13
75,CXOGLB J002401.4-720441,6.005854,-72.078206,GC47TUCCXO      ,CHANDRA      ,2CXO J002400.4-720448 ,6.001914,-72.08002,0.131
76,CXOGLB J002402.1-720542,6.008829,-72.095008,GC47TUCCXO      ,CHANDRA      ,2CXO J002400.4-720546 ,6.001806,-72.096292,0.151
77,CXOGLB J002402.1-720542,6.008796,-72.094986,GC47TUCCXO      ,CHANDRA      ,2CXO J002400.4-720546 ,6.001806,-72.096292,0.151
78,XMMSL2 J002402.8-720447,6.004696,-72.081982,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002400.9-720453 ,6.004075,-72.081474,0.033
79,CXOGLB J002402.1-720450,6.009004,-72.080725,GC47TUCCXO      ,CHANDRA      ,2CXO J002400.9-720453 ,6.004075,-72.081474,0.101
80,CXOGLB J002402.1-720450,6.00925,-72.080678,GC47TUCCXO      ,CHANDRA      ,2CXO J002400.9-720453 ,6.004075,-72.081474,0.107
81,CXOGLB J002402.8-720449,6.011667,-72.080289,GC47TUCCXO      ,CHANDRA      ,2CXO J002400.9-720453 ,6.004075,-72.081474,0.157
82,CXOGLB J002402.8-720449,6.011767,-72.080281,GC47TUCCXO      ,CHANDRA      ,2CXO J002400.9-720453 ,6.004075,-72.081474,0.159
83,XMMSL2 J002402.8-720447,6.004696,-72.081982,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002401.3-720445 ,6.005779,-72.079374,0.158
84,XMMSL2 J002402.8-720447,6.013602,-72.080555,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002401.3-720445 ,6.005779,-72.079374,0.161
85,CXOGLB J002402.1-720450,6.009004,-72.080725,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720445 ,6.005779,-72.079374,0.101
86,CXOGLB J002402.1-720450,6.00925,-72.080678,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720445 ,6.005779,-72.079374,0.101
87,CXOGLB J002403.1-720447,6.012975,-72.079817,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720445 ,6.005779,-72.079374,0.135
88,CXOGLB J002403.1-720447,6.012833,-72.079814,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720445 ,6.005779,-72.079374,0.133
89,XMMSL2 J002402.8-720447,6.011836,-72.079721,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002401.3-720445 ,6.005779,-72.079374,0.114
90,CXOGLB J002402.8-720449,6.011667,-72.080289,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720445 ,6.005779,-72.079374,0.122
91,CXOGLB J002402.8-720449,6.011767,-72.080281,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720445 ,6.005779,-72.079374,0.123
92,CXOGLB J002401.4-720441,6.006012,-72.078264,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720445 ,6.005779,-72.079374,0.067
93,CXOGLB J002401.4-720441,6.005854,-72.078206,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720445 ,6.005779,-72.079374,0.07
94,XMMSL2 J002402.8-720447,6.004696,-72.081982,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002401.3-720448 ,6.00559,-72.080101,0.114
95,XMMSL2 J002402.8-720447,6.013602,-72.080555,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002401.3-720448 ,6.00559,-72.080101,0.15
96,CXOGLB J002402.1-720450,6.009004,-72.080725,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720448 ,6.00559,-72.080101,0.073
97,CXOGLB J002402.1-720450,6.00925,-72.080678,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720448 ,6.00559,-72.080101,0.076
98,CXOGLB J002403.1-720447,6.012975,-72.079817,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720448 ,6.00559,-72.080101,0.137
99,CXOGLB J002403.1-720447,6.012833,-72.079814,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720448 ,6.00559,-72.080101,0.135
100,XMMSL2 J002402.8-720447,6.011836,-72.079721,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002401.3-720448 ,6.00559,-72.080101,0.118
101,CXOGLB J002402.8-720449,6.011667,-72.080289,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720448 ,6.00559,-72.080101,0.113
102,CXOGLB J002402.8-720449,6.011767,-72.080281,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720448 ,6.00559,-72.080101,0.115
103,CXOGLB J002401.4-720441,6.006012,-72.078264,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720448 ,6.00559,-72.080101,0.11
104,CXOGLB J002401.4-720441,6.005854,-72.078206,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720448 ,6.00559,-72.080101,0.114
105,CXOGLB J002402.1-720450,6.009004,-72.080725,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.4-720441 ,6.005988,-72.078311,0.155
106,CXOGLB J002402.1-720450,6.00925,-72.080678,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.4-720441 ,6.005988,-72.078311,0.154
107,CXOGLB J002403.1-720447,6.012975,-72.079817,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.4-720441 ,6.005988,-72.078311,0.157
108,CXOGLB J002403.1-720447,6.012833,-72.079814,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.4-720441 ,6.005988,-72.078311,0.155
109,XMMSL2 J002402.8-720447,6.011836,-72.079721,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002401.4-720441 ,6.005988,-72.078311,0.137
110,CXOGLB J002402.8-720449,6.011667,-72.080289,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.4-720441 ,6.005988,-72.078311,0.158
111,CXOGLB J002402.8-720449,6.011767,-72.080281,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.4-720441 ,6.005988,-72.078311,0.159
112,CXOGLB J002401.4-720441,6.006012,-72.078264,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.4-720441 ,6.005988,-72.078311,0.003
113,CXOGLB J002401.4-720441,6.005854,-72.078206,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.4-720441 ,6.005988,-72.078311,0.007
114,CXOGLB J002359.3-720438,5.997488,-72.077386,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.4-720441 ,6.005988,-72.078311,0.166
115,CXOGLB J002402.5-720511,6.010487,-72.086458,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.4-720504 ,6.005894,-72.084569,0.142
116,CXOGLB J002402.5-720511,6.010542,-72.086458,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.4-720504 ,6.005894,-72.084569,0.142
117,XMMSL2 J002402.8-720447,6.004696,-72.081982,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002401.4-720504 ,6.005894,-72.084569,0.157
118,CXOGLB J002402.5-720511,6.010487,-72.086458,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.7-720512 ,6.007215,-72.086781,0.063
119,CXOGLB J002402.5-720511,6.010542,-72.086458,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.7-720512 ,6.007215,-72.086781,0.064
120,CXOGLB J002403.7-720423,6.015675,-72.07305,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.0-720425 ,6.008433,-72.073742,0.14
121,CXOGLB J002403.7-720423,6.01565,-72.073031,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.0-720425 ,6.008433,-72.073742,0.14
122,XMMSL2 J002402.8-720447,6.004696,-72.081982,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.1-720450 ,6.008913,-72.080727,0.108
123,XMMSL2 J002402.8-720447,6.013602,-72.080555,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.1-720450 ,6.008913,-72.080727,0.087
124,XMMSL2 J002402.8-720447,6.017688,-72.08105,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.1-720450 ,6.008913,-72.080727,0.163
125,CXOGLB J002402.1-720450,6.009004,-72.080725,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720450 ,6.008913,-72.080727,0.002
126,CXOGLB J002402.1-720450,6.00925,-72.080678,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720450 ,6.008913,-72.080727,0.007
127,CXOGLB J002403.1-720447,6.012975,-72.079817,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720450 ,6.008913,-72.080727,0.093
128,CXOGLB J002403.1-720447,6.012833,-72.079814,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720450 ,6.008913,-72.080727,0.091
129,XMMSL2 J002402.8-720447,6.011836,-72.079721,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.1-720450 ,6.008913,-72.080727,0.081
130,CXOGLB J002402.8-720449,6.011667,-72.080289,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720450 ,6.008913,-72.080727,0.057
131,CXOGLB J002402.8-720449,6.011767,-72.080281,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720450 ,6.008913,-72.080727,0.059
132,CXOGLB J002401.4-720441,6.006012,-72.078264,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720450 ,6.008913,-72.080727,0.157
133,CXOGLB J002401.4-720441,6.005854,-72.078206,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720450 ,6.008913,-72.080727,0.161
134,CXOGLB J002402.1-720542,6.008829,-72.095008,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720542 ,6.008951,-72.095027,0.003
135,CXOGLB J002402.1-720542,6.008796,-72.094986,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720542 ,6.008951,-72.095027,0.004
136,XMMSL2 J002402.8-720447,6.013602,-72.080555,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.5-720444 ,6.010455,-72.079034,0.108
137,CXOGLB J002402.1-720450,6.009004,-72.080725,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720444 ,6.010455,-72.079034,0.105
138,CXOGLB J002402.1-720450,6.00925,-72.080678,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720444 ,6.010455,-72.079034,0.101
139,CXOGLB J002403.1-720447,6.012975,-72.079817,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720444 ,6.010455,-72.079034,0.066
140,CXOGLB J002403.1-720447,6.012833,-72.079814,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720444 ,6.010455,-72.079034,0.064
141,XMMSL2 J002402.8-720447,6.011836,-72.079721,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.5-720444 ,6.010455,-72.079034,0.048
142,CXOGLB J002402.8-720449,6.011667,-72.080289,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720444 ,6.010455,-72.079034,0.079
143,CXOGLB J002402.8-720449,6.011767,-72.080281,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720444 ,6.010455,-72.079034,0.079
144,CXOGLB J002401.4-720441,6.006012,-72.078264,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720444 ,6.010455,-72.079034,0.094
145,CXOGLB J002401.4-720441,6.005854,-72.078206,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720444 ,6.010455,-72.079034,0.098
146,CXOGLB J002402.5-720511,6.010487,-72.086458,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720511 ,6.010643,-72.086484,0.003
147,CXOGLB J002402.5-720511,6.010542,-72.086458,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720511 ,6.010643,-72.086484,0.002
148,CXOGLB J002401.4-720441,6.006012,-72.078264,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720434 ,6.010898,-72.076291,0.149
149,CXOGLB J002401.4-720441,6.005854,-72.078206,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720434 ,6.010898,-72.076291,0.148
150,XMMSL2 J002402.8-720447,6.013602,-72.080555,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.6-720441 ,6.011079,-72.078182,0.15
151,CXOGLB J002402.1-720450,6.009004,-72.080725,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720441 ,6.011079,-72.078182,0.157
152,CXOGLB J002402.1-720450,6.00925,-72.080678,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720441 ,6.011079,-72.078182,0.153
