,type,SRC_ID,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,num_obs,XOFFSET_
33,CV,CV0034,[HPH2013]_267__________,10.76359,41.20336,M31CFCXO________,CHANDRA______,2CXO_J004303.3+411211_,10.763846,41.203226,0,0.014
34,CV,CV0035,[HPH2013]_273__________,10.77905,41.30276,M31CFCXO________,CHANDRA______,2CXO_J004307.1+411810_,10.779595,41.302807,5,0.025
35,CV,CV0036,[HPH2013]_274__________,10.781,41.30138,M31CFCXO________,CHANDRA______,2CXO_J004307.4+411804_,10.781062,41.301366,0,0.003
36,CV,CV0037,[HPH2013]_50___________,10.59324,41.22933,M31CFCXO________,CHANDRA______,2CXO_J004222.3+411345_,10.593181,41.229263,45,0.005
37,CV,CV0038,[HPH2013]_79___________,10.63648,41.28032,M31CFCXO________,CHANDRA______,2CXO_J004232.7+411648_,10.636568,41.280268,0,0.005
38,CV,CV0039,[HPH2013]_81___________,10.63795,41.00713,M31CFCXO________,CHANDRA______,2CXO_J004232.5+410027_,10.635522,41.007762,7,0.116
39,CV,CV0040,[HPH2013]_88___________,10.64177,41.18255,M31CFCXO________,CHANDRA______,2CXO_J004233.9+411056_,10.64153,41.182407,0,0.014
40,CV,CV0041,[HPH2013]_97___________,10.65082,41.30052,M31CFCXO________,CHANDRA______,2CXO_J004236.2+411801_,10.650876,41.300492,0,0.003
41,CV,CV0042,1RXS_J043950.4-680854__,69.96,-68.148333,RASS2MASS_______,ROSAT________,2CXO_J043949.6-680900_,69.956677,-68.150268,1,0.138
42,CV,CV0043,1RXS_J054748.5+283512__,86.952083,28.586667,RASS2MASS_______,ROSAT________,2CXO_J054748.3+283511_,86.951467,28.586439,1,0.035
43,CV,CV0044,1RXS_J083821.6+483800__,129.59,48.633333,RASS2MASS_______,ROSAT________,2CXO_J083821.9+483803_,129.591626,48.634192,2,0.083
44,CV,CV0045,1RXS_J134210.2+282250__,205.5425,28.380556,RASS2MASS_______,ROSAT________,2CXO_J134209.7+282247_,205.540723,28.379944,3,0.101
45,CV,CV0046,1RXS_J170053.7+400354__,255.22375,40.065,RASS2MASS_______,ROSAT________,2CXO_J170053.4+400358_,255.222586,40.066165,1,0.088
46,CV,CV0047,1WGA_J0439.8-6809______,69.959583,-68.152389,WGACAT__________,ROSAT________,2CXO_J043949.6-680900_,69.956677,-68.150268,1,0.143
47,CV,CV0048,1WGA_J0836.7+5328______,129.179583,53.477889,WGACAT__________,ROSAT________,2CXO_J083642.7+532838_,129.177966,53.477267,1,0.069
48,CV,CV0049,1WGA_J1617.0-2258______,244.25875,-22.971722,WGACAT__________,ROSAT________,2CXO_J161702.1-225821_,244.258799,-22.972552,1,0.05
49,CV,CV0050,1WGA_J1617.0-2258______,244.25875,-22.971722,WGACAT__________,ROSAT________,2CXO_J161701.7-225816_,244.257109,-22.971307,1,0.094
50,CV,CV0051,1WGA_J1740.6-5340______,265.1725,-53.668361,WGACAT__________,ROSAT________,2CXO_J174041.4-534004_,265.172853,-53.667935,5,0.028
51,CV,CV0052,1WGA_J1910.8-5958______,287.712083,-59.980444,WGACAT__________,ROSAT________,2CXO_J191051.5-595856_,287.714643,-59.982464,2,0.143
52,CV,CV0053,2E_1936.6+3023_________,294.664275,30.509108,IPC_____________,EINSTEIN_____,2CXO_J193840.1+303028_,294.667085,30.507841,1,0.164
53,CV,CV0054,2XMM_J004414.4+412204__,11.06001,41.36784,XMMSSCLWBS______,XMM-NEWTON___,2CXO_J004414.4+412204_,11.060336,41.368015,25,0.018
54,CV,CV0055,2XMM_J020052.2-092431__,30.21758,-9.40881,XMMSSCLWBS______,XMM-NEWTON___,2CXO_J020052.2-092431_,30.217678,-9.408798,1,0.006
