obs_id,class,src_n,src_id,significance,photflux_aper_hilim_b,photflux_aper_m,photflux_aper_lolim_h,photflux_aper_b,photflux_aper_hilim_m,photflux_aper_s,photflux_aper_hilim_h,photflux_aper_lolim_s,photflux_aper_lolim_m,photflux_aper_lolim_b,photflux_aper_h,photflux_aper_hilim_s,flux_aper_hilim,flux_aper_lolim,flux_aper_b,flux_aper_m,flux_aper_lolim_b,flux_aper_lolim_s,flux_aper_hilim_h,photflux_aper_hilim,flux_aper_hilim_b,flux_aper_hilim_s,flux_aper_hilim_m,photflux_aper_lolim,photflux_aper,flux_aper_lolim_h,flux_aper_s,flux_aper_h,flux_aper_lolim_m,flux_aper,kp_prob,var_inter_prob,var_min,var_inter_sigma,var_inter_index,var_max,ks_prob,var_sigma,var_prob,var_index,var_mean,hard_hm_lolim,hard_hs_lolim,hard_ms,hard_ms_hilim,hard_ms_lolim,hard_hm,hard_hm_hilim,hard_hs_hilim,hard_hs
BH_OBS_2,BH,1A 0620-00          ,BH0001,23.63,-4.390512310146715,-5.0310036733516865,-5.0390538042661674,-4.415103655862549,-4.991399828238082,-4.916855856856948,-4.95233580539844,-4.964570261815451,-5.0745847629157534,-4.441291429466834,-4.993533957750769,-4.873868592738017,-13.339159176967847,-13.413232714189364,-12.979638717352293,-13.64187471472335,-13.005330978174472,-13.732593581247096,-13.164816930150955,-4.7318434232596065,-12.95546023960759,-13.642065152999544,-13.602059991327966,-4.85275664045663,-4.788073583686384,-13.258218303856836,-13.68507994400758,-13.207608310501744,-13.685922008220787,-13.376213344258261,0.4292,0.9964,0.00482852,1.18358e-05,7.8,0.007894179999999999,0.5602,0.0004263418,0.3546,0.4,0.00510126,-0.0281,-0.1618,-0.1299,-0.0618,-0.1968,0.04,0.1068,-0.0194,-0.0912
BH_OBS_1,BH,1A 0620-00          ,BH0001,23.63,-4.601886308269497,-5.266321344322912,-5.457921853664375,-4.628932137728264,-5.224316750973956,-5.127785436602414,-5.324680016660707,-5.17063189201118,-5.3128278954052,-4.659754238432068,-5.384365531122584,-5.088789106862447,-13.6773094413256,-13.763468784416244,-13.324130044681047,-13.9072793553159,-13.354774288464586,-13.98171569157347,-13.569119053547109,-5.026631964816117,-13.297138829427073,-13.89928491342692,-13.865185629679539,-5.119072134732916,-5.06971335275448,-13.698102282804792,-13.938547520912804,-13.626904012921274,-13.953895212753961,-13.717297243156693,0.4264,0.9964,0.0032610800000000004,1.18358e-05,7.8,0.00335796,0.4672000000000001,3.4747e-05,0.1838,0.0,0.00330598,-0.2217,-0.3691,-0.1624,-0.0956,-0.228,-0.1324,-0.0468,-0.2105,-0.2898
BH_OBS_0,BH,1A 0620-00          ,BH0001,23.63,-5.0090399003178,-5.814174640387037,-5.8338660296948905,-5.048711062722329,-5.745210312602791,-5.578396073130169,-5.6552148773673405,-5.640923773940737,-5.896538377905295,-5.092427421201449,-5.732359017654084,-5.523748203992967,-14.102266272271356,-14.232231357465015,-13.769551078621724,-14.414877813693185,-13.81559251458768,-14.473531487530522,-13.944621668625,-5.451657269497613,-13.727926212499991,-14.354675998437704,-14.347947151751894,-5.573147292964632,-5.507566502162335,-14.135963817274225,-14.40837896178668,-14.029792641193144,-14.499900808084275,-14.161932082639913,0.4978,0.9964,0.00118278,1.18358e-05,7.8,0.00253714,0.5988,0.000121256,0.4218,1.0,0.00125702,-0.0381,-0.2954,-0.2673,-0.1655,-0.3679,0.0974,0.2255,-0.0606,-0.1761
BH_OBS_198,BH,CJ0422+32           ,BH0033,3.65,-5.3533022687006655,-5.861066059743076,-7.064694309710075,-5.458545571252412,-5.742081549685942,-6.3959900675877694,-6.19942037843087,-7.0192242260373785,-6.025166044951461,-5.5977386175453185,-6.444905551421682,-6.149966742310232,-14.376378616634682,-14.784671284004467,-14.19456711186786,-14.375305468727918,-14.333762904104194,-15.829444941478794,-14.478992747591395,-5.465471317558186,-14.089322245257295,-14.96018944585165,-14.256411849840095,-6.093457020798756,-5.674656775102706,-15.344285450381289,-15.206209615309179,-14.72445831159869,-14.5394028111024,-14.534230620044589,0.5955,,0.0006072,,,0.001471,0.696,0.00017155000000000002,0.5820000000000001,1.0,0.0007357500000000001,-0.7951,-0.5091,0.5222,0.7626,0.2405,-0.5721,-0.3054,0.3579,-0.0887
BH_OBS_48,BH,CXOU J100506.7-07443,BH0014,11.41,-6.65247484000131,-6.888403918933985,-6.342057950950776,-6.854803593885817,-7.722849386036201,-6.932557157223619,-7.170374646641951,-7.2959353205914335,-7.4969900912534255,-7.246110668540165,-6.2011631368170015,-6.737786294523582,-15.618749505533847,-16.69924152324571,-15.823619307756731,-15.533038093227091,-15.361156102844802,-16.097181531917748,-15.680477550934546,-6.3923348505439925,-15.522589312092748,-15.485319455875018,-15.335235211133398,-7.535570071549156,-6.672886383535031,-14.675501693082174,-15.691435586438761,-14.99471427599215,-16.249321832469207,-16.053547734986928,0.5309299999999993,0.9936,0.00020789164999999987,1.7710400000000001e-06,7.6,0.0003526994999999998,0.4254849999999999,2.1519900000000024e-05,0.4375850000000005,0.91,0.00025068280000000007,0.2804,-1.0,-0.9994,-0.7189,-1.0,0.9994,1.0,-0.2692,-0.9806
BH_OBS_46,BH,CXOU J100506.7-07443,BH0014,11.41,-5.4329736338409385,-6.065249125336421,-6.376130731649697,-5.470441326978837,-6.008286724286911,-5.907981529247202,-6.180456064458133,-5.9730583720409705,-6.135014539340206,-5.5141366704026655,-6.264800451577687,-5.851089006890644,-14.031675854803124,-14.395514743994136,-14.199764210672646,-14.722161666997952,-14.245193144645574,-14.732124580681102,-14.532687937019448,-5.7493799755156205,-14.161025045044534,-14.609771637530867,-14.665144310382708,-5.928353606144332,-5.828800283199578,-14.743041847439068,-14.66655272550325,-14.625251653989894,-14.792096469613949,-14.176212878538134,0.131,0.9936,0.000518575,1.7710400000000001e-06,7.6,0.0006126999999999999,0.151,1.07105e-05,0.185,0.0,0.00052645,-0.3417,-0.4928,-0.1811,-0.0831,-0.2742,-0.2199,-0.0993,-0.2755,-0.386
BH_OBS_43,BH,CXOU J100506.7-07443,BH0014,11.41,-6.822752163744378,-6.858381982983859,-6.342057950950776,-7.036731748473764,-7.858550226599532,-7.088256622144067,-7.305833704066802,-7.447331783887807,-7.423783001705025,-7.513853003193427,-6.2011631368170015,-6.894489815230027,-14.984032824974769,-16.22725667481188,-15.245881105774588,-15.505839713837963,-15.751046384504292,-16.224535190654258,-14.951558196449596,-6.681602720782489,-15.018679826740891,-15.630969778190849,-15.299893037157046,-7.877260007037642,-6.980219269596352,-14.675501693082174,-15.833273944419947,-15.240861183718831,-16.18494008699543,-15.4918744639168,0.5330299999999993,0.9936,0.00021711754999999988,1.7710400000000001e-06,7.6,0.0003887109999999999,0.42748999999999987,2.1638470000000025e-05,0.4328600000000005,0.905,0.0002779092000000001,0.2342,-1.0,-0.9994,-0.7014,-1.0,0.9994,1.0,-0.2542,-0.9994
BH_OBS_45,BH,CXOU J100506.7-07443,BH0014,11.41,-5.436637590513391,-6.1387643813659585,-6.2833290244398645,-5.4719836588107995,-6.080555789534763,-5.8830603534492445,-6.113283725883522,-5.9434762759209,-6.205930416018367,-5.513144644723057,-6.1876214888458065,-5.830031826003107,-14.447118946597636,-14.558540531082206,-14.2003149090909,-14.813608784304506,-14.241088107602026,-14.757458571701616,-14.469672210221916,-5.774685548132508,-14.16304326294045,-14.643974142806876,-14.755475488429914,-5.935085492806917,-5.8457160462741875,-14.647817481888636,-14.69702006325175,-14.54714066420415,-14.880744110722064,-14.498701051461401,0.754,0.9936,0.000501825,1.7710400000000001e-06,7.6,0.0005605,0.71975,1.6185250000000002e-05,0.1805,0.0,0.00051915,-0.1668,-0.4316,-0.2873,-0.198,-0.3729,-0.05,0.0656,-0.2317,-0.3335
BH_OBS_44,BH,CXOU J100506.7-07443,BH0014,11.41,-5.426780172885578,-6.120158944013437,-6.363411816270157,-5.484391050765519,-6.032405227328111,-5.913996294381617,-6.079407137915193,-6.0268721464003026,-6.238673677578544,-5.550675906901274,-6.198596289982644,-5.8297382846050425,-14.484351306292368,-14.683023760678454,-14.187220292991036,-14.796695083861515,-14.258533238230244,-14.911863911299449,-14.321208565633755,-5.610514959291854,-14.129362036789196,-14.711750774428015,-14.70377371273884,-5.8825762307604155,-5.722881506203084,-14.61636413163812,-14.7972393126068,-14.444180316938805,-14.915066425063285,-14.575575756230489,0.41175,0.9936,0.00042745,1.7710400000000001e-06,7.6,0.00087085,0.4595,7.69775e-05,0.47525,1.5,0.0004981499999999999,-0.2655,-0.4753,-0.2386,-0.0856,-0.3816,-0.075,0.1081,-0.1418,-0.3111
BH_OBS_47,BH,CXOU J100506.7-07443,BH0014,11.41,-6.508918586576812,-7.603103550857476,-6.343913985094972,-6.656394491895827,-7.322210608931138,-6.759950227887352,-7.431094585017121,-6.96980521464325,-8.64435694977913,-6.881404634776237,-6.207893300987873,-6.619065536669298,-14.10400540201988,-15.220198818159695,-15.183423130488816,-16.165070903539426,-15.180258712034124,-15.734003629504919,-15.9072793553159,-6.55793434073484,-15.77780395369828,-15.370284667352868,-15.903437561625864,-7.317190897764559,-6.799291737496996,-14.684054599685737,-15.515130967279598,-14.827511499757707,-17.049683836075403,-14.37605267717404,0.544,0.9936,5.728e-05,1.7710400000000001e-06,7.6,0.0001053,0.259,4.782e-06,0.536,1.0,6.081e-05,-0.8801,-1.0,-0.7545,-0.5278,-0.9213,-0.1886,0.2255,-0.6502,-0.9994
BH_OBS_49,BH,CXOU J100508.7-07444,BH0015,3.88,-5.709520186669327,-6.474436941729933,-7.642065152999545,-5.806597096937582,-6.328271911760442,-6.2335127937603065,-6.575118363368933,-6.430977413970437,-6.696156225111347,-5.940436582098732,-6.84043280676638,-6.104411724333737,-14.835903036886172,-15.218086728788109,-14.630969778190849,-15.09404230090757,-14.767512133647013,-15.2242439621559,-14.88907375773358,-6.052262476294443,-14.532687937019448,-14.910801633194849,-14.945386945443113,-6.410117390136271,-6.19176201115204,-15.9434762759209,-15.039719535563355,-15.141763664570489,-15.337053385667375,-14.982390767329662,0.7466666666666666,0.69275,0.0002728333333333333,7.636749999999998e-07,4.5,0.0004549666666666667,0.7326666666666667,5.741e-05,0.4906666666666666,0.3333333333333333,0.0003383,-0.6602,-0.8214,-0.2936,-0.0418,-0.5228,-0.3186,0.0331,-0.2967,-0.5809
BH_OBS_50,BH,CXOU J100510.0-07452,BH0016,7.77,-5.1674910872937625,-5.829444941478791,-7.060031709448664,-5.220115036807356,-5.752763450493236,-5.651305809734459,-6.423198104171088,-5.7340036295049215,-5.928854709548918,-5.279923427231858,-6.634137784597446,-5.581864501574769,-14.353792387793314,-14.538231436223436,-14.093503340200643,-14.4502612687351,-14.154777893570984,-14.526075306583845,-14.746661994673893,-5.543925619116672,-14.039814723395391,-14.373967752170982,-14.373556974668706,-5.712956035890614,-5.619239000051408,-15.473660722610154,-14.443456291516485,-14.96537154337468,-14.549596913844633,-14.43490813361814,0.60275,0.7894,0.000974975,2.2222799999999998e-06,6.0,0.00219745,0.5297499999999999,0.0001844025,0.5705,1.0,0.001074625,-0.8626,-0.9088,-0.1986,-0.0718,-0.3192,-0.7283,-0.569,-0.6939,-0.8107
BH_OBS_53,BH,CXOU J100510.9-07453,BH0017,4.58,-7.138704606473304,,,-7.462055040708513,,-7.598944274228157,-7.297483302561848,-8.941573975542994,,,,-7.307946634965919,-15.357337668557966,-16.907677114479142,-15.490259984429615,,-16.46801044858745,-17.513427849481644,-15.244125144327507,-7.2408863916290995,-15.212752119668044,-15.869988050328095,,-9.418695230262657,-7.701219675827987,,-16.151749285322953,,,-15.881724248549535,,0.7609999999999999,,1.4263249999999996e-06,5.5,,,,,,,,-0.5965,,,,,,0.5628,0.1537
