obs_id,class,src_n,src_id,significance,photflux_aper_lolim_b,photflux_aper_b,photflux_aper_lolim_h,photflux_aper_s,photflux_aper_m,photflux_aper_lolim_m,photflux_aper_hilim_b,photflux_aper_hilim_s,photflux_aper_lolim_s,photflux_aper_h,photflux_aper_hilim_h,photflux_aper_hilim_m,flux_aper_lolim_h,flux_aper_lolim,flux_aper_h,photflux_aper_hilim,flux_aper_m,flux_aper_hilim_h,flux_aper_hilim_b,flux_aper_lolim_m,flux_aper_hilim_s,flux_aper_lolim_s,flux_aper_hilim_m,flux_aper,flux_aper_hilim,flux_aper_s,photflux_aper,flux_aper_b,flux_aper_lolim_b,photflux_aper_lolim,var_max,var_mean,var_min,kp_prob,var_inter_index,var_prob,var_inter_sigma,var_inter_prob,var_sigma,var_index,ks_prob,hard_hm_hilim,hard_hm,hard_hs_hilim,hard_hm_lolim,hard_hs_lolim,hard_ms,hard_ms_lolim,hard_ms_hilim,hard_hs
TUC_OBS_40,TUC,CXOGLB J002350.3-720431,TC0006,5.09,-6.349886835556427,-6.1884920200546745,-7.8127613801685225,-6.433444669116946,-7.4772950072652495,-7.817585347565452,-6.0768596439748,-6.3104247842400625,-6.605548319173784,-7.053007659251628,-6.791558643561433,-7.190103753397561,-16.851397345193902,-15.678944518010235,-15.509058794643213,-6.368931834853734,-16.14551177495557,-15.218101080648848,-14.904830648568243,-16.465846925814954,-15.100343619694364,-15.395449967428739,-15.858236769724215,-15.395873349067292,-15.226579276709389,-15.223298816011589,-6.533212427643793,-15.029839156962685,-15.205930416018367,-6.807878777868295,0.0002841,0.0001891,9.413e-05,0.9505,3.5,0.8394999999999999,7.561000000000002e-07,0.5609999999999999,9.498e-05,4.0,0.8915,0.8851,0.5796,-0.3104,0.1118,-0.8239,-0.8395,-0.9638,-0.669,-0.5859
TUC_OBS_42,TUC,CXOGLB J002350.3-720431,TC0006,5.09,-6.9746941347352305,-6.647238808276169,-7.812761380168504,-6.858863909879261,-7.278932179010907,-7.817585347565452,-6.46268472688799,-6.6742791419805885,-7.214243200037358,-7.053007659251639,-7.021728158389366,-7.526513029935431,-16.851397345193863,-16.45345733652187,-15.509058794643195,-6.710870554648671,-16.03764450678587,-15.737786294523582,-15.442252258358533,-16.465846925814954,-15.43297363384094,-15.97305837204097,-15.695862188169778,-15.959496554223573,-15.585904479376508,-15.617442678091214,-7.1382267032813065,-15.70377371273884,-16.46344155742847,-7.4760975272661785,9.193e-05,6.119e-05,6.029e-05,0.395,3.5,0.495,7.561000000000002e-07,0.5609999999999999,2.406e-06,0.0,0.217,1.0,0.9994,-0.1918,0.1905,-1.0,-0.9994,-1.0,-0.6415,-0.9994
TUC_OBS_41,TUC,CXOGLB J002350.3-720431,TC0006,5.09,-6.965371543374681,-6.610125441609013,-7.812761380168504,-6.7256112044496215,-7.281726021662377,-7.817585347565452,-6.425621435586917,-6.553462832926357,-7.038578905933552,-7.053007659251639,-7.296880653763923,-7.489320968967791,-16.851397345193863,-16.326671845258783,-15.509058794643195,-6.675968725983481,-16.03764450678587,-15.59747128677743,-15.664141088680182,-16.465846925814954,-15.364616795952502,-15.849550590539119,-15.690707439549003,-15.876148359032914,-15.577574323628795,-15.536704390037995,-7.061980902523791,-15.964970717797632,-15.988409232989584,-7.3983745204460565,0.0001226,8.358e-05,8.271e-05,0.637,3.5,0.493,7.561000000000002e-07,0.5609999999999999,3.207e-06,0.0,0.417,1.0,0.9994,-0.5753,-0.17800000000000002,-1.0,-0.9994,-1.0,-0.7039,-0.9994
TUC_OBS_43,TUC,CXOGLB J002350.3-720431,TC0006,5.09,-6.481354475669688,-6.288614620901548,-7.812761380168504,-6.5141366704026655,-7.197910742118268,-7.817585347565446,-6.161654731224009,-6.382789905442567,-6.716472635138307,-7.053007659251639,-7.330125497510197,-6.95233580539844,-16.851397345193863,-15.81997453477061,-15.509058794643195,-6.3858919769766755,-15.845880474484153,-15.451959426892499,-15.218244625347529,-16.465846925814937,-15.185153331395535,-15.518844129171965,-15.60049933868539,-15.494951821379411,-15.315558612374394,-15.316502682320188,-6.560162239118304,-15.387004343967652,-15.688034339631633,-6.8463558393116255,0.00024660000000000003,0.00015165000000000005,0.00014524999999999998,0.27399999999999997,3.5,0.493,7.561000000000002e-07,0.5609999999999999,1.3214999999999996e-05,0.5,0.146,-0.1605,-0.9994,-0.7302,-1.0,-1.0,-0.6696,-0.8651,-0.4229,-0.9994
TUC_OBS_47,TUC,CXOGLB J002350.3-720431,TC0006,5.09,-6.71556926615548,-5.955852379121278,-7.812761380168504,-6.0687455935835874,-7.326427504085894,-7.817585347565452,-5.694433686484697,-5.833273944419947,-6.688458041598805,-7.053007659251639,-6.263364502313179,-6.468521082957745,-16.851397345193863,-15.993819302361493,-15.509058794643195,-5.754768727709793,-16.03165188077644,-15.483140539724987,-14.939679971311715,-16.465846925814954,-14.651305809734462,-15.516698047641833,-15.731945428515216,-15.374002001173947,-14.770403472382906,-14.896880746454285,-6.406581006034088,-14.944156814570313,-15.435526155217765,-7.099742141562222,0.0001953229,0.0001335815999999998,9.508259999999985e-05,0.5480100000000003,3.5,0.56296,7.561000000000002e-07,0.5609999999999999,3.2508209999999996e-05,1.62,0.4454700000000004,1.0,0.9994,-0.248,-0.163,-1.0,-0.9994,-1.0,-0.4403,-0.9994
TUC_OBS_46,TUC,CXOGLB J002350.3-720431,TC0006,5.09,-6.531209737900388,-5.907981529247202,-7.812761380168504,-6.064996848546345,-7.332015189388833,-7.817585347565452,-5.661942124580244,-5.81901441921327,-6.688246138944246,-7.053007659251639,-6.264321274094097,-6.478338984887928,-16.851397345193863,-15.502379350218714,-15.509058794643195,-5.805735483974483,-16.03165188077644,-15.467549983308743,-14.455188088242226,-16.465846925814954,-14.45892023222337,-15.328179439816749,-15.734522802825603,-14.879097182385475,-14.50803165176474,-14.704872914747806,-6.377371573870675,-14.701146923590295,-15.324404943613253,-7.000608438280909,0.0001989279,0.00013637269999999978,9.667179999999985e-05,0.5480100000000003,3.5,0.5698700000000001,7.561000000000002e-07,0.5609999999999999,3.3433949999999995e-05,1.73,0.4691600000000004,1.0,0.9994,-0.2505,-0.1718,-1.0,-0.9994,-1.0,-0.4553,-0.9994
TUC_OBS_2,TUC,CXOGLB J002353.9-720350,TC0001,29.48,-4.910094888560601,-4.879755204453635,-6.057148993445662,-5.17470373556904,-5.84103473961659,-5.9136401693252525,-4.851705902565255,-5.141823862017656,-5.210278306019078,-5.946537395074545,-5.862645888629268,-5.778585762157661,-14.311135431945207,-14.031675854803124,-14.198870812420294,-5.119632359886307,-14.454198242840723,-14.114186625339514,-13.644548479873484,-14.527097348196335,-13.9051796196452,-13.973466735476705,-14.391794992295676,-13.983351014308994,-13.940474447261307,-13.937794191180286,-5.160383704319706,-13.672436739812722,-13.702020755840636,-5.205669526952074,0.00336284,0.00199856,0.00134766,0.8420000000000001,4.4,0.8316000000000001,6.80184e-06,0.7458000000000001,0.0007261160000000001,4.8,0.7556,0.0144,-0.1124,-0.6527,-0.2417,-0.7639,-0.6458,-0.6952,-0.5965,-0.7096
TUC_OBS_0,TUC,CXOGLB J002353.9-720350,TC0001,29.48,-5.5446982283429245,-5.355659901173677,-6.350324579236343,-5.654234306885512,-6.133830852366228,-6.538501473216982,-5.230770418263406,-5.5003129173815966,-5.913996294381617,-6.1127726397155095,-6.101713721410878,-5.928117992693875,-14.88702294514861,-15.404415605504973,-14.554413807908661,-5.272471755735139,-15.302073555193493,-14.965772739229449,-14.578067186721492,-15.706637445288555,-14.864867348623227,-15.290814870449756,-15.096313268263495,-15.164753460003688,-14.884715747696866,-15.021956506090035,-5.508391808942788,-14.705093089394808,-14.898940645091884,-6.0030507515046185,0.5144,0.009977,0.00046055,0.8270000000000001,4.4,0.7975,6.80184e-06,0.7458000000000001,0.032235,5.0,0.5025,0.1468,-0.2311,-0.4703,-0.8688,-1.0,-0.5334,-0.7651,-0.243,-0.9994
TUC_OBS_1,TUC,CXOGLB J002353.9-720350,TC0001,29.48,-5.198390511972682,-5.082284483440507,-6.458420756053419,-5.414313721547504,-5.856048883576037,-6.099086932262331,-4.99097425791309,-5.2973110318408665,-5.574791948861344,-6.053842605077628,-5.848017604542526,-5.708409174341999,-15.21616785661556,-14.452326190602017,-14.790216985151485,-4.870509903438811,-14.911155437272994,-14.579384229374234,-14.176004408844033,-15.154281982033341,-14.423889105879159,-14.701365216875566,-14.763714722551972,-14.236048173966674,-14.09731192131508,-14.540758335121918,-5.007955740187294,-14.268572412949052,-14.38636956507476,-5.222297752605841,0.03295975,0.0027085,0.000786975,0.6545,4.4,0.623,6.80184e-06,0.7458000000000001,0.003365475,3.25,0.745,0.1318,-0.1924,-0.4229,-0.5141,-0.8151,-0.4922,-0.669,-0.2867,-0.6384
TUC_OBS_6,TUC,CXOGLB J002353.9-720350,TC0001,29.48,-5.095988116402612,-4.964170174747172,-6.248812638727681,-5.235226283088958,-5.872895201635193,-6.228192121000895,-4.8687022034023775,-5.1284270644541206,-5.3871102307125165,-6.111352651740743,-6.0508052257620175,-5.688246138944246,-14.535934371730173,-14.320081754745605,-14.372333050887903,-5.245688366781946,-14.518270803039984,-13.78462684721658,-13.578725208789654,-14.873543886568196,-13.882397308309915,-14.140921775253029,-14.333669255698032,-14.16327090048313,-13.905521883570938,-13.988852639224202,-5.443263421753393,-13.6769542645183,-13.813608784304506,-5.594848373098231,0.003157233333333333,0.002257933333333333,0.0017368666666666664,0.5696666666666667,4.4,0.4986666666666666,6.80184e-06,0.7458000000000001,0.0005476933333333334,0.6666666666666666,0.6923333333333334,-0.2105,-0.9994,-0.7314,-1.0,-1.0,-0.6309,-0.7914,-0.4316,-0.9994
