obs_id,class,src_n,src_id,significance,photflux_aper_hilim_s,photflux_aper_hilim_m,photflux_aper_hilim_b,photflux_aper_b,photflux_aper_lolim_h,photflux_aper_s,photflux_aper_lolim_m,photflux_aper_lolim_b,photflux_aper_m,photflux_aper_h,photflux_aper_hilim_h,photflux_aper_lolim_s,flux_aper,photflux_aper_hilim,flux_aper_hilim_s,photflux_aper_lolim,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_b,flux_aper_lolim_b,flux_aper_lolim_s,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_lolim,flux_aper_h,flux_aper_lolim_h,flux_aper_m,flux_aper_hilim,flux_aper_s,photflux_aper,var_sigma,kp_prob,var_inter_sigma,ks_prob,var_index,var_prob,var_inter_index,var_mean,var_inter_prob,var_max,var_min,hard_hs,hard_hm_lolim,hard_hm,hard_hm_hilim,hard_ms,hard_ms_hilim,hard_hs_lolim,hard_hs_hilim,hard_ms_lolim
NS_OBS_48,NS,1A 1742-289         ,NS0001,167.36,-7.147764060588112,-7.322393047279506,-6.106127321204919,-6.296450701761769,-6.683819901106548,,,-6.6679657229724825,,-6.326242063450422,-6.139721900247765,,-14.559059448460335,-6.188980280809486,-15.950007143079855,-7.073760478954138,-14.001130636117654,-13.990549104201307,-14.166470418241355,-14.436875039661956,,,-15.80715388481116,-14.829444941478794,-14.155833589549802,-14.426200417784257,,-14.370170581982302,,-6.709030991051482,,,0.002257511,,,,5.2,,0.7596,,,0.9994,0.8039,0.9994,1.0,-0.9994,0.1893,0.7202,1.0,-1.0
NS_OBS_40,NS,1A 1742-289         ,NS0001,167.36,-6.226652458019178,-6.568153954301275,-5.8687022034023775,-6.159768405041891,-7.043927663004818,,,-7.502241281712732,,-6.248028425263673,-5.983384452442823,,-15.05700040663396,-5.1464757841690725,-15.114243118930734,-7.613180114008032,-14.406160338918731,-14.387852161673512,-14.671009144550572,-15.466863711721357,,,-15.119872677783375,-15.887193982733116,-14.647431613820693,-15.512861624522813,,-14.256074953604953,,-6.59960017794618,,,0.002257511,,,,5.2,,0.7596,,,0.9994,0.3816,0.9994,1.0,-0.9994,0.0056,0.0231,1.0,-1.0
NS_OBS_24,NS,1A 1742-289         ,NS0001,167.36,,-6.25500332596144,-5.810509686300633,,,,,,,,-5.8683813356508745,,-14.079702712368315,-5.938434438115162,,,-13.31452698027724,-13.430626090384955,-13.602581457648652,,,,-14.846185135655473,,,,,-13.53762696227128,,,,,0.002257511,,,,5.2,,0.7596,,,,0.1006,0.9994,1.0,,,,,
NS_OBS_50,NS,1A 1743-288         ,NS0003,42.8,,-6.525638023967368,-6.0808172709575,-6.272702797196412,-7.423773862550394,,-7.191789027075777,-6.624885315307775,-6.741841806659206,-6.724919101543143,-6.469544156415324,,-14.62637089935033,-6.310543144800009,,-6.946678214816703,-14.288108450119418,-14.275888046038787,-14.475733731233019,-14.813608784304506,,-15.653842697767992,-15.017095882207371,-15.052288601431535,-14.500863005462618,-15.044889769029448,-15.227898430722988,-14.419820385520744,,-6.5212892444872415,,,0.00021748525,,,,7.75,,0.99675,,,,-0.3317,0.1274,0.5153,,,,,
NS_OBS_51,NS,1A 1744-361         ,NS0004,11.5,-5.272865576239512,-5.086875209610441,-4.495937117321309,-4.532096053477201,-5.085498177172687,-5.349304020239389,-5.205581669125858,-4.57154122648442,-5.142185222028994,-5.016148281008529,-4.959793372425289,-5.4421320384319785,-13.332988570702135,-4.8506884940920845,-14.09555495892309,-4.9500555297415865,-12.997402019280093,-13.10083635852278,-13.035127791362223,-13.076393356982539,-14.264880365918126,-13.817300096663956,-13.699839463048649,-13.388027230148435,-13.159768405041893,-13.227971834675145,-13.754734160542538,-13.284278621700663,-14.169347186202573,-4.897163403833139,0.0002723475,0.4245,,0.521,0.0,0.27175,,0.004965,,0.0063475,0.00477075,0.3748,0.0481,0.1449,0.23800000000000002,0.2411,0.3504,0.2705,0.4741,0.133
NS_OBS_52,NS,1H 1715-321         ,NS0006,2.32,-6.13649869935855,-6.448184177648986,-5.816730156317196,-5.972650392225241,,-6.3210266240802335,-7.3174939140609885,-6.218172847067572,-6.694218848745017,,-6.468265690723451,-6.6763354643919,-15.13919500363245,-6.0619007633009945,-14.945386945443113,-6.762486422243394,-14.461300620457592,-14.625434939277234,-14.620150821237171,-14.873543886568196,-15.485452247339715,-15.933301449577005,-15.064140201962118,-15.448159800310036,,,-15.310158590862493,-14.790436733195564,-15.130005999878259,-6.457249243267425,2.814e-05,0.4185,,0.34550000000000003,1.0,0.5565,,0.00027255,,0.0004900999999999999,0.00026255,-0.9619,-0.614,0.1274,0.5091,-0.4372,-0.0643,-1.0,-0.193,-0.7439
NS_OBS_412,NS,1WGA J0514.1-4002   ,NS0075,5.35,-5.206209615309182,-5.8395314688809625,-5.019951154935043,-5.0943120322881486,,-5.280585840297406,-6.22395292881822,-5.184090349113227,-5.985899678480378,,-6.4463596637686456,-5.376337292643796,-13.90692168327726,-5.220031415774758,-13.906928693623936,-5.483938179242519,-13.856985199745905,-14.557833914215278,-13.952725132615821,-14.075875846814174,-14.069254671688885,-14.918652692195867,-14.506402550999471,-14.07583447262862,,,-14.665345233116758,-13.771219928007204,-13.980468315468745,-5.332939490352825,0.00044230000000000007,0.5660000000000001,,0.39766666666666667,1.0,0.5770000000000001,,0.002118033333333333,,0.0040574666666666655,0.0017817,-0.9994,-1.0,-0.9994,-0.4728,-0.6758,-0.5478,-1.0,-0.8726,-0.7939
NS_OBS_417,NS,1WGA J0748.5-6745   ,NS0076,6.77,0.40834335866155624,1.4318254780048632,2.008884350295265,1.9040929858796305,2.05594467414144,0.5770184840012327,0.5326820271122558,1.5100574266961713,1.3043151903104198,2.226495729528002,1.7321028241072964,0.3362744280078396,1.614845915898661,1.79019477721316,-0.11054244263861819,1.3733329939324537,1.5676679824743973,1.7449146388370886,1.5062769140379657,1.3304932214370353,0.44533107455650894,0.42832965802420675,1.3239986839555997,1.395127571186782,2.133944047466728,2.4581821376207036,1.108328591068944,1.6977002361620346,0.537889788109859,1.4758863228916923,-0.12618966739167067,-0.627621641123814,,-0.32361190200407824,-0.7511069383063782,-0.665613166688784,,1.8405783953431343,,1.4061227583374847,2.249349635618316,1.1669032449050396,0.7688619503380202,0.39735481563731556,0.5050349527970618,0.4387708167085085,1.0999931885535619,1.3446748300900275,1.1618403942022435,0.4408569164336369
NS_OBS_415,NS,1WGA J0748.5-6745   ,NS0076,6.77,0.15474173890010712,0.12687679702349003,-0.7780901793524512,-0.7775601163408504,-0.31561840415083836,-1.0419684829518991,0.22682501474749997,-0.5777583490625032,-0.010642664847903351,-0.0903291654280618,-1.4180353093606952,-0.08425649511245106,-1.1936203669968488,-0.6568292937121583,-1.2272269199280676,-0.5904707598350584,-1.4971250332591404,-0.6635996990395759,-1.4889420338457038,-1.3904000897740703,-0.34703570269327616,0.05666602154585157,-0.2066150284628067,-1.1781905358343445,-0.26993610641278304,-0.4648385003324405,-0.3029488820763338,-1.5566373644954736,-1.2887763915363666,-0.8353365103865126,0.5336386396676192,1.091234573442582,,1.4983498733716318,0.7488847284297322,1.3921282594457964,,-0.5056392503344023,,-0.1873886438830752,-0.7519118849203484,-0.9780353295994603,-1.3644165917158595,-1.5784397593107444,-1.3658186246244357,-0.034914067362791054,0.007539861307461631,-0.7688664045543208,-1.345133382408233,-0.15454550378486015
NS_OBS_421,NS,1WGA J0748.5-6745   ,NS0076,6.77,0.33638280992562214,-0.6386875435828837,0.026354162586063042,0.3140958590380067,0.415174591464273,-0.03626558779885963,-0.12581907271265955,0.7334709653381808,-0.7825481694194889,-0.30647859737325855,0.5798031771913125,0.8032033161056724,0.46823825246974565,-0.28063289844080364,1.2782606374292913,0.7966623039238735,0.3194602264214951,0.0018071228369754041,0.4522509273864947,0.6875833296977015,1.1800231255950535,0.0023536614968600604,-0.5041955036274857,0.7086392225853039,-1.7635209334564639,-1.2264334937719965,-0.535036076860171,0.16231339763983568,1.3127236999711918,0.27842102562723864,-0.2708330762972791,1.18059925982017,,0.6066008044238539,0.24888750618436203,-0.03746052081612263,,-0.5609032098009339,,-0.6874715943323677,-0.569195604867919,0.251323100935038,0.975232079246579,0.44727858819574456,0.47965253269818126,-0.44843360123663284,-0.7109645691682993,0.5133934846168523,0.16975861159918687,-0.5090946382198893
NS_OBS_419,NS,1WGA J0748.5-6745   ,NS0076,6.77,-1.6935674475846283,1.0922774938131226,-0.9170768388436477,-0.9285989430864771,-0.1670045908247799,-0.3051697439587185,1.5191417134024994,-0.7319555977293357,1.3071015046821564,0.29957170225391444,-1.4783436803859789,-0.2145823855638785,-0.3777009739593342,-1.2255092042242923,-0.5477368024624372,-0.45149186047973827,-1.246188336851732,-0.04958776090872171,-1.2279676119734453,-1.1536758400082325,-0.23002151309814395,1.5686796784380217,1.272611935300042,-0.1988787656581247,0.17606653266002423,-0.17754053742576112,1.4222884582538176,-0.7160718335400147,-0.3978181573503581,-1.0086822655212677,-0.6699398723983089,-1.2978567889557255,,-0.6667480363665038,-0.7511069383063782,-0.4273483699784639,,-0.5709057364012111,,-0.6376053234765849,-0.3617733864985851,1.1669032449050396,-1.3644165917158595,-1.5784397593107444,-1.8372547739276457,1.5268390652683255,1.3335071284581843,-0.7688664045543208,1.1618403942022435,1.938367678193083
NS_OBS_418,NS,1WGA J0748.5-6745   ,NS0076,6.77,-1.6574030390840193,-0.38354564082178516,-0.6732367985495179,-0.6802677103887234,-0.5061156803541956,-0.411073092396174,-1.034904937887264,-0.5068371777395402,-0.7093497154391963,-0.4261196022933887,0.6302738169933217,0.13789824106770457,0.7997535654576229,0.7038033113705797,-0.18930328761874168,0.27162563713489424,0.8005176354846474,0.9200698702955434,0.7524980389013639,0.6812411924794334,0.16218023339744453,-1.0782803909780885,-0.5720666008904054,0.7121713707080733,0.1504958233164536,-0.07867718796783069,-0.8030032264016337,0.9339171266854024,-0.039327034781882715,1.3149738272980653,-0.637236128863475,-0.3866763474728483,,-0.9840730455777732,-0.7511069383063782,-1.1096521060125624,,-0.8402237651136765,,-0.9865114148124591,-0.7149379749392009,1.1669032449050396,0.8006531233653069,0.4311533386613683,0.5493695799031066,1.5268390652683255,1.3335071284581843,1.7001952288533067,1.1618403942022435,1.1703294813820553
NS_OBS_420,NS,1WGA J0748.5-6745   ,NS0076,6.77,0.10625995841832939,-1.0668921175840065,-0.4847085658216381,-0.27555578312400386,-1.6328802965246667,-0.880936230659108,-1.8532874016482366,0.19050271663410245,-1.4962684495128424,-1.522507662873286,0.18213619705493117,0.33302035997657875,0.9048988801798941,-1.0669039677617402,-0.9356625699604096,0.12294000862438298,0.8043557524884374,0.9354178461631769,0.8563192583561998,0.9597995880686002,0.276802680873809,-1.794775506822072,-1.1509529781605858,0.9198920738512609,0.1869671243195628,-0.03460463254986659,-1.4176154429676284,0.7656709910480572,-0.7413074059449196,-0.30184697288694445,-0.7119029474360096,-0.8374589743268851,,-0.7578461251352893,-0.2511097160610081,-0.5789714224304858,,-0.8954877245802084,,-0.8918286220483138,-0.7456787353449826,0.1601084827476843,0.7846667049287284,0.42315521489231767,0.5535999832529201,-0.4969410773423784,-0.6837484922563387,0.2860684792114165,0.13849779483480232,-0.6453477432439207
NS_OBS_414,NS,1WGA J0748.5-6745   ,NS0076,6.77,1.0750065310727002,1.007002196626422,1.0429664857988448,1.0728520490306281,0.6393666013353031,2.043020114551826,0.8725235113981324,1.038499364094988,1.0170583394343922,0.40762171793672064,0.03769105634812733,1.3273803807895859,-0.16161029086056,0.5379623024900874,1.570070117489804,0.8393417994013634,0.026597941706562225,-0.9259088076142652,0.061246569715891895,0.15472617054873147,1.1089262096097992,0.9753246684961965,1.2543509581641688,-0.03275078558191153,-0.05368570084528163,0.12285525937507204,1.2111553441512903,-0.11850769904083759,1.4704418296699822,0.6463026253077782,2.4595257589411776,1.423806950594619,,1.534789108879146,2.248876395165843,1.9011485069632972,,1.3653333502474605,,1.803317073983073,0.37260496347179384,-0.9780353295994603,-1.0966440829031696,-0.5421667232335855,-0.5413976198127917,-0.20911218597458436,-0.31197688163895626,-0.7688664045543208,-0.9838373909531902,-0.2953464427549539
NS_OBS_416,NS,1WGA J0748.5-6745   ,NS0076,6.77,0.8667661454142375,-0.150902054203985,0.4857563977660474,0.3641880372186603,-0.1384149846725769,0.854250484408518,-0.248541582338318,0.05784136627246366,-0.3542603015895062,-0.21634321599449438,-0.14294994631527633,-0.36689725894128133,-1.097973760922173,0.7472392618936197,0.8420447939510413,-0.3612094003418303,-0.218919803310056,-0.9236896934951409,-0.2522766483438539,-0.2624346249236451,-0.4225748099085637,-0.1284751921813426,-0.933402779412954,-0.9839239549782822,-0.19374014915191023,-0.25612057661530635,-0.25226228908220694,-0.6004802893336395,0.31147529404621516,-0.25616626608454507,-0.444243667015936,-0.6666479915039,,-0.9673717293034958,-0.7511069383063782,-0.5031598962044754,,0.4898622095581927,,0.27987093840798005,0.7984424094615612,-0.9780353295994603,-0.02773401380285213,1.0000521422341644,0.8284069848568015,-1.1515240076643865,-0.9217984449796212,-0.7688664045543208,-0.8940074577221999,-0.972609874002575
NS_OBS_413,NS,1WGA J0748.5-6745   ,NS0076,6.77,0.40346994427612104,-1.4179546092752375,-0.7108490138789402,-0.9932463782268992,-0.3504519104139793,-0.7988759451967713,0.11138072792608598,-1.7138207145045714,-0.275405733618078,-0.3719109057561696,-0.1226781356330574,-2.2720405863297652,-0.9568312212670275,-0.5493242888284404,-0.6799035262621917,-2.0007307223603226,-0.5563663651546548,-1.0394235170750643,-0.6594054142348905,-1.0073329475255612,-2.1736312983325523,-0.02982259801962065,-0.48372868686551923,-1.3420861962787338,-0.36659063789636875,-0.34282246833262064,-0.4309064760860779,-0.5679045651253525,-1.1653016221837336,-1.3135517862454926,-0.13281903920611673,0.12062095952580094,,0.05991105171250959,0.008888839506584305,0.028928715721800374,,-0.32261426891835654,,-0.09850517217573432,-0.2768994219806363,-0.9780353295994603,0.5237974222591064,1.0000521422341644,0.8284069848568015,-1.1515240076643865,-1.1460589187341768,-0.7688664045543208,-0.5707993579570969,-0.972609874002575
NS_OBS_423,NS,1WGA J1747.4-3002   ,NS0077,17.15,0.7071067811865535,0.7071067811865475,-0.7071067811865762,-0.7071067811865245,-0.7071067811865521,0.7071067811865425,0.7071067811865476,-0.7071067811865475,0.7071067811865475,-0.7071067811865415,-0.7071067811865476,0.7071067811865476,-0.7071067811865476,-0.7071067811865476,0.7071067811865427,-0.7071067811865476,-0.7071067811865475,-0.7071067811865617,-0.7071067811865476,-0.7071067811865475,0.7071067811865459,0.7071067811865476,0.7071067811865654,-0.7071067811865593,-0.7071067811865367,-0.7071067811865476,0.7071067811865316,-0.7071067811865687,0.7071067811865475,-0.7071067811865235,0.7071067811865474,0.7071067811865479,,0.7071067811865475,0.7071067811865475,0.7071067811865468,,0.7071067811865478,,0.7071067811865475,0.7071067811865479,-0.707106781186548,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865472,-0.707106781186547,-0.7071067811865476,-0.7071067811865476,-0.7071067811865476
NS_OBS_422,NS,1WGA J1747.4-3002   ,NS0077,17.15,-0.7071067811865416,-0.7071067811865475,0.7071067811865188,0.7071067811865707,0.7071067811865431,-0.7071067811865526,-0.7071067811865476,0.7071067811865475,-0.7071067811865475,0.7071067811865535,0.7071067811865476,-0.7071067811865476,0.7071067811865476,0.7071067811865476,-0.7071067811865523,0.7071067811865476,0.7071067811865475,0.7071067811865334,0.7071067811865476,0.7071067811865475,-0.707106781186549,-0.7071067811865476,-0.7071067811865296,0.7071067811865357,0.7071067811865583,0.7071067811865476,-0.7071067811865634,0.7071067811865264,-0.7071067811865475,0.7071067811865717,-0.7071067811865476,-0.7071067811865471,,-0.7071067811865475,-0.7071067811865475,-0.7071067811865483,,-0.7071067811865472,,-0.7071067811865475,-0.7071067811865474,0.707106781186547,0.7071067811865475,0.7071067811865476,0.7071067811865475,0.7071067811865479,0.707106781186548,0.7071067811865476,0.7071067811865476,0.7071067811865476
NS_OBS_425,NS,1WGA J1911.2+0035   ,NS0078,44.36,-0.1294645591451033,0.10114324304253183,-0.0236114248981212,-0.021649619446822387,0.6844756382327302,-0.14826490086644825,0.13760291673482017,-0.016569405121576345,0.0995028120696775,0.6641926091833,0.6484195109539347,-0.1771646601447295,0.4719549347158718,0.14484411879790193,-0.15786971371277897,0.004754670063594126,0.508918357991083,0.8498318405902371,0.5037288045475979,0.49898980448732977,-0.21229150167353003,0.050026167826358256,0.042660542575213165,0.4849760937131349,0.8566324307663244,0.8668563781176349,0.04701488926841918,0.4725202246725728,-0.18619521194726635,0.07978371858017062,1.7900128461276383,1.1835412222648607,0.9486832980505138,1.485567536675207,-0.5233670255931883,0.9621499801118436,,-0.32748644254468223,,-0.31119809908401436,-0.35461074585131713,1.4644836679070168,1.7824644922020882,1.8853716784186445,1.9661436279870292,0.3810448197049523,0.4476474278874469,1.4077882828758799,1.5353378072725103,0.29099528742066283
NS_OBS_427,NS,1WGA J1911.2+0035   ,NS0078,44.36,-0.8370508009865313,-1.1237978245706355,-0.7894531075211189,-0.782921560921784,-0.9441069911744935,-0.8187031210376948,-1.0802984611071076,-0.7787668835506016,-1.0993421379012773,-0.948437917359788,-0.9565997788822582,-0.8023942040215419,-1.0019676858143003,-0.8247525176323839,-0.820562727335241,-0.7872431030547273,-1.0024103077259143,-1.1145019971224523,-0.9962755571820272,-0.9863706565043587,-0.7857787625915904,-0.9159171310593089,-0.943627141904988,-0.9831774055172194,-1.1005205466711592,-1.0820940694940024,-0.9290453859689755,-1.018443018889592,-0.800007582097336,-0.8063448931670562,0.03516412184492869,0.06971217578450495,0.9486832980505138,0.33707221063371323,-0.5233670255931883,-0.6171926770645898,,-0.4292392045846184,,-0.41573435375413853,-0.4319638723467691,-0.9594089091373239,-0.8066765759999603,-0.8029957914644236,-0.7960265978602722,-1.3362910876048175,-1.4487470480533486,-0.9414951217264421,-0.9755114232761141,-1.243725227645489
NS_OBS_428,NS,1WGA J1911.2+0035   ,NS0078,44.36,2.1637600193140587,0.9091361920116259,2.200167964507428,2.19918203036301,1.9041580913292044,2.167830046987347,0.8267411750106951,2.198211971656972,0.978949522875248,1.9248935075497104,1.9404705266308897,2.1725181179526083,2.014370085508025,2.196909575088489,2.158769204969337,2.2166627508824375,2.0438692541663155,1.8640446133918198,2.044685555967225,2.043945672713289,2.1566051912438713,2.1552065083642327,2.1625052351463925,2.02712177014706,1.8520976116243404,1.8329274077536153,2.159997670375855,1.9980237943949568,2.1596811587849607,2.206959041600874,-0.832376087573399,0.22379779147971116,0.9486832980505138,0.19765404720636326,-0.5233670255931883,-1.000231845237433,,2.5645480933317852,,2.5645169689563083,2.5692991736191426,1.5076817534385,1.0448994497592692,0.8682486465102811,0.8052019480257147,0.5292014259457438,0.6798503959415306,1.5562682733352966,1.4545041995653896,0.6076388240891113
NS_OBS_424,NS,1WGA J1911.2+0035   ,NS0078,44.36,-0.8809925688418266,-0.8805162367374745,-0.8485048644188602,-0.8530392336229793,-0.8622603698397134,-0.8857994048311112,-0.9115976369626242,-0.8536167862312917,-0.8943940773903005,-0.8605964746343836,-0.853031404838878,-0.8839832717615383,-0.8326026459976982,-0.8679297411382341,-0.8877685311827649,-0.8586678030926379,-0.813078529341904,-0.6949893748579316,-0.8166993643218506,-0.823357547986503,-0.8972030509210989,-0.814269241344647,-0.7927121838488981,-0.8363254721339711,-0.7106005143977836,-0.7266093727588991,-0.8007098832325478,-0.8310782754433526,-0.892400576540872,-0.8656628182788338,0.402449344622744,-1.0088871340819359,0.9486832980505138,-0.7032741184826854,2.467301692082173,1.5888908799192925,,-0.7754728370855084,,-0.7404283777843893,-0.7762396720334379,-0.7283334357387549,-0.8356098950949397,-0.8029957914644236,-0.773467219994809,-0.047627625571138164,0.09646326567618849,-0.7600195778316,-0.6986742004207528,-0.23203746411388157
NS_OBS_432,NS,1WGA J1911.2+0035   ,NS0078,44.36,-1.0731928209419883,-1.268214255928911,-1.0757819247699127,-1.0754057711025553,-1.0831767262672543,-1.075816885636593,-1.2726233816228503,-1.0775411795410146,-1.27136892254219,-1.0726112514802486,-1.0696508377203857,-1.0717598588564619,-1.0754541222680907,-1.0584949063463103,-1.0869480417519082,-1.0521291685898286,-1.1041274643344223,-1.1206878519418308,-1.104435459480741,-1.1070781318374363,-1.0879609629913336,-1.0431756388168172,-1.0384917123564592,-1.0890392820408439,-1.1197746662486099,-1.1291436468861735,-1.0427503372860039,-1.0663008498722137,-1.0896265532312854,-1.0559274587151368,-0.7604804639482993,-0.9547970334221869,0.9486832980505138,-0.9703551195846584,-0.5233670255931883,-0.4451026160014282,,-0.8883769924735068,,-0.9084424326759275,-0.8733946887509573,-0.9162108236058408,-0.933357594740139,-0.8987365806534516,-0.8519738549666205,-0.7091591769231296,-0.5721913791740474,-0.9329162778332316,-0.8868090572966179,-0.8140034834269662
